#{"t_start": 1593050092.8035111, "env_id": "widowx_reacher-v7"}
r,l,t
-1.07284,100,2.837965
-0.891805,100,4.30601
-1.569532,100,5.601851
-0.734605,100,6.905794
-1.427792,100,8.209596
-1.949184,100,9.516889
-2.659628,100,10.824492
-2.487864,100,12.134682
-1.066951,100,13.438076
-1.389319,100,14.747619
-1.693612,100,16.06317
-1.901099,100,17.370586
-2.377229,100,18.675489
-1.585521,100,19.985473
-0.650279,100,21.292071
-2.860601,100,22.597419
-0.229076,100,23.906225
-2.087767,100,25.212695
-2.603021,100,26.521256
-1.252552,100,27.827022
-0.986819,100,29.107024
-1.462549,100,30.416648
-2.271121,100,31.725063
-1.514252,100,33.035747
-1.169136,100,34.345009
-1.002335,100,35.650841
-2.450056,100,36.999464
-1.832725,100,38.30347
-0.388714,100,39.610697
-1.361484,100,40.92061
-1.090011,100,42.235
-1.243722,100,43.518986
-1.267985,100,44.826103
-0.666185,100,46.108285
-0.523169,100,47.420156
-2.202921,100,48.726167
-1.071073,100,50.040424
-0.565335,100,51.354988
-1.51907,100,52.668174
-0.657447,100,53.976887
-2.379398,100,55.289263
-2.016554,100,56.591919
-0.954131,100,57.892743
-1.545151,100,59.161977
-1.063105,100,60.455644
-2.244612,100,61.738482
-0.40571,100,63.049451
-0.263833,100,64.353811
-1.415995,100,65.62963
-0.42467,100,66.923603
-2.331514,100,68.466827
-0.338622,100,69.744088
-2.40104,100,71.049138
-1.704629,100,72.339562
-1.238589,100,73.611938
-0.25138,100,74.922017
-0.708384,100,76.192081
-1.141592,100,77.450536
-1.574915,100,78.717028
-1.159072,100,79.983788
-0.612463,100,81.269883
-0.153781,100,82.592862
-2.917911,100,83.91397
-0.832497,100,85.222346
-2.298983,100,86.531139
-1.626831,100,87.841303
-2.436289,100,89.150723
-2.33762,100,90.465052
-1.947821,100,91.776012
-2.436215,100,93.064542
-1.336125,100,94.380261
-1.233601,100,95.696053
-1.624499,100,96.994777
-1.931597,100,98.303717
-0.153333,100,99.673548
-2.123687,100,100.969145
-1.948915,100,102.298038
-0.779081,100,103.631816
-1.174911,100,104.940957
-0.646533,100,106.248812
-2.034452,100,107.558994
-0.957099,100,108.869701
-0.374731,100,110.179601
-3.357168,100,111.490288
-1.476007,100,112.771077
-2.247076,100,114.079532
-1.106731,100,115.382513
-2.071447,100,116.689423
-4.563661,100,118.003497
-0.797964,100,119.314071
-1.941122,100,120.620564
-2.188423,100,121.927918
-3.25236,100,123.242865
-2.073572,100,124.54775
-0.77975,100,125.847178
-1.521598,100,127.273375
-3.096741,100,128.581135
-2.196049,100,129.881392
-0.883648,100,131.190614
-1.658507,100,132.483581
