number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_lr,params_noise_std,params_noise_type,params_train_freq,state
0,4.296818256378174,2020-06-26 17:42:58.713595,2020-06-26 18:00:01.858828,0 days 00:17:03.145233000,64,100000,0.99,0.011013563511090781,0.05931474082519417,ornstein-uhlenbeck,2000,COMPLETE
1,2.580920696258545,2020-06-26 18:00:01.859898,2020-06-26 18:16:43.469098,0 days 00:16:41.609200000,16,100000,0.995,1.3872063987145433e-05,0.41285991954771883,ornstein-uhlenbeck,10,COMPLETE
2,4.543313503265381,2020-06-26 18:16:43.470395,2020-06-26 18:39:39.503601,0 days 00:22:56.033206000,32,10000,0.99,0.030367176108293564,0.41849977919326364,ornstein-uhlenbeck,1,COMPLETE
3,1.5598169565200806,2020-06-26 18:39:39.505385,2020-06-26 19:36:45.621601,0 days 00:57:06.116216000,256,1000000,0.999,0.0009456723245330915,0.11647590171187838,normal,1,COMPLETE
4,2.5550389289855957,2020-06-26 19:36:45.622913,2020-06-26 21:14:39.357953,0 days 01:37:53.735040000,512,100000,0.999,0.37686207233895386,0.27153027185198564,ornstein-uhlenbeck,1000,COMPLETE
5,2.0480189323425293,2020-06-26 21:14:39.359608,2020-06-26 21:37:06.577808,0 days 00:22:27.218200000,16,100000,0.98,0.0005565382283093996,0.6760222932849669,ornstein-uhlenbeck,2000,COMPLETE
6,2.5550389289855957,2020-06-26 21:37:06.578913,2020-06-26 22:32:09.883320,0 days 00:55:03.304407000,256,10000,0.9999,0.005465121800524359,0.7254033006578954,normal,100,COMPLETE
7,1.4776637554168701,2020-06-26 22:32:09.884738,2020-06-26 23:30:00.538302,0 days 00:57:50.653564000,256,10000,0.995,0.0002714982264936502,0.897884923046852,normal,2000,COMPLETE
8,3.405569076538086,2020-06-26 23:30:00.539969,2020-06-26 23:59:30.483396,0 days 00:29:29.943427000,64,10000,0.9,0.0006827419874326356,0.3288191918114657,ornstein-uhlenbeck,1000,COMPLETE
9,3.089526414871216,2020-06-26 23:59:30.484805,2020-06-27 00:30:42.718408,0 days 00:31:12.233603000,64,1000000,0.995,0.03474634589323286,0.7824848265767536,ornstein-uhlenbeck,2000,COMPLETE
10,2.6821436882019043,2020-06-27 00:30:42.720127,2020-06-27 00:41:11.227842,0 days 00:10:28.507715000,128,10000,0.95,4.352249497962428e-05,0.9953326113709854,normal,10,PRUNED
11,1.5759693384170532,2020-06-27 00:41:11.373190,2020-06-27 01:36:58.483227,0 days 00:55:47.110037000,256,1000000,0.999,0.00018469181055385771,0.01597092857090887,normal,1,COMPLETE
12,1.3066303730010986,2020-06-27 01:36:58.484662,2020-06-27 02:11:23.249670,0 days 00:34:24.765008000,100,1000000,0.999,0.00012617175664511859,0.9212220300282399,normal,1,COMPLETE
13,1.4173223972320557,2020-06-27 02:11:23.251647,2020-06-27 02:45:42.794498,0 days 00:34:19.542851000,100,1000000,0.995,8.12534185582057e-05,0.9870866213818865,normal,2000,COMPLETE
14,3.634516954421997,2020-06-27 02:45:42.796327,2020-06-27 03:00:42.029802,0 days 00:14:59.233475000,100,1000000,0.995,1.3740010103409387e-05,0.9830379482796461,normal,100,PRUNED
15,1.588623046875,2020-06-27 03:00:42.269933,2020-06-27 03:33:40.912448,0 days 00:32:58.642515000,100,1000000,0.999,6.0301584935740304e-05,0.6233546310651685,normal,1,COMPLETE
16,1.3404760360717773,2020-06-27 03:33:40.913635,2020-06-27 04:05:10.607487,0 days 00:31:29.693852000,100,1000000,0.98,8.923307051775792e-05,0.8592046638958089,normal,2000,COMPLETE
17,1.4016774892807007,2020-06-27 04:05:10.608995,2020-06-27 04:41:04.363701,0 days 00:35:53.754706000,100,1000000,0.98,0.0019152806607177703,0.8481474154163096,normal,1,COMPLETE
18,2.7879443168640137,2020-06-27 04:41:04.365253,2020-06-27 05:14:36.681084,0 days 00:33:32.315831000,100,1000000,0.98,1.8531796114868245e-05,0.5730400252605455,normal,2000,COMPLETE
19,1.3964271545410156,2020-06-27 05:14:36.683018,2020-06-27 05:55:01.131756,0 days 00:40:24.448738000,128,1000000,0.95,0.00016755052433334083,0.8879611907716884,normal,10,COMPLETE
20,1.4528305530548096,2020-06-27 05:55:01.133324,2020-06-27 06:20:33.598197,0 days 00:25:32.464873000,32,1000000,0.9,2.5496793786851162e-05,0.7777275196160448,normal,1,COMPLETE
21,1.3175400495529175,2020-06-27 06:20:33.600233,2020-06-27 07:00:10.850127,0 days 00:39:37.249894000,128,1000000,0.95,0.00018675145907761552,0.9111975514689886,normal,10,COMPLETE
22,1.273524522781372,2020-06-27 07:00:10.851899,2020-06-27 07:35:56.366716,0 days 00:35:45.514817000,128,1000000,0.95,0.00012096317508258214,0.8992950118246341,normal,10,COMPLETE
