number,value,datetime_start,datetime_complete,duration,params_cg_iters,params_ent_coef,params_gamma,params_lamdba,params_max_kl,params_timesteps_per_batch,params_vf_iters,params_vf_stepsize,state
0,2.583738327026367,2020-06-26 00:00:59.012646,2020-06-26 00:02:50.175062,0 days 00:01:51.162416000,30,0.010130230408794483,0.995,0.9,0.11630395714480306,512,20,0.01696174638729099,COMPLETE
1,1.9388635158538818,2020-06-26 00:02:50.175963,2020-06-26 00:04:12.234808,0 days 00:01:22.058845000,30,4.831596208381844e-06,0.9999,1.0,0.6053082080079019,4096,1,0.004410365667970984,COMPLETE
2,3.2179043292999268,2020-06-26 00:04:12.235736,2020-06-26 00:05:42.372154,0 days 00:01:30.136418000,30,2.300239849486517e-06,0.95,0.98,0.10386580256500279,512,1,0.0006937575128144786,COMPLETE
3,1.7728465795516968,2020-06-26 00:05:42.373125,2020-06-26 00:07:43.707127,0 days 00:02:01.334002000,30,1.699634491174657e-05,0.98,0.95,0.06236650188352654,128,1,3.902762553553292e-05,COMPLETE
4,2.585104465484619,2020-06-26 00:07:43.708091,2020-06-26 00:12:30.766880,0 days 00:04:47.058789000,20,7.99159708744152e-06,0.95,0.95,0.0013523525694052886,16,20,0.07433073841273528,COMPLETE
5,3.873974561691284,2020-06-26 00:12:30.767728,2020-06-26 00:16:12.628454,0 days 00:03:41.860726000,10,0.00021059520545246572,0.98,1.0,1.296399344054502e-06,16,20,0.012152621852509347,COMPLETE
6,2.7078051567077637,2020-06-26 00:16:12.629287,2020-06-26 00:17:44.399002,0 days 00:01:31.769715000,30,4.954073578738671e-08,0.95,0.9,0.25947259726504646,4096,10,0.01843742127649596,COMPLETE
7,4.272397041320801,2020-06-26 00:17:44.399905,2020-06-26 00:19:38.118831,0 days 00:01:53.718926000,10,1.6143528192274821e-06,0.9999,0.99,5.936873372035253e-06,64,20,0.007095513849771357,COMPLETE
8,1.9529632329940796,2020-06-26 00:19:38.119751,2020-06-26 00:21:43.009850,0 days 00:02:04.890099000,30,0.0003711352619121185,0.99,0.98,0.5671469641942559,256,20,0.9473224693917235,COMPLETE
9,2.3953700065612793,2020-06-26 00:21:43.010804,2020-06-26 00:23:15.671817,0 days 00:01:32.661013000,15,1.2965434798948996e-07,0.9,0.99,2.9278818805431125e-05,256,3,0.019127047981511353,COMPLETE
10,5.1046295166015625,2020-06-26 00:23:15.672708,2020-06-26 00:24:35.211510,0 days 00:01:19.538802000,15,0.0728327941547569,0.999,0.92,0.006637855772394468,128,5,1.6372704401390714e-05,PRUNED
11,2.287811756134033,2020-06-26 00:24:35.475933,2020-06-26 00:25:08.880419,0 days 00:00:33.404486000,30,7.081137766841749e-05,0.98,0.95,0.009788643504678203,4096,1,0.00020290899507499825,PRUNED
12,5.705045700073242,2020-06-26 00:25:09.104819,2020-06-26 00:26:28.378664,0 days 00:01:19.273845000,20,4.3183082367082875e-07,0.9999,0.8,0.9903998791315295,1024,1,1.0265284209853259e-05,COMPLETE
13,2.1888835430145264,2020-06-26 00:26:28.379565,2020-06-26 00:28:28.961509,0 days 00:02:00.581944000,30,0.001409061486918074,0.98,1.0,0.019686911309809717,128,1,0.00012172423897248456,COMPLETE
14,2.505211353302002,2020-06-26 00:28:28.962387,2020-06-26 00:29:48.813436,0 days 00:01:19.851049000,30,1.9339649123360192e-05,0.9999,1.0,0.00018691752343899447,2048,1,0.3004696967418091,COMPLETE
15,7.312878608703613,2020-06-26 00:29:48.814326,2020-06-26 00:31:06.025922,0 days 00:01:17.211596000,30,1.15877620675258e-05,0.98,0.95,0.03151688893447674,32,10,0.0017215772693809912,PRUNED
