#{"t_start": 1593134983.689569, "env_id": "widowx_reacher-v7"}
r,l,t
-1.002556,100,1.463109
-0.67614,100,1.52891
-3.730668,100,1.59464
-5.299881,100,1.660439
-1.805892,100,1.726295
-1.186113,100,1.792349
-1.670622,100,1.858402
-1.561873,100,1.924463
-1.194433,100,1.990609
-1.873542,100,2.056936
-0.649976,100,2.891324
-2.487639,100,2.956883
-2.140124,100,3.022527
-1.744259,100,3.089029
-2.240334,100,3.154728
-1.002494,100,3.220355
-2.229369,100,3.286136
-1.040378,100,3.351775
-1.52436,100,3.417368
-1.810574,100,3.483127
-0.793206,100,3.698571
-0.407784,100,3.76461
-0.551986,100,3.830727
-1.041858,100,3.896787
-1.682368,100,3.962877
-1.464128,100,4.028914
-1.247506,100,4.095002
-2.832492,100,4.161088
-2.106317,100,4.227186
-2.922971,100,4.293218
-1.193261,100,4.50882
-2.471187,100,4.57468
-5.183192,100,4.640502
-1.684145,100,4.706358
-2.133807,100,4.772387
-0.567498,100,4.838071
-3.670928,100,4.903895
-2.333675,100,4.969943
-4.638823,100,5.035977
-2.923918,100,5.101887
-0.679144,100,5.319485
-1.916615,100,5.385449
-1.447235,100,5.451199
-1.483228,100,5.516987
-0.387494,100,5.582744
-1.295795,100,5.649393
-1.192787,100,5.715219
-2.086589,100,5.781036
-0.313919,100,5.846794
-0.646724,100,5.912596
-1.360196,100,6.357912
-0.383985,100,6.576663
-3.033467,100,6.642688
-0.407766,100,6.708655
-1.085028,100,6.774647
-1.182404,100,6.840703
-0.070037,100,6.90673
-1.3819,100,6.972615
-1.353916,100,7.038615
-2.109894,100,7.10462
-2.313077,100,7.170647
-0.612484,100,7.391693
-1.304845,100,7.457796
-0.649688,100,7.523997
-3.498096,100,7.590274
-2.976625,100,7.65637
-2.35049,100,7.722415
-1.445815,100,7.788322
-1.964742,100,7.851649
-1.302268,100,7.912707
-0.503161,100,7.973598
-1.456954,100,8.191254
-1.29858,100,8.257656
-0.67329,100,8.323844
-4.904273,100,8.390116
-0.804375,100,8.456055
-1.380149,100,8.521494
-2.295283,100,8.586672
-1.001795,100,8.651772
-1.368374,100,8.716807
-2.1212,100,8.782367
-0.943781,100,9.00328
-3.11872,100,9.069445
-0.542327,100,9.135423
-0.949752,100,9.201223
-1.642182,100,9.266994
-2.169333,100,9.332471
-1.289599,100,9.398082
-3.50112,100,9.463764
-1.75687,100,9.529392
-3.946088,100,9.59507
-1.994578,100,9.660643
-2.987976,100,9.873095
-3.328935,100,9.939001
-2.895624,100,10.004791
-0.427555,100,10.07048
-2.562171,100,10.136237
-1.114187,100,10.201957
-1.690318,100,10.267691
-0.285407,100,10.333395
-1.666076,100,10.730838
-0.748068,100,10.796827
-0.406358,100,11.011817
-0.165277,100,11.077739
-3.332212,100,11.143433
-2.588867,100,11.209621
-1.078172,100,11.275428
-0.759463,100,11.341158
-2.584909,100,11.406826
-1.049392,100,11.472549
-0.650123,100,11.538304
-0.941686,100,11.603904
-1.492595,100,11.834012
-0.300502,100,11.899292
-2.11529,100,11.964628
-0.441904,100,12.030118
-2.296549,100,12.095208
-1.540129,100,12.160756
-1.661163,100,12.226852
-2.364892,100,12.292751
-2.459876,100,12.358533
-0.895566,100,12.42418
-0.64149,100,12.637544
-0.994587,100,12.703288
-0.262832,100,12.76909
-0.713362,100,12.834915
-1.219415,100,12.900578
-0.157573,100,12.966296
-0.347396,100,13.032192
-1.871554,100,13.09803
-1.597515,100,13.163909
-2.764641,100,13.229808
-1.064885,100,13.295641
-0.847443,100,13.514169
-1.023163,100,13.580173
-2.483246,100,13.646161
-1.598028,100,13.712072
-2.88108,100,13.77796
-3.107416,100,13.843803
-0.967434,100,13.909709
-0.627377,100,13.975567
-3.072547,100,14.041454
-3.065322,100,14.107363
-1.692351,100,14.326918
-2.054444,100,14.392996
-2.428786,100,14.458656
-3.282508,100,14.524595
-3.807542,100,14.590556
-1.105806,100,14.656636
-1.743039,100,14.722615
-0.651012,100,15.121065
-1.148515,100,15.18716
-3.880388,100,15.253118
-2.968855,100,15.474072
-1.425632,100,15.540284
-3.86412,100,15.60652
-1.008588,100,15.672696
-1.932007,100,15.739743
-0.84916,100,15.805934
-2.566574,100,15.872082
-0.907038,100,15.938392
-1.144408,100,16.004578
-1.186636,100,16.070792
-2.858447,100,16.301494
-1.026816,100,16.367841
-2.198875,100,16.433484
-1.663512,100,16.498369
-3.395144,100,16.563089
-0.874619,100,16.62815
-2.189777,100,16.693404
-2.853359,100,16.759616
-1.832504,100,16.825299
-1.577505,100,16.890187
-1.410425,100,16.955353
-1.161545,100,17.167739
-2.511104,100,17.233401
-2.233924,100,17.29915
-1.269352,100,17.364882
-2.453389,100,17.430609
-2.299883,100,17.49632
-2.372306,100,17.56213
-1.228213,100,17.627909
-0.170343,100,17.693699
-1.107974,100,17.759558
-1.38621,100,17.973409
-1.623179,100,18.039148
-1.244162,100,18.104877
-4.634865,100,18.170609
-2.569645,100,18.236532
-0.689874,100,18.298771
-1.281037,100,18.360809
-0.375914,100,18.425541
-1.326021,100,18.491947
-1.047288,100,18.557756
-0.285764,100,18.771688
-0.947868,100,18.837583
-2.689456,100,18.903218
-1.757671,100,18.969045
-1.531932,100,19.035018
-0.99925,100,19.100498
-1.382391,100,19.493882
-0.573647,100,19.558896
-0.615425,100,19.623846
-2.507973,100,19.687787
-0.870254,100,19.891357
-4.701079,100,19.95143
-0.473372,100,20.011654
-1.989102,100,20.072505
-2.542184,100,20.132748
-1.526819,100,20.195176
-4.018824,100,20.254822
-0.64514,100,20.316173
-0.854272,100,20.37829
-0.908036,100,20.444068
-1.191441,100,20.509507
-2.161287,100,20.738455
-0.381372,100,20.802611
-0.468221,100,20.866681
-1.585554,100,20.932016
-0.869776,100,20.997899
-0.81979,100,21.064252
-1.076631,100,21.130209
-2.033879,100,21.195997
-1.367273,100,21.261675
-4.514134,100,21.327204
-0.74561,100,21.540812
-1.78355,100,21.606779
-2.018525,100,21.672647
-0.323762,100,21.738135
-2.909624,100,21.802828
-1.853869,100,21.867959
-2.195327,100,21.93304
-3.820204,100,21.998372
-2.446245,100,22.064151
-1.844426,100,22.130247
-0.757224,100,22.348555
-2.372317,100,22.414524
-1.599282,100,22.480123
-3.214834,100,22.545824
-1.076273,100,22.611516
-2.567693,100,22.677265
-3.661003,100,22.743071
-1.239791,100,22.80888
-1.767143,100,22.874717
-4.163267,100,22.940442
-0.771353,100,23.152249
-2.69562,100,23.218187
-1.502241,100,23.283762
-0.229521,100,23.349423
-0.576004,100,23.415068
-3.8121,100,23.812808
-1.339149,100,23.878454
-4.015907,100,23.944327
-5.115442,100,24.010215
-1.848567,100,24.075795
-0.363786,100,24.136468
-2.432898,100,24.346485
-0.694057,100,24.411452
-5.704954,100,24.476398
-0.741933,100,24.541414
-2.077491,100,24.606347
-1.304079,100,24.671474
-2.964932,100,24.737674
-1.675079,100,24.803687
-2.20859,100,24.868595
-3.414056,100,24.933658
-3.647078,100,25.145975
-1.140593,100,25.211663
-1.839767,100,25.27746
-2.008153,100,25.343131
-1.489993,100,25.408972
-1.42248,100,25.474901
-2.188831,100,25.540702
-3.473358,100,25.606636
-1.300363,100,25.672464
-5.431364,100,25.738401
-2.548782,100,25.967691
-1.950104,100,26.032891
-3.448099,100,26.098784
-2.265473,100,26.1655
-2.770383,100,26.230357
-1.842985,100,26.295146
-1.32951,100,26.361444
-2.051947,100,26.427579
-1.702879,100,26.493422
-2.05852,100,26.559098
-2.308229,100,26.772736
-3.120912,100,26.838488
-1.3825,100,26.904233
-1.75924,100,26.969955
-0.937516,100,27.035618
-3.593046,100,27.101263
-4.355633,100,27.167543
-1.463095,100,27.233632
-0.457934,100,27.299296
-1.231801,100,27.364688
-0.904264,100,27.591247
-1.642497,100,27.657125
-0.761061,100,27.72192
-2.853049,100,27.787281
-1.74058,100,28.184366
-4.390205,100,28.250151
-2.292437,100,28.316014
-4.608983,100,28.381937
-3.129792,100,28.447865
-3.118357,100,28.513731
-1.47092,100,28.579403
-0.914439,100,28.796292
-4.15181,100,28.862268
-2.698353,100,28.928166
-2.0293,100,28.994199
-1.185842,100,29.060132
-2.455562,100,29.126155
-0.392162,100,29.1921
-1.787132,100,29.258067
-0.612415,100,29.324
-0.356288,100,29.389974
-2.426995,100,29.607628
-1.936966,100,29.673624
-0.438361,100,29.739509
-2.639306,100,29.805418
-1.963767,100,29.871396
-0.925193,100,29.937427
-0.400383,100,30.00342
-2.077261,100,30.069477
-0.127976,100,30.135526
-2.660145,100,30.201509
-3.106282,100,30.419849
-0.157527,100,30.48284
-2.990426,100,30.546285
-1.530556,100,30.60647
-3.000908,100,30.668189
-1.181603,100,30.729442
-2.287246,100,30.791486
-1.111881,100,30.85247
-4.043202,100,30.913456
-2.231414,100,30.975699
-0.307172,100,31.19567
-1.406797,100,31.261648
-0.480096,100,31.327655
-1.18422,100,31.39294
-2.23578,100,31.458776
-1.677172,100,31.52462
-1.571003,100,31.585505
-0.843543,100,31.645827
-2.961811,100,31.711977
-1.235977,100,31.777997
-1.627219,100,31.843978
-1.356691,100,32.070368
-0.670839,100,32.136543
-3.064676,100,32.53121
-0.93271,100,32.596301
-1.399592,100,32.661011
-1.682842,100,32.7262
-1.480433,100,32.791966
-0.157633,100,32.857658
-3.778449,100,32.9227
-2.71121,100,32.987268
-2.057234,100,33.200395
-0.902623,100,33.266091
-2.750138,100,33.331886
-1.164563,100,33.397702
-1.758414,100,33.463447
-2.552393,100,33.529248
-3.047729,100,33.594997
-2.856338,100,33.660777
-1.978743,100,33.726625
-0.997128,100,33.792422
-0.875928,100,34.005473
-1.388492,100,34.071303
-2.840781,100,34.137119
-1.749897,100,34.202822
-3.372355,100,34.268672
-4.590404,100,34.33459
-0.47135,100,34.400507
-0.280148,100,34.466112
-1.290917,100,34.527302
-0.418304,100,34.587826
-0.829449,100,34.800865
-1.860348,100,34.86668
-4.155756,100,34.932497
-1.678195,100,34.998318
-1.469791,100,35.064018
-0.814346,100,35.129687
-1.712559,100,35.195437
-0.695558,100,35.261111
-1.94148,100,35.326919
-0.751933,100,35.393176
-1.685946,100,35.45916
-3.574371,100,35.687641
-3.363782,100,35.753145
-3.161059,100,35.818875
-3.082326,100,35.884098
-1.383729,100,35.949156
-1.445571,100,36.015261
-0.602544,100,36.081137
-0.634993,100,36.146994
-1.7191,100,36.212578
-0.512543,100,36.278298
-2.399932,100,36.491374
-0.82355,100,36.888491
-2.232241,100,36.954239
-2.018462,100,37.02
-3.405816,100,37.085698
-0.526543,100,37.15147
-0.521589,100,37.217433
-3.177834,100,37.283299
-2.01047,100,37.349202
-2.420534,100,37.41513
-1.890192,100,37.631977
-1.034143,100,37.698023
-1.667289,100,37.764033
-2.979188,100,37.829988
-1.087646,100,37.896028
-2.989435,100,37.962136
-3.49802,100,38.028153
-2.140972,100,38.094283
-2.423862,100,38.160404
-0.601655,100,38.226378
-1.327003,100,38.444434
-1.088989,100,38.510448
-3.397694,100,38.576376
-1.763437,100,38.642326
-1.693171,100,38.708211
-0.882595,100,38.774049
-1.628503,100,38.839897
-0.437056,100,38.905816
-0.345262,100,38.971743
-0.9214,100,39.037604
-2.075148,100,39.103511
-2.522961,100,39.322821
-0.503608,100,39.389003
-1.378437,100,39.455034
-1.238159,100,39.52118
-1.864093,100,39.587292
-0.238121,100,39.65344
-1.515866,100,39.719606
-4.387646,100,39.785675
-0.853815,100,39.851805
-4.608627,100,39.918033
-1.364947,100,40.139717
-1.237794,100,40.205752
-2.879927,100,40.271806
-0.517969,100,40.337992
-1.008034,100,40.404084
-0.36277,100,40.470203
-2.644851,100,40.536433
-0.67999,100,40.60257
-0.993894,100,40.668849
-2.13496,100,40.735049
-1.427585,100,41.294221
-1.01338,100,41.360098
-0.218316,100,41.425518
-2.179638,100,41.490342
-0.277994,100,41.555813
-2.075786,100,41.621985
-1.66355,100,41.687847
-4.448799,100,41.753625
-1.637213,100,41.81931
-2.147949,100,41.885021
-0.927588,100,42.097178
-1.985811,100,42.162793
-1.789704,100,42.228437
-2.440758,100,42.294015
-2.435248,100,42.359677
-1.467339,100,42.425503
-1.329768,100,42.491297
-0.604148,100,42.557113
-3.079354,100,42.622862
-1.846174,100,42.688464
-2.637255,100,42.754181
-0.707956,100,42.96915
-2.942989,100,43.035015
-1.64856,100,43.100836
-1.438243,100,43.166704
-1.196023,100,43.232581
-2.847074,100,43.29832
-4.055464,100,43.363752
-1.436815,100,43.425761
-2.197794,100,43.488852
-1.286812,100,43.551458
-0.990712,100,43.76196
-3.252431,100,43.827559
-1.435287,100,43.893308
-0.675184,100,43.959051
-0.863886,100,44.024877
-1.294592,100,44.090661
-1.57636,100,44.156464
-2.149679,100,44.222352
-0.831003,100,44.28838
-1.85307,100,44.354279
-0.722032,100,44.572399
-1.072172,100,44.638537
-1.293738,100,44.704641
-2.441225,100,44.770663
-1.242733,100,44.836722
-1.176783,100,44.902757
-2.180945,100,44.968867
-4.977995,100,45.035001
-1.460346,100,45.101167
-2.031658,100,45.497226
-1.370385,100,45.717325
-3.196762,100,45.78339
-1.422758,100,45.849336
-1.608204,100,45.915318
-1.683416,100,45.980893
-0.392577,100,46.046839
-0.71747,100,46.112773
-2.505678,100,46.178782
-2.203073,100,46.244816
-1.94281,100,46.310905
-1.396349,100,46.377012
-0.950999,100,46.597942
-6.614355,100,46.663933
-1.762444,100,46.73004
-1.795108,100,46.796018
-0.813414,100,46.862158
-0.605215,100,46.92834
-1.482349,100,46.994492
-1.410913,100,47.060545
-0.988162,100,47.126606
-2.426735,100,47.192817
-1.724116,100,47.420952
-1.568573,100,47.487333
-2.99565,100,47.553648
-1.784682,100,47.619814
-1.390484,100,47.68596
-0.741708,100,47.751676
-2.306206,100,47.817216
-0.95146,100,47.882339
-2.810251,100,47.947464
-1.001811,100,48.012766
-0.65861,100,48.235123
-2.892969,100,48.300339
-1.243376,100,48.366568
-3.395012,100,48.432458
-0.348166,100,48.498242
-0.549022,100,48.563943
-0.810462,100,48.629664
-0.340684,100,48.695243
-1.550264,100,48.760872
-0.763313,100,48.82666
-1.15609,100,49.039155
-0.790679,100,49.104637
-1.230013,100,49.17025
-1.536165,100,49.235941
-0.888504,100,49.301602
-1.022444,100,49.367289
-3.075721,100,49.43294
-0.311028,100,49.498546
-1.066057,100,49.891993
-1.948238,100,49.957668
-0.890989,100,50.171297
-0.853203,100,50.23714
-1.168708,100,50.304022
-2.132461,100,50.369763
-0.901479,100,50.43557
-1.865496,100,50.501364
-1.764366,100,50.567366
-0.726721,100,50.633334
-1.910617,100,50.698975
-1.299671,100,50.764727
-1.074411,100,50.830403
-0.690302,100,51.057357
-1.035052,100,51.122106
-1.047038,100,51.187006
-2.047703,100,51.252785
-1.853119,100,51.319097
-3.679359,100,51.384622
-3.719425,100,51.448853
-1.978802,100,51.511865
-3.466487,100,51.574468
-0.927316,100,51.640079
-1.983112,100,51.852034
-3.637427,100,51.917776
-0.923184,100,51.983519
-3.54142,100,52.048504
-2.307935,100,52.113957
-1.122607,100,52.178592
-0.796412,100,52.243443
-1.088687,100,52.309083
-0.465358,100,52.374887
-3.120449,100,52.440821
-1.053362,100,52.656269
-1.640756,100,52.719036
-1.014361,100,52.779525
-1.670745,100,52.841519
-0.952563,100,52.90266
-1.863013,100,52.96442
-0.780092,100,53.025795
-1.882354,100,53.088758
-1.240362,100,53.149471
-0.909598,100,53.210489
-2.908101,100,53.427239
-0.966187,100,53.493276
-1.135457,100,53.558493
-0.817626,100,53.624399
-1.117912,100,53.688753
-0.161757,100,53.748899
-1.445638,100,53.81118
-2.12375,100,54.205769
-4.049788,100,54.271643
-0.975663,100,54.337652
-1.182035,100,54.403559
-2.835074,100,54.626213
-0.233484,100,54.692312
-5.368854,100,54.758403
-2.078615,100,54.824361
-3.940833,100,54.890403
-1.710167,100,54.956612
-1.048074,100,55.022731
-1.039416,100,55.088807
-1.460189,100,55.154949
-3.406533,100,55.221064
-3.911388,100,55.449841
-1.030385,100,55.516167
-2.668957,100,55.582558
-0.563098,100,55.648882
-1.531666,100,55.715239
-0.606383,100,55.781157
-1.324215,100,55.84681
-1.259622,100,55.912052
-1.422132,100,55.977292
-3.363942,100,56.042408
-0.856699,100,56.271154
-0.307028,100,56.337264
-2.387185,100,56.402092
-1.939695,100,56.468096
-0.778228,100,56.534036
-2.051943,100,56.599804
-2.473844,100,56.665457
-1.619395,100,56.731219
-0.225197,100,56.797115
-2.668246,100,56.862957
-2.880339,100,57.075561
-0.736205,100,57.141344
-2.065127,100,57.207079
-1.296421,100,57.272882
-1.011827,100,57.338806
-0.639486,100,57.404748
-0.801973,100,57.470699
-2.571499,100,57.536593
-1.179929,100,57.602393
-0.208153,100,57.668342
-0.713908,100,57.734358
-4.437998,100,57.949255
-1.660044,100,58.015144
-3.538459,100,58.081004
-1.190012,100,58.146719
-3.913059,100,58.212495
-5.480505,100,58.61118
-1.03917,100,58.677305
-1.432342,100,58.742362
-0.899445,100,58.807631
-2.582319,100,58.872353
-1.289432,100,59.102439
-0.687038,100,59.168034
-1.26019,100,59.232943
-0.158532,100,59.298304
-2.164191,100,59.364137
-2.439137,100,59.429877
-1.47041,100,59.495445
-0.45368,100,59.561077
-2.272902,100,59.626716
-2.734445,100,59.692248
-0.88774,100,59.907259
-1.076454,100,59.973183
-0.694166,100,60.038829
-1.545571,100,60.10451
-4.212889,100,60.170228
-0.639224,100,60.235038
