#{"t_start": 1592154882.899299, "env_id": "widowx_reacher-v5"}
r,l,t
-1.250184,100,60.709678
-1.263155,100,66.272406
-1.51521,100,71.150924
-1.349978,100,76.392289
-1.531878,100,81.643815
-1.907921,100,86.678475
-2.747179,100,90.564766
-1.494695,100,94.817317
-1.845922,100,98.999115
-1.697811,100,103.877976
-1.376707,100,108.089165
-0.695761,100,111.778122
-1.326102,100,116.007875
-1.698101,100,119.369848
-1.578275,100,122.995263
-1.767492,100,126.623696
-1.183677,100,130.244469
-1.636384,100,133.824897
-1.847022,100,136.800973
-1.077351,100,140.0804-1.9-1.493559,100,163.048864
-1.960568,100,167.0844
-0.973598,100,171.049982
-1.545038,100,174.835131
-1.609697,100,178.260678
-1.452671,100,181.662147
-1.67167,100,184.99753
-1.762316,100,188.365587
-1.438037,100,192.470666
-1.455151,100,196.284475
-2.0518,100,199.802726
-1.884792,100,210.719304
-2.098962,100,214.245555
-1.754721,100,217.575012
-1.147209,100,220.835949
-1.264224,100,224.133038
-1.356349,100,227.453688
-2.290851,100,230.537658
-2.032514,100,234.019861
-1.266507,100,237.3141-1.9-1.817251,100,258.177213
-1.594778,100,261.484954
-1.244405,100,264.655072
-1.264638,100,267.967294
-1.492958,100,271.5336
-1.581276,100,275.184325
-0.99397,100,278.698143
-1.481027,100,282.476286
-1.490593,100,286.017651
-1.730471,100,289.562949
-2.297475,100,292.288879
-1.967852,100,294.984774
-1.164638,100,297.878388
-1.215575,100,300.743213
-1.762157,100,303.962605
-1.665066,100,307.480827
-1.86729,100,310.335105
-1.562434,100,313.142923
-1.167347,100,315.929649
-1.401341,100,318.829816
-0.985255,100,322.1-1.3767-2.103883,100,344.56082
-1.336498,100,353.918194
-2.270517,100,356.951506
-2.086672,100,360.352342
-1.714908,100,364.073378
-1.485058,100,367.580291
-1.239626,100,370.58356
-1.929238,100,373.500921
-1.045438,100,376.451203
-1.708221,100,379.475788
-1.564717,100,382.317675
-1.903873,100,385.209667
-1.784976,100,388.328396
-2.118924,100,391.276862
-1.347068,100,394.382298
-2.070955,100,397.216161
-1.520881,100,399.834438
-1.524207,100,402.468431
-1.554204,100,405.351667
-1.412049,100,408.58-0.902-2.717835,100,428.269915
-1.88669,100,431.583367
-2.258106,100,434.744604
-1.172746,100,437.66568
-1.563291,100,440.562969
-1.804578,100,443.503144
-2.10121,100,446.685041
-1.492398,100,449.996922
-2.087627,100,453.571636
-1.644104,100,456.900295
-1.416565,100,460.0044
-2.460888,100,463.147726
-1.688975,100,473.482812
-1.416469,100,476.589554
-1.451052,100,479.160485
-1.71377,100,481.810578
-1.514481,100,484.457141
-2.324643,100,487.314359
-1.19658,100,490.555561
-1.993216,100,493.648389
-1.837667,100,496.94752-1.-2.167202,100,516.961046
-1.393041,100,519.70615
-2.293668,100,522.38573
-1.121704,100,525.794564
-1.167298,100,529.353862
-1.287071,100,533.200726
-1.183094,100,536.248287
-1.464524,100,539.351015
-2.2278,100,542.25068
-1.589507,100,545.075223
-1.009417,100,548.005778
-2.120897,100,551.01788
-1.583894,100,553.767896
-1.853328,100,556.65927
-2.00006,100,559.853142
-1.667034,100,562.374757
-1.66768,100,564.970416
-1.344115,100,567.772244
-0.989145,100,570.6539
-1.789673,100,574.059078
-2.484352,100,594.329567
-1.814488,100,597.242586
-2.147003,100,600.164349
-1.914666,100,610.134219
-1.827322,100,613.799422
-2.035505,100,617.495438
-1.924624,100,621.2059
-1.761323,100,624.543063
-1.550089,100,627.360482
-2.475502,100,630.620661
-2.009847,100,633.722455
-1.786945,100,636.672304
-1.913213,100,639.472366
-2.075109,100,642.32683
-2.171674,100,644.758194
