#{"t_start": 1592310487.1050165, "env_id": "widowx_reacher-v5"}
r,l,t
-0.565179,100,76.08308
-0.557546,100,81.877369
-0.605862,100,87.173422
-0.721063,100,92.491564
-1.027723,100,97.204142
-0.540245,100,102.334102
-0.422265,100,107.913198
-0.592578,100,113.06312
-0.517233,100,118.659042
-0.577218,100,124.699856
-0.806212,100,163.762282
-0.841615,100,169.031433
-0.926075,100,175.307636
-0.522181,100,180.966671
-0.387614,100,186.542089
-1.718861,100,191.21572
-1.951776,100,195.747868
-1.922188,100,200.289178
-1.069819,100,205.487059
-0.912301,100,212.24527
-0.761378,100,247.259538
-0.445769,100,252.746242
-1.730517,100,257.985674
-1.346904,100,263.219493
-0.66425,100,268.01541
-0.500592,100,273.104721
-1.750361,100,278.251661
-0.531237,100,283.107536
-0.758629,100,288.334318
-0.525469,100,293.906461
-0.515401,100,328.387776
-0.872309,100,344.539351
-0.653189,100,349.279417
-0.664178,100,354.452358
-0.846663,100,359.789275
-1.109707,100,364.272881
-0.488333,100,369.887717
-0.564624,100,375.179314
-0.599745,100,380.741381
-0.552744,100,388.377141
-0.703607,100,419.2859
-0.553334,100,424.049377
-1.514879,100,428.634465
-0.59905,100,433.5282
-0.763604,100,437.858358
-0.508238,100,442.268403
-1.071678,100,446.886474
-1.127869,100,451.968182
-0.532481,100,456.291309
-0.925746,100,461.232363
-0.510598,100,466.660576
-0.983984,100,501.194589
-0.943307,100,505.862646
-1.096382,100,510.564296
-0.527067,100,514.718818
-0.589896,100,519.133952
-0.652237,100,522.867079
-0.613399,100,527.002004
-0.574524,100,531.302957
-0.393865,100,536.325044
-1.27674,100,541.145327
-1.223426,100,573.680325
-0.633088,100,587.732274
-1.032158,100,591.776986
-0.550252,100,596.506318
-0.484224,100,600.371474
-0.503062,100,604.39804
-0.646928,100,608.695925
-0.400014,100,613.239817
-0.848745,100,617.462029
-0.700333,100,622.418988
-0.593511,100,645.944186
-0.690843,100,649.997632
-0.567514,100,654.073081
-0.39723,100,657.894382
-0.487891,100,662.11238
-0.497031,100,665.825777
-0.968613,100,669.611119
-0.727547,100,673.871338
-0.528695,100,677.370694
-0.565818,100,680.613504
-0.61101,100,703.686545
-0.678132,100,708.123826
-0.603753,100,711.973487
-0.551648,100,715.170192
-0.620749,100,718.058879
-0.688979,100,722.119027
-0.834801,100,725.593434
-0.576111,100,728.940759
-0.5216,100,732.362321
-0.583771,100,736.015748
-0.65231,100,739.954864
-0.759053,100,760.683399
-0.811516,100,770.637145
-0.460747,100,773.884032
-0.573127,100,776.925249
-0.570172,100,780.316652
-0.879641,100,783.906792
-0.946804,100,787.280998
-0.484531,100,790.954633
-0.639055,100,794.582705
-0.610907,100,798.319163
-0.807303,100,819.955393
-0.532073,100,823.055168
-0.616579,100,826.029413
-0.858154,100,828.706895
-0.538019,100,831.413235
-0.54649,100,834.50931
-0.518237,100,837.806354
-0.599335,100,841.199032
-1.017208,100,844.92864
-0.522143,100,848.859701
-0.633286,100,868.675237
-0.670775,100,872.708553
-0.750811,100,876.551307
-0.789425,100,880.05213
-0.677845,100,883.326077
-0.624629,100,886.295281
-0.543778,100,888.926499
-0.524942,100,891.836038
-0.770134,100,895.169985
-0.563392,100,898.44962
-0.915404,100,918.521444
-0.694771,100,921.392648
-0.764295,100,924.478024
-0.95175,100,934.396071
-0.639395,100,937.587531
-0.775019,100,940.558421
-0.643709,100,943.75827
-0.842972,100,946.848508
-0.599275,100,950.014215
-0.738724,100,953.08815
-0.817552,100,955.878362
-0.666625,100,974.946866
-0.725361,100,977.374617
-0.645075,100,979.82911
-0.634732,100,982.511514
-0.758688,100,984.99919
-0.617138,100,987.814019
-0.875195,100,991.080116
-0.560816,100,994.401407
-0.556984,100,997.894521
-0.677746,100,1001.591876
-0.945261,100,1017.987572
-1.014471,100,1021.00536
-0.751648,100,1023.914384
-1.204065,100,1026.986758
-0.919179,100,1029.860406
-0.757769,100,1032.824985
-0.809246,100,1035.518115
-0.578426,100,1038.853808
-0.62596,100,1042.06
-0.625156,100,1045.018512
-0.668728,100,1063.219781
-0.512617,100,1066.559713
-0.613411,100,1069.621028
