seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9,timesteps
-2.2905383658988243,-2.2277082733980853,-3.2894168619920716,-2.4357746463375016,-3.3043101553324496,-3.4361404538616918,-2.1043370783059854,-2.814587502435918,-2.6416758731676553,-3.137505762197668,100
-1.2458749100543078,-3.277135801980324,-4.065170534984899,-3.8809601025070948,-3.4155471828454327,-4.584623377573097,-1.55225166988009,-2.930597699221498,-2.6027322343831383,-2.428018945258807,200
-2.3060512489436085,-1.6830998915103688,-3.99697530345331,-2.828426716395698,-2.7323969482613877,-2.7041085684276864,-3.2184230425973666,-3.4999874328498426,-4.231526160194834,-2.1936018867535547,300
-3.7621348412146145,-2.104602124951835,-3.024005402620588,-3.238992360348364,-3.712852050004073,-2.6814832351860494,-2.4851989105517567,-2.4977985775857823,-2.430483750979953,-3.782812449959396,400
-4.824810309638648,-3.7996146601729532,-4.490011585177444,-2.219988758790227,-3.214987009899469,-1.8146360026661235,-2.44776479103445,-3.180433308901456,-3.7123462520961032,-3.318641585845041,500
-3.058904536760568,-2.3212429040532467,-1.7795574406724926,-3.4914936130851344,-2.338541261580747,-1.8962393648687086,-4.845615615116851,-3.1428330956280397,-3.2647625551459734,-2.1477300677575464,600
-1.644233217630387,-2.5337792062572126,-2.4994664107989863,-3.1002238805928064,-3.169459911427808,-2.3613228083992235,-3.2823766397449754,-3.891092529953866,-1.803690969985555,-3.766937674882721,700
-3.054445230484872,-3.6896834837508976,-4.0561912134737055,-1.7406468548479703,-4.050312592329576,-3.0960616873535525,-2.2826226587631253,-3.8612248675568637,-4.816778633450616,-2.7111445249981028,800
-3.450645024439915,-2.745845894500066,-1.951795432326685,-2.2614065496223814,-3.1754265144498013,-3.520733180491356,-1.7433711075969631,-1.9784762719548312,-2.7253459204566184,-2.374531821614652,900
-2.228764275641815,-3.354564370143671,-4.576217249239485,-1.829273929457972,-2.2273517465093358,-3.3618107181719092,-1.9768407307908433,-3.2328193563680094,-3.329082855562814,-3.238862343179344,1000
-2.979254026573782,-2.348555554004209,-3.0027973867790063,-3.149710201007679,-2.290710638880981,-3.109337170950618,-3.749494536061422,-3.0873959654745566,-3.194226351691731,-4.279040963248765,1100
