#{"t_start": 1589903735.8299935, "env_id": "widowx_reach-v3"}
r,l,t
-0.615468,100,2.24723
-0.336328,100,2.736534
-0.447402,100,2.944856
-0.631231,100,3.157072
-0.657957,100,3.366015
-0.455167,100,3.573425
-0.475183,100,3.781888
-0.457705,100,3.990435
-0.537129,100,4.19939
-0.508568,100,4.407145
-0.325877,100,4.616399
-0.518341,100,4.825771
-0.425101,100,5.036193
-0.482889,100,5.247306
-0.798685,100,5.475637
-0.704182,100,5.70289
-0.450967,100,5.932816
-0.379428,100,6.161391
-0.561779,100,6.388733
-0.426845,100,6.617157
-0.765192,100,6.862873
-0.410094,100,7.113535
-0.402515,100,7.366344
-0.614862,100,7.617413
-0.66085,100,7.870792
-0.514405,100,8.122997
-0.331796,100,8.38792
-0.264798,100,8.658828
-0.488801,100,8.874182
-0.999342,100,9.100362
-0.917125,100,9.323977
-0.415781,100,9.534723
-0.480419,100,9.748336
-1.091979,100,9.967646
-1.112147,100,10.197101
-0.36354,100,10.426097
-0.415865,100,10.655131
-1.531335,100,10.886465
-0.654057,100,11.131373
-1.032175,100,11.385777
-0.804921,100,11.637666
-0.959726,100,11.888942
-1.499325,100,12.142013
-0.43754,100,12.376481
-1.004283,100,12.589489
-1.213332,100,12.800895
-0.548581,100,13.011432
-0.500572,100,13.223483
-0.8695,100,13.434553
-1.609323,100,13.652992
-0.626118,100,13.885013
-1.613373,100,14.115248
-0.610048,100,14.344997
-0.89296,100,14.5754
-1.664694,100,14.805716
-0.892603,100,15.034965
-0.569816,100,15.264652
-0.724317,100,15.515276
-0.686007,100,15.768394
-1.083239,100,16.020695
-1.645354,100,16.273225
-0.550374,100,16.52436
-0.474284,100,16.776081
-1.401751,100,17.029759
-2.05829,100,17.285311
-2.029112,100,17.538857
-1.549364,100,17.771288
-1.258361,100,17.994806
-1.297036,100,18.227652
-0.946714,100,18.443293
-1.730889,100,18.661931
-0.554468,100,18.901632
-0.691993,100,19.124922
-1.273918,100,19.335601
-0.738991,100,19.546685
-0.622438,100,19.758989
-0.758835,100,19.971256
-1.136771,100,20.185261
-0.654857,100,20.412189
-0.606471,100,20.640724
-0.726701,100,20.872632
-0.717169,100,21.102152
-0.67894,100,21.332319
-0.625609,100,21.56192
-0.681572,100,21.795143
-0.522934,100,22.026165
-0.525303,100,22.257359
-1.409266,100,22.485829
-1.773657,100,22.715566
-1.616091,100,22.946229
-2.807425,100,23.178655
-2.129537,100,23.412048
-0.746004,100,23.641136
-1.785299,100,23.872857
-2.518322,100,24.095959
-0.958648,100,24.309098
-0.963756,100,24.520465
-0.610321,100,24.731983
-0.771222,100,24.945165
-0.579764,100,25.156867
