#{"t_start": 1589903843.2573595, "env_id": "widowx_reach-v3"}
r,l,t
-1.86998,100,2.170956
-1.627258,100,2.190091
-1.50824,100,2.208984
-1.519268,100,2.229411
-1.465634,100,2.248573
-1.66234,100,2.267264
-1.184655,100,2.285898
-1.721074,100,2.304885
-1.408693,100,2.323936
-1.121531,100,2.342773
-1.444231,100,2.361672
-1.415589,100,2.38174
-1.466424,100,2.401089
-1.491673,100,2.41975
-1.37069,100,2.438379
-1.452507,100,2.457222
-1.294652,100,2.476803
-1.423156,100,2.495975
-1.59052,100,2.51468
-1.430745,100,2.533524
-1.665398,100,2.552433
-1.454802,100,2.571508
-1.519901,100,2.590495
-1.345501,100,2.609341
-1.577651,100,2.628114
-1.753127,100,2.647333
-1.457921,100,2.66615
-1.464769,100,2.685014
-1.40159,100,2.704039
-1.620962,100,2.722802
-1.370963,100,2.742937
-1.311037,100,2.762304
-1.460865,100,2.78124
-1.596983,100,2.800161
-1.769228,100,2.818816
-1.566913,100,2.837676
-1.211774,100,2.85656
-1.468871,100,2.875381
-1.661023,100,2.894811
-1.543131,100,2.913814
-1.51868,100,2.932596
-1.652504,100,2.951537
-1.457902,100,2.971059
-1.415353,100,2.990641
-1.54597,100,3.009479
-1.372307,100,3.029539
-1.574405,100,3.04855
-1.142242,100,3.067706
-1.528154,100,3.086451
-1.340358,100,3.105577
-1.89599,100,3.124683
-1.485008,100,3.143775
-1.535572,100,3.163222
-1.611286,100,3.182654
-1.245048,100,3.201988
-1.302366,100,3.221084
-1.827258,100,3.24007
-1.883801,100,3.258988
-1.719546,100,3.277839
-1.73145,100,3.297449
-1.765681,100,3.316461
-1.729457,100,3.335256
-1.740677,100,3.354202
-1.291152,100,3.373168
-1.778934,100,3.392374
-1.592492,100,3.411628
-1.816881,100,3.431062
-1.573798,100,3.450221
-1.810369,100,3.469837
-1.483852,100,3.489359
-1.535315,100,3.508445
-1.559364,100,3.52749
-1.59089,100,3.547111
-1.607642,100,3.566395
-1.599225,100,3.585327
-1.795296,100,3.604848
-1.879905,100,3.623858
-1.276555,100,3.643028
-1.624543,100,3.662126
-1.503754,100,3.681443
-1.66712,100,3.700793
-1.404243,100,3.719837
-1.369206,100,3.738923
-1.640839,100,3.758247
-2.076944,100,3.778283
-1.335314,100,3.798173
-1.550751,100,3.81812
-1.750899,100,3.838561
-1.59296,100,3.858662
-1.550127,100,3.878678
-1.786499,100,3.899133
-1.28186,100,3.918994
-1.416965,100,3.938902
-1.355365,100,3.95894
-1.395798,100,3.978694
-1.475126,100,3.99864
-1.481138,100,4.018244
-1.399831,100,4.037848
-1.346788,100,4.057408
-1.710099,100,4.077804
