#{"t_start": 1589903849.898402, "env_id": "widowx_reach-v3"}
r,l,t
-2.18814,100,1.244051
-2.294171,100,1.287122
-1.420694,100,1.329247
-2.053003,100,1.371031
-1.469704,100,1.411587
-1.847588,100,1.453036
-1.360472,100,1.494776
-1.823554,100,1.534714
-2.059356,100,1.574722
-2.737344,100,1.614938
-2.114269,100,2.101914
-0.933969,100,2.141905
-2.389204,100,2.181895
-2.041183,100,2.221817
-1.582793,100,2.261915
-1.430035,100,2.301674
-1.176781,100,2.344522
-1.653112,100,2.387601
-1.615783,100,2.429967
-1.267352,100,2.472593
-1.835876,100,2.621994
-1.875214,100,2.664801
-1.717041,100,2.706321
-1.955518,100,2.750323
-1.263556,100,2.792759
-1.530945,100,2.833668
-1.350097,100,2.874277
-1.104961,100,2.914299
-1.658872,100,2.9555
-1.589072,100,2.998516
-2.100001,100,3.131199
-1.45546,100,3.174419
-1.361737,100,3.217713
-2.209961,100,3.261973
-1.974811,100,3.311107
-1.774989,100,3.360011
-1.64101,100,3.403438
-2.22931,100,3.444644
-1.298898,100,3.486708
-1.178657,100,3.528748
-1.310788,100,3.669306
-1.308285,100,3.711273
-1.652318,100,3.755012
-1.817154,100,3.79903
-1.802395,100,3.84372
-1.286834,100,3.886382
-1.569716,100,3.928773
-1.113183,100,3.969397
-1.658045,100,4.014695
-1.776763,100,4.060323
-2.799774,100,4.110487
-1.254907,100,4.256903
-1.51323,100,4.304958
-1.982341,100,4.353366
-1.703636,100,4.400628
-2.478863,100,4.444811
-1.046292,100,4.488673
-1.419647,100,4.531834
-1.324588,100,4.57663
-0.815855,100,4.626788
-1.943417,100,4.676271
-1.92665,100,4.812908
-1.22786,100,4.85745
-1.184326,100,4.902886
-1.392143,100,4.947879
-1.284434,100,4.992672
-1.796669,100,5.03757
-1.79545,100,5.078258
-1.637256,100,5.116078
-1.702845,100,5.154006
-1.751018,100,5.196823
-2.463463,100,5.324529
-1.342455,100,5.364937
-2.593776,100,5.404762
-2.180367,100,5.447191
-1.215904,100,5.489463
-1.387869,100,5.53265
-1.40808,100,5.575197
-2.0733,100,5.617737
-1.644758,100,5.660503
-1.404895,100,5.703229
-1.124345,100,5.829709
-1.264451,100,5.869634
-1.05621,100,5.908947
-1.895754,100,5.948379
-1.702162,100,5.989654
-1.53471,100,6.031362
-0.869934,100,6.074696
-1.189176,100,6.117497
-1.343384,100,6.160084
-1.48689,100,6.202908
-1.236201,100,6.245304
-1.645228,100,6.372786
-1.353027,100,6.412247
-1.269497,100,6.451671
-1.454677,100,6.48854
-0.863094,100,6.53475
-1.97789,100,6.58296
-1.638905,100,6.629282
-2.0544,100,6.679908
-1.331239,100,7.017394
-1.675048,100,7.061369
