#{"t_start": 1593163794.6331522, "env_id": "widowx_reacher-v5"}
r,l,t
-3.16896,100,1.050428
-1.919698,100,1.330404
-1.071759,100,1.486093
-0.933987,100,1.642091
-0.464282,100,1.799673
-0.452163,100,1.957033
-0.271499,100,2.113496
-0.405376,100,2.271448
-0.47601,100,2.427204
-0.39584,100,2.584958
-0.244157,100,2.743898
-0.587779,100,2.910113
-0.19614,100,3.068295
-0.440763,100,3.230502
-0.314276,100,3.386875
-0.279859,100,3.550134
-0.381868,100,3.716424
-0.383511,100,3.874007
-0.297303,100,4.025549
-0.408163,100,4.179388
-0.457256,100,4.337376
-0.359239,100,4.49838
-0.291987,100,4.661091
-0.238771,100,4.820163
-0.181428,100,4.976994
-0.18698,100,5.131833
-0.206329,100,5.289009
-0.198212,100,5.446522
-0.220067,100,5.612421
-0.209294,100,5.773837
-0.189285,100,5.93257
-0.248629,100,6.094257
-0.187171,100,6.255909
-0.204808,100,6.414517
-0.186952,100,6.573115
-0.192403,100,6.733595
-0.205112,100,6.898595
-0.22735,100,7.057312
-0.20116,100,7.212478
-0.20897,100,7.369893
-0.227132,100,7.529094
-0.226345,100,7.689566
-0.227023,100,7.854448
-0.259874,100,8.018281
-0.224312,100,8.178004
-0.253588,100,8.338686
-0.223741,100,8.496202
-0.231728,100,8.653842
-0.214632,100,8.810488
-0.1854,100,8.965215
-0.188134,100,9.11927
-0.217909,100,9.275434
-0.190147,100,9.42975
-0.200847,100,9.587595
-0.191239,100,9.747776
-0.181078,100,9.907786
-0.231319,100,10.062719
-0.194078,100,10.218335
-0.210368,100,10.376046
-0.203698,100,10.53166
-0.211012,100,10.689889
-0.233608,100,10.848594
-0.222449,100,11.003582
-0.273644,100,11.161778
-0.263449,100,11.320765
-0.285692,100,11.477216
-0.392446,100,11.643612
-0.369876,100,11.805881
-0.288368,100,11.968592
-0.272846,100,12.132173
-0.191605,100,12.301074
-0.16131,100,12.463756
-0.236537,100,12.622995
-0.202576,100,12.781343
-0.26394,100,12.942086
-0.211163,100,13.104875
-0.310599,100,13.267535
-0.247761,100,13.4342
-0.313214,100,13.595519
-0.258446,100,13.753994
-0.237159,100,13.910288
-0.229094,100,14.067092
-0.273236,100,14.219355
-0.25096,100,14.380892
-0.264437,100,14.541284
-0.208428,100,14.70091
-0.243491,100,14.858055
-0.256039,100,15.01314
-0.21367,100,15.170839
-0.257488,100,15.319804
-0.235868,100,15.476642
-0.324154,100,15.639551
-0.248065,100,15.800115
-0.298613,100,15.959218
-0.270228,100,16.118196
-0.242712,100,16.276293
-0.223654,100,16.438391
-0.271489,100,16.606134
-0.210799,100,16.765284
-0.213824,100,16.926698
