#{"t_start": 1593163992.3056445, "env_id": "widowx_reacher-v6"}
r,l,t
-2.753009,100,1.330061
-2.884161,100,1.931507
-2.513017,100,2.294174
-3.436528,100,2.655975
-1.907065,100,3.018697
-2.068047,100,3.379653
-4.838884,100,3.743403
-2.567263,100,4.105925
-3.794261,100,4.472383
-2.678449,100,4.833332
-3.398834,100,5.195897
-3.107879,100,5.560557
-1.906628,100,5.923872
-3.233982,100,6.2854
-1.556088,100,6.652283
-2.294996,100,7.027481
-4.525251,100,7.397516
-4.281344,100,7.765302
-4.500115,100,8.138007
-3.010715,100,8.507768
-2.404613,100,8.881769
-3.648061,100,9.245837
-2.882733,100,9.610015
-3.11733,100,9.972692
-3.496356,100,10.346694
-4.358677,100,10.708265
-1.941048,100,11.07549
-2.86129,100,11.460129
-2.992476,100,11.841362
-1.970565,100,12.217522
-3.601319,100,12.625046
-3.852282,100,13.01732
-1.82797,100,13.417835
-4.521527,100,13.813525
-3.501527,100,14.197305
-2.936236,100,14.586229
-1.303612,100,14.960673
-2.146999,100,15.336783
-3.455454,100,15.715812
-4.254545,100,16.166801
-3.649333,100,16.610614
-2.735921,100,16.989926
-2.637611,100,17.392471
-2.872458,100,17.789448
-2.555789,100,18.186847
-1.083454,100,18.599729
-3.732165,100,18.993406
-3.194939,100,19.382267
-4.098602,100,19.773378
-1.85748,100,20.163757
-2.643942,100,20.554249
-3.645814,100,20.943608
-2.704741,100,21.329004
-3.151002,100,21.71788
-4.157668,100,22.108468
-2.056869,100,22.50882
-2.750314,100,22.921437
-1.753189,100,23.320634
-3.756498,100,23.717188
-2.287484,100,24.112939
-1.499716,100,24.518553
-1.995583,100,24.915864
-3.35324,100,25.314189
-2.797206,100,25.723587
-2.919938,100,26.136459
-2.120193,100,26.550689
-1.978365,100,26.961813
-2.49538,100,27.373672
-1.75247,100,27.787992
-4.094585,100,28.202407
-5.503773,100,28.613085
-3.992869,100,29.027517
-2.693666,100,29.437335
-3.404776,100,29.850273
-4.621638,100,30.266913
-2.751155,100,30.678496
-2.317443,100,31.09074
-4.351119,100,31.504824
-3.903741,100,31.923492
-3.857926,100,32.337613
-1.915694,100,32.754487
-2.444608,100,33.166495
-1.502937,100,33.577377
-3.045753,100,33.989749
-3.718909,100,34.406856
-2.844304,100,34.848237
-3.800106,100,35.272388
-2.123931,100,35.662504
-3.712116,100,36.05114
-2.869473,100,36.463365
-3.366119,100,36.874407
-2.823288,100,37.279229
-2.187629,100,37.722747
-2.626894,100,38.112497
-2.532204,100,38.502136
-2.505732,100,38.901218
-3.85195,100,39.29598
-3.534597,100,39.694664
-2.827207,100,40.092819
-2.24848,100,40.491158
