#{"t_start": 1593163944.634093, "env_id": "widowx_reacher-v5"}
r,l,t
-4.268736,100,1.779002
-2.06323,100,2.035035
-1.880206,100,2.289334
-2.041439,100,2.542609
-1.103368,100,2.797992
-0.420158,100,3.052559
-0.309581,100,3.308373
-1.985137,100,3.562943
-1.410385,100,3.819915
-2.06111,100,4.080177
-1.833611,100,4.340013
-2.438846,100,4.603052
-2.30876,100,4.862044
-2.42333,100,5.11932
-1.618145,100,5.382603
-1.574627,100,5.653817
-1.530132,100,5.921769
-1.638854,100,6.191019
-0.490065,100,6.473111
-1.594335,100,6.735903
-0.301013,100,6.992035
-0.222716,100,7.248023
-0.379354,100,7.502508
-0.377631,100,7.767075
-0.223855,100,8.041408
-0.249437,100,8.324714
-1.802893,100,8.587501
-0.27066,100,8.863384
-0.262615,100,9.142878
-0.333598,100,9.42474
-0.333741,100,9.699248
-0.353369,100,9.975773
-0.229619,100,10.243886
-2.310675,100,10.516942
-0.164212,100,10.793742
-0.208005,100,11.069891
-0.235604,100,11.339353
-0.19722,100,11.626048
-0.233453,100,11.883223
-0.251948,100,12.149788
-0.202105,100,12.415836
-0.190807,100,12.694653
-0.261836,100,12.976753
-0.28015,100,13.252679
-0.25955,100,13.528023
-0.188557,100,13.794279
-0.314056,100,14.063349
-0.380013,100,14.330532
-0.162019,100,14.605834
-1.527448,100,14.893022
-0.208641,100,15.165601
-0.212794,100,15.475141
-0.182901,100,15.807065
-0.147563,100,16.15108
-0.384419,100,16.439764
-0.204667,100,16.698994
-1.226368,100,16.972587
-0.29082,100,17.232854
-0.220604,100,17.491975
-0.204009,100,17.761821
-0.171323,100,18.046474
-0.265629,100,18.361989
-0.196296,100,18.645146
-0.324493,100,18.924852
-0.185575,100,19.2124
-0.306385,100,19.492604
-0.205547,100,19.780043
-0.218543,100,20.067891
-0.181227,100,20.348222
-0.271511,100,20.641452
-0.171702,100,20.936978
-0.174097,100,21.206237
-0.191024,100,21.469168
-0.217097,100,21.731695
-0.217465,100,22.000665
-0.218382,100,22.269347
-0.21527,100,22.530993
-0.401881,100,22.825779
-0.390723,100,23.092633
-0.246371,100,23.355661
-0.215875,100,23.616664
-0.257603,100,23.877796
-0.331823,100,24.137791
-0.414094,100,24.398886
-0.231758,100,24.658787
-0.387582,100,24.960216
-0.292566,100,25.23062
-0.380732,100,25.493052
-0.517818,100,25.749018
-0.208094,100,26.032596
-0.783915,100,26.299339
-0.855307,100,26.558082
-0.259157,100,26.813144
-0.204358,100,27.100497
-0.976305,100,27.42715
-0.685783,100,27.688559
-0.953239,100,27.957841
-1.09328,100,28.232597
-0.255595,100,28.489824
-0.515175,100,28.744961
