#{"t_start": 1593163976.0389814, "env_id": "widowx_reacher-v5"}
r,l,t
-3.310854,100,1.115664
-2.573626,100,1.134902
-2.465239,100,1.154182
-3.744551,100,1.173357
-3.204657,100,1.192847
-2.602763,100,1.211427
-2.460936,100,1.230553
-2.573203,100,1.249461
-3.452045,100,1.268385
-3.679902,100,1.28681
-3.235349,100,1.306333
-3.586439,100,1.325248
-3.912936,100,1.344102
-2.794499,100,1.363177
-4.304125,100,1.382206
-3.126055,100,1.401237
-4.812088,100,1.419966
-3.434769,100,1.438431
-3.454116,100,1.456927
-2.172218,100,1.475739
-2.787421,100,1.494237
-2.607163,100,1.512668
-4.020387,100,1.531046
-3.254052,100,1.549715
-3.058091,100,1.568348
-3.916651,100,1.586843
-2.662491,100,1.605315
-3.544658,100,1.623925
-3.369963,100,1.642381
-2.626772,100,1.66106
-2.660944,100,1.680173
-1.899114,100,1.698691
-1.836602,100,1.717219
-2.309742,100,1.736037
-3.771096,100,1.754856
-5.790984,100,1.773727
-4.160758,100,1.792211
-3.220076,100,1.810887
-3.478407,100,1.829319
-2.573798,100,1.847885
-1.943037,100,1.866615
-3.631026,100,1.88534
-2.110951,100,1.903789
-4.479923,100,1.922343
-2.475606,100,1.940906
-1.956139,100,1.959551
-3.677918,100,1.978311
-3.385839,100,1.996914
-2.903255,100,2.015361
-2.515044,100,2.033851
-2.094436,100,2.052563
-3.588857,100,2.07152
-1.91082,100,2.089948
-3.118756,100,2.108626
-3.762699,100,2.127141
-2.14549,100,2.145681
-2.521278,100,2.164421
-1.669621,100,2.18389
-4.227963,100,2.202353
-3.189885,100,2.221231
-5.313556,100,2.239887
-3.08599,100,2.258657
-4.479555,100,2.277724
-3.18499,100,2.296535
-3.591455,100,2.315135
-1.997773,100,2.333804
-2.061378,100,2.352399
-2.439646,100,2.371479
-2.834016,100,2.390136
-3.620132,100,2.410047
-3.501422,100,2.428859
-1.766626,100,2.447933
-3.73075,100,2.466864
-4.080502,100,2.486124
-3.4538,100,2.504903
-2.967764,100,2.523725
-3.293691,100,2.542438
-2.837658,100,2.561271
-4.066921,100,2.580451
-3.078859,100,2.599324
-1.723535,100,2.618043
-1.792192,100,2.636918
-3.193452,100,2.655747
-3.971578,100,2.674881
-2.437239,100,2.693799
-3.520423,100,2.712563
-1.05158,100,2.731669
-2.310173,100,2.750666
-2.65818,100,2.769934
-4.80454,100,2.788722
-4.28508,100,2.807537
-3.080955,100,2.826495
-4.126615,100,2.845415
-2.743163,100,2.864299
-2.154538,100,2.883349
-1.795126,100,2.902268
-3.533152,100,2.921066
-3.331835,100,2.939864
-2.731586,100,2.958794
-5.387908,100,2.978215
