#{"t_start": 1593163981.8646233, "env_id": "widowx_reacher-v5"}
r,l,t
-2.298742,100,1.318543
-1.537776,100,1.358798
-3.280319,100,1.798767
-3.100465,100,1.837083
-3.941546,100,1.875627
-2.662597,100,1.966291
-5.135438,100,2.00493
-2.282879,100,2.099321
-1.054492,100,2.137615
-2.004808,100,2.175965
-2.990259,100,2.270005
-2.370947,100,2.309599
-1.487161,100,2.407925
-2.066648,100,2.449095
-1.150018,100,2.488964
-0.751977,100,2.584445
-0.90555,100,2.628454
-2.966969,100,2.723737
-0.837693,100,2.763554
-1.090852,100,2.803282
-1.473049,100,2.893626
-3.257029,100,2.933351
-3.199356,100,2.973995
-1.900156,100,3.070024
-1.03832,100,3.10991
-1.928764,100,3.202039
-0.772147,100,3.241595
-1.915709,100,3.281137
-0.827577,100,3.372777
-1.61386,100,3.411864
-0.849895,100,3.503463
-1.561848,100,3.543358
-2.119548,100,3.583126
-0.997985,100,3.677837
-1.536174,100,3.716733
-0.611788,100,3.808045
-0.724563,100,3.847369
-0.562671,100,3.886718
-1.373778,100,3.980075
-0.401358,100,4.019918
-0.562667,100,4.115255
-0.65063,100,4.154631
-0.664708,100,4.193527
-1.424026,100,4.286449
-0.79068,100,4.325573
-0.644791,100,4.365527
-0.609628,100,4.46109
-0.631594,100,4.500641
-1.039464,100,4.596489
-0.641457,100,4.63725
-0.425133,100,4.677302
-0.562183,100,4.772313
-0.704334,100,4.811828
-0.532636,100,4.906216
-0.463709,100,4.947742
-0.911266,100,4.991422
-1.364291,100,5.08376
-0.28658,100,5.124177
-0.887898,100,5.220019
-0.288981,100,5.259967
-0.84353,100,5.301523
-0.78638,100,5.395415
-0.832893,100,5.435934
-0.582207,100,5.476476
-0.52475,100,5.567762
-0.78541,100,5.607445
-0.503989,100,5.696687
-0.376741,100,5.736227
-0.704649,100,5.775719
-0.863316,100,5.865177
-0.494916,100,5.904758
-0.490732,100,5.99512
-0.31514,100,6.034963
-0.46919,100,6.074986
-0.511222,100,6.16411
-0.938382,100,6.203805
-0.387813,100,6.292962
-0.507441,100,6.332827
-0.421157,100,6.374891
-0.496917,100,6.467418
-0.380498,100,6.506901
-0.476201,100,6.60082
-0.56071,100,6.643319
-0.443436,100,6.684676
-0.47337,100,6.779452
-0.460477,100,6.821089
-0.451933,100,6.862942
-1.001875,100,6.954664
-0.498126,100,6.997557
-0.356756,100,7.091132
-0.410533,100,7.129756
-0.413868,100,7.168864
-0.433709,100,7.258986
-0.412304,100,7.29788
-0.38052,100,7.389762
-0.361659,100,7.429719
-0.27015,100,7.469994
-0.918957,100,7.561685
-0.493446,100,7.601119
-0.836604,100,7.691154
-0.350558,100,8.002223
-0.317815,100,8.044154
