#{"t_start": 1592422916.989519, "env_id": "widowx_reacher-v5"}
r,l,t
-0.85693,100,2.313004
-0.684309,100,2.390989
-0.510768,100,2.469305
-0.476517,100,2.548047
-1.573911,100,2.627594
-0.428412,100,2.705174
-0.761368,100,2.780437
-0.701039,100,2.856916
-0.484807,100,2.933942
-1.101588,100,3.010552
-1.52323,100,3.893127
-0.433838,100,3.952986
-0.458988,100,4.012801
-0.641561,100,4.072925
-0.380341,100,4.132735
-0.571865,100,4.192594
-0.4228,100,4.252443
-0.493269,100,4.313133
-1.328374,100,4.373471
-0.584027,100,4.43334
-0.607359,100,4.624868
-0.435208,100,4.684577
-0.76725,100,4.744716
-1.029193,100,4.804551
-1.028096,100,4.864382
-0.394246,100,4.924778
-0.480525,100,4.984748
-0.423211,100,5.044552
-0.339192,100,5.104806
-0.447825,100,5.164522
-1.03703,100,5.353332
-0.612661,100,5.413283
-0.559428,100,5.473226
-0.997456,100,5.53295
-0.655653,100,5.592671
-0.740571,100,5.65272
-0.313445,100,5.712425
-0.388341,100,5.773042
-0.405071,100,5.832785
-0.616531,100,5.892926
-0.665648,100,6.080263
-0.487929,100,6.139977
-0.531638,100,6.199851
-0.405516,100,6.259709
-0.554061,100,6.319308
-0.248021,100,6.379262
-0.78514,100,6.439199
-0.959467,100,6.498824
-0.356122,100,6.5585
-1.604062,100,6.618396
-0.432166,100,6.678301
-1.424326,100,6.866898
-0.877202,100,6.926713
-0.467139,100,6.986767
-0.587475,100,7.04745
-0.523948,100,7.107291
-0.331867,100,7.167173
-0.704304,100,7.227289
-1.413574,100,7.287241
-0.329871,100,7.347229
-0.488223,100,7.406889
-0.747503,100,7.595129
-0.624019,100,7.655316
-0.294776,100,7.715238
-0.589553,100,7.775266
-0.675835,100,7.835139
-0.385174,100,7.895294
-0.496206,100,7.95549
-0.617567,100,8.01547
-0.457822,100,8.076057
-0.698359,100,8.135981
-1.092449,100,8.326842
-0.86127,100,8.386494
-0.455605,100,8.446917
-0.405685,100,8.506729
-0.532072,100,8.566463
-0.271135,100,8.626303
-0.352063,100,8.685985
-0.785187,100,8.74603
-0.359523,100,8.806335
-0.677429,100,8.866035
-0.637151,100,9.055614
-0.481469,100,9.115369
-0.21832,100,9.175137
-0.476858,100,9.235213
-0.355986,100,9.295017
-0.401422,100,9.361437
-0.423094,100,9.43831
-0.38817,100,9.513324
-0.52691,100,9.589839
-1.372922,100,9.665114
-0.652289,100,9.741852
-0.371317,100,9.965639
-0.614209,100,10.04237
-0.353378,100,10.118549
-0.400019,100,10.195292
-0.969961,100,10.272344
-0.340166,100,10.347379
-0.452786,100,10.424866
-0.635835,100,10.501322
-0.551416,100,11.059382
-0.479396,100,11.136555
