#{"t_start": 1593165764.554854, "env_id": "widowx_reacher-v6"}
r,l,t
-2.900874,100,4.451154
-3.225625,100,5.275932
-4.68465,100,5.78407
-4.722379,100,6.319947
-2.72077,100,6.839012
-2.177176,100,7.353462
-1.73213,100,7.876951
-3.710856,100,8.394462
-2.199551,100,8.912378
-3.418861,100,9.429598
-2.821082,100,9.946548
-2.338645,100,10.463718
-1.448465,100,10.986754
-2.325032,100,11.499749
-5.270692,100,12.034357
-3.355265,100,12.554025
-2.537626,100,13.065004
-1.724142,100,13.581627
-3.333981,100,14.095263
-3.22299,100,14.608608
-2.183116,100,15.116498
-1.914188,100,15.640345
-3.924135,100,16.170315
-2.056147,100,16.69838
-2.924946,100,17.219623
-3.401465,100,17.747049
-1.771224,100,18.266571
-3.307846,100,18.779737
-3.347534,100,19.29222
-1.535541,100,19.830612
-3.341481,100,20.372169
-2.86807,100,20.902919
-3.11541,100,21.426801
-3.162818,100,21.947401
-2.854651,100,22.472345
-3.862271,100,22.998332
-3.581199,100,23.523778
-3.854965,100,24.06528
-3.331551,100,24.597369
-2.824435,100,25.12325
-1.221037,100,25.64035
-2.708296,100,26.171137
-2.341527,100,26.700034
-3.006175,100,27.223154
-3.434987,100,27.764719
-2.308232,100,28.293
-2.91981,100,28.812964
-3.313058,100,29.337384
-2.93563,100,29.87068
-2.563452,100,30.407541
-2.359879,100,30.95256
-2.819315,100,31.481576
-1.95,100,32.000362
-2.457858,100,32.528854
-3.821178,100,33.035477
-2.971734,100,33.555017
-2.090612,100,34.079468
-2.159273,100,34.604635
-2.257107,100,35.145277
-2.776313,100,35.682313
-2.876778,100,36.224322
-2.926318,100,36.738821
-1.946923,100,37.254703
-2.270842,100,37.777251
-3.631783,100,38.297189
-3.49,100,38.82428
-3.245572,100,39.350502
-3.661085,100,39.879992
-2.86686,100,40.420514
-4.724426,100,40.947059
-2.709301,100,41.471477
-2.53156,100,41.999561
-2.229531,100,42.525332
-1.643759,100,43.039553
-2.788624,100,43.554797
-2.522389,100,44.080903
-3.555579,100,44.604509
-2.503424,100,45.118504
-2.90806,100,45.637551
-3.51534,100,46.151585
-1.797399,100,46.663807
-2.374575,100,47.191221
-1.9426,100,47.731647
-2.160053,100,48.275921
-1.775446,100,48.817511
-1.704604,100,49.343537
-2.364937,100,49.870999
-3.644997,100,50.408782
-4.878636,100,50.934067
-2.7495,100,51.462803
-2.544254,100,52.010037
-2.53034,100,52.541243
-1.624773,100,53.05788
-2.946979,100,53.571234
-3.49421,100,54.086895
-2.172868,100,54.605936
-2.319994,100,55.129328
-3.915471,100,55.64922
-2.577871,100,56.188016
-2.152172,100,56.714134
