#{"t_start": 1592510342.1099446, "env_id": "widowx_reacher-v8"}
r,l,t
-1.173521,100,1.83027
-1.442316,100,1.888991
-2.647786,100,1.947659
-0.96357,100,2.008149
-1.334374,100,2.066778
-0.346084,100,2.12572
-1.833437,100,2.186308
-2.047824,100,2.245328
-1.559846,100,2.304322
-1.254596,100,2.363156
-3.177471,100,3.222929
-0.941364,100,3.605127
-0.787869,100,3.981836
-0.969519,100,4.355381
-1.037374,100,4.73128
-0.642052,100,5.105686
-4.636795,100,5.476917
-5.698759,100,5.853508
-1.725458,100,6.234978
-2.719842,100,6.610327
-0.392101,100,6.985909
-4.562647,100,7.361407
-2.072957,100,7.738169
-4.496382,100,8.108605
-3.797779,100,8.47554
-3.505829,100,8.839709
-2.067092,100,9.21678
-0.549675,100,9.582218
-1.099169,100,9.948606
-1.427737,100,10.31671
-1.647048,100,10.687564
-1.225094,100,11.055427
-0.386936,100,11.421911
-1.409992,100,11.786508
-0.732291,100,12.15542
-0.574246,100,12.526398
-1.947414,100,12.89307
-2.444278,100,13.259574
-1.843665,100,13.628088
-1.147169,100,13.998494
-1.3165,100,14.365754
-3.088705,100,14.740846
-1.122075,100,15.112233
-2.373656,100,15.48542
-1.399443,100,15.866164
-2.175919,100,16.239697
-1.151267,100,16.609093
-1.607901,100,16.984534
-3.767733,100,17.354645
-2.17161,100,17.72579
-4.238244,100,18.111675
-4.702628,100,18.487689
-1.214953,100,18.867227
-0.829432,100,19.248553
-2.208889,100,19.620427
-1.245841,100,19.992383
-0.338145,100,20.366785
-2.196281,100,20.738866
-1.579549,100,21.108604
-4.354644,100,21.480867
-3.107604,100,21.856067
-6.372478,100,22.226913
-2.719934,100,22.594584
-1.116463,100,22.969397
-4.362833,100,23.341557
-0.637225,100,23.711994
-1.442799,100,24.083166
-2.803776,100,24.460101
-1.470036,100,24.834234
-1.023619,100,25.213833
-2.432035,100,25.592359
-2.702615,100,25.968288
-1.510718,100,26.351156
-1.378191,100,26.732132
-2.004232,100,27.120227
-1.038348,100,27.494512
-2.25487,100,27.86956
-1.671866,100,28.242054
-0.128515,100,28.622477
-2.37912,100,28.998004
-1.472729,100,29.378554
-1.043492,100,29.755517
-0.916226,100,30.14164
-4.612774,100,30.522873
-0.53526,100,30.908043
-3.370856,100,31.286464
-1.789833,100,31.666878
-0.690486,100,32.045246
-6.46787,100,32.432434
-2.0089,100,32.810275
-2.524656,100,33.188161
-4.540166,100,33.565812
-0.555649,100,33.944322
-0.712787,100,34.322667
-1.976054,100,34.715725
-2.227461,100,35.095363
-3.613038,100,35.475221
-2.094722,100,35.86636
-0.752497,100,36.244279
-0.40975,100,36.624823
