#{"t_start": 1593474062.3634467, "env_id": "widowx_reacher-v6"}
r,l,t
-2.17173,100,3.639812
-3.899004,100,3.678739
-3.571241,100,3.720123
-3.026385,100,3.759486
-2.407199,100,3.798139
-1.633214,100,3.837081
-3.791648,100,3.87597
-2.997563,100,3.914987
-3.327378,100,3.953747
-2.170747,100,3.992683
-4.616734,100,4.949028
-2.248903,100,5.348565
-3.92647,100,5.750204
-3.93973,100,6.157586
-3.968711,100,6.562193
-3.498687,100,6.965857
-2.457538,100,7.361386
-3.095507,100,7.760798
-2.916677,100,8.156398
-2.847045,100,8.545995
-2.639706,100,8.951535
-1.353383,100,9.361045
-1.745728,100,9.767418
-1.909681,100,10.17694
-2.306083,100,10.591044
-1.735519,100,10.993711
-1.665271,100,11.389044
-1.434797,100,11.783866
-0.863244,100,12.178355
-1.165434,100,12.577139
-1.63886,100,12.977169
-1.050572,100,13.376621
-1.749581,100,13.789806
-1.325557,100,14.193358
-2.48102,100,14.601775
-1.462727,100,14.998791
-1.785557,100,15.393702
-0.996198,100,15.768
-1.187469,100,16.154015
-1.696222,100,16.554589
-1.320777,100,16.944144
-1.877856,100,17.331249
-1.241339,100,17.729595
-1.392396,100,18.12669
-1.930023,100,18.526374
-1.0806,100,18.931769
-1.616391,100,19.333156
-0.861112,100,19.727468
-1.564012,100,20.122656
-1.347676,100,20.519016
-1.909072,100,20.927304
-2.336088,100,21.343711
-2.282827,100,21.754539
-1.784334,100,22.168718
-1.513993,100,22.578054
-1.660433,100,22.969565
-1.868305,100,23.367196
-1.782246,100,23.758918
-1.567626,100,24.160501
-1.928044,100,24.54853
-1.060167,100,24.945581
-2.055671,100,25.345875
-1.770552,100,25.739045
-1.112334,100,26.136528
-1.54616,100,26.537996
-1.491657,100,26.924123
-1.373301,100,27.311882
-3.120994,100,27.707151
-1.492056,100,28.1015
-1.650523,100,28.488195
-2.079601,100,28.881004
-1.535925,100,29.278683
-1.938455,100,29.681611
-1.997624,100,30.08639
-1.524432,100,30.497571
-2.151902,100,30.90051
-1.901811,100,31.293872
-1.500181,100,31.675229
-1.052223,100,32.06547
-1.513721,100,32.467721
-2.29799,100,32.876376
-2.041914,100,33.288786
-1.454715,100,33.695832
-1.964818,100,34.101114
-1.89787,100,34.506443
-1.879027,100,34.906552
-1.559232,100,35.30483
-1.652454,100,35.704331
-1.966604,100,36.099311
-2.068399,100,36.490611
-1.796596,100,36.895277
-1.817707,100,37.291819
-1.402047,100,37.700706
-0.83165,100,38.095693
-2.352811,100,38.496126
-1.857507,100,38.902873
-1.986971,100,39.286214
-1.437442,100,39.668405
-2.175481,100,40.052205
-1.883766,100,40.443133
-1.910371,100,41.19077
-1.643514,100,41.584674
-1.735576,100,41.988354
-1.573193,100,42.390337
-1.55132,100,42.772326
-1.423111,100,43.144497
-1.580166,100,43.530008
-1.627523,100,43.908526
-2.214295,100,44.293532
-1.860212,100,44.678918
-1.538492,100,45.057902
-1.474223,100,45.447687
-1.323664,100,45.844789
-1.519367,100,46.22875
-2.095686,100,46.625903
-1.817217,100,47.003048
-1.65763,100,47.382235
-1.495262,100,47.762735
-2.322612,100,48.167097
-1.659746,100,48.567919
-1.587426,100,48.967296
-1.831414,100,49.376361
-1.54944,100,49.77341
-0.984683,100,50.173792
-1.476887,100,50.576963
-1.025208,100,50.978025
-0.875498,100,51.382379
-1.011099,100,51.783374
-0.901987,100,52.192625
-0.917079,100,52.5969
-1.171704,100,52.996568
-0.675825,100,53.409081
-1.353165,100,53.813918
-1.168431,100,54.207987
-0.647509,100,54.611534
-0.964554,100,55.01171
-1.193659,100,55.410371
-1.180293,100,55.805813
-0.960345,100,56.207404
-0.941443,100,56.606208
-1.920643,100,57.012
-1.560311,100,57.419123
-1.577236,100,57.818452
-1.65862,100,58.218489
-0.591563,100,58.612461
-1.321071,100,59.00792
-1.13001,100,59.412067
-1.105866,100,59.813941
-1.385892,100,60.21466
-1.020116,100,60.616068
-1.259254,100,61.009181
-1.074818,100,61.40702
-1.45596,100,61.812074
-1.304191,100,62.209526
-2.112339,100,62.61062
-1.810989,100,63.005477
-1.292355,100,63.396581
-1.729334,100,63.787114
-0.980542,100,64.19005
-1.159803,100,64.591581
-1.367982,100,64.985218
-1.373364,100,65.384052
-0.793904,100,65.790376
-1.529137,100,66.20214
-0.904833,100,66.611049
-0.867318,100,67.017409
-1.261599,100,67.40412
-0.748189,100,67.793649
-0.848215,100,68.170707
-0.889014,100,68.562356
-0.831734,100,68.959838
-0.686346,100,69.367479
-1.369942,100,69.772714
-0.853928,100,70.186248
-0.831985,100,70.591858
-1.043952,100,71.011128
-1.099083,100,71.41576
-0.629885,100,71.81811
-0.771364,100,72.224028
-2.085275,100,72.624992
-1.494515,100,73.035384
-1.385546,100,73.449162
-1.344078,100,73.864261
-1.958878,100,74.274168
-1.395704,100,74.683006
-1.580781,100,75.080549
-1.059665,100,75.469892
-1.125549,100,75.876131
-1.938819,100,76.272778
-1.182502,100,76.67281
-0.964825,100,77.081568
-1.216815,100,77.496348
-1.090559,100,77.911958
-0.720077,100,78.321057
-0.858692,100,78.730608
-0.928538,100,79.135545
-0.689775,100,79.535842
-0.661537,100,79.937073
-0.647747,100,80.338057
-1.116581,100,80.747342
-0.891679,100,81.452172
-0.888196,100,81.860908
-0.614584,100,82.277681
-0.896339,100,82.684426
-0.612044,100,83.088007
-0.628439,100,83.488446
-1.178838,100,83.877859
-1.500528,100,84.2815
-0.59308,100,84.685418
-0.922567,100,85.081219
-0.589265,100,85.489474
-1.362773,100,85.898719
-0.497545,100,86.312403
-0.92423,100,86.717312
-0.653907,100,87.121615
-0.668844,100,87.517503
-0.642315,100,87.911144
-0.902155,100,88.305693
-0.74122,100,88.706196
-0.588406,100,89.103063
-0.78019,100,89.503139
-0.601966,100,89.902091
-0.719787,100,90.307184
-0.831375,100,90.704506
-0.895895,100,91.092523
-0.956291,100,91.477544
-0.606057,100,91.878823
-0.988714,100,92.277066
-0.68949,100,92.675348
-1.256476,100,93.081331
-1.126303,100,93.471272
-1.493558,100,93.867305
-2.08845,100,94.279784
-1.382052,100,94.672845
-1.088482,100,95.066819
-0.726112,100,95.466788
-0.828447,100,95.869271
-1.072119,100,96.262365
-1.131819,100,96.661036
-0.639313,100,97.074208
-0.638244,100,97.479798
-0.595924,100,97.890585
-0.805623,100,98.302348
-0.4325,100,98.70162
-0.857449,100,99.086114
-0.818839,100,99.470601
-0.481211,100,99.860667
-0.633685,100,100.243232
-0.697582,100,100.635402
-1.281084,100,101.03404
-0.651424,100,101.434854
-0.437629,100,101.850987
-1.02823,100,102.267516
-1.119526,100,102.679799
-0.735487,100,103.089891
-1.054116,100,103.487152
-0.830668,100,103.890004
-0.726172,100,104.28824
-0.649653,100,104.689551
-0.34193,100,105.103584
-0.99171,100,105.513148
-0.713041,100,105.918199
-0.648141,100,106.327054
-0.37397,100,106.737227
-1.004475,100,107.13703
-0.494981,100,107.535396
-0.821563,100,107.934728
-0.62032,100,108.342932
-0.818411,100,108.754947
-0.644972,100,109.1657
-0.716041,100,109.582056
-0.806307,100,109.986104
-0.737447,100,110.397185
-0.746682,100,110.802661
-0.919512,100,111.191299
-1.297599,100,111.585377
-0.662251,100,111.984478
-1.033665,100,112.378051
-0.693386,100,112.773982
-0.744559,100,113.184213
-0.912943,100,113.587248
-0.68829,100,113.996534
-0.995674,100,114.405522
-0.726504,100,114.800414
-0.772199,100,115.199893
-0.918063,100,115.600114
-0.699651,100,115.998722
-1.256807,100,116.398875
-0.875182,100,116.801099
-1.316367,100,117.202378
-1.143839,100,117.609968
-1.508644,100,118.010761
-0.664057,100,118.419705
-1.037214,100,118.821068
-1.181789,100,119.216562
-1.518791,100,119.614664
-0.964318,100,120.013028
-1.132921,100,120.399509
-0.880042,100,120.802706
-0.718273,100,121.203629
-0.574922,100,121.882452
-0.805866,100,122.288416
-0.61912,100,122.688911
-1.006034,100,123.098027
-0.543467,100,123.501177
-0.743543,100,123.895241
-0.776596,100,124.288402
-0.81266,100,124.683875
-0.604637,100,125.08608
-0.527802,100,125.492665
-0.894527,100,125.899268
-1.303438,100,126.304716
-1.441286,100,126.713557
-0.707798,100,127.09736
-0.884795,100,127.487098
-1.790843,100,127.872065
-1.331694,100,128.271506
-1.763478,100,128.681657
-1.055111,100,129.082661
-1.212485,100,129.490442
-1.188507,100,129.896841
-1.349104,100,130.305321
-1.447579,100,130.702608
-1.386334,100,131.092918
-1.340064,100,131.485016
-1.40973,100,131.878121
-1.338402,100,132.279433
-1.605526,100,132.676897
-1.098796,100,133.072062
-1.61826,100,133.476328
-1.927969,100,133.888111
-1.624399,100,134.295177
-1.853021,100,134.692918
-1.773874,100,135.087895
-1.894797,100,135.481029
-1.502843,100,135.883391
-1.574494,100,136.282428
-1.518306,100,136.686018
-1.680331,100,137.086661
-1.758265,100,137.493908
-0.963386,100,137.902677
-1.369717,100,138.313078
-1.629219,100,138.720988
-1.476863,100,139.126044
-1.296253,100,139.52822
-0.891507,100,139.92633
-1.266939,100,140.321388
-1.118036,100,140.719823
-1.428752,100,141.120823
-1.006459,100,141.519361
-1.27013,100,141.926138
-0.981104,100,142.338989
-0.926441,100,142.745129
-0.875779,100,143.144056
-0.478856,100,143.542567
-0.828016,100,143.932744
-0.783542,100,144.329067
-0.751403,100,144.730296
-0.836563,100,145.135533
-0.585749,100,145.537713
-0.771857,100,145.943008
-0.925724,100,146.350543
-0.821506,100,146.756142
-0.767106,100,147.164155
-0.84218,100,147.575182
-0.859535,100,147.986844
-0.99164,100,148.40059
-1.063334,100,148.807388
-0.836723,100,149.233082
-1.046672,100,149.653737
-1.346926,100,150.069785
-1.030229,100,150.478454
-1.194551,100,150.872857
-1.14142,100,151.265678
-0.989298,100,151.66341
-0.919427,100,152.05777
-1.088244,100,152.451252
-0.822866,100,152.84473
-1.444935,100,153.25317
-1.034656,100,153.657194
-1.327124,100,154.068844
-1.0453,100,154.490296
-1.020776,100,154.899745
-1.353653,100,155.295684
-1.341729,100,155.691081
-1.14564,100,156.087544
-1.167258,100,156.476004
-1.061678,100,156.875433
-1.181698,100,157.279096
-0.880254,100,157.679676
-0.944408,100,158.08899
-1.379058,100,158.498536
-0.96416,100,158.89537
-1.157722,100,159.286812
-0.850942,100,159.674829
-1.056123,100,160.059437
-1.176109,100,160.44382
-1.172252,100,160.835374
-0.771006,100,161.228417
-1.017144,100,161.633914
-0.803711,100,162.348984
-0.831094,100,162.757103
-0.740207,100,163.145618
-0.83393,100,163.536538
-0.836911,100,163.92087
-1.203556,100,164.307483
-0.772699,100,164.706498
-1.082642,100,165.103375
-0.899658,100,165.509871
-0.55977,100,165.921487
-0.956394,100,166.336009
-0.766086,100,166.751282
-0.684134,100,167.166254
-0.795276,100,167.574516
-0.488326,100,167.979932
-0.7684,100,168.377253
-0.475573,100,168.781182
-1.251738,100,169.184048
-1.084732,100,169.585089
-0.523644,100,169.996837
-0.842173,100,170.402941
-1.186812,100,170.81251
-0.657107,100,171.222893
-1.093685,100,171.620229
-0.784698,100,172.005545
-0.992872,100,172.411379
-1.339382,100,172.806505
-0.760237,100,173.209193
-0.881584,100,173.629228
-0.955022,100,174.046028
-1.00347,100,174.458843
-0.840287,100,174.853022
-1.285922,100,175.238319
-0.570782,100,175.633404
-1.168209,100,176.031946
-0.900521,100,176.431058
-0.802918,100,176.826136
-1.427764,100,177.224387
-1.451546,100,177.637007
-0.87929,100,178.046445
-0.831103,100,178.460716
-0.723502,100,178.857208
-1.203191,100,179.251454
-0.862246,100,179.64481
-1.029853,100,180.035408
-1.171567,100,180.429796
-0.863067,100,180.824883
-1.223011,100,181.226916
-1.277042,100,181.637316
-1.315226,100,182.047307
-1.154433,100,182.454827
-1.038742,100,182.848248
-1.225711,100,183.240406
-1.826931,100,183.624919
-1.850198,100,184.024342
-1.205027,100,184.419251
-1.553983,100,184.821128
-1.015465,100,185.221168
-0.904437,100,185.629343
-1.559444,100,186.049476
-1.203219,100,186.46183
-1.314026,100,186.864592
-1.175509,100,187.265301
-0.873214,100,187.668527
-0.954156,100,188.060733
-0.906366,100,188.459665
-0.821121,100,188.857614
-0.800622,100,189.271088
-1.28625,100,189.680891
-1.08976,100,190.10309
-1.182671,100,190.513312
-0.711235,100,190.923567
-0.848974,100,191.326516
-0.968038,100,191.7328
-0.986772,100,192.119998
-0.605549,100,192.525598
-0.801921,100,192.92709
-1.065671,100,193.327664
-0.558921,100,193.736945
-0.482542,100,194.14866
-0.865026,100,194.563658
-0.714132,100,194.962131
-0.438886,100,195.354403
-0.467618,100,195.746866
-0.664133,100,196.143476
-0.795911,100,196.546398
-0.308661,100,196.948619
-0.672417,100,197.359262
-0.619593,100,197.783855
-0.467278,100,198.198761
-0.461744,100,198.614266
-0.728823,100,199.019327
-0.53183,100,199.418387
-0.625117,100,199.818166
-0.438749,100,200.209057
-0.705292,100,200.600106
-0.582577,100,200.993414
-0.903264,100,201.395561
-0.705848,100,201.80606
-0.626496,100,202.218404
-0.577393,100,202.890544
-0.998074,100,203.282293
-0.692839,100,203.677135
-0.719487,100,204.068424
-1.542703,100,204.456737
-0.772588,100,204.853135
-0.804433,100,205.259294
-0.723564,100,205.665675
-0.650486,100,206.077223
-0.941423,100,206.487314
-0.740543,100,206.884395
-0.559204,100,207.280456
-0.72352,100,207.676289
-0.634178,100,208.067728
-0.383818,100,208.460825
-1.037111,100,208.866077
-0.488321,100,209.277478
-0.574982,100,209.689919
-0.605705,100,210.103459
-0.49417,100,210.518139
-0.506774,100,210.925773
-0.522382,100,211.329133
-0.506153,100,211.728354
-0.539523,100,212.140872
-0.718942,100,212.549867
-0.570369,100,212.961912
-0.682039,100,213.377383
-0.691172,100,213.788688
-0.534463,100,214.204927
-0.512921,100,214.622091
-0.678988,100,215.035302
-0.592803,100,215.438395
-0.613161,100,215.828785
-0.597123,100,216.226989
-0.592668,100,216.625783
-0.502378,100,217.025913
-0.771662,100,217.431679
-0.462435,100,217.839086
-0.780552,100,218.248515
-0.686572,100,218.660066
-0.634069,100,219.048857
-0.624471,100,219.4339
-0.917396,100,219.821439
-0.63881,100,220.214543
-0.645921,100,220.616302
-0.467109,100,221.01439
-0.66598,100,221.41646
-0.424431,100,221.817379
-0.669608,100,222.219827
-0.662297,100,222.624114
-0.575425,100,223.029954
-0.790827,100,223.432667
-0.811996,100,223.832372
-0.571888,100,224.232911
-0.741955,100,224.632417
-0.62961,100,225.041172
-1.036349,100,225.44978
-0.577833,100,225.861877
-0.872697,100,226.264364
-0.571509,100,226.673838
-0.687686,100,227.07447
-0.47042,100,227.472675
-0.602921,100,227.870007
-0.709646,100,228.268029
-0.742193,100,228.666943
-0.582907,100,229.067225
-0.567372,100,229.473001
-0.528556,100,229.878238
-0.741927,100,230.289491
-0.545028,100,230.704453
-0.667934,100,231.094131
-0.746115,100,231.479984
-0.49226,100,231.865237
-0.593349,100,232.269559
-0.553385,100,232.6693
-1.201703,100,233.07495
-0.456365,100,233.480058
-0.374897,100,233.88592
-0.603116,100,234.293494
-0.705105,100,234.704355
-0.53293,100,235.110428
-0.775971,100,235.510484
-0.711737,100,235.909884
-0.598287,100,236.317943
-0.984192,100,236.717392
-0.734486,100,237.114304
-0.788087,100,237.527807
-0.635111,100,237.941797
-0.7989,100,238.346032
-0.689932,100,238.748618
-0.892236,100,239.137077
-0.981664,100,239.527591
-0.757207,100,239.918691
-1.22234,100,240.319468
-0.786235,100,240.727346
-0.822387,100,241.139721
-1.481169,100,241.548895
-1.280215,100,241.96041
-1.435784,100,242.365587
-1.111833,100,242.765536
-1.154338,100,243.461174
-0.670942,100,243.856237
-0.678998,100,244.249061
-0.964946,100,244.643766
-1.356265,100,245.045309
-1.161957,100,245.45344
-1.852793,100,245.861521
-0.946716,100,246.271748
-1.071276,100,246.677645
-1.567498,100,247.072697
-1.118938,100,247.469092
-0.806497,100,247.883535
-1.349627,100,248.273706
-1.128086,100,248.667212
-0.880393,100,249.062477
-0.797992,100,249.469494
-1.202149,100,249.882743
-0.879823,100,250.297861
-1.021866,100,250.695425
-0.653504,100,251.086993
-1.17715,100,251.476896
-0.887518,100,251.873801
-1.133441,100,252.268463
-0.550935,100,252.677232
-0.882608,100,253.077525
-0.842218,100,253.474655
-0.919196,100,253.880064
-0.974381,100,254.293589
-0.751841,100,254.70535
-0.905014,100,255.098374
-0.783287,100,255.495572
-1.457172,100,255.888897
-0.525464,100,256.281455
-0.808936,100,256.677969
-0.826557,100,257.077325
-0.797349,100,257.495255
-0.77023,100,257.902884
-0.974945,100,258.317768
-1.087414,100,258.724193
-1.209411,100,259.127383
-0.913305,100,259.530742
-0.597492,100,259.929835
-1.069021,100,260.335089
-1.187332,100,260.728562
-0.925525,100,261.127991
-0.813823,100,261.527321
-0.85088,100,261.940264
-0.867434,100,262.355981
-1.016925,100,262.762151
-0.603288,100,263.161608
-1.115408,100,263.571996
-0.618633,100,263.974969
-0.592432,100,264.386028
-0.802719,100,264.791413
-0.710207,100,265.193517
-1.043125,100,265.601018
-1.074189,100,266.011643
-0.799088,100,266.423096
-1.034368,100,266.832864
-0.757581,100,267.233657
-0.990541,100,267.635353
-0.889954,100,268.033736
-1.005695,100,268.434253
-0.99616,100,268.834317
-0.667195,100,269.24513
-0.946021,100,269.650129
-0.703596,100,270.06183
-0.95796,100,270.471791
-0.644156,100,270.870105
-0.591021,100,271.265961
-0.864162,100,271.668938
-1.486728,100,272.063747
-0.968935,100,272.457576
-0.670269,100,272.852559
-1.103356,100,273.26044
-0.861735,100,273.667581
-0.897029,100,274.081408
-2.149686,100,274.478216
-1.184878,100,274.876927
-1.132245,100,275.268131
-0.951707,100,275.658238
-0.717152,100,276.056007
-0.743802,100,276.461734
-0.993513,100,276.85727
-1.35135,100,277.256191
-0.660016,100,277.662701
-0.699935,100,278.071994
-1.133898,100,278.481864
-0.791761,100,278.880347
-0.68366,100,279.274284
-0.9205,100,279.664938
-0.771617,100,280.059054
-1.335777,100,280.465392
-1.003435,100,280.862607
-1.07658,100,281.26465
-0.48954,100,281.666618
-0.621642,100,282.07541
-0.992705,100,282.480495
-0.794834,100,282.873114
-0.648942,100,283.260744
-0.670043,100,283.915873
-1.984191,100,284.306776
-1.319524,100,284.708146
-0.837812,100,285.113477
-1.255845,100,285.520241
-1.185002,100,285.927904
-0.968935,100,286.332108
-1.063715,100,286.739569
-1.675278,100,287.130802
-0.839946,100,287.518776
-1.197806,100,287.908665
-0.704378,100,288.303443
-0.650862,100,288.690313
-1.657311,100,289.085123
-0.789888,100,289.487088
-0.856976,100,289.893433
-0.753178,100,290.304836
-0.827818,100,290.706514
-1.147751,100,291.104152
-0.844382,100,291.5021
-0.731836,100,291.891955
-0.50389,100,292.291694
-0.812668,100,292.690648
-0.644299,100,293.084631
-0.715094,100,293.487665
-0.734379,100,293.893191
-0.799577,100,294.305365
-0.769847,100,294.712613
-1.138984,100,295.107509
-0.841711,100,295.51145
-0.856153,100,295.90936
-1.087918,100,296.310289
-1.120862,100,296.710871
-0.899197,100,297.11775
-1.171872,100,297.525393
-0.80587,100,297.937333
-0.947243,100,298.351292
-0.984505,100,298.752323
-1.000294,100,299.141989
-0.921522,100,299.542387
-0.926739,100,299.941687
-0.742414,100,300.3399
-0.741646,100,300.746108
-0.930251,100,301.153164
-0.63009,100,301.561866
-0.898552,100,301.972108
-1.280477,100,302.382494
-1.253962,100,302.788914
-0.817027,100,303.203866
-0.848131,100,303.596305
-0.894305,100,303.993136
-0.676723,100,304.382528
-0.869373,100,304.785185
-0.876724,100,305.186965
-0.869739,100,305.578063
-1.160019,100,305.977694
-0.961331,100,306.379883
-1.259763,100,306.776323
-0.957242,100,307.166266
-0.786879,100,307.552917
-0.976873,100,307.959194
-0.782998,100,308.378212
-1.051214,100,308.794977
-1.005754,100,309.212597
-0.746824,100,309.629617
-0.759832,100,310.049576
-0.781274,100,310.464201
-0.761152,100,310.872073
