seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10,mean_reward,std_reward,upper,lower,timesteps
-3.570207,-1.8279330000000003,-5.433793,-2.305126,-3.7097599999999997,-2.019967,-2.924352,-3.105575,-2.266798,-1.84926,-2.9012771,1.1230164522313648,-1.7782606477686353,-4.024293552231365,100
-3.3688230000000003,-4.299316999999999,-4.997626,-3.867811,-5.955133999999999,-1.812142,-3.596139,-2.296583,-1.524118,-3.3835050000000004,-3.5101198000000005,1.385838818115969,-2.1242809818840316,-4.895958618115969,200
-2.40857,-1.8610099999999998,-2.737146,-0.916451,-0.72412,-0.907274,-5.021795,-2.872894,-2.003698,-1.745584,-2.1198542,1.2710411328311222,-0.8488130671688776,-3.390895332831122,300
-3.622491,-1.804171,-3.2701990000000003,-1.604833,-2.7890919999999997,-3.3349290000000003,-1.7108,-2.303412,-1.7271880000000002,-1.492856,-2.3659971000000004,0.817371685686431,-1.5486254143135694,-3.1833687856864312,400
-3.5177910000000003,-0.865684,-2.7794470000000002,-2.787918,-3.6567910000000006,-2.084098,-2.467499,-1.974893,-2.915496,-2.136589,-2.5186206,0.8135686469225434,-1.7050519530774568,-3.3321892469225434,500
-5.265093,-2.1256630000000003,-3.072,-3.108751,-3.9093910000000003,-3.945568,-2.2233650000000003,-1.8734810000000002,-1.6627150000000002,-2.92182,-3.0107847,1.1204513112726842,-1.8903333887273157,-4.131236011272684,600
-1.591046,-6.9960070000000005,-3.928328,-2.218919,-2.5028740000000003,-3.386414,-2.680582,-5.379733,-2.501409,-3.038382,-3.4223694,1.6347890735245192,-1.7875803264754808,-5.057158473524519,700
-1.520039,-3.269495,-2.263659,-2.446466,-3.380412,-2.702534,-3.113668,-2.170057,-2.260252,-1.987325,-2.5113906999999998,0.5992386336955792,-1.9121520663044205,-3.110629333695579,800
-2.728166,-4.001428,-2.44259,-1.6624009999999998,-3.733472,-2.026457,-3.219627,-1.6435380000000002,-1.703298,-1.648436,-2.4809413,0.90459094882654,-1.57635035117346,-3.3855322488265402,900
-2.389568,-3.18171,-3.930215,-1.704447,-1.9929689999999998,-3.9925260000000002,-2.764364,-4.852955000000001,-2.659432,-3.9713800000000004,-3.1439566,1.0159789895631812,-2.127977610436819,-4.159935589563181,1000
-4.905764,-3.916761,-3.4967379999999997,-1.5063229999999999,-1.7989849999999998,-2.6851700000000003,-2.794512,-2.594227,-3.5311559999999997,-1.862897,-2.9092532999999996,1.0641334019297946,-1.845119898070205,-3.973386701929794,1100
