seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10,mean_reward,std_reward,upper,lower,timesteps
-3.5192365399999996,-2.8123055800000003,-3.1095364400000007,-2.4678320199999995,-3.03542702,-2.98733982,-3.046043,-2.89824858,-2.9364099400000003,-2.8113790800000005,-2.9623758020000004,1.1381007886024008,-1.8242750133975998,-4.1004765906024,5000
-3.4729120399999993,-2.8386277,-3.0503629800000005,-2.4591397199999996,-3.0046734600000002,-2.9770243399999994,-3.0408261000000003,-2.8974875000000004,-2.9485303600000003,-2.8181117000000007,-2.9507695900000006,1.1285147706810894,-1.8222548193189112,-4.079284360681089,5100
-3.4941749399999997,-2.8250754799999998,-2.9747029600000006,-2.4514961799999995,-2.947941040000001,-3.0028241799999993,-3.0047503600000005,-2.8853028,-2.971783500000001,-2.81180668,-2.9369858120000005,1.1206289596783248,-1.816356852321676,-4.057614771678324,5200
-3.5740225999999997,-2.8338393,-2.986912460000001,-2.4972831799999993,-3.0101894200000006,-3.0156023199999993,-2.973343120000001,-2.8928298999999997,-2.976689040000001,-2.82809634,-2.9588807680000007,1.1215369453837296,-1.837343822616271,-4.080417713383729,5300
-3.57680712,-2.8403555600000003,-2.973958820000001,-2.5066902399999993,-3.03773124,-3.0286074799999994,-3.0002476200000006,-2.9024174599999997,-2.9784669600000004,-2.8466700200000004,-2.9691952520000013,1.1219388860998876,-1.8472563659001133,-4.0911341380998865,5400
-3.5716943,-2.8740676800000005,-2.9793588200000003,-2.508024339999999,-3.06230098,-3.0342861399999994,-3.0080501600000007,-2.9210101799999997,-3.0163022400000004,-2.8635116800000002,-2.9838606520000015,1.1231906288585194,-1.8606700231414814,-4.107051280858519,5500
-3.52227782,-2.8829662400000005,-2.98001096,-2.4904402399999994,-3.0258758799999996,-2.972962839999999,-3.0245292200000007,-2.9388550999999996,-3.007445380000001,-2.8302971800000005,-2.9675660860000015,1.1170381608616216,-1.8505279251383795,-4.084604246861621,5600
-3.553737,-2.8044039400000007,-2.97876026,-2.5418619199999997,-3.0280556,-2.989794879999999,-2.993743080000001,-2.90365386,-3.061929080000001,-2.8052909600000002,-2.9661230580000018,1.109883854186196,-1.8562392038138051,-4.0760069121861955,5700
-3.6216868599999996,-2.7933469200000007,-2.9817473600000004,-2.5759886,-2.98555982,-2.980941639999999,-3.0014740000000013,-2.9159268599999995,-3.0261239000000004,-2.8208852600000007,-2.970368122000002,1.1237274346853132,-1.8466406873146881,-4.094095556685312,5800
-3.65325874,-2.787613100000001,-3.0133399400000007,-2.61465744,-2.97278902,-2.967957259999999,-3.039369860000001,-2.9297151599999993,-3.0423198400000007,-2.8607860000000005,-2.988180636000002,1.1271835334706453,-1.8609971025293561,-4.115364169470645,5900
-3.6816245,-2.771968720000001,-3.0046101000000003,-2.6406150400000006,-2.9902878200000003,-2.946483919999999,-3.0456720000000015,-2.8703291599999994,-3.0663838400000003,-2.8253107200000005,-2.9843285820000016,1.1200259756532795,-1.8643026063467218,-4.104354557653279,6000
-3.6610827199999996,-2.7364756800000007,-3.0008111200000007,-2.6483613200000007,-2.9830323200000004,-2.9172692999999987,-3.0579936000000014,-2.8720943799999996,-3.0591668400000005,-2.8289812600000004,-2.9765268540000016,1.1167802667228666,-1.8597465872771346,-4.093307120722866,6100
-3.66101886,-2.6620120000000007,-3.0291592000000005,-2.643893700000001,-3.0335531600000003,-2.9590168999999986,-3.051917920000002,-2.84227908,-3.06282376,-2.8738719600000002,-2.9819546540000017,1.1108003456520228,-1.8711543083479787,-4.092754999652022,6200
-3.6615892399999996,-2.660923360000001,-2.99524472,-2.696565040000001,-3.1002093200000003,-3.011720399999999,-3.0114019200000017,-2.85341824,-3.1334343799999997,-2.86467912,-2.9989185740000015,1.1151948693648004,-1.883723704635201,-4.1141134433648,6300
-3.5794017399999998,-2.6520153200000016,-2.9865785600000003,-2.697421180000001,-3.0814258600000004,-3.009079019999999,-3.011322840000002,-2.8165436999999995,-3.15123108,-2.8846500600000002,-2.9869669360000017,1.0980496358592635,-1.888917300140738,-4.085016571859263,6400
-3.5517791599999993,-2.674354040000001,-3.021532420000001,-2.6808863800000013,-3.1152223600000006,-3.035087419999998,-2.984784760000002,-2.8141103399999996,-3.1368128,-2.8523609200000006,-2.9866930600000012,1.0970966902999475,-1.8895963697000537,-4.083789750299947,6500
-3.533124959999999,-2.665647320000001,-3.002010420000001,-2.6984533600000007,-3.0831871000000013,-2.9983953399999983,-3.0325341800000016,-2.8403125399999998,-3.1264098799999998,-2.8961171400000008,-2.9876192240000012,1.1029673212843207,-1.8846519027156803,-4.090586545284321,6600
-3.552439179999999,-2.7019586000000015,-3.0000433600000007,-2.747375900000001,-3.078676900000001,-2.9736190999999987,-3.044493120000002,-2.78191804,-3.1765859599999997,-2.8281603600000005,-2.988527052000001,1.0984342069279636,-1.8900928450720371,-4.086961258927964,6700
-3.516363699999999,-2.7132707400000013,-3.0366869400000014,-2.7431763000000013,-3.103912380000001,-2.968560419999999,-3.0345483000000018,-2.81993916,-3.1753756199999996,-2.8996133200000003,-3.001144688000001,1.1052869952396225,-1.8958576927603783,-4.106431683239623,6800
-3.501041459999999,-2.697155940000002,-2.9762680600000015,-2.709098160000001,-3.094881860000001,-2.946279799999999,-2.9892018200000017,-2.86727968,-3.0981872,-2.86319816,-2.9742592140000013,1.091545360284305,-1.8827138537156958,-4.0658045742843045,6900
-3.497717659999999,-2.6351230000000014,-2.9514020400000014,-2.7066143200000012,-3.0636468600000013,-2.941752999999999,-2.9399638800000014,-2.8562291600000003,-3.088168,-2.8099079999999996,-2.949052592000001,1.0841677489224584,-1.8648848430775422,-4.033220340922458,7000
-3.4912444399999987,-2.6212080200000014,-2.965820420000002,-2.732753720000001,-3.010685360000002,-2.9211634999999982,-2.8970285800000015,-2.8505392800000005,-3.0447131399999994,-2.7793378999999994,-2.9314494360000007,1.0907862834799553,-1.8406631525200452,-4.022235719479955,7100
-3.503798859999999,-2.632160680000001,-3.006709220000002,-2.760199800000001,-2.979729080000002,-2.966273499999998,-2.915592320000002,-2.8780055800000004,-3.022250879999999,-2.8579853999999987,-2.9522705320000013,1.1002138793899081,-1.8520566526100923,-4.052484411389909,7200
-3.542370419999999,-2.655563820000001,-2.977023700000002,-2.778338100000001,-2.9335071600000022,-2.9516917399999976,-2.916013820000002,-2.8718727200000003,-3.051603419999999,-2.8716544599999994,-2.954963936000001,1.1019319304575934,-1.853032005542407,-4.056895866457594,7300
-3.4809136399999985,-2.661532160000001,-2.9736494200000023,-2.8182623600000003,-2.943930480000002,-2.953037599999998,-2.9529770000000024,-2.86216654,-3.027026699999999,-2.831394059999999,-2.9504889960000007,1.095828874742886,-1.8546601212571148,-4.046317870742886,7400
-3.4686072399999985,-2.596532420000001,-2.9996228800000018,-2.774427400000001,-2.9325470400000015,-2.912185199999998,-2.9325108200000023,-2.8696951200000003,-2.9869541799999992,-2.8347602599999995,-2.930784256000001,1.08068739054346,-1.8500968654565404,-4.01147164654346,7500
-3.4431018399999984,-2.692593720000001,-3.0384839400000017,-2.795380180000001,-2.8746690200000016,-2.938113479999998,-2.8879357400000027,-2.89681596,-3.004774779999999,-2.8419139799999993,-2.9413782640000004,1.0890856294133249,-1.8522926345866757,-4.030463893413324,7600
-3.463365459999998,-2.706259240000001,-3.118937320000002,-2.8020082200000007,-2.922498880000002,-2.9821443399999983,-2.8988345800000026,-2.92741872,-2.9755487599999992,-2.8805346599999995,-2.967755018,1.0935998846926547,-1.8741551333073456,-4.061354902692654,7700
