#{"t_start": 1593649792.246292, "env_id": "widowx_reacher-v5"}
r,l,t
-2.924352,100,1.318636
-3.219627,100,1.501448
-2.627971,100,1.68267
-2.258744,100,1.863805
-5.11738,100,2.045316
-4.475309,100,2.221377
-1.386308,100,2.39538
-1.141275,100,2.568274
-3.800459,100,2.74048
-1.879993,100,2.912253
-3.138387,100,3.084457
-2.747153,100,3.258183
-2.986178,100,3.861991
-3.738586,100,4.034108
-0.951335,100,4.206425
-2.639525,100,4.37882
-2.188578,100,4.551418
-3.802925,100,4.72439
-1.307444,100,4.896922
-2.93409,100,5.069374
-1.352966,100,5.242585
-2.603963,100,5.416348
-1.574462,100,5.58871
-2.962375,100,5.760798
-1.210524,100,5.933026
-3.588948,100,6.458673
-3.001153,100,6.630917
-2.832465,100,6.803175
-1.04099,100,6.97542
-1.879801,100,7.147989
-2.763296,100,7.320584
-2.547613,100,7.492832
-1.037037,100,7.665446
-1.56412,100,7.838497
-0.989132,100,8.011118
-1.062125,100,8.183564
-1.191032,100,8.355856
-4.451272,100,8.881352
-1.407852,100,9.053488
-3.343837,100,9.230703
-1.113365,100,9.403421
-1.213172,100,9.576165
-1.330758,100,9.748766
-1.203441,100,9.921364
-0.632943,100,10.09418
-1.969572,100,10.267628
-2.428302,100,10.440449
-0.750005,100,10.613956
-0.56926,100,10.786984
-1.052545,100,10.959696
-0.708712,100,11.492921
-1.2651,100,11.666194
-1.173692,100,11.839753
-0.404104,100,12.013344
-0.752675,100,12.187665
-1.010791,100,12.362417
-0.430084,100,12.535966
-0.372302,100,12.709955
-0.932369,100,12.88352
-0.549173,100,13.056915
-0.314459,100,13.231308
-0.737077,100,13.404924
-0.541103,100,13.942954
-0.298903,100,14.117287
-0.385404,100,14.291396
-0.455372,100,14.464855
-0.457535,100,14.638253
-0.512949,100,14.811851
-0.269663,100,14.985381
-0.391198,100,15.158808
-0.35471,100,15.331941
-0.505492,100,15.505331
-0.700766,100,15.678897
-0.455455,100,15.852298
-0.546431,100,16.025929
-0.532398,100,16.550591
-0.605422,100,16.724168
-0.481108,100,16.897239
-0.325815,100,17.07059
-0.367697,100,17.243659
-0.759041,100,17.416943
-0.36511,100,17.590307
-0.355267,100,17.764657
-0.522563,100,17.938048
-0.370554,100,18.111784
-0.321539,100,18.28515
-0.302362,100,18.458871
-0.360409,100,18.982036
-0.66809,100,19.156919
-0.590954,100,19.330905
-0.30071,100,19.505226
-0.382085,100,19.679401
-0.27842,100,19.85273
-0.315009,100,20.026606
-0.424465,100,20.200648
-0.280059,100,20.374457
-0.21878,100,20.551073
-0.380047,100,20.724591
-0.346156,100,20.898786
-0.2735,100,21.071941
-0.604343,100,21.595694
-0.273041,100,21.768903
-0.330223,100,21.942071
-0.259147,100,22.114935
-0.281281,100,22.287844
-0.231032,100,22.461275
-0.589659,100,22.634507
-0.394672,100,22.807825
-0.306311,100,22.981169
-0.442792,100,23.154811
-0.448841,100,23.328619
-0.282838,100,23.501973
-0.299116,100,24.024643
-0.290045,100,24.198449
-0.273951,100,24.371138
-0.227917,100,24.544505
-0.319144,100,24.719346
-0.257975,100,24.893069
-0.424152,100,25.066386
-0.243309,100,25.240765
-0.314556,100,25.415147
-0.264511,100,25.589666
-0.227973,100,25.763075
-0.247881,100,25.936983
-0.272979,100,26.110204
-0.339363,100,26.633498
-0.509676,100,26.807056
-0.238769,100,26.980179
-0.322707,100,27.152868
-0.314748,100,27.326773
-0.226336,100,27.50001
-0.333517,100,27.675572
-0.279259,100,27.849381
-0.225235,100,28.022915
-0.277962,100,28.196539
-0.275477,100,28.370045
-0.379383,100,28.543311
-0.238863,100,29.065881
-0.255177,100,29.239192
-0.251904,100,29.411716
-0.318153,100,29.585563
-0.203051,100,29.759446
-0.26819,100,29.932833
-0.278867,100,30.106201
-0.216533,100,30.280173
-0.278127,100,30.454688
-0.376019,100,30.627606
-0.224679,100,30.801394
-0.271556,100,30.974626
-0.351973,100,31.148568
-0.298536,100,31.682057
-0.257788,100,31.85511
-0.215593,100,32.027507
-0.230771,100,32.200899
-0.267721,100,32.373703
-0.285443,100,32.547024
-0.264933,100,32.720217
-0.33582,100,32.892661
-0.370146,100,33.065137
-0.256245,100,33.237833
-0.367122,100,33.410671
-0.266636,100,33.583605
-0.250049,100,34.104826
-0.220686,100,34.277709
-0.309845,100,34.450579
-0.222647,100,34.623544
-0.21506,100,34.796753
-0.293718,100,34.972108
-0.201533,100,35.144984
-0.266931,100,35.317629
-0.246693,100,35.490304
-0.359072,100,35.663378
-0.244489,100,35.835865
-0.276654,100,36.009069
-0.267135,100,36.18304
-0.209769,100,36.70699
-0.183306,100,36.880125
-0.219997,100,37.053087
-0.247601,100,37.227773
-0.323264,100,37.401111
-0.304711,100,37.574465
-0.283905,100,37.747069
-0.28683,100,37.920295
-0.373542,100,38.093463
-0.207265,100,38.266722
-0.282667,100,38.439705
-0.330961,100,38.61317
-0.230277,100,39.136835
-0.328013,100,39.312023
-0.378205,100,39.4885
-0.362171,100,39.664704
-0.319709,100,39.841088
-0.401129,100,40.014299
-0.236422,100,40.188256
-0.268006,100,40.360886
-0.218047,100,40.533858
-0.270701,100,40.707118
-0.217495,100,40.880303
-0.251447,100,41.053174
-0.315929,100,41.225958
-0.242452,100,41.751963
-0.248033,100,41.92483
-0.291289,100,42.097448
-0.542999,100,42.27075
-0.277159,100,42.443476
-0.18664,100,42.61644
-0.316231,100,42.788997
-0.252385,100,42.962526
-0.25375,100,43.135243
-0.242782,100,43.308562
-0.189925,100,43.48206
-0.243385,100,43.655064
-0.25005,100,44.197622
-0.277518,100,44.370947
-0.278951,100,44.54466
-0.17052,100,44.718575
-0.25961,100,44.891819
-0.264027,100,45.065293
-0.29306,100,45.238568
-0.261451,100,45.411582
-0.218974,100,45.585204
-0.206446,100,45.758265
-0.267671,100,45.931246
-0.33704,100,46.105013
-0.264744,100,46.278706
-0.282692,100,46.822819
-0.32384,100,46.995727
-0.274604,100,47.168989
-0.246876,87,47.320424
-0.232573,100,47.493034
-0.31717,100,47.666626
-0.214903,100,47.839706
-0.369455,100,48.012764
-0.278538,100,48.185831
-0.279021,100,48.358903
-0.310326,100,48.532469
-0.360497,100,48.706099
-0.287931,100,49.23843
-0.394412,100,49.411572
-0.187832,100,49.584909
-0.365766,100,49.758412
-0.198814,100,49.931863
-0.225956,100,50.104616
-0.35725,100,50.278404
-0.333846,100,50.451468
-0.249326,100,50.625047
-0.263514,100,50.798184
-0.254613,100,50.971004
-0.329222,100,51.144243
-0.257341,100,51.317325
