#{"t_start": 1593204847.4160597, "env_id": "widowx_reacher-v5"}
r,l,t
-3.545702,100,3.729361
-1.94128,100,3.909177
-1.685998,100,4.08756
-1.515609,100,4.267328
-1.629605,100,4.446308
-3.211025,100,4.624564
-3.93255,100,4.801829
-4.202762,100,4.987948
-1.940948,100,5.171174
-3.005938,100,5.358855
-1.775541,100,5.540501
-2.368903,100,5.719631
-1.306734,100,6.514645
-1.527371,100,6.692823
-2.932749,100,6.873061
-1.552086,100,7.051617
-2.658609,100,7.232378
-2.499099,100,7.412822
-2.242198,100,7.593857
-3.409122,100,7.775557
-5.912864,100,8.141691
-4.322947,100,8.319871
-4.282261,100,8.497939
-1.502037,100,8.677389
-1.835514,100,8.858416
-2.389573,100,9.615105
-3.124497,100,9.799136
-4.313139,100,9.980844
-2.365167,100,10.165236
-3.213838,100,10.348607
-5.764258,100,10.535119
-2.549376,100,10.715114
-2.08183,100,10.898159
-3.662142,100,11.073196
-1.358869,100,11.249485
-3.01181,100,11.42638
-3.569097,100,11.599955
-2.79001,100,12.354525
-3.278611,100,12.52948
-3.183271,100,12.704786
-3.589219,100,12.902557
-2.225697,100,13.085784
-1.878931,100,13.273907
-3.920517,100,13.463156
-3.577874,100,13.647262
-1.091944,100,13.829743
-2.811516,100,14.010481
-2.278929,100,14.19807
-2.396106,100,14.381871
-2.351814,100,14.56393
-4.058669,100,15.303469
-3.314206,100,15.483459
-2.60188,100,15.658444
-3.104077,100,15.833924
-0.81649,100,16.01116
-3.745739,100,16.187212
-1.343295,100,16.364572
-4.232365,100,16.540116
-1.927283,100,16.71523
-4.060807,100,16.889658
-2.874008,100,17.066257
-2.363499,100,17.271697
-2.403102,100,18.01631
-1.853712,100,18.189121
-3.047407,100,18.361383
-1.912259,100,18.532556
-4.213825,100,18.703973
-2.140298,100,18.875215
-0.78649,100,19.046083
-3.528262,100,19.215415
-2.549844,100,19.384579
-2.781587,100,19.553896
-2.451008,100,19.723873
-2.252006,100,19.892925
-3.710559,100,20.0611
-3.806849,100,20.752614
-3.316507,100,20.923283
-1.152279,100,21.094998
-3.675334,100,21.267105
-2.822387,100,21.444348
-3.012478,100,21.618232
-3.24671,100,21.811005
-2.482934,100,21.979644
-2.677507,100,22.152947
-3.006262,100,22.326133
-3.594248,100,22.497722
-1.656711,100,22.668315
-4.05046,100,23.395643
-1.258065,100,23.566764
-2.780581,100,23.739248
-2.61285,100,23.913927
-1.039076,100,24.089584
-4.088103,100,24.263624
-2.802748,100,24.438586
-3.493388,100,24.612592
-2.34785,100,24.7899
-4.294037,100,24.964796
-5.278868,100,25.141405
-2.808454,100,25.319796
-2.216938,100,25.500418
-3.755885,100,26.210557
-2.474577,100,26.382117
-2.969313,100,26.581228
-3.574486,100,26.751043
-1.838713,100,26.921097
-1.272998,100,27.092538
-4.416537,100,27.261994
-4.354786,100,27.430773
-2.7862,100,27.601395
-3.674922,100,27.772205
-2.683691,100,27.943419
-5.693066,100,28.117814
-2.448021,100,28.781605
-2.625164,100,28.950895
-5.305467,100,29.120621
-3.207916,100,29.292372
-2.247382,100,29.463641
-4.346777,100,29.639967
-1.165906,100,29.8231
-5.523449,100,30.006745
-2.850793,100,30.183566
-3.3596,100,30.360366
-2.192015,100,30.563206
-2.561404,100,30.752943
-6.340609,100,30.937351
-1.312471,100,31.647157
-1.727265,100,31.836383
-1.679592,100,32.021682
-3.055047,100,32.206671
-1.913209,100,32.395163
-5.800654,100,32.582415
-3.751441,100,32.761141
-2.188663,100,32.943709
-3.883658,100,33.132792
-4.079015,100,33.325136
-0.708081,100,33.515492
-2.081386,100,33.700659
-2.485899,100,34.523285
-0.535749,100,34.690825
-1.659837,100,34.85742
-3.372367,100,35.02492
-3.05311,100,35.192293
-3.286188,100,35.360476
-1.92612,100,35.55571
-2.049995,100,35.721155
-1.163819,100,35.889937
-3.888708,100,36.057332
-4.254596,100,36.225325
-1.773213,100,36.394844
-3.221644,100,36.568573
-2.969526,100,37.262267
-3.405302,100,37.444689
-1.810816,100,37.624243
-1.077746,100,37.799684
-3.970192,100,37.972055
-0.917097,100,38.144419
-1.784577,100,38.320576
-0.81607,100,38.497709
-2.481645,100,38.669576
-2.562378,100,38.842228
-2.202308,100,39.014995
-3.076384,100,39.189126
-3.338022,100,39.909704
-1.068694,100,40.1127
-5.374087,100,40.291469
-2.199119,100,40.471457
-4.189931,100,40.650554
-2.510958,100,40.83135
-2.905603,100,41.012974
-1.696702,100,41.191996
-3.043347,100,41.371703
-5.283054,100,41.557281
-2.358388,100,41.736745
-2.840737,100,41.914764
-4.584497,100,42.094585
-2.223899,100,42.872761
-3.873484,100,43.053261
-1.858432,100,43.235361
-2.69737,100,43.414135
-4.506048,100,43.596304
-4.106875,100,43.77685
-1.616818,100,43.956386
-1.558698,100,44.135661
-4.008176,100,44.314422
-3.759486,100,44.521468
-4.100208,100,44.700059
-3.675808,100,44.8834
-2.54682,100,45.629247
-0.903097,100,45.813394
-1.868407,100,45.995046
-2.288913,100,46.175614
-2.439809,100,46.354775
-4.311559,100,46.54069
-2.894391,100,46.721835
-1.871641,100,46.900879
-2.324304,100,47.079706
-2.151063,100,47.258222
-2.598299,100,47.436835
-1.727559,100,47.616455
-4.191997,100,47.797939
-2.967894,100,48.531686
-2.886526,100,48.712274
-1.858806,100,48.893418
-2.772176,100,49.06927
-3.429291,100,49.262203
-3.687369,100,49.437129
-3.009509,100,49.62241
-3.055156,100,49.804586
-3.115808,100,49.988052
-2.214771,100,50.172994
-2.652576,100,50.350466
-1.677138,100,50.531044
-4.718716,100,51.294764
-3.86803,100,51.479441
-6.201102,100,51.661204
-1.752056,100,51.845398
-1.64295,100,52.027087
-3.098298,100,52.208244
-2.573471,100,52.389013
-2.899135,100,52.571112
-2.722568,100,52.753128
-2.297123,100,52.936017
-1.665616,100,53.119639
-2.215764,100,53.303252
-3.03935,100,53.486059
-2.915547,100,54.264351
-2.228612,100,54.444824
-0.939349,100,54.623978
-5.668108,100,54.805725
-2.856956,100,54.985303
-1.562153,100,55.168622
-3.733877,100,55.348634
-4.190505,100,55.527078
-4.111668,100,55.707071
-3.594309,100,55.890634
-3.412594,100,56.071094
-2.737167,100,56.249318
-3.862323,100,57.018737
-4.435036,100,57.198511
-2.006993,100,57.379936
-4.831401,100,57.559324
-2.816385,100,57.740736
-1.444376,100,57.916727
-1.335721,100,58.0976
-5.266601,100,58.275662
