seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10,mean_reward,std_reward,upper,lower,timesteps
-2.60446674,-2.0385284200000005,-1.7840347200000004,-2.478772,-1.8603520800000002,-1.3137027199999998,-3.295011519999999,-2.3036490000000005,-1.9526233800000004,-1.83937174,-2.147051231999999,1.1347728644493436,-1.0122783675506566,-3.281824096449343,5000.0
-2.55690732,-1.9672797200000003,-1.7569650000000003,-2.43454442,-1.8444562000000002,-1.2900713599999998,-3.302762199999999,-2.27270384,-1.93708604,-1.81827808,-2.118105417999999,1.1209243367957344,-0.9971810812042655,-3.239029754795734,5100.0
-2.5062392199999994,-1.92502944,-1.7390803200000005,-2.37194066,-1.80706772,-1.2654787999999997,-3.2907463999999993,-2.2454605000000005,-1.89356876,-1.7534224800000002,-2.079803429999999,1.1112477060966293,-0.9685557239033707,-3.1910511360966285,5200.0
-2.437851019999999,-1.93282788,-1.6900908400000003,-2.36846528,-1.7642951,-1.2262853599999997,-3.2648511999999994,-2.18194458,-1.8397549600000003,-1.7325542200000001,-2.043892043999999,1.1003136070930404,-0.9435784369069595,-3.14420565109304,5300.0
-2.4081646599999997,-1.9002426600000002,-1.6828182600000003,-2.33117312,-1.7024479799999996,-1.2143865799999995,-3.268094559999999,-2.1799932,-1.7754172400000001,-1.7160923200000002,-2.017883057999999,1.0947822730754695,-0.9231007849245302,-3.1126653310754695,5400.0
-2.3466721799999997,-1.9088419,-1.6434736000000003,-2.32432538,-1.6755308599999998,-1.1907452399999996,-3.184802679999999,-2.1575281200000003,-1.7728662200000003,-1.7082049400000003,-1.9912991119999988,1.0762820904501136,-0.9150170215498862,-3.067581202450113,5500.0
-2.2574129199999997,-1.89740238,-1.6048071800000006,-2.28382608,-1.60744312,-1.1712520799999995,-3.1353369399999993,-2.1002780000000003,-1.7234185400000004,-1.6805619400000003,-1.9461739179999988,1.0588365767547772,-0.8873373412452227,-3.005010494754776,5600.0
-2.1832864799999996,-1.8736365400000004,-1.5540917000000007,-2.27604424,-1.5551157,-1.1243899599999996,-3.139397419999999,-2.0566495000000002,-1.6557940400000004,-1.6106774200000005,-1.902908299999999,1.0452267144222636,-0.8576815855777363,-2.948135014422262,5700.0
-2.141256,-1.8814157600000003,-1.5196727200000006,-2.26624258,-1.5028142200000003,-1.1060635999999997,-3.065541799999999,-1.99279958,-1.5522980600000003,-1.6006089000000003,-1.8628713219999993,1.0207177099216433,-0.8421536120783567,-2.883589031921642,5800.0
-2.1024060599999994,-1.86753808,-1.4724872400000006,-2.25731832,-1.4945684200000002,-1.0803822799999996,-3.054045099999999,-1.98080038,-1.5115104000000001,-1.5933372600000004,-1.8414393539999991,1.0141380566009504,-0.8273012973990497,-2.855577410600949,5900.0
-2.0797608,-1.7995344000000002,-1.4519909800000008,-2.23656128,-1.4823051400000002,-1.0405565999999995,-3.070552919999999,-1.95973436,-1.4757899800000005,-1.5819742200000004,-1.817876067999999,1.003850196909305,-0.8140258710906951,-2.821726264909304,6000.0
-2.0535883399999997,-1.7611501800000002,-1.427715000000001,-2.22794974,-1.4903695400000003,-1.0241077199999995,-3.059962339999999,-1.90820398,-1.4588883000000004,-1.5750736200000006,-1.7987008759999992,0.995393030400948,-0.8033078455990521,-2.794093906400947,6100.0
-2.0435337199999997,-1.7545642399999999,-1.3830807600000008,-2.2219138999999997,-1.3907942200000005,-1.0244500799999996,-3.044265759999999,-1.8645676799999997,-1.4255973200000005,-1.5595597000000005,-1.7712327379999993,0.9802020442087581,-0.7910306937912419,-2.751434782208757,6200.0
-2.03539776,-1.7476856,-1.372696780000001,-2.1997044,-1.2877576800000003,-1.0152822799999996,-3.0541125199999994,-1.8639343199999996,-1.3679949200000003,-1.5361568000000008,-1.7480723059999994,0.9607963513424616,-0.7872759546575385,-2.7088686573424603,6300.0
-2.00081666,-1.7116148800000002,-1.3700579800000008,-2.1896296799999995,-1.2817285400000002,-0.9965822399999995,-3.0680567199999995,-1.8183774799999994,-1.3566543800000002,-1.4397364200000007,-1.7233254979999995,0.9473852358040841,-0.7759402621959162,-2.670710733804083,6400.0
-1.91200234,-1.7029734200000002,-1.3569701000000007,-2.2017423599999995,-1.2172963200000004,-0.9727870799999995,-3.077020759999999,-1.7942383399999995,-1.3424513200000001,-1.4459665200000007,-1.7023448559999996,0.9366208371291319,-0.7657240188708683,-2.6389656931291308,6500.0
-1.83863004,-1.6845775000000003,-1.3170609000000006,-2.1829247999999994,-1.2017129600000003,-0.9571141199999995,-3.1029298399999994,-1.7789918199999994,-1.3101759400000004,-1.4327354600000006,-1.6806853379999998,0.9299849878421059,-0.7507003501578943,-2.610670325842105,6600.0
-1.81526616,-1.6610146000000003,-1.3261676400000006,-2.17061148,-1.1997976600000002,-0.9363942599999996,-3.1158829599999995,-1.7444250199999993,-1.3195684200000002,-1.4223549800000006,-1.6711483179999995,0.9290869324892332,-0.7420613855107671,-2.600235250489232,6700.0
-1.81715338,-1.6558394200000004,-1.3351202000000009,-2.1794862,-1.1918822800000002,-0.9206439799999996,-3.1036050199999994,-1.7278887799999993,-1.3265495800000002,-1.3969927000000004,-1.6655161539999994,0.9311756486779426,-0.7343405053220576,-2.5966918026779418,6800.0
-1.82585004,-1.6395880400000002,-1.3270688400000008,-2.2006107,-1.1801114400000003,-0.9018248999999996,-2.9770947999999993,-1.7156065799999993,-1.2883411600000003,-1.3995380800000006,-1.6455634579999994,0.9012029714816299,-0.7443604865183703,-2.546766429481629,6900.0
-1.83262878,-1.62680302,-1.330103220000001,-2.2292916799999998,-1.1895808800000003,-0.9064527599999995,-2.971011639999999,-1.6610465799999994,-1.2849317400000002,-1.3957858800000005,-1.6427636179999996,0.9010021803187181,-0.7417614376812819,-2.5437657983187174,7000.0
-1.7523099199999999,-1.63685014,-1.3284363800000012,-2.219133,-1.1889489600000003,-0.9083193599999996,-2.8477873199999992,-1.6262944999999993,-1.27416762,-1.3751174600000005,-1.6157364659999995,0.86181791499349,-0.7539185510065102,-2.4775543809934892,7100.0
-1.69041542,-1.637889,-1.347860780000001,-2.2166059799999998,-1.1749077400000003,-0.8883469399999996,-2.854792659999999,-1.5967596799999992,-1.2771058800000001,-1.3562564800000008,-1.6040940559999997,0.850440208806289,-0.7536538471937111,-2.4545342648062882,7200.0
-1.65429806,-1.58145976,-1.3372941000000012,-2.2225278999999993,-1.1733414400000004,-0.8707849599999996,-2.852616319999999,-1.5515664399999993,-1.2835906200000002,-1.322651060000001,-1.5850130659999997,0.8439114967932357,-0.7411015692067643,-2.428924562793235,7300.0
-1.6082545599999998,-1.5156886600000001,-1.3623383600000012,-2.2249442199999994,-1.1773531200000003,-0.8772170799999996,-2.7441170399999986,-1.5414541599999996,-1.2711263600000005,-1.2940473600000006,-1.5616540919999995,0.8129451216846156,-0.7487089703153845,-2.374599213684615,7400.0
-1.6004199399999999,-1.5016451000000002,-1.3503301800000012,-2.17900408,-1.2010446000000004,-0.8569727999999996,-2.6539202999999985,-1.5348709399999994,-1.2629415800000003,-1.2927568000000007,-1.5433906319999995,0.7895035108047247,-0.7538871211952752,-2.332894142804724,7500.0
-1.5995593599999998,-1.51635278,-1.3635147400000012,-2.1884482999999997,-1.22140584,-0.8628080599999997,-2.6652239799999986,-1.5322724199999993,-1.2532658200000002,-1.2906549400000005,-1.5493506239999997,0.7915589813375454,-0.7577916426624545,-2.340909605337545,7600.0
-1.5984316199999997,-1.50408398,-1.352726560000001,-2.1722789199999997,-1.2368400400000001,-0.8543026999999996,-2.5406142199999984,-1.5084669999999993,-1.2208315200000004,-1.2594954400000007,-1.5248071999999997,0.758564945472183,-0.7662422545278169,-2.2833721454721823,7700.0
-1.5975610599999999,-1.5171596,-1.348825760000001,-2.1441668799999998,-1.24495888,-0.8671483999999997,-2.538336799999999,-1.4868950799999996,-1.2133323800000004,-1.2041834000000007,-1.5162568239999996,0.7495052005459927,-0.7667516234540073,-2.265762024545992,7800.0
-1.5053253599999998,-1.5042991000000001,-1.3502140400000013,-2.0595242,-1.24988524,-0.8632118399999997,-2.5489866799999987,-1.4620989199999994,-1.2128586200000004,-1.1964713200000008,-1.4952875319999999,0.7232862121793091,-0.7720013198206908,-2.2185737441793085,7900.0
-1.46810014,-1.50114526,-1.3473777200000012,-2.0504886599999996,-1.25242962,-0.8522794399999998,-2.551262679999999,-1.4658881399999992,-1.1949975200000003,-1.1749735200000009,-1.48589427,0.7201605655957987,-0.7657337044042012,-2.2060548355957983,8000.0
-1.43827998,-1.4840351199999997,-1.3469068000000013,-1.9900693399999994,-1.2400467000000002,-0.8477307999999998,-2.5543771399999993,-1.4419052199999993,-1.1867244600000004,-1.1629769600000008,-1.469305252,0.708001671199106,-0.7613035808008938,-2.177306923199106,8100.0
-1.41038702,-1.4769014799999995,-1.3467117000000013,-1.9756796799999996,-1.2482475800000001,-0.8404303999999998,-2.5628285799999992,-1.4330173399999993,-1.1820959600000005,-1.1243314800000008,-1.460063122,0.7075269323669082,-0.7525361896330917,-2.167590054366908,8200.0
-1.41219794,-1.4629866199999997,-1.354547800000001,-1.9711335399999994,-1.2453416600000002,-0.8432434799999997,-2.5608994399999996,-1.4261401999999992,-1.1651541400000005,-1.1136961800000007,-1.4555341000000002,0.7043994069643454,-0.7511346930356543,-2.1599335069643453,8300.0
-1.42365352,-1.4653809399999997,-1.342825820000001,-1.9751998399999993,-1.2654009800000003,-0.8367346799999997,-2.4844023399999995,-1.4296748199999993,-1.1802759000000007,-1.0959207400000006,-1.4499469580000002,0.6865053095938175,-0.763441648406182,-2.1364522675938176,8400.0
-1.41171916,-1.4508128399999998,-1.349596980000001,-1.9859481999999995,-1.2325673400000003,-0.8262377599999998,-2.4141915799999993,-1.4312265599999991,-1.1799610200000006,-1.0722136400000006,-1.4354475080000002,0.6705931948975032,-0.7648543131024964,-2.1060407028975034,8500.0
-1.4278468000000002,-1.43187586,-1.3576963000000009,-1.9708883799999994,-1.2521625400000003,-0.8297955999999997,-2.3442117999999996,-1.425181059999999,-1.1787006400000004,-1.0735506400000006,-1.429190962,0.6510673819287696,-0.77812358007123,-2.0802583439287696,8600.0
-1.4302335200000003,-1.4139666799999997,-1.362774860000001,-1.9827257599999997,-1.2713692800000003,-0.8455907599999998,-2.2887679,-1.388478939999999,-1.1711337600000005,-1.0485423000000005,-1.420358376,0.6336971932188672,-0.7866611827811325,-2.054055569218867,8700.0
-1.4295457400000005,-1.3963441999999997,-1.369454460000001,-1.9971578599999995,-1.2715032200000003,-0.8436934799999998,-2.2674823399999995,-1.398419979999999,-1.1563158400000004,-1.0357956600000007,-1.4165712780000002,0.6335720698849031,-0.7829992081150965,-2.0501433478849034,8800.0
-1.4190303200000005,-1.3815446999999998,-1.371007700000001,-2.0031424399999995,-1.2630329200000001,-0.8227606599999997,-2.2207056599999997,-1.403043639999999,-1.1683089200000003,-1.0175135200000005,-1.4070090480000002,0.626050571619532,-0.7809584763804677,-2.0330596196195323,8900.0
-1.3959519200000006,-1.38018622,-1.381740760000001,-2.0098014799999997,-1.26645056,-0.8094941399999998,-2.0796239399999994,-1.4204702199999988,-1.1804290200000005,-1.0082968400000005,-1.3932445100000002,0.5890227716033067,-0.804221738396693,-1.9822672816033071,9000.0
-1.3987645200000005,-1.37203148,-1.3871843000000013,-2.0099782599999996,-1.2883880200000002,-0.8004418199999996,-2.0459824399999995,-1.3881848399999988,-1.1857368600000004,-0.9981239000000006,-1.3874816440000002,0.5850119379789774,-0.8024697060210222,-1.9724935819789777,9100.0
-1.4036269800000007,-1.3682952600000002,-1.3783588400000013,-2.0316629399999995,-1.2858975600000002,-0.8122654999999998,-2.0489800999999996,-1.3737520999999986,-1.1920182000000006,-0.9990682400000007,-1.3893925720000002,0.5822123073591526,-0.8071802646408471,-1.9716048793591527,9200.0
-1.3944966800000005,-1.36944382,-1.3807264200000013,-2.0184826599999997,-1.2923475600000003,-0.8087322399999998,-2.0007432599999997,-1.3367400799999987,-1.1849007600000006,-0.9996357800000006,-1.3786249260000003,0.5696078786084642,-0.8090170473915357,-1.9482328046084643,9300.0
-1.3947744200000005,-1.36225524,-1.3892057200000016,-2.0165640199999997,-1.2961226800000003,-0.8012494599999996,-2.0014513199999997,-1.3086501399999986,-1.1890713200000005,-0.9957059000000007,-1.3755050220000005,0.5647457552840556,-0.8107592667159441,-1.9402507772840558,9400.0
-1.3871327800000006,-1.3684635,-1.3800304200000015,-2.0055681999999995,-1.3102999800000001,-0.8047224799999997,-1.9956857199999996,-1.2922813199999987,-1.1887641400000004,-0.9812951800000006,-1.3714243720000006,0.5612430778086798,-0.8101812941913199,-1.9326674498086802,9500.0
-1.3925927600000005,-1.3456195800000001,-1.3687536400000015,-2.0343380599999996,-1.32508948,-0.8045510799999996,-1.9916280999999996,-1.2555323799999987,-1.1961400400000004,-0.9593151600000006,-1.3673560280000003,0.5603043498282243,-0.8070516781717754,-1.9276603778282249,9600.0
