seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10,mean_reward,std_reward,upper,lower,timesteps
-3.845803,-2.469353,-1.9124830000000002,-2.464768,-0.8530200000000001,-2.667775,-2.1823509999999997,-3.8814029999999997,-4.200684,-2.6903669999999997,-2.7168006999999994,1.0201824132371893,-1.6966182867628101,-3.736983113237189,100
-3.666879,-3.279062,-2.432085,-5.640089,-3.317992,-1.329278,-1.0556709999999998,-4.460358,-1.55929,-3.68667,-3.0427374,1.45867475534002,-1.5840626446599801,-4.50141215534002,200
-2.691523,-1.011603,-1.4765409999999999,-3.014019,-1.612184,-1.726141,-2.902044,-3.917825,-1.8256459999999999,-3.030271,-2.3207797,0.9151426208165042,-1.4056370791834958,-3.2359223208165044,300
-3.141473,-1.460342,-4.962956,-2.2016709999999997,-3.8041650000000002,-3.109008,-3.072767,-1.503206,-5.013496,-3.764486,-3.2033569999999996,1.2476824077111042,-1.9556745922888954,-4.451039407711104,400
-3.445643,-2.965982,-2.4079200000000003,-2.907971,-4.276006,-5.676154,-1.868167,-4.810126,-4.571116,-3.605062,-3.6534147000000003,1.177161104714318,-2.4762535952856823,-4.830575804714318,500
-4.3643730000000005,-2.135314,-2.311819,-1.812083,-1.4722680000000001,-6.642592999999999,-3.049044,-0.677558,-1.515878,-3.8479449999999997,-2.7828875,1.7620309270679195,-1.0208565729320807,-4.54491842706792,600
-4.0823,-3.305354,-3.751494,-3.98158,-3.8631900000000003,-5.624998000000001,-2.162865,-2.373627,-3.232812,-6.302194999999999,-3.8680414999999995,1.2886443907091971,-2.5793971092908023,-5.156685890709197,700
-2.962891,-5.244982,-2.3528279999999997,-3.912725,-2.553655,-2.235005,-1.6456169999999999,-2.163812,-3.329249,-2.82964,-2.9230404,1.037594670688811,-1.885445729311189,-3.960635070688811,800
-3.5896230000000005,-4.301174,-2.422323,-2.466389,-2.760912,-3.3115629999999996,-2.889776,-1.937941,-3.927028,-5.083526,-3.2690255,0.9678284977424977,-2.3011970022575023,-4.2368539977424975,900
-2.834373,-4.409716,-4.627512,-5.240778,-6.33213,-2.4175560000000003,-6.114269,-4.432694000000001,-3.240583,-1.944877,-4.159448800000001,1.513134246744874,-2.6463145532551264,-5.672583046744875,1000
-2.209821,-1.94173,-2.000718,-4.164966000000001,-4.456883,-2.896012,-3.7486300000000004,-1.9421080000000002,-2.482579,-6.479203,-3.2322650000000004,1.481217224155638,-1.7510477758443623,-4.713482224155639,1100
-2.5642259999999997,-3.7928269999999995,-1.4426450000000002,-4.503925,-2.2618720000000003,-2.8706720000000003,-1.443263,-6.224444,-2.800604,-2.444557,-3.0349034999999995,1.461496176026871,-1.5734073239731285,-4.49639967602687,1200
-4.659227,-2.209707,-3.271146,-5.319979,-1.6951599999999998,-3.3957839999999995,-2.6124099999999997,-3.69299,-4.794101,-3.422338,-3.5072842,1.1617481422570615,-2.3455360577429385,-4.669032342257061,1300
-1.9890459999999999,-1.8149650000000002,-2.6280669999999997,-5.663505000000001,-3.932548,-4.390386,-2.81023,-5.166286,-1.590367,-2.0313689999999998,-3.2016769000000003,1.4798322412341545,-1.7218446587658458,-4.681509141234155,1400
-1.4295360000000001,-4.347243,-4.789169,-2.51065,-1.369422,-3.566935,-1.3040180000000001,-4.13278,-1.81808,-3.149867,-2.84177,1.3346153447312077,-1.5071546552687922,-4.176385344731208,1500
-1.9095950000000002,-3.595387,-1.8358709999999998,-2.165034,-3.830292,-3.115891,-2.973642,-1.5970719999999998,-2.147811,-3.3425629999999997,-2.6513158,0.8093426226455916,-1.8419731773544084,-3.4606584226455914,1600
-3.405699,-3.3141300000000005,-3.9339910000000002,-4.620094,-1.670775,-2.356861,-4.764823000000001,-1.6254520000000001,-3.3442800000000004,-3.946229,-3.2982334,1.1090140176492311,-2.189219382350769,-4.407247417649231,1700
-1.307217,-4.876068,-3.418256,-3.8024190000000004,-3.158496,-2.258104,-2.440919,-3.1345330000000002,-3.943432,-2.4836720000000003,-3.0823115999999997,1.0109988270986932,-2.0713127729013063,-4.093310427098693,1800
-2.6429259999999997,-3.212053,-5.276686,-2.621382,-2.014025,-2.718222,-1.829041,-4.534632,-4.62306,-3.040625,-3.2512652,1.1681674676714615,-2.0830977323285387,-4.419432667671462,1900
-5.140412,-2.669161,-2.8786650000000003,-1.984268,-3.9870620000000003,-2.902898,-3.169657,-3.227146,-2.619374,-0.9208129999999999,-2.9499456,1.1177452973721698,-1.8322003026278302,-4.06769089737217,2000
-5.489116,-0.745085,-4.37071,-2.580507,-1.49312,-3.19403,-2.682178,-2.6989509999999997,-1.6549650000000002,-4.5856449999999995,-2.9494307,1.4956586574126278,-1.4537720425873724,-4.445089357412628,2100
-5.36531,-3.3818699999999997,-1.250174,-1.991552,-3.974241,-3.494424,-1.575747,-3.7315129999999996,-2.495427,-1.766148,-2.9026406000000002,1.302082909528012,-1.6005576904719883,-4.204723509528012,2200
-2.077322,-2.755647,-2.313053,-2.220611,-1.6959419999999998,-1.370623,-5.960573,-4.495481,-2.413712,-4.167708,-2.9470672,1.453980583649039,-1.4930866163509613,-4.401047783649039,2300
-1.97963,-2.5551209999999998,-6.339912,-5.45781,-5.4584790000000005,-1.737352,-0.956123,-3.876181,-3.11233,-4.39374,-3.5866678,1.8114382826776567,-1.7752295173223431,-5.398106082677657,2400
-3.2459439999999997,-1.538698,-4.283627,-5.909355000000001,-4.656291,-2.026481,-1.758775,-3.161584,-5.021066,-2.265736,-3.3867556999999997,1.5163470897904645,-1.8704086102095352,-4.903102789790465,2500
-4.46333,-4.058653,-2.2420560000000003,-0.680974,-3.226429,-4.098647,-5.786175,-2.641438,-3.924464,-4.467746,-3.5589912,1.4239333283111568,-2.135057871688843,-4.982924528311157,2600
-3.969839,-2.571972,-2.563224,-3.6984589999999997,-4.3391980000000006,-3.7315089999999995,-3.802806,-3.849269,-4.596925,-3.3030169999999996,-3.6426217999999997,0.667423478044537,-2.9751983219554625,-4.310045278044536,2700
-3.402971,-3.5866599999999997,-4.8198,-3.065865,-2.5638919999999996,-3.7719769999999997,-1.537334,-4.239315,-2.133257,-2.246521,-3.1367592,1.022846857076616,-2.113912342923384,-4.1596060570766165,2800
-2.501558,-1.369257,-3.826796,-1.633645,-1.459423,-2.170595,-1.385425,-0.7896810000000001,-4.777168,-2.21326,-2.2126808,1.228843545386004,-0.9838372546139957,-3.4415243453860036,2900
-2.957791,-3.3491760000000004,-1.908668,-3.3638660000000002,-2.204319,-2.448661,-4.993086,-2.319418,-5.971954,-2.598494,-3.2115433,1.3066491519252212,-1.904894148074779,-4.518192451925222,3000
-3.508339,-3.443082,-1.7800340000000001,-3.3204830000000003,-1.379525,-5.56254,-2.156156,-2.976979,-2.455247,-1.918577,-2.8500962000000003,1.2107128192141652,-1.6393833807858351,-4.060809019214165,3100
-2.1717310000000003,-6.118052,-2.119318,-1.300861,-3.2275009999999997,-4.58887,-4.0765400000000005,-5.127578,-3.174109,-4.884982,-3.6789542000000006,1.5386294790539186,-2.140324720946082,-5.217583679053919,3200
-2.504058,-1.821552,-3.0340580000000004,-5.739401,-3.7523519999999997,-1.6790619999999998,-2.10134,-1.070287,-3.777414,-2.573115,-2.8052639,1.3494793471779691,-1.4557845528220308,-4.154743247177969,3300
-4.045783999999999,-2.231072,-4.398398,-5.122016,-2.129033,-2.441385,-1.8596400000000002,-3.9376620000000004,-4.3045599999999995,-2.80775,-3.3277300000000003,1.157507659238302,-2.1702223407616983,-4.485237659238303,3400
-3.70629,-1.722105,-2.12819,-1.875552,-1.582964,-4.012492,-3.7739870000000004,-2.433721,-1.980578,-3.478819,-2.6694698000000003,0.9594641300123731,-1.7100056699876274,-3.6289339300123733,3500
-1.968863,-2.8316209999999997,-3.585178,-3.266139,-4.440179,-2.8441259999999997,-1.8731970000000002,-2.240078,-4.304461,-2.792802,-3.0146643999999996,0.8939821044490518,-2.1206822955509477,-3.9086465044490515,3600
-3.3054099999999997,-3.9580260000000003,-1.156118,-4.3537989999999995,-3.9834160000000005,-3.984288,-1.236844,-2.372753,-2.787003,-3.4691419999999997,-3.0606798999999993,1.1503859670166212,-1.9102939329833781,-4.211065867016621,3700
-2.584434,-5.458816000000001,-1.017906,-1.216736,-2.778518,-3.313161,-1.621329,-5.4289629999999995,-3.436405,-1.234408,-2.8090675999999997,1.6403973106601812,-1.1686702893398184,-4.449464910660181,3800
-5.440066000000001,-2.539625,-3.6202349999999996,-2.689231,-3.5139379999999996,-2.701612,-5.132303,-5.235447,-5.947007,-4.693646,-4.151311000000001,1.2841927830235529,-2.867118216976448,-5.435503783023553,3900
-2.290292,-2.700615,-2.217784,-2.2224169999999996,-3.033998,-1.1729120000000002,-1.305153,-1.392506,-5.1475290000000005,-1.070317,-2.2553523,1.2200327440234318,-1.0353195559765684,-3.475385044023432,4000
-3.891132,-2.654929,-1.7925099999999998,-3.835815,-3.0212220000000003,-3.122451,-0.919107,-3.47436,-3.799981,-1.489228,-2.8000735,1.0626529872000392,-1.7374205127999607,-3.862726487200039,4100
-1.8252979999999999,-3.103868,-1.804093,-4.119934,-5.419544999999999,-4.441155999999999,-2.655723,-4.126107,-2.8181439999999998,-2.426554,-3.2740421999999993,1.2020284690941574,-2.0720137309058417,-4.476070669094157,4200
-2.90207,-2.103889,-2.6129,-4.1700349999999995,-2.524364,-1.987552,-3.357251,-2.221314,-1.554253,-2.750846,-2.6184474,0.7463341878289286,-1.8721132121710715,-3.3647815878289284,4300
-4.622977,-3.3421839999999996,-2.607971,-3.0827970000000002,-1.521576,-2.55946,-2.922263,-2.271588,-2.439236,-4.696219,-3.0066271,1.0010717804120908,-2.0055553195879092,-4.007698880412091,4400
-3.128508,-4.8947389999999995,-4.89846,-1.498364,-3.714667,-2.191965,-3.140083,-1.5643719999999999,-3.077191,-3.1288,-3.1237149000000004,1.1822495431886948,-1.9414653568113056,-4.305964443188695,4500
-2.8608759999999998,-3.923025,-4.426805,-2.88382,-4.928485,-2.838623,-3.042453,-1.8810759999999997,-1.483365,-3.537178,-3.1805706000000002,1.0636507131275337,-2.1169198868724663,-4.244221313127534,4600
-5.6626959999999995,-4.330622,-2.686394,-2.741893,-2.816951,-2.652205,-1.232163,-4.417623000000001,-0.765261,-4.984582,-3.229039,1.588950710610412,-1.6400882893895883,-4.817989710610412,4700
-5.650317,-2.591367,-4.5391379999999995,-2.165204,-2.437208,-2.2225479999999997,-3.046204,-3.7954550000000005,-3.5805230000000003,-3.2609310000000002,-3.3288895,1.1123773388675515,-2.2165121611324485,-4.441266838867551,4800
-6.1796120000000005,-3.004353,-5.649144000000001,-3.8202559999999997,-3.075228,-2.3740580000000002,-2.101902,-2.3557259999999998,-2.642621,-3.6484360000000002,-3.4851336,1.3989881183952766,-2.0861454816047234,-4.884121718395277,4900
-1.960305,-2.765924,-4.695781,-3.296161,-1.942711,-6.001809,-4.634544,-1.3822379999999999,-3.498386,-2.78078,-3.2958639000000005,1.4505875676745958,-1.8452763323254047,-4.746451467674596,5000
-3.710743,-2.006885,-2.525819,-2.769375,-2.084952,-4.082382,-2.9918720000000003,-1.36385,-4.4875739999999995,-4.358397,-3.0381849,1.0800680533588252,-1.958116846641175,-4.118252953358825,5100
-3.668745,-2.237245,-4.181015,-2.284749,-3.0629419999999996,-4.019298,-1.999337,-1.120901,-2.924903,-3.64005,-2.9139185,0.9917363226685083,-1.9221821773314915,-3.905654822668508,5200
-3.058153,-3.219866,-2.888139,-3.101331,-1.097209,-4.627555,-3.143234,-5.364003,-1.239859,-2.135254,-2.9874603,1.3248642806111668,-1.6625960193888332,-4.3123245806111665,5300
-1.8126669999999998,-1.411969,-4.932926999999999,-1.4909379999999999,-2.51328,-2.324586,-2.713352,-2.312188,-5.411059,-2.084336,-2.7007302,1.3723229212026509,-1.3284072787973493,-4.073053121202651,5400
