#{"t_start": 1593171805.483489, "env_id": "widowx_reacher-v5"}
r,l,t
-1.912483,100,6.332668
-2.422323,100,6.53433
-3.933991,100,6.733153
-4.283627,100,6.953168
-3.034058,100,7.167222
-1.79251,100,7.383832
-5.649144,100,7.598363
-2.794527,100,7.811815
-4.051694,100,8.037277
-4.751531,100,8.249304
-3.440062,100,8.460345
-2.704777,100,8.673061
-1.82293,100,9.459309
-5.829332,100,9.663977
-1.560624,100,9.867846
-3.860498,100,10.075248
-3.193793,100,10.290962
-1.28077,100,10.494698
-5.033251,100,10.700811
-2.59673,100,10.903991
-1.903394,100,11.101387
-2.342259,100,11.302031
-1.754128,100,11.501234
-3.407251,100,11.700614
-2.911486,100,11.910874
-3.240526,100,12.571051
-3.119684,100,12.767975
-1.451752,100,12.965198
-1.660286,100,13.16516
-1.824759,100,13.367675
-2.886192,100,13.574183
-3.72248,100,13.772315
-2.984864,100,13.981997
-3.358722,100,14.184005
-2.459865,100,14.387103
-2.917967,100,14.587453
-4.30311,100,14.785466
-5.409062,100,15.464742
-2.974293,100,15.660704
-4.108162,100,15.859874
-2.448477,100,16.066202
-2.729898,100,16.264506
-2.154346,100,16.459321
-3.441662,100,16.654485
-1.224515,100,16.849657
-1.896008,100,17.044746
-2.636179,100,17.241147
-3.781406,100,17.436426
-3.371538,100,17.643497
-1.18856,100,17.838376
-1.764144,100,18.494422
-1.162753,100,18.689453
-2.303857,100,18.884363
-1.781863,100,19.079336
-2.069623,100,19.274571
-3.619658,100,19.471574
-4.046874,100,19.677267
-2.883863,100,19.871164
-2.110896,100,20.065056
-7.2264,100,20.25948
-3.041664,100,20.453848
-0.775249,100,20.647817
-0.783549,100,21.310578
-3.00347,100,21.504915
-4.589739,100,21.711202
-1.540334,100,21.906514
-5.263617,100,22.101673
-3.980624,100,22.29699
-2.270883,100,22.492026
-3.779648,100,22.687071
-3.425832,100,22.881849
-2.428062,100,23.079738
-3.25915,100,23.28691
-4.209489,100,23.483737
-6.732187,100,23.686047
-3.408273,100,24.349046
-4.24195,100,24.543033
-2.858399,100,24.738194
-2.087209,100,24.932553
-2.778001,100,25.126224
-1.489557,100,25.334032
-3.534103,100,25.527855
-3.684758,100,25.728888
-2.915383,100,25.92355
-4.726635,100,26.119943
-1.155752,100,26.316608
-2.384985,100,26.513462
-2.51509,100,27.176107
-3.062315,100,27.388066
-3.276533,100,27.585469
-3.163623,100,27.781297
-2.520292,100,27.976941
-4.381308,100,28.172783
-2.830392,100,28.370425
-2.758355,100,28.566333
-1.55098,100,28.762173
-3.46649,100,28.973336
-3.555223,100,29.169184
-1.879723,100,29.365438
-2.249016,100,29.561747
-1.754535,100,30.227557
-4.017976,100,30.425053
-2.224496,100,30.622077
-2.626149,100,30.819116
-1.761246,100,31.028063
-2.243575,100,31.224922
-3.274075,100,31.424406
-5.47079,100,31.621015
-2.849334,100,31.817752
-2.505767,100,32.017768
-1.44862,100,32.213711
-2.345953,100,32.409898
-1.564968,100,33.075709
-2.089764,100,33.271187
-5.777979,100,33.467847
-3.83795,100,33.664475
-5.00761,100,33.862681
-2.8473,100,34.059721
-2.754292,100,34.256774
-2.949,100,34.453779
-2.019413,100,34.662288
-1.914328,100,34.858922
-1.456664,100,35.055817
-2.534778,100,35.252958
-3.153844,100,35.45197
-2.058958,100,36.090784
-2.317298,100,36.286489
-2.390452,100,36.482306
-3.636417,100,36.690406
-3.234418,100,36.891718
-4.27504,100,37.087564
-0.87664,100,37.283276
-1.580894,100,37.478974
-4.919083,100,37.674374
-4.149215,100,37.869955
-1.985513,100,38.065753
-1.963304,100,38.274163
-2.957803,100,38.930761
-2.26621,100,39.130168
-2.849747,100,39.326964
-3.62087,100,39.524981
-1.724284,100,39.720086
-2.051981,100,39.915435
-2.445951,100,40.110733
-1.956028,100,40.317945
-4.329552,100,40.513106
-2.898334,100,40.708655
-3.076069,100,40.904097
-2.062262,100,41.099388
-3.131463,100,41.294461
-2.735392,100,41.94363
-2.483298,100,42.13968
-4.074904,100,42.348271
-2.296213,100,42.545067
-2.162281,100,42.741282
-4.671688,100,42.937776
-3.298065,100,43.136948
-5.15665,100,43.334064
-2.352133,100,43.532517
-2.476016,100,43.727361
-5.138693,100,43.934631
-1.828094,100,44.129398
-6.333683,100,44.778775
-3.382131,100,44.974342
-3.364766,100,45.169631
-2.942636,100,45.365144
-4.750514,100,45.560339
-4.846857,100,45.75586
-1.475072,100,45.963521
-5.303024,100,46.159659
-2.27251,100,46.356151
-4.01221,100,46.552795
-5.381115,100,46.749184
-4.142531,100,46.945543
-1.948079,100,47.141747
-3.479639,100,47.792463
-4.240758,100,47.999045
-2.638706,100,48.193985
-2.424779,100,48.389354
-3.577458,100,48.584335
-3.68662,100,48.779289
-2.685513,100,48.974348
-3.85184,100,49.169075
-3.91791,100,49.36433
-2.338249,100,49.571526
-2.907692,100,49.766486
-4.6268,100,49.961993
-1.446638,100,50.601394
-4.095738,100,50.797534
-1.872071,100,50.99374
-2.387601,100,51.189919
-1.885826,100,51.387677
-2.526792,100,51.596306
-3.395181,100,51.790811
-3.159306,100,51.985627
-3.389333,100,52.180367
-3.469169,100,52.375444
-2.753337,100,52.570685
-3.584108,100,52.765984
-1.886837,100,52.961122
-3.755514,100,53.623934
-4.985778,100,53.818907
-3.04862,100,54.021631
-3.942924,100,54.217792
-2.830794,100,54.414149
-4.796066,100,54.610244
-4.179584,100,54.806312
-2.47941,100,55.002474
-1.298061,100,55.210556
-3.575828,100,55.409292
-1.535553,100,55.605719
-3.085473,100,55.800455
-2.856481,100,56.438077
-3.06434,100,56.636686
-3.413011,100,56.831871
-3.128234,100,57.027058
-4.314951,100,57.239854
-3.707458,100,57.446494
-3.473733,100,57.652224
-4.018356,100,57.857721
-4.433461,100,58.06402
-3.623635,100,58.270286
-2.18428,100,58.475608
-3.57647,100,58.679862
-1.261432,100,58.900365
-3.482515,100,59.587354
-4.227497,100,59.788111
-1.440179,100,59.989685
-0.948372,100,60.191884
-1.327787,100,60.388155
-2.065948,100,60.58337
-3.314056,100,60.778781
-2.664504,100,60.986165
-2.357702,100,61.18112
-1.505125,100,61.376682
-2.443228,100,61.572349
-1.328286,100,61.76808
-4.54986,100,62.420432
-3.96249,100,62.61701
-2.830686,100,62.813364
-1.397143,100,63.021692
-2.343242,100,63.21831
-1.825221,100,63.415417
-4.519689,100,63.612546
-4.753616,100,63.807824
-2.486448,100,64.003551
-4.001649,100,64.199863
-2.985883,100,64.395016
-1.9796,100,64.602435
