#{"t_start": 1593213514.8625045, "env_id": "widowx_reacher-v5"}
r,l,t
-4.339207,100,3.97457
-0.83259,100,4.407173
-0.872447,100,4.76016
-1.887759,100,5.136468
-2.128424,100,5.526131
-2.620791,100,5.887303
-0.290769,100,6.273829
-0.964644,100,6.639857
-0.212351,100,7.009927
-0.225372,100,7.40017
-0.397462,100,7.743815
-0.26283,100,8.086496
-0.277104,100,8.375017
-0.256448,100,8.666262
-0.358258,100,8.957507
-0.377914,100,9.2481
-1.013613,100,9.535447
-0.971931,100,9.823342
-1.097097,100,10.110612
-0.946861,100,10.405701
-0.622567,100,10.693881
-0.363176,100,10.983288
-0.432471,100,11.272809
-0.264126,100,11.562215
-0.304931,100,11.851925
-0.310065,100,12.142118
-0.893375,100,12.431617
-0.701003,100,12.72147
-0.358583,100,13.010861
-0.362401,100,13.305232
-0.260339,100,13.594141
-0.251271,100,13.886869
-0.288131,100,14.177859
-0.238134,100,14.469794
-0.474392,100,14.759942
-0.595711,100,15.050007
-0.509058,100,15.339311
-0.443551,100,15.631024
-0.691617,100,15.92365
-0.336382,100,16.219295
-0.316888,100,16.512291
-0.243752,100,16.804397
-0.469544,100,17.095256
-1.020029,100,17.388101
-0.234298,100,17.681872
-0.20039,100,17.97346
-0.195593,100,18.263944
-0.180914,100,18.555025
-0.235501,100,18.845342
-0.19909,100,19.135995
-0.230738,100,19.42909
-0.200526,100,19.726186
-0.233236,100,20.016614
-0.216821,100,20.307807
-0.312371,100,20.600918
-0.209642,100,20.892013
-0.265535,100,21.182909
-0.19512,100,21.473976
-0.272303,100,21.76605
-0.249736,100,22.05739
-0.241569,100,22.348029
-0.282792,100,22.639097
-0.474785,100,22.932266
-0.532445,100,23.225865
-0.448298,100,23.516402
-0.38027,100,23.806857
-0.271468,100,24.096756
-0.365134,100,24.392013
-0.394172,100,24.682512
-0.367096,100,24.973241
-0.48861,100,25.264893
-0.620118,100,25.555726
-0.413081,100,25.845869
-0.385669,100,26.139211
-0.409656,100,26.429813
-0.433419,100,26.721169
-0.493264,100,27.012849
-0.472376,100,27.302674
-0.413761,100,27.592022
-0.361973,100,27.881737
-0.255919,100,28.173085
-0.190993,100,28.463959
-0.1952,100,28.754757
-0.177399,100,29.054303
-0.350059,100,29.345848
-0.41088,100,29.63685
-0.455239,100,29.927407
-0.387562,100,30.21889
-0.564504,100,30.509732
-0.393982,100,30.802382
-0.405058,100,31.092917
-0.379527,100,31.384164
-0.382131,100,31.674905
-0.365388,100,31.96631
-0.345888,100,32.25737
-0.304834,100,32.548891
-0.281027,100,32.839829
-0.38931,100,33.130896
-0.710097,100,33.42471
-0.448197,100,33.717282
-0.285441,100,34.460222
-0.265991,100,34.753905
-0.471225,100,35.046262
-0.387668,100,35.338696
-0.402923,100,35.629924
-0.306435,100,35.922641
-0.241031,100,36.213911
-0.209933,100,36.505283
-0.304792,100,36.793455
-0.261873,100,37.082669
-0.202542,100,37.37168
-0.178424,100,37.660731
-0.350476,100,37.949116
-0.342034,100,38.238584
-0.245568,100,38.526918
-0.487239,100,38.815545
