#{"t_start": 1593216347.6744564, "env_id": "widowx_reacher-v6"}
r,l,t
-3.158343,100,4.242552
-2.764586,100,5.083978
-3.726876,100,5.591083
-2.961055,100,6.103868
-3.662217,100,6.604654
-2.869814,100,7.101137
-3.147759,100,7.606758
-3.145604,100,8.108728
-3.520983,100,8.616307
-3.842152,100,9.142866
-3.154869,100,9.648316
-3.47349,100,10.147797
-1.664696,100,10.644021
-2.531867,100,11.142363
-3.890343,100,11.641264
-2.94724,100,12.142757
-3.195317,100,12.664767
-2.311298,100,13.19391
-2.561721,100,13.705577
-3.561213,100,14.20876
-4.067943,100,14.723067
-2.891281,100,15.235015
-2.981827,100,15.733114
-2.923712,100,16.244343
-3.424418,100,16.766383
-3.720044,100,17.292759
-2.295991,100,17.822027
-3.080432,100,18.342365
-2.709222,100,18.866564
-3.375822,100,19.375885
-3.664135,100,19.886424
-3.693806,100,20.398513
-3.801519,100,20.91323
-2.972274,100,21.425452
-2.609361,100,21.935502
-2.167363,100,22.442255
-2.835973,100,22.951673
-2.635905,100,23.467849
-2.7695,100,23.972658
-3.572755,100,24.491146
-2.514691,100,25.017368
-1.960948,100,25.531468
-3.063476,100,26.040798
-3.326592,100,26.554525
-3.557016,100,27.060161
-3.402789,100,27.554985
-1.829876,100,28.040585
-2.040405,100,28.541787
-2.840921,100,29.046776
-2.782979,100,29.536559
-3.152706,100,30.01582
-1.771561,100,30.491777
-2.458509,100,30.969738
-3.90834,100,31.433107
-2.344448,100,31.92226
-3.08571,100,32.44154
-3.287769,100,32.954325
-2.12183,100,33.476054
-5.050896,100,33.967755
-2.161516,100,34.465484
-2.571565,100,34.969766
-2.003383,100,35.478237
-2.183378,100,35.998631
-2.733956,100,36.523858
-2.526707,100,37.062453
-3.456809,100,37.59043
-2.12037,100,38.108599
-3.204372,100,38.627994
-2.309234,100,39.141454
-2.839911,100,39.666212
-2.762902,100,40.195901
-2.600462,100,40.741195
-4.42772,100,41.254841
-2.435705,100,41.773373
-3.572204,100,42.281766
-4.081153,100,42.791862
-4.354479,100,43.309787
-2.539315,100,43.801281
-3.839615,100,44.289678
-2.659332,100,44.79092
-3.670013,100,45.295542
-2.535951,100,45.774372
-3.354421,100,46.247414
-3.237862,100,46.738777
-3.372778,100,47.208013
-3.134829,100,47.678653
-2.541722,100,48.161797
-3.056058,100,48.658403
-2.95544,100,49.157318
-2.310126,100,49.651485
-1.813569,100,50.136143
-2.092964,100,50.594958
-2.855539,100,51.059031
-1.790106,100,51.523187
-2.650985,100,51.985312
-1.300386,100,52.447302
