#{"t_start": 1593174730.7295182, "env_id": "widowx_reacher-v6"}
r,l,t
-2.546854,100,4.252109
-3.558843,100,5.059552
-2.731328,100,5.575897
-4.714094,100,6.111081
-2.994994,100,6.62132
-1.809284,100,7.128376
-2.992558,100,7.644835
-4.680068,100,8.158262
-3.456304,100,8.678468
-3.586232,100,9.20025
-3.079762,100,9.716131
-2.638409,100,10.233945
-3.795094,100,10.734583
-4.716899,100,11.237857
-4.75636,100,11.74654
-3.682051,100,12.252884
-3.867534,100,12.77096
-2.824222,100,13.275807
-2.767688,100,13.793206
-3.540808,100,14.312594
-3.454047,100,14.808986
-2.570881,100,15.308649
-3.863583,100,15.803792
-2.809588,100,16.301037
-2.115075,100,16.804871
-3.012792,100,17.322356
-2.530795,100,17.848339
-3.737752,100,18.362632
-3.673428,100,18.866286
-3.054276,100,19.373148
-5.053228,100,19.872319
-1.63657,100,20.377885
-1.887135,100,20.907358
-1.860653,100,21.443141
-2.699979,100,21.976794
-4.196776,100,22.505791
-2.902568,100,23.024608
-2.458888,100,23.553936
-3.068319,100,24.071388
-2.623905,100,24.5891
-1.492689,100,25.09334
-3.383384,100,25.609004
-2.535518,100,26.136935
-3.999507,100,26.648457
-2.606326,100,27.147743
-2.648314,100,27.655967
-2.034118,100,28.161742
-2.789903,100,28.689125
-3.673153,100,29.21182
-4.593155,100,29.759498
-2.593866,100,30.304449
-2.875852,100,30.821249
-2.518968,100,31.338508
-2.24597,100,31.873365
-2.890252,100,32.402841
-2.688523,100,32.930351
-2.296877,100,33.483143
-3.668768,100,34.026084
-3.442334,100,34.552909
-3.953549,100,35.079599
-2.486535,100,35.610724
-2.49382,100,36.124126
-2.109799,100,36.645594
-3.548487,100,37.178325
-2.32476,100,37.708893
-2.404581,100,38.243486
-3.022413,100,38.759386
-3.805436,100,39.274949
-3.782839,100,39.8035
-2.067777,100,40.321433
-2.57593,100,40.847494
-2.440857,100,41.39138
-3.471998,100,41.930316
-2.075018,100,42.468365
-4.392226,100,42.990611
-3.07992,100,43.512702
-2.698305,100,44.027792
-2.210896,100,44.545087
-2.692743,100,45.061656
-2.883827,100,45.601352
-2.818918,100,46.139617
-4.224959,100,46.663535
-3.375056,100,47.198895
-1.916622,100,47.718612
-2.132783,100,48.237274
-3.518717,100,48.766429
-2.323284,100,49.316311
-2.707682,100,49.855948
-2.53264,100,50.402294
-2.058213,100,50.938069
-2.772056,100,51.453488
-3.392066,100,51.973644
-3.174386,100,52.496147
-3.608474,100,53.015382
-1.606935,100,53.540189
-3.915192,100,54.081179
-2.307014,100,54.598463
-1.867736,100,55.120241
-3.004067,100,55.642132
-1.973315,100,56.162456
-1.732288,100,57.11803
-2.379987,100,57.652754
-3.234764,100,58.185227
-3.146775,100,58.71736
-2.229296,100,59.23862
-2.924228,100,59.75057
-2.549156,100,60.263095
-3.081819,100,60.776515
-2.931854,100,61.308143
-2.346375,100,61.841274
-2.543725,100,62.38554
-2.870974,100,62.93611
-3.534173,100,63.470835
-3.015664,100,64.006614
-3.706346,100,64.546366
-2.891944,100,65.087935
-4.59475,100,65.62326
-3.813133,100,66.164089
-4.076973,100,66.695712
-3.573065,100,67.219239
-2.153676,100,67.741935
-2.698169,100,68.274526
-2.657648,100,68.817554
-1.72275,100,69.360307
-2.911784,100,69.904032
-1.667391,100,70.432394
-2.314281,100,70.956023
-2.589803,100,71.464925
-1.744833,100,71.99718
-3.228163,100,72.529552
-2.844456,100,73.058011
-2.687695,100,73.592171
-2.14762,100,74.138781
-3.604793,100,74.694633
-2.585865,100,75.232826
-2.027807,100,75.750506
-4.624568,100,76.263304
-1.641043,100,76.783069
-2.713352,100,77.318999
-3.222958,100,77.868227
-2.474516,100,78.4099
-2.98774,100,78.942505
-2.243501,100,79.467011
-1.686516,100,79.995085
-3.263244,100,80.533934
-3.47364,100,81.073596
-2.959392,100,81.620102
-3.286439,100,82.172989
-2.439838,100,82.700941
-3.502336,100,83.22991
-4.295862,100,83.766137
-2.764256,100,84.295445
-2.040804,100,84.823704
-2.695133,100,85.362278
-3.540762,100,85.907872
-3.55825,100,86.450536
-2.815743,100,86.985442
-2.691697,100,87.511776
-1.757968,100,88.025465
-2.11239,100,88.545331
-1.598737,100,89.074278
-2.475181,100,89.613093
-3.803531,100,90.152762
-2.240591,100,90.691755
-1.756302,100,91.223926
-3.072537,100,91.762578
-4.191742,100,92.29273
-1.83296,100,92.817799
-2.8288,100,93.360008
-3.328996,100,93.895735
-2.344974,100,94.42499
-2.222889,100,94.943373
-2.472727,100,95.471754
-3.036693,100,95.98967
-2.05381,100,96.512718
-2.912427,100,97.049998
-2.059436,100,97.584914
-1.932352,100,98.125867
-2.762889,100,98.652929
-2.284198,100,99.18371
-2.377118,100,99.713372
-2.850745,100,100.239581
-3.278885,100,100.753984
-1.358884,100,101.284264
-1.907852,100,101.827197
-3.147807,100,102.3698
-2.194671,100,102.899582
-2.192639,100,103.428549
-1.676875,100,103.949153
-2.552862,100,104.475486
-1.864187,100,105.015682
-2.325192,100,105.560352
-2.397493,100,106.117428
-2.021744,100,106.644773
-2.582169,100,107.164379
-2.782487,100,107.69451
-2.284833,100,108.226326
-2.621497,100,108.757374
-1.769164,100,109.300371
-1.864902,100,109.852812
-1.651317,100,110.934618
-1.800378,100,111.465574
-2.005454,100,112.008631
-2.978231,100,112.54088
-1.937578,100,113.065743
-2.17119,100,113.600922
-2.230303,100,114.144683
-1.549474,100,114.682138
-1.380105,100,115.22325
-2.53068,100,115.766628
-2.613437,100,116.318088
-2.406064,100,116.851129
-1.858624,100,117.405337
-2.277937,100,117.949104
-2.42308,100,118.48552
-3.032326,100,119.015141
-2.501343,100,119.544676
-1.983185,100,120.07444
-2.827298,100,120.607651
-2.36115,100,121.171791
-1.253784,100,121.710794
-4.117705,100,122.242814
-1.821018,100,122.789884
-2.00719,100,123.341066
-2.421725,100,123.887437
-3.320419,100,124.423139
-1.406717,100,124.950747
-2.070914,100,125.480935
-1.916657,100,126.0199
-2.781753,100,126.568409
-2.318904,100,127.104288
-3.225725,100,127.62691
-2.623889,100,128.161135
-3.899516,100,128.699303
-2.641315,100,129.246616
-2.275497,100,129.786363
-1.66254,100,130.324371
-3.844194,100,130.854532
-2.478718,100,131.38623
-2.566722,100,131.926042
-3.015594,100,132.462557
-3.351461,100,133.004378
-3.532263,100,133.537558
-2.442859,100,134.085519
-1.974026,100,134.625062
-2.7115,100,135.168157
-2.874657,100,135.710974
-2.828104,100,136.243272
-1.78317,100,136.767362
-3.338395,100,137.306354
-3.110057,100,137.84603
-3.306281,100,138.381655
-2.173709,100,138.927731
-2.429572,100,139.462784
-2.454376,100,139.990549
-2.355445,100,140.51893
-1.994678,100,141.062267
-2.539724,100,141.600877
-2.394481,100,142.1353
-3.012104,100,142.651952
-2.072116,100,143.176503
-2.164736,100,143.698406
-1.941722,100,144.209722
-2.944759,100,144.739352
-2.409728,100,145.264504
-3.028678,100,145.788487
-2.876561,100,146.320518
-1.935654,100,146.845625
-1.75245,100,147.358606
-2.738431,100,147.865876
-2.024585,100,148.376884
-1.800991,100,148.898948
-1.621799,100,149.431985
-3.012205,100,149.976373
-2.02295,100,150.529
-1.868939,100,151.072953
-1.957948,100,151.618334
-2.715041,100,152.153734
-2.477949,100,152.685462
-1.753826,100,153.229303
-2.701793,100,153.777588
-2.804285,100,154.327843
-2.370277,100,154.842756
-3.186707,100,155.370783
-2.904183,100,155.953178
-1.762111,100,156.506812
-2.508301,100,157.050912
-2.691186,100,157.593985
-2.286081,100,158.146772
-2.911355,100,158.676443
-3.139641,100,159.21315
-3.573724,100,159.743939
-2.623598,100,160.266989
-2.221297,100,160.807796
-1.97229,100,161.348754
-2.233631,100,161.89858
-2.559412,100,162.44891
-2.772405,100,162.992713
-3.274017,100,163.527066
-2.127466,100,164.080128
-1.751941,100,164.99715
-1.918212,100,165.549312
-2.199629,100,166.109022
-4.062093,100,166.652584
-2.309292,100,167.199949
-3.445649,100,167.757633
-3.04227,100,168.301358
-2.439731,100,168.840728
-1.499568,100,169.384743
-1.424339,100,169.937912
-1.992708,100,170.499554
-3.187768,100,171.056781
-3.262014,100,171.594009
-2.890626,100,172.131529
-4.113898,100,172.664135
-2.671179,100,173.223329
-2.776918,100,173.772963
-3.165302,100,174.317888
-4.185081,100,174.855165
-3.633279,100,175.394729
-4.518752,100,175.942932
-2.35385,100,176.468364
-1.867564,100,177.001047
-1.951743,100,177.541097
-3.01847,100,178.079285
-2.542673,100,178.604873
-2.638914,100,179.140739
-2.571419,100,179.678577
-2.919363,100,180.206206
-1.783829,100,180.736376
-3.240884,100,181.278949
-2.969773,100,181.820266
-4.388994,100,182.35606
-4.175386,100,182.879069
-1.981168,100,183.393337
-3.122811,100,183.91279
-2.512619,100,184.432838
-3.14961,100,184.953056
-2.1255,100,185.486118
-2.563966,100,186.02941
-1.965033,100,186.555241
-2.051819,100,187.077396
-2.395488,100,187.587647
-2.400046,100,188.118087
-3.406226,100,188.646571
-3.314486,100,189.176505
-3.171418,100,189.712154
-3.588823,100,190.239742
-1.718329,100,190.754333
-3.244184,100,191.273833
-2.290405,100,191.80359
-3.195037,100,192.344079
-2.906336,100,192.876683
-3.475467,100,193.414581
-2.710975,100,193.959991
-3.137161,100,194.49904
-2.683794,100,195.023731
-3.939641,100,195.553519
-2.1884,100,196.072193
-2.765634,100,196.601557
-3.715724,100,197.151172
-2.347449,100,197.689733
-2.353027,100,198.227341
-2.586901,100,198.734394
-2.152976,100,199.275724
-1.880512,100,199.799358
-2.722532,100,200.315153
-2.945663,100,200.831675
-3.266586,100,201.366229
-1.867314,100,201.908155
-2.445531,100,202.45241
-3.423975,100,203.000273
-2.729257,100,203.549301
-2.497853,100,204.092599
-2.226062,100,204.635381
-3.701114,100,205.185027
-2.963357,100,205.73691
-3.133213,100,206.29642
-3.558668,100,206.837255
-3.20226,100,207.371912
-2.693143,100,207.916978
-3.120105,100,208.469059
-4.430156,100,208.995624
-2.783296,100,209.533443
-2.350618,100,210.076858
-3.070393,100,210.638681
-2.449296,100,211.188878
-3.594325,100,211.728446
-2.540872,100,212.258841
-3.620905,100,212.785879
-3.219345,100,213.316397
-2.430222,100,213.850253
-2.5793,100,214.375632
-2.3694,100,214.915634
-2.953839,100,215.445463
-2.284331,100,215.974649
-2.081831,100,216.503477
-3.077004,100,217.035547
-2.58816,100,217.574558
-2.888746,100,218.114246
-4.005385,100,218.912978
-2.366906,100,219.445477
-3.025556,100,219.980438
-2.735784,100,220.499947
-4.565643,100,221.025199
-3.102331,100,221.555482
-3.02147,100,222.086461
-3.523454,100,222.614618
-3.506959,100,223.156425
-2.385671,100,223.681345
-2.0929,100,224.218056
-2.889881,100,224.749176
-2.854554,100,225.292719
-3.127889,100,225.845469
-2.833305,100,226.38047
-3.100724,100,226.925849
-2.021468,100,227.469452
-2.931735,100,227.991135
-3.920794,100,228.523297
-3.42218,100,229.06434
-3.061938,100,229.614061
-3.741438,100,230.16623
-3.485734,100,230.69167
-2.401562,100,231.219423
-3.40023,100,231.750869
-3.070472,100,232.271166
-1.830029,100,232.805066
-3.816519,100,233.344692
-2.188328,100,233.900187
-3.360425,100,234.437308
-1.980348,100,234.967978
-3.113648,100,235.501378
-2.542544,100,236.040017
-2.476859,100,236.565617
-1.762197,100,237.100055
-2.938282,100,237.652545
-1.912827,100,238.211469
-2.534243,100,238.728467
-2.703272,100,239.248707
-2.664208,100,239.77436
-1.880522,100,240.314414
-1.665811,100,240.853416
-2.971539,100,241.393063
-2.76052,100,241.946703
-2.271759,100,242.49995
-3.135031,100,243.062468
-3.909458,100,243.605987
-3.364743,100,244.143342
-2.625142,100,244.678438
-1.874561,100,245.273443
-3.130851,100,245.84115
-3.725149,100,246.401098
-3.758938,100,246.951147
-2.88534,100,247.512733
-2.58317,100,248.062354
-3.181585,100,248.600393
-2.602105,100,249.140399
-2.379923,100,249.686527
-1.531672,100,250.238038
-2.742743,100,250.789185
-3.333482,100,251.403856
-2.716519,100,251.957332
-2.582655,100,252.491166
-2.730849,100,253.02415
-2.658846,100,253.580621
-3.568652,100,254.134963
-2.306901,100,254.66118
-2.88254,100,255.177424
-2.867039,100,255.687205
-1.892284,100,256.19997
-3.655249,100,256.735201
-2.848368,100,257.261911
-3.141804,100,257.801223
-3.331373,100,258.343667
-3.993534,100,258.874576
-2.881693,100,259.401877
-3.093739,100,259.92489
-2.477759,100,260.444174
-2.479651,100,260.97324
-3.566908,100,261.516495
-2.098724,100,262.063804
-2.010392,100,262.5953
-2.920126,100,263.119411
