#{"t_start": 1593545219.2428043, "env_id": "widowx_reacher-v6"}
r,l,t
-2.814235,100,3.762042
-3.419103,100,3.802583
-2.486103,100,3.84237
-2.153566,100,3.881474
-3.589318,100,3.919571
-1.775013,100,3.958016
-2.463702,100,3.996321
-2.97402,100,4.034886
-3.740166,100,4.073274
-3.476578,100,4.111491
-6.832926,100,5.14432
-5.884636,100,5.581512
-4.605592,100,6.016027
-4.518715,100,6.449126
-7.308139,100,6.872949
-7.64928,100,7.313509
-6.804611,100,7.750114
-6.460566,100,8.195625
-5.300618,100,8.64641
-4.295466,100,9.096305
-3.392711,100,9.547024
-3.709594,100,9.988528
-3.396475,100,10.447351
-3.411174,100,10.894601
-3.437986,100,11.352691
-3.024909,100,11.805668
-1.864528,100,12.251109
-2.534972,100,12.702214
-1.510821,100,13.156343
-1.486662,100,13.61619
-1.515835,100,14.066844
-1.727134,100,14.514998
-2.192662,100,14.961994
-2.15008,100,15.406782
-2.241204,100,15.854857
-4.765763,100,16.311023
-7.224689,100,16.767222
-4.660465,100,17.214481
-7.571485,100,17.667406
-7.70739,100,18.111306
-7.886506,100,18.552039
-7.787609,100,19.002979
-7.742991,100,19.452749
-7.370319,100,19.894924
-5.507108,100,20.346457
-5.436446,100,20.804072
-4.269781,100,21.275192
-2.83886,100,21.746128
-2.018823,100,22.200967
-1.331383,100,22.651329
-0.850924,100,23.11045
-1.185196,100,23.56218
-0.774152,100,24.009426
-0.699068,100,24.4836
-0.832521,100,24.944017
-1.11474,100,25.415922
-1.179982,100,25.888285
-1.799129,100,26.358484
-1.740947,100,26.809072
-2.327512,100,27.256737
-2.12752,100,27.70812
-2.358541,100,28.159239
-2.432665,100,28.608848
-2.622668,100,29.060064
-2.649259,100,29.512551
-2.638979,100,29.966013
-2.642745,100,30.421191
-2.656477,100,30.877361
-2.639936,100,31.330897
-2.673884,100,31.786102
-2.626561,100,32.258648
-2.641928,100,32.728906
-2.58636,100,33.19639
-2.582466,100,33.659071
-2.62213,100,34.105741
-2.618056,100,34.559645
-2.282197,100,35.009818
-2.222968,100,35.452011
-2.334829,100,35.896832
-2.090746,100,36.347777
-1.956755,100,36.804062
-1.84498,100,37.269217
-1.978296,100,37.733031
-1.720431,100,38.17895
