#{"t_start": 1593648885.6860473, "env_id": "widowx_reacher-v6"}
r,l,t
-3.404324,100,1.302836
-3.57263,100,1.344046
-2.349981,100,1.385101
-2.293577,100,1.42655
-2.216749,100,1.467592
-2.184551,100,1.50872
-3.181164,100,1.54983
-1.969159,100,1.590945
-2.748436,100,1.632048
-2.890001,100,1.673192
-7.999996,100,2.531366
-6.518595,100,3.012606
-4.272089,100,3.463822
-2.328737,100,3.909883
-2.061007,100,4.360262
-1.955115,100,4.805959
-1.909262,100,5.254432
-1.510194,100,5.704336
-1.297624,100,6.157032
-1.373051,100,6.60742
-1.899848,100,7.057204
-2.492227,100,7.50776
-2.062522,100,7.95728
-2.068061,100,8.407529
-2.097591,100,8.858087
-1.844833,100,9.307927
-1.562564,100,9.771651
-2.25248,100,10.220976
-2.942614,100,10.669849
-4.384763,100,11.119143
-8.74337,100,11.569668
-7.912874,100,12.018794
-3.167522,100,12.469083
-1.361088,100,12.920518
-1.526493,100,13.372866
-3.139235,100,13.825822
-2.109696,100,14.277432
-2.12889,100,14.728868
-2.018117,100,15.183643
-1.974168,100,15.635158
-3.83625,100,16.088268
-5.252245,100,16.543847
-3.738021,100,16.996419
-3.385432,100,17.448919
-3.340649,100,17.902104
-3.137782,100,18.355267
-3.135706,100,18.808932
-3.335455,100,19.262015
-3.215435,100,19.714834
-3.255202,100,20.167712
-3.196639,100,20.620537
-3.279352,100,21.074074
-3.192421,100,21.527276
-3.299686,100,21.981215
-3.577645,100,22.434377
-3.415522,100,22.887771
-3.569948,100,23.340801
-3.701991,100,23.794886
-3.321297,100,24.249034
-3.297418,100,24.702275
-2.909583,100,25.155758
-3.105593,100,25.611904
-2.240556,100,26.069295
-2.376133,100,26.523257
-4.529876,100,26.975582
-4.3398,100,27.427749
-4.268598,100,27.879575
-4.270526,100,28.333941
-3.963411,100,28.788409
-4.007591,100,29.242892
-4.038855,100,29.697316
-3.992654,100,30.152238
-4.026841,100,30.6071
-4.043254,100,31.06203
-4.20268,100,31.517458
-4.27243,100,31.972643
-4.384708,100,32.428886
-4.509964,100,32.885914
-4.279214,100,33.347634
-4.263983,100,33.802555
-4.245443,100,34.258784
-4.217314,100,34.711044
-4.201771,100,35.16387
-4.192064,100,35.620131
-4.184734,100,36.07629
-4.24887,100,36.533962
-4.315006,100,36.988189
-4.298849,100,37.441786
-4.245669,100,37.89966
-4.205442,100,38.35378
-4.263489,100,38.808491
-4.206586,100,39.262968
-4.202811,100,39.716833
-4.318365,100,40.171143
-4.345708,100,40.625381
-4.275723,100,41.07933
-4.28564,100,41.533204
-4.393521,100,41.987715
-4.519717,100,42.441937
-4.695927,100,42.898524
-4.710053,100,43.645094
-4.726373,100,44.10066
-4.81621,100,44.555996
-4.94947,100,45.011181
-4.77371,100,45.465779
-4.95714,100,45.920975
-5.00737,100,46.378153
-2.667887,100,46.83464
-2.737506,100,47.290593
-2.452296,100,47.748074
-2.88183,100,48.203522
-2.748865,100,48.659217
-2.372359,100,49.114716
-2.550934,100,49.570698
-2.414457,100,50.026369
-2.466259,100,50.48205
-2.523727,100,50.938143
-0.410863,100,51.393474
-1.528446,100,51.848912
-2.323546,100,52.304577
-2.102102,100,52.76031
-2.793236,100,53.21533
-2.148161,100,53.671009
-3.409186,100,54.125711
-2.551414,100,54.575149
-2.569875,100,55.019087
-2.279688,100,55.464914
-0.565367,100,55.910972
-0.821975,100,56.358098
-0.65035,100,56.802136
-0.553569,100,57.245228
-0.413504,100,57.686414
-0.543219,100,58.131358
-1.316716,100,58.579349
-0.693427,100,59.025856
-0.44577,100,59.471543
-0.346406,100,59.917593
-0.448586,100,60.362823
-0.449445,100,60.807729
-0.988006,100,61.252958
-1.14196,100,61.698071
-1.073163,100,62.143782
-4.048669,100,62.602975
-8.084338,100,63.049612
-3.365637,100,63.495827
-2.981306,100,63.942403
-2.958663,100,64.40047
-2.84493,100,64.851742
-2.654517,100,65.298437
-2.777185,100,65.744389
-2.420845,100,66.19267
-2.460389,100,66.63793
-2.395294,100,67.08323
-2.385131,100,67.527845
-2.320618,100,67.972896
-2.362889,100,68.419004
-2.3969,100,68.863982
-2.602213,100,69.309223
-2.511053,100,69.754002
-2.703227,100,70.198806
-2.711715,100,70.643642
-2.781161,100,71.088503
-2.791836,100,71.533429
-2.802253,100,71.978324
-2.63367,100,72.4232
-2.671594,100,72.870428
-2.665241,100,73.315294
-2.626366,100,73.767531
-2.639443,100,74.273507
-2.54735,100,74.749399
-2.491872,100,75.221403
-2.464064,100,75.692606
-2.472496,100,76.167948
-2.50554,100,76.639412
-2.655926,100,77.110208
-2.759872,100,77.580942
-2.758084,100,78.038988
-2.989178,100,78.484224
-2.967658,100,78.93136
-2.871322,100,79.376041
-2.855179,100,79.821364
-3.606428,100,80.267162
-4.514248,100,80.711594
-3.988878,100,81.156879
-3.928667,100,81.601616
-4.059221,100,82.052037
-3.475308,100,82.500538
-6.231451,100,82.945663
-8.135624,100,83.393579
-5.773496,100,83.839387
-5.752348,100,84.293753
-5.420118,100,84.742875
-5.339044,100,85.190115
-5.388502,100,85.641472
-5.564629,100,86.08797
-5.255548,100,86.531463
-5.226057,100,86.974869
-5.627444,100,87.417473
-5.7028,100,87.860446
-6.61867,100,88.303177
-7.286943,100,88.972105
-8.865875,100,89.414273
-4.243652,100,89.858803
-3.334733,100,90.3032
-3.429791,100,90.749634
-3.265545,100,91.193754
-3.200821,100,91.636778
-3.19012,100,92.079882
-3.27522,100,92.523533
-3.226646,100,92.966255
-3.463807,100,93.409508
-3.419087,100,93.852709
-3.291796,100,94.300056
-3.584854,100,94.744922
-3.740936,100,95.189344
-3.923871,100,95.636324
-3.925268,100,96.080222
-3.675334,100,96.524258
-2.350245,100,96.966334
-1.98994,100,97.40817
-2.405742,100,97.849898
-2.349605,100,98.29577
-2.469108,100,98.741121
-2.571977,100,99.185684
-2.714584,100,99.630343
-1.769747,100,100.074769
-0.214431,100,100.521133
-0.222136,100,100.965307
-0.437335,100,101.409657
-0.361532,100,101.855819
-2.007137,100,102.300363
-2.534098,100,102.745336
-0.510601,100,103.191284
-2.557408,100,103.6343
-3.560732,100,104.079058
-3.399456,100,104.52326
-0.524794,100,104.967865
-0.493522,100,105.412508
-3.319953,100,105.85728
-2.563353,100,106.301778
-0.211526,100,106.746734
-0.25476,100,107.190703
-0.308868,100,107.63494
-0.443706,100,108.078715
-1.358716,100,108.522015
-1.926091,100,108.966547
-1.990088,100,109.410573
-2.273479,100,109.855005
-2.23067,100,110.298497
-2.312763,100,110.742346
-3.224689,100,111.185851
-3.852259,100,111.629172
-3.7542,100,112.07304
-3.391819,100,112.516858
-3.174029,100,112.960891
-2.837745,100,113.404926
-2.026635,100,113.848456
-1.012118,100,114.292242
-0.94878,100,114.736516
-0.857115,100,115.180595
-0.967501,100,115.624624
-0.839126,100,116.06851
-0.880887,100,116.512522
-0.836837,100,116.957503
-0.892323,100,117.401138
-1.815982,100,117.849047
-1.729894,100,118.296541
