#{"t_start": 1593478963.5047026, "env_id": "widowx_reacher-v6"}
r,l,t
-4.981233,100,3.67625
-3.792703,100,3.714732
-3.124068,100,3.753047
-1.977931,100,3.791856
-2.845708,100,3.830096
-2.437711,100,3.868598
-3.114604,100,3.907008
-2.430313,100,3.94558
-3.719527,100,3.984071
-1.478551,100,4.022677
-3.240986,100,5.007947
-3.990248,100,5.420552
-2.857463,100,5.809431
-3.322459,100,6.203171
-3.722546,100,6.599703
-3.786228,100,6.99158
-2.979024,100,7.38057
-5.725302,100,7.799258
-4.762337,100,8.210525
-5.741011,100,8.623106
-2.818615,100,9.03721
-4.89871,100,9.451909
-3.469127,100,9.854022
-3.886001,100,10.25433
-2.479675,100,10.668362
-2.987352,100,11.076236
-4.21259,100,11.487851
-2.048762,100,11.908648
-3.236055,100,12.319636
-2.127873,100,12.739133
-2.489863,100,13.162917
-2.160678,100,13.567576
-1.839994,100,13.957947
-2.222951,100,14.346794
-1.707988,100,14.74258
-2.144074,100,15.131229
-2.142882,100,15.525216
-1.490152,100,15.923404
-1.806722,100,16.337182
-1.127028,100,16.751312
-1.709239,100,17.167144
-2.116813,100,17.585982
-1.895625,100,17.999556
-2.785955,100,18.399168
-1.845881,100,18.795217
-1.26855,100,19.191002
-1.933188,100,19.590151
-1.339377,100,19.988243
-2.347251,100,20.392508
-2.018074,100,20.817917
-1.995837,100,21.216021
-1.936034,100,21.612944
-1.805568,100,22.009241
-1.566783,100,22.400488
-1.389951,100,22.797742
-2.035587,100,23.195982
-1.989714,100,23.601941
-2.066995,100,24.010748
-2.169318,100,24.415019
-1.872221,100,24.819678
-1.489952,100,25.224879
-1.472121,100,25.630697
-1.361262,100,26.029145
-1.759453,100,26.430759
-1.921188,100,26.828657
-1.330823,100,27.241508
-1.796863,100,27.654422
-1.460202,100,28.071085
-1.469783,100,28.48023
-2.62183,100,28.897364
-1.211486,100,29.316629
-2.040059,100,29.720917
-1.864155,100,30.119076
-1.625325,100,30.518243
-1.146767,100,30.919976
-1.177185,100,31.326753
-1.628458,100,31.754035
-2.674092,100,32.172335
-2.146495,100,32.579789
