seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10,mean_reward,std_reward,upper,lower,timesteps
-2.0839540000000003,-2.669956,-4.881329,-1.905489,-3.779752,-2.202642,-5.424908,-4.701266,-2.206848,-2.254538,-3.2110681999999997,1.3516658882997183,-1.8594023117002814,-4.5627340882997185,100
-2.434654,-1.821172,-2.099202,-2.9858580000000003,-1.065173,-3.3692379999999997,-2.417646,-2.390091,-2.639806,-2.144191,-2.3367031000000003,0.6302051661570134,-1.7064979338429869,-2.966908266157014,200
-1.887048,-2.449922,-4.897791000000001,-5.107408,-1.868382,-2.720686,-1.8637150000000002,-2.8026419999999996,-1.3640709999999998,-3.36124,-2.8322905,1.282280510790595,-1.550009989209405,-4.114571010790595,300
-5.038652,-3.6090440000000004,-1.33315,-2.275218,-1.7054209999999999,-2.401393,-3.172114,-1.460864,-2.456164,-2.425482,-2.5877502,1.1150431967449912,-1.4727070032550087,-3.7027933967449913,400
-3.3701809999999996,-3.212407,-2.000375,-2.8301939999999997,-0.6522180000000001,-4.653092,-3.5492510000000004,-2.031415,-2.049054,-4.002376,-2.8350562999999993,1.1705579707738671,-1.6644983292261322,-4.005614270773867,500
-3.132931,-2.8411310000000003,-1.701418,-2.52257,-4.673237,-2.840452,-1.48048,-1.673071,-3.078177,-6.871709,-3.0815176,1.625553406018749,-1.455964193981251,-4.707071006018749,600
-2.550896,-6.16707,-5.166955000000001,-1.921657,-1.988691,-3.2388220000000003,-4.482078,-4.362882,-3.00253,-2.603021,-3.5484602,1.4288239759429044,-2.1196362240570954,-4.977284175942905,700
-2.460805,-2.728246,-3.2842239999999996,-4.392653,-2.883566,-3.4146959999999997,-4.734463,-3.3638879999999998,-4.188897,-3.6716,-3.5123038,0.7417040417905244,-2.770599758209476,-4.254007841790525,800
-2.958023,-2.212184,-2.290804,-4.045977,-2.948258,-5.037718,-3.146504,-2.873686,-2.0057270000000003,-4.985107,-3.2503988,1.09107828976627,-2.15932051023373,-4.34147708976627,900
-1.983895,-1.552892,-4.737366000000001,-6.433731,-4.243841000000001,-3.3985480000000003,-3.286656,-1.506943,-2.729245,-3.912593,-3.378571,1.5429368164294135,-1.8356341835705865,-4.921507816429413,1000
-5.111667,-3.276848,-4.8802959999999995,-3.3367949999999995,-3.018193,-2.551539,-1.7969709999999999,-4.10759,-1.566043,-2.133166,-3.1779108000000003,1.2270705958222252,-1.950840204177775,-4.404981395822226,1100
-4.485248,-6.431413,-1.984773,-2.81819,-1.929602,-2.854495,-1.5101719999999998,-1.929846,-3.063668,-2.736237,-2.9743644,1.4773508898983267,-1.497013510101673,-4.451715289898327,1200
-2.664899,-1.879015,-2.788678,-3.599135,-3.7793069999999997,-4.084426000000001,-4.40597,-4.184373,-3.969587,-1.7012040000000002,-3.3056593999999997,0.9791154336775618,-2.326543966322438,-4.284774833677561,1300
-2.636098,-4.439036,-1.362801,-1.9204860000000001,-5.305668,-2.532197,-3.6263099999999997,-3.8674370000000002,-5.800651,-2.0099080000000002,-3.3500592000000005,1.502856162704779,-1.8472030372952215,-4.852915362704779,1400
-2.198116,-1.209722,-3.279647,-4.653459,-1.190412,-2.2189810000000003,-1.0930819999999999,-3.239746,-2.3019439999999998,-1.8891220000000002,-2.3274231,1.1272578051408597,-1.2001652948591401,-3.45468090514086,1500
-2.558209,-3.5264349999999998,-6.653553,-1.570569,-5.251741,-2.231758,-2.699321,-1.8682919999999998,-3.001753,-5.657413,-3.5019044,1.7460592589730737,-1.7558451410269262,-5.247963658973074,1600
-1.870885,-2.691656,-2.332424,-1.8759740000000003,-4.6611720000000005,-3.059556,-3.486021,-2.742396,-1.925705,-2.402613,-2.7048402,0.8682339887779613,-1.8366062112220387,-3.5730741887779613,1700
-2.268516,-2.855522,-1.827533,-3.115973,-2.134088,-2.723116,-4.115302,-3.753737,-2.550311,-1.0090569999999999,-2.6353155,0.9079087127201537,-1.7274067872798462,-3.543224212720154,1800
-3.767499,-3.1517049999999998,-3.1202389999999998,-3.8005370000000003,-5.599387,-2.464481,-2.287936,-4.908607,-1.7856349999999999,-3.94691,-3.4832936000000005,1.1783410695882959,-2.304952530411705,-4.661634669588296,1900
-2.303212,-2.196139,-3.587732,-2.42161,-2.131098,-3.113038,-3.2829129999999997,-2.975749,-2.6480650000000003,-2.457921,-2.7117476999999997,0.4996532212689672,-2.2120944787310326,-3.2114009212689667,2000
-3.327028,-2.466143,-4.072252,-2.83153,-2.2946779999999998,-3.3938379999999997,-3.428382,-1.7771849999999998,-2.074943,-1.556689,-2.7222668000000003,0.8211747716169668,-1.9010920283830335,-3.543441571616967,2100
-4.076855999999999,-2.4442880000000002,-1.356479,-2.459853,-3.9420349999999997,-3.7959730000000005,-2.45308,-4.424341,-2.603793,-3.8281129999999997,-3.1384811,0.9978425302405018,-2.1406385697594983,-4.1363236302405015,2200
-3.946335,-5.730345,-1.883543,-5.057919999999999,-2.437209,-0.956515,-2.789151,-4.9383,-2.0059270000000002,-4.716923,-3.4462167999999997,1.6353995416493317,-1.810817258350668,-5.081616341649331,2300
-2.105102,-1.812052,-3.150454,-3.553001,-3.0050209999999997,-2.841208,-2.218961,-4.317133999999999,-1.828728,-2.2903569999999998,-2.7122018,0.8136206215708208,-1.898581178429179,-3.5258224215708207,2400
-2.538349,-5.056418,-5.670955999999999,-1.817361,-1.800844,-4.063214,-6.113917,-4.35783,-2.931259,-4.7674080000000005,-3.9117556,1.559867221234423,-2.3518883787655773,-5.471622821234423,2500
-2.120324,-1.5733840000000001,-2.604373,-3.504686,-3.225124,-2.895684,-1.7588150000000002,-2.411756,-2.386118,-1.544718,-2.4024982,0.6743753001083134,-1.7281228998916869,-3.0768735001083134,2600
-2.240882,-2.240761,-4.281021,-1.91882,-2.556212,-5.510237999999999,-2.268111,-2.1044009999999997,-4.9825550000000005,-3.618724,-3.1721725000000003,1.3256269247766215,-1.8465455752233788,-4.4977994247766215,2700
-4.218013,-3.6806059999999996,-3.135237,-2.704368,-2.038543,-1.703214,-5.0819339999999995,-2.0922099999999997,-5.312133,-2.191198,-3.2157455999999995,1.3060419817907165,-1.909703618209283,-4.521787581790716,2800
-2.401748,-4.159671,-3.8390800000000005,-3.154852,-5.6227279999999995,-3.357564,-1.293779,-4.200446,-1.802468,-2.387065,-3.2219401000000003,1.2955817943754886,-1.9263583056245117,-4.517521894375489,2900
-4.002233,-2.574792,-1.785064,-3.053248,-3.838796,-1.623181,-1.63754,-1.903532,-2.202286,-0.9511360000000001,-2.3571808000000005,1.0013298022329884,-1.3558509977670121,-3.3585106022329887,3000
-2.261719,-2.966886,-5.962557,-5.592643,-3.3706099999999997,-2.28278,-2.413932,-1.113672,-3.879517,-1.813268,-3.1657584,1.5813245826686773,-1.5844338173313228,-4.747082982668678,3100
-1.622267,-1.464815,-1.243678,-2.919848,-1.097334,-2.708908,-1.491028,-3.169864,-3.330542,-4.252121,-2.3300405,1.0824541532813552,-1.2475863467186448,-3.412494653281355,3200
-1.778763,-2.897526,-2.404159,-2.7252919999999996,-2.650696,-2.910574,-1.7665970000000002,-1.530306,-4.135461,-2.071704,-2.4871078,0.7647894756987123,-1.7223183243012876,-3.2518972756987123,3300
-2.85805,-2.7036,-3.115288,-3.223673,-4.10029,-2.196672,-4.251024,-4.143873999999999,-5.434069999999999,-3.204483,-3.5231024000000004,0.9504943325472743,-2.572608067452726,-4.473596732547275,3400
-2.797963,-1.6597169999999999,-2.648542,-2.143248,-0.989664,-2.3043259999999997,-2.57267,-1.8084790000000002,-3.181556,-2.3679200000000002,-2.2474084999999997,0.6316661040501013,-1.6157423959498984,-2.8790746040501007,3500
-3.6308059999999998,-2.903763,-4.975169999999999,-1.548758,-4.924978,-2.604064,-3.478322,-2.140446,-2.116674,-2.790619,-3.11136,1.1520321659227517,-1.9593278340772482,-4.263392165922752,3600
-1.604463,-2.030638,-2.7663439999999997,-3.1764069999999998,-2.445477,-4.132048,-4.992204,-2.7750939999999997,-2.858765,-3.279386,-3.0060825999999996,0.9820060285895738,-2.0240765714104256,-3.9880886285895736,3700
-2.512084,-3.6942150000000002,-2.6276599999999997,-2.642416,-5.76098,-3.206877,-1.081164,-4.908846,-1.92935,-2.651789,-3.1015381,1.3801117365224413,-1.7214263634775586,-4.4816498365224415,3800
-4.707204,-3.6569580000000004,-2.102506,-4.489228,-4.246425,-1.799275,-2.6219639999999997,-5.0409690000000005,-3.205422,-3.599992,-3.5469943,1.1097235524484916,-2.4372707475515085,-4.656717852448492,3900
-4.4118889999999995,-2.635363,-4.141825,-1.283426,-5.470598000000001,-2.3881740000000002,-5.817646,-4.810212,-3.2321400000000002,-1.785253,-3.5976526,1.5644870038547034,-2.0331655961452966,-5.162139603854703,4000
-2.85928,-6.075368,-0.559661,-4.3043190000000005,-1.855431,-4.043661,-1.469442,-1.228294,-3.9821730000000004,-4.408725,-3.0786354000000005,1.7607556467863577,-1.3178797532136428,-4.839391046786358,4100
-6.3015,-1.996458,-1.1845350000000001,-1.115566,-2.108448,-1.267819,-1.090357,-2.69181,-3.020666,-4.11378,-2.4890938999999994,1.6640552692858792,-0.8250386307141202,-4.153149169285879,4200
-2.3753610000000003,-2.793967,-2.624893,-2.304842,-2.2753240000000003,-0.986859,-1.409093,-1.405859,-2.544843,-1.49308,-2.0214121,0.633190245765652,-1.388221854234348,-2.6546023457656522,4300
-3.6804629999999996,-3.514353,-1.756677,-4.420086,-3.978445,-3.2327779999999997,-1.8149689999999998,-1.905521,-3.6518370000000004,-1.679129,-2.9634258,1.0572513184126513,-1.9061744815873487,-4.020677118412651,4400
-2.45212,-0.780555,-1.6296709999999999,-2.165479,-2.1478669999999997,-2.202948,-2.2253439999999998,-1.572419,-2.04074,-1.214819,-1.8431962,0.5296684574978745,-1.3135277425021255,-2.3728646574978747,4500
-2.324234,-4.0703830000000005,-3.076202,-1.442806,-3.035965,-3.4722,-1.595695,-1.323464,-3.9983120000000003,-1.4180760000000001,-2.5757337,1.0923594556633462,-1.4833742443366535,-3.668093155663346,4600
-2.8654330000000003,-2.591007,-2.747777,-3.334453,-3.896786,-4.444106,-1.010473,-5.351605,-5.251348,-1.710795,-3.3203783000000002,1.4315098722554023,-1.888868427744598,-4.751888172255402,4700
-3.6982660000000003,-2.115475,-1.090741,-1.837045,-3.827085,-3.760412,-1.147108,-3.8398730000000003,-1.1449719999999999,-1.739934,-2.4200911,1.2172161979239944,-1.2028749020760057,-3.6373072979239947,4800
-5.38341,-1.9632889999999998,-2.148243,-2.474485,-3.7172440000000004,-2.7301599999999997,-1.6954509999999998,-1.4026450000000001,-2.474399,-2.014434,-2.600376,1.1665864703986202,-1.4337895296013796,-3.76696247039862,4900
-3.128308,-5.8908830000000005,-1.673619,-2.988495,-1.206492,-3.0304900000000004,-0.988721,-3.1010150000000003,-3.009887,-2.113104,-2.7131014,1.3892327385900787,-1.3238686614099215,-4.102334138590079,5000
-3.083925,-2.389624,-1.591691,-1.732082,-2.33203,-1.738965,-1.497482,-0.8378540000000001,-4.546842,-2.146036,-2.1896531,1.0271176023673076,-1.1625354976326925,-3.2167707023673078,5100
-4.29474,-3.4264690000000004,-2.061889,-3.666714,-1.964552,-2.593369,-1.085013,-0.942725,-2.5368150000000003,-4.06672,-2.6639006000000003,1.1805200400274825,-1.4833805599725178,-3.844420640027483,5200
-0.8712059999999999,-3.156403,-4.198754,-3.8147580000000003,-1.8528779999999998,-1.663976,-1.260888,-2.8825369999999997,-3.253406,-1.961987,-2.4916793,1.1231904413973866,-1.3684888586026134,-3.6148697413973867,5300
-3.583957,-4.532004,-2.075253,-6.226936,-1.493307,-3.111066,-1.2459149999999999,-1.941814,-3.09843,-1.327995,-2.8636676999999997,1.6005127814092062,-1.2631549185907935,-4.464180481409206,5400
-1.092975,-2.624699,-2.235281,-2.877932,-2.411518,-2.955547,-1.322646,-1.814355,-4.4542209999999995,-1.365993,-2.3155167,1.0024643130686663,-1.3130523869313335,-3.317981013068666,5500
-4.252669,-3.988057,-1.246734,-5.892012,-1.8992509999999998,-2.851554,-0.867917,-1.411366,-3.0273,-1.206244,-2.6643104,1.645794729219035,-1.0185156707809653,-4.3101051292190355,5600
-4.483519,-4.139781,-1.814891,-4.7364489999999995,-1.370244,-2.249214,-1.028988,-1.573921,-2.123422,-1.8247419999999999,-2.5345171000000004,1.3760215895126753,-1.1584955104873251,-3.9105386895126757,5700
-1.905804,-1.66471,-2.918139,-7.1581589999999995,-2.759239,-2.467629,-1.326676,-1.9264569999999999,-4.286341999999999,-1.5514649999999999,-2.7964619999999996,1.7609907722155222,-1.0354712277844773,-4.557452772215521,5800
-2.760452,-1.765132,-4.09999,-3.796407,-2.446109,-2.358236,-1.283306,-1.742089,-1.407062,-1.1467889999999998,-2.2805571999999996,1.0258016937583556,-1.254755506241644,-3.3063588937583552,5900
-3.7534940000000003,-1.74796,-1.8637569999999999,-3.3533459999999997,-6.204116,-3.6654,-1.185592,-2.327795,-1.426851,-1.077257,-2.6605568,1.5994385450433537,-1.0611182549566465,-4.259995345043354,6000
-4.192537000000001,-3.659644,-3.65585,-1.053305,-2.665877,-4.611217,-1.785902,-2.229539,-3.4042730000000003,-1.121648,-2.8379792000000004,1.2596945552650454,-1.578284644734955,-4.0976737552650455,6100
-6.229108999999999,-4.732273999999999,-1.155181,-4.392312,-1.622809,-2.820466,-1.765591,-1.007087,-3.0419669999999996,-0.9666459999999999,-2.7733441999999995,1.8201564190175645,-0.953187780982435,-4.593500619017564,6200
-6.050697,-2.481826,-1.271368,-5.729246,-4.076951,-1.531758,-1.2124620000000002,-1.589891,-3.3980099999999998,-1.066209,-2.8408418,1.8902119982755492,-0.950629801724451,-4.73105379827555,6300
-4.829717,-2.6842349999999997,-2.2382459999999997,-4.214739,-3.5500839999999996,-3.408524,-1.418723,-1.886575,-1.8850790000000002,-2.8462520000000002,-2.8962174000000003,1.0990929229775694,-1.7971244770224308,-3.99531032297757,6400
-1.563914,-1.522743,-1.833382,-4.5044260000000005,-4.163635,-1.902259,-1.185692,-1.1428180000000001,-3.079462,-0.762177,-2.1660508,1.3007818125225736,-0.8652689874774262,-3.4668326125225732,6500
