seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10,mean_reward,std_reward,upper,lower,timesteps
-3.3079,-3.070001,-3.50717,-4.617453,-2.217215,-1.608947,-3.3951860000000003,-2.0674099999999997,-2.127815,-2.0854,-2.8004497,0.9277063511552506,-1.8727433488447496,-3.728156051155251,100.0
-3.9173129999999996,-5.190498000000001,-2.391439,-7.775902,-1.997261,-1.882308,-8.617650999999999,-2.5274419999999997,-4.7640199999999995,-4.407921,-4.3471755000000005,2.3523169567963906,-1.99485854320361,-6.699492456796391,200.0
-4.636508999999999,-3.5282739999999997,-4.961930000000001,-4.866877,-3.634415,-0.502998,-4.697584,-2.447431,-4.867083999999999,-2.619632,-3.6762734000000004,1.4595846008838875,-2.216688799116113,-5.135858000883887,300.0
-1.739848,-3.261483,-2.973911,-4.997875,-4.658564,-2.358534,-4.587462,-1.972072,-0.68462,-4.185151,-3.141952,1.4511141334230058,-1.690837866576994,-4.593066133423005,400.0
-3.024969,-2.674909,-5.002012000000001,-5.2109309999999995,-2.477574,-1.42676,-2.778267,-2.7629040000000002,-4.672897,-7.925782000000001,-3.7957004999999997,1.90281920758701,-1.8928812924129896,-5.6985197075870095,500.0
-3.514704,-3.508221,-2.417555,-4.869045,-2.671828,-1.539424,-0.942881,-3.5868349999999998,-5.619219999999999,-3.04716,-3.1716873,1.403988183609665,-1.7676991163903348,-4.575675483609665,600.0
-4.803833999999999,-3.899349,-1.267447,-4.51478,-4.424963,-3.3650519999999995,-1.6489669999999998,-2.401067,-3.30145,-3.955178,-3.3582087,1.2214217524327995,-2.1367869475672006,-4.5796304524327995,700.0
-2.413382,-3.40754,-1.06854,-4.772233,-1.941224,-1.8116900000000002,-1.674425,-2.317489,-1.6663720000000002,-2.650995,-2.3723889999999996,1.0592988848308005,-1.3130901151691992,-3.4316878848308,800.0
-1.769996,-3.3259480000000003,-1.2667680000000001,-5.469655,-3.7598010000000004,-0.43406000000000006,-2.109696,-1.042958,-1.6688490000000002,-2.439894,-2.3287625000000003,1.4939331039211936,-0.8348293960788067,-3.822695603921194,900.0
-0.840571,-2.551748,-1.2723440000000001,-3.791982,-2.243978,-3.3909290000000003,-1.9939490000000002,-0.8960309999999999,-1.552278,-1.796668,-2.0330478000000003,0.9906930480982381,-1.0423547519017622,-3.0237408480982384,1000.0
-1.0707200000000001,-4.78653,-1.269692,-2.492619,-2.274796,-2.407582,-1.6367209999999999,-0.9786030000000001,-4.146195,-1.508248,-2.2571706,1.2913300308682774,-0.9658405691317224,-3.5485006308682774,1100.0
-0.839879,-4.684735,-0.963249,-4.816211,-2.9542029999999997,-2.287404,-1.577391,-0.744413,-1.523259,-3.5941989999999997,-2.3984943000000003,1.5451917052809014,-0.8533025947190989,-3.9436860052809015,1200.0
-0.9469049999999999,-2.823531,-2.661278,-1.6883279999999998,-2.0449200000000003,-2.144133,-1.720314,-0.747393,-0.185651,-6.082784999999999,-2.1045238,1.6276576387676998,-0.4768661612323002,-3.7321814387676997,1300.0
-1.635593,-2.2889459999999997,-2.015066,-1.6961439999999999,-0.9108639999999999,-0.7826390000000001,-1.6730779999999998,-0.80338,-1.3375700000000001,-5.873149,-1.9016429,1.4854537520327997,-0.4161891479672002,-3.3870966520328,1400.0
-0.9853719999999999,-2.395452,-1.507625,-1.504915,-4.400691,-1.8131080000000002,-1.962877,-0.9470360000000001,-0.35539499999999996,-4.591642,-2.0464113,1.4134884165944475,-0.6329228834055525,-3.4598997165944474,1500.0
