#{"t_start": 1593168676.8593416, "env_id": "widowx_reacher-v5"}
r,l,t
-3.3079,100,4.790609
-3.917313,100,5.283625
-4.636509,100,5.766861
-1.739848,100,6.251455
-3.024969,100,6.740171
-3.514704,100,7.22389
-4.803834,100,7.712437
-2.413382,100,8.197475
-1.769996,100,8.687468
-0.840571,100,9.175094
-1.07072,100,9.662947
-0.839879,100,10.154152
-0.946905,100,10.638765
-1.635593,100,11.125202
-0.985372,100,11.613302
-1.842048,100,12.107862
-1.38208,100,12.596149
-6.202946,100,13.085401
-4.86846,100,13.576108
-4.395525,100,14.066274
-0.600975,100,14.553453
-0.575519,100,15.037217
-1.356266,100,15.534163
-1.87711,100,16.026556
-2.386101,100,16.521081
-1.877107,100,17.010554
-2.061375,100,17.497666
-1.750313,100,17.99012
-1.881177,100,18.479128
-2.170428,100,18.972128
-0.823773,100,19.460824
-1.421136,100,19.958522
-1.519056,100,20.458861
-1.253346,100,20.945015
-0.816023,100,21.440439
-1.300096,100,21.928521
-0.784334,100,22.415234
-0.392392,100,22.902104
-0.522894,100,23.39986
-1.619395,100,23.893109
-0.420803,100,24.391855
-0.188315,100,24.883259
-0.269478,100,25.374861
-0.317891,100,25.864248
-0.321756,100,26.360113
-0.270447,100,26.856961
-0.219863,100,27.34913
-0.379981,100,27.846596
-0.258308,100,28.33812
-0.265927,100,28.829103
-0.25865,100,29.318886
-0.215158,100,29.810063
-0.753096,100,30.301648
-0.616042,100,30.792853
-0.991351,100,31.282822
-0.232379,100,31.776371
-0.238081,100,32.266777
-0.319736,100,32.757823
-1.341498,100,33.248909
-1.110411,100,33.745775
-0.232024,100,34.233519
-0.646033,100,34.718471
-0.294451,100,35.200051
-0.164133,100,35.685604
-0.176846,100,36.18267
-0.156966,100,36.678151
-0.171085,100,37.1702
-0.196342,100,37.660914
-0.862538,100,38.151381
-0.155904,100,38.629019
-0.183479,100,39.121774
-0.176509,100,39.616823
-0.986597,100,40.118638
-0.726229,100,40.610279
-0.152798,100,41.113531
-0.173059,100,41.604126
-1.166188,100,42.100479
-0.16007,100,42.601511
-0.182087,100,43.092774
-0.313984,100,43.585889
-0.337548,100,44.095039
-1.093298,100,44.585577
-0.168933,100,45.072031
-0.191489,100,45.554762
-1.026082,100,46.029958
-0.159505,100,46.530968
-0.14826,100,47.027843
-0.157248,100,47.526581
-0.602664,100,48.035507
-0.158906,100,48.542027
-0.249226,100,49.0365
-0.56594,100,49.529217
-0.429998,100,50.015473
-0.535524,100,50.510497
-0.394469,100,50.999249
-0.624139,100,51.492929
-0.348856,100,51.988064
-0.328703,100,52.480208
-0.613834,100,52.974045
-0.737175,100,53.463413
-0.619985,100,54.999824
-0.2726,100,55.466801
-0.187608,100,55.940018
-0.535219,100,56.418754
-0.16463,100,56.881237
-0.221433,100,57.338184
-0.547106,100,57.79249
-0.442417,100,58.243362
-0.209901,100,58.695689
-0.254917,100,59.145649
-0.170706,100,59.601983
-0.460236,100,60.064345
-0.528368,100,60.517256
-0.627014,100,60.966626
-0.179014,100,61.420287
-0.278649,100,61.877895
-0.176888,100,62.329131
-0.511732,100,62.784464
-0.154417,100,63.244185
-0.542791,100,63.712547
-0.18906,100,64.177143
-0.58063,100,64.63967
-0.588361,100,65.100549
-0.547942,100,65.578263
-0.61185,100,66.065007
-0.302587,100,66.55064
-0.214593,100,67.014308
-0.748409,100,67.475775
-0.467533,100,67.94506
-0.171487,100,68.407347
-0.636858,100,68.884169
-0.644374,100,69.342136
-0.414531,100,69.793685
-0.324766,100,70.244555
-0.601141,100,70.695248
-0.661486,100,71.148524
-0.284177,100,71.601135
-0.347418,100,72.061577
-0.185034,100,72.519674
-0.177977,100,72.977998
-0.271867,100,73.436441
-0.280709,100,73.897785
-0.267676,100,74.355267
-0.455673,100,74.812911
-0.336526,100,75.27021
-0.263968,100,75.738599
-0.356969,100,76.201186
-0.346377,100,76.667446
-0.279847,100,77.137901
-0.21322,100,77.607934
-0.51777,100,78.08916
-0.656307,100,78.569956
-0.32359,100,79.050952
-0.367635,100,79.51907
-0.192577,100,79.979432
-1.238347,100,80.445021
-0.150317,100,80.910907
-0.209457,100,81.375938
-0.195362,100,81.841653
-0.205952,100,82.30721
-0.307227,100,82.777276
-0.366963,100,83.246346
-0.470782,100,83.71956
-0.251309,100,84.194653
-0.209734,100,84.663951
-0.180433,100,85.141344
-0.168796,100,85.617723
-0.562577,100,86.069902
-0.240405,100,86.525826
-0.195937,100,86.977293
-0.222012,100,87.427583
-0.167065,100,87.885266
-0.249271,100,88.348366
-0.449818,100,88.818304
-0.646023,100,89.279418
-0.450851,100,89.730277
-0.185938,100,90.17747
-0.228896,100,90.625671
-0.275374,100,91.085514
-0.425785,100,91.559093
-0.779241,100,92.01947
-0.318586,100,92.457324
-0.294468,100,92.897318
-0.233508,100,93.336502
-0.217432,100,93.775646
-0.198423,100,94.224504
-0.176015,100,94.70355
-0.392758,100,95.172498
-1.901664,100,95.633652
-0.142736,100,96.099621
-0.196063,100,96.556806
-0.153997,100,97.029569
-0.149026,100,97.502578
-0.145278,100,97.974964
-0.217497,100,98.448218
-0.188127,100,98.924063
-0.303547,100,99.404081
-0.174639,100,99.874963
-0.190035,100,100.353189
-0.252744,100,100.839956
-0.397048,100,101.88318
-0.221905,100,102.339579
-0.396244,100,102.792709
-0.365146,100,103.264162
-0.3072,100,103.721376
-0.367236,100,104.183969
-0.356079,100,104.662701
-0.460242,100,105.130101
-0.514599,100,105.587521
-0.490949,100,106.043634
-0.765869,100,106.494047
-0.85336,100,106.949154
-0.883507,100,107.401963
-1.031003,100,107.876186
-0.490853,100,108.353423
-0.288787,100,108.824839
-0.17695,100,109.29687
-0.192657,100,109.770999
-0.213314,100,110.241702
-0.173107,100,110.719325
-0.39622,100,111.199915
-0.3034,100,111.681812
-0.197195,100,112.167217
-0.529381,100,112.656641
-1.47638,100,113.129253
-1.422215,100,113.607902
-0.634902,100,114.086976
-0.71168,100,114.560357
-0.127087,100,115.032652
-0.19578,100,115.513106
-0.143803,100,115.999288
-0.162827,100,116.489537
-0.185457,100,116.980444
-0.273169,100,117.479411
-0.225827,100,117.970894
-0.19218,100,118.460702
-0.281211,100,118.956394
-0.365,100,119.454496
-0.263468,100,119.962682
