#{"t_start": 1593516964.9839823, "env_id": "widowx_reacher-v8"}
r,l,t
-1.538346,100,1.299194
-1.321979,100,1.342959
-2.277235,100,1.381713
-0.540677,100,1.420692
-1.315352,100,1.458939
-0.359607,100,1.497195
-2.305478,100,1.536133
-2.17701,100,1.575047
-1.385199,100,1.613635
-1.803226,100,1.652218
-0.806878,100,2.293156
-0.855006,100,2.625451
-1.223622,100,2.955224
-0.226511,100,3.287326
-1.448662,100,3.618678
-1.132463,100,3.949654
-2.251807,100,4.279815
-0.469128,100,4.612312
-0.45399,100,4.943764
-3.177962,100,5.276193
-0.489463,100,5.609
-0.800037,100,5.939782
-2.861428,100,6.271098
-1.2481,100,6.602849
-0.853025,100,6.933838
-1.647069,100,7.265698
-1.47956,100,7.597038
-0.792429,100,7.928291
-0.442138,100,8.264499
-0.88861,100,8.595406
-1.739181,100,8.927114
-0.743505,100,9.259181
-0.130468,100,9.59142
-0.623055,100,9.919572
-0.138077,100,10.256323
-0.64528,100,10.58807
-2.152733,100,10.920645
-1.800681,100,11.255692
-4.040631,100,11.590886
-1.041494,100,11.923614
-2.57723,100,12.258741
-1.269421,100,12.602906
-1.830393,100,12.940506
-1.785488,100,13.27758
-0.837796,100,13.61813
-0.413644,100,13.960041
-0.964506,100,14.301435
-0.317114,100,14.640412
-0.891294,100,14.983389
-0.379636,100,15.322035
-2.65008,100,15.666471
-2.392972,100,16.006802
-1.111186,100,16.343765
-0.875553,100,16.680886
-2.292548,100,17.013238
-1.421008,100,17.345854
-0.599448,100,17.680095
-3.100728,100,18.010916
-1.964709,100,18.342021
-2.757213,100,18.672451
-1.795647,100,19.003885
-2.060569,100,19.336592
-3.273582,100,19.670468
-0.73236,100,20.005318
-1.671518,100,20.337888
-4.330071,100,20.671468
-5.439472,100,21.003056
-5.213499,100,21.33744
-4.964414,100,21.674242
-0.528363,100,22.043484
-0.475684,100,22.413188
-3.065616,100,22.85503
-2.216752,100,23.221422
-2.132061,100,23.581305
-2.102007,100,23.917348
-1.392343,100,24.265309
-4.981802,100,24.606508
-1.891582,100,24.945007
-1.375709,100,25.287871
-3.675825,100,25.623022
-1.225067,100,25.955657
-2.454778,100,26.303328
-0.738428,100,26.669105
-2.863651,100,27.028667
-1.076235,100,27.386167
-1.110415,100,27.725437
-3.67247,100,28.060944
-1.206641,100,28.396749
-3.13808,100,28.732668
-0.687152,100,29.080754
-5.649588,100,29.481037
-1.652716,100,29.847488
-0.828096,100,30.205011
-1.460839,100,30.570917
-2.46876,100,30.947694
-4.345543,100,31.306039
-0.872941,100,31.662768
-3.820055,100,32.024928
-1.911965,100,32.384063
-2.314314,100,32.744066
-2.449536,100,33.331816
-3.299972,100,33.693042
-2.234655,100,34.08999
-1.673008,100,34.468409
-0.682432,100,34.843394
-3.843746,100,35.208482
-1.411385,100,35.568273
-1.715741,100,35.92946
-1.529348,100,36.286985
-1.386342,100,36.647233
-1.000908,100,37.014057
-2.171409,100,37.40439
-1.282865,100,37.7656
-1.266548,100,38.11866
-3.423291,100,38.466279
-2.409322,100,38.816573
-2.197117,100,39.195197
-3.651631,100,39.567145
-3.152044,100,39.966193
-0.643766,100,40.352103
-4.027698,100,40.768749
-0.997231,100,41.189516
-6.368916,100,41.56163
-1.846555,100,41.949041
-1.516309,100,42.310862
-5.869733,100,42.673692
-1.909889,100,43.028919
-0.849251,100,43.392459
-5.840539,100,43.741088
-1.172044,100,44.090403
-0.533199,100,44.437299
-1.49641,100,44.7859
-1.561576,100,45.132529
-1.147393,100,45.482388
-2.885385,100,45.832253
-1.920751,100,46.196666
-1.888384,100,46.541554
-2.475423,100,46.881164
-3.745058,100,47.2176
-1.702469,100,47.554706
-3.884823,100,47.895165
-3.432004,100,48.233109
-3.32723,100,48.570704
-3.976119,100,48.911261
-2.250321,100,49.255539
-2.620932,100,49.592178
-5.233487,100,49.936496
-5.390752,100,50.272375
-5.136442,100,50.615518
-1.465268,100,50.952085
-1.659716,100,51.287242
-0.4485,100,51.624639
-0.427519,100,51.961427
-3.047622,100,52.297398
-1.11502,100,52.635548
-0.479928,100,52.985181
-6.516681,100,53.325882
-3.04499,100,53.671029
