#{"t_start": 1593511244.2031646, "env_id": "widowx_reacher-v8"}
r,l,t
-1.861137,100,3.607271
-1.192602,100,3.645895
-2.94423,100,3.684119
-0.873253,100,3.723019
-1.723155,100,3.761303
-0.510633,100,3.799644
-2.135249,100,3.838488
-2.040699,100,3.876734
-1.174735,100,3.915028
-1.521273,100,3.953192
-2.1462,100,5.007946
-1.578476,100,5.45471
-3.209979,100,5.902909
-0.414347,100,6.346035
-1.384475,100,6.795123
-4.682515,100,7.251052
-2.775669,100,7.704017
-2.542141,100,8.166054
-1.95572,100,8.623203
-1.725641,100,9.084259
-0.569257,100,9.529256
-3.747067,100,9.997278
-1.697232,100,10.442905
-3.454656,100,10.882783
-1.141509,100,11.324345
-1.212732,100,11.773576
-2.85438,100,12.227959
-1.307902,100,12.697965
-0.57217,100,13.1603
-0.963371,100,13.617604
-1.894461,100,14.071697
-4.70162,100,14.526276
-1.594844,100,14.98956
-0.93545,100,15.438323
-1.253154,100,15.900636
-3.455805,100,16.357964
-4.677205,100,16.812764
-0.284474,100,17.253049
-3.183251,100,17.693972
-1.346643,100,18.142877
-1.788702,100,18.586541
-1.721126,100,19.065673
-1.662599,100,19.523906
-2.073691,100,19.986995
-1.07343,100,20.454757
-0.589284,100,20.916163
-0.901026,100,21.366723
-0.288462,100,21.83822
-1.124869,100,22.295829
-0.680008,100,22.752652
-3.319712,100,23.204868
-1.731983,100,23.669089
-1.187203,100,24.133878
-0.936902,100,24.59908
-2.667476,100,25.054031
-1.106278,100,25.512163
-0.45566,100,25.958211
-2.943257,100,26.413464
-0.959861,100,26.855699
-3.357875,100,27.306881
-0.962493,100,27.757699
-0.689095,100,28.212555
-4.155684,100,28.672249
-0.694995,100,29.135002
-0.793795,100,29.582819
-0.626877,100,30.019686
-1.123374,100,30.463946
-0.971063,100,30.921893
-2.365023,100,31.381957
-3.361146,100,31.850943
-2.048239,100,32.315625
-5.65366,100,32.774197
-6.576304,100,33.229199
-2.186399,100,33.683825
-1.979545,100,34.156107
-2.66897,100,34.609398
-2.526328,100,35.072596
-4.801529,100,35.533745
-1.374284,100,36.005618
-2.105669,100,36.477923
-4.021999,100,36.940135
-2.509937,100,37.397238
-3.488788,100,37.85453
-1.656105,100,38.304869
-1.189593,100,38.756123
-0.622589,100,39.218036
-2.339208,100,39.687187
-2.004125,100,40.150268
-3.668387,100,40.633533
-1.972744,100,41.086399
-1.004589,100,41.538164
-2.536682,100,42.006193
-1.026518,100,42.462591
-2.73233,100,42.914389
-1.558159,100,43.385989
-2.78903,100,43.852036
-5.931484,100,44.32346
-3.086424,100,44.788038
-1.3097,100,45.240463
-0.947312,100,45.687272
-1.931567,100,46.494179
-2.046038,100,46.962871
-2.954999,100,47.427408
-1.536146,100,47.895581
-1.629107,100,48.367669
-3.757115,100,48.837769
-1.161452,100,49.311391
-3.225483,100,49.778318
-1.672558,100,50.237646
-1.572463,100,50.705127
-3.782767,100,51.160032
-2.527358,100,51.631032
-3.067744,100,52.102674
-4.877486,100,52.57371
-5.341665,100,53.035623
-4.279745,100,53.491803
-1.40038,100,53.953868
-1.370817,100,54.413144
-0.613793,100,54.872167
-0.601324,100,55.345292
