#{"t_start": 1593437804.9260788, "env_id": "widowx_reacher-v7"}
r,l,t
-3.552878,100,3.906346
-1.596,100,4.097678
-2.638139,100,4.28233
-1.315046,100,4.469661
-1.225143,100,4.657624
-1.690866,100,4.855127
-1.22347,100,5.042361
-1.802569,100,5.229728
-1.647163,100,5.417771
-1.103731,100,5.606752
-1.791189,100,5.79358
-4.380926,100,5.984039
-3.609647,100,6.717573
-2.16152,100,6.911059
-2.913197,100,7.107283
-2.269617,100,7.298342
-1.757073,100,7.494659
-1.065677,100,7.690329
-2.369481,100,7.884533
-1.377536,100,8.072468
-1.913944,100,8.257636
-1.616841,100,8.445038
-3.088078,100,8.631326
-3.373156,100,8.81817
-4.140797,100,9.006083
-0.567098,100,9.672724
-1.28691,100,9.861683
-1.762644,100,10.048352
-0.965059,100,10.234264
-1.426628,100,10.418716
-2.669637,100,10.60031
-1.320765,100,10.782546
-0.627696,100,10.966996
-0.618913,100,11.147724
-1.023236,100,11.337884
-2.714289,100,11.519934
-0.610859,100,11.699737
-0.325482,100,12.349298
-2.823919,100,12.529986
-3.595707,100,12.718282
-0.837968,100,12.901392
-1.404537,100,13.079518
-3.122048,100,13.258654
-3.156843,100,13.437705
-0.51534,100,13.614665
-0.584489,100,13.795691
-3.175118,100,13.975671
-0.75212,100,14.149883
-1.000736,100,14.327825
-1.467334,100,14.503579
-0.423657,100,15.166228
-2.318772,100,15.344176
-1.135456,100,15.522304
-1.458865,100,15.705451
-0.298337,100,15.889837
-0.534099,100,16.068862
-1.363729,100,16.248116
-1.664149,100,16.423654
-3.556756,100,16.601818
-2.4235,100,16.775727
-1.119086,100,16.954526
-0.965709,100,17.129304
-0.948687,100,17.763726
-1.536641,100,17.938497
-2.023842,100,18.119732
-0.505592,100,18.293999
-1.870242,100,18.470424
-0.819901,100,18.647782
-0.831175,100,18.826714
-1.471445,100,19.007607
-1.33037,100,19.184904
-0.996511,100,19.362573
-1.141204,100,19.543689
-2.483388,100,19.725889
-0.633112,100,19.911203
-0.535404,100,20.588144
-1.944734,100,20.767159
-0.59569,100,20.952707
-1.137642,100,21.13155
-1.757838,100,21.311707
-1.713196,100,21.49643
-2.412836,100,21.67638
-0.495065,100,21.853991
-0.697556,100,22.033211
-1.152543,100,22.208797
-2.03644,100,22.385211
-3.060684,100,22.562514
-1.862879,100,23.222708
-2.84015,100,23.405212
-1.218584,100,23.585605
-1.161487,100,23.767159
-0.350689,100,23.952437
-0.840093,100,24.136259
-1.624745,100,24.318772
-3.636502,100,24.502496
-2.309272,100,24.688313
-4.485584,100,24.875436
-0.468603,100,25.053322
-1.900907,100,25.231106
-1.948038,100,25.410636
-2.628142,100,26.088873
-1.032785,100,26.276975
-0.888265,100,26.459838
-0.713077,100,26.643133
-3.794651,100,26.829041
-5.418317,100,27.012047
-6.685217,100,27.193783
-2.234364,100,27.374605
-3.806916,100,27.558122
-2.291085,100,27.746607
-5.007738,100,27.943138
-2.549982,100,28.129853
-7.097169,100,28.797945
-1.910935,100,28.984499
-1.180271,100,29.16659
-2.648693,100,29.343139
-2.738158,100,29.523203
-1.191856,100,29.702538
-2.189799,100,29.885613
-2.728049,100,30.066866
-1.391252,100,30.256976
-3.84041,100,30.444842
-5.770604,100,30.631938
-1.31986,100,30.81976
-0.883711,100,31.01221
-1.646971,100,31.7335
-2.286191,100,31.932081
-1.243872,100,32.129997
-2.7747,100,32.330919
-2.090476,100,32.512432
-2.232493,100,32.69707
-4.691668,100,32.884308
-0.80239,100,33.070291
-1.783807,100,33.258079
-1.829976,100,33.44227
-3.665057,100,33.626783
-1.743017,100,33.81453
-5.309026,100,34.557821
-2.271403,100,34.743639
-2.783456,100,34.926345
-0.768929,100,35.107044
-5.713834,100,35.293185
-3.048994,100,35.480502
-3.102942,100,35.671698
-8.829746,100,35.87871
-2.483831,100,36.069042
-7.048401,100,36.260554
-4.742914,100,36.446363
-4.220032,100,36.634476
-6.508347,100,36.823132
-6.430292,100,37.561232
-0.62519,100,37.74789
-4.983521,100,37.937966
-0.632177,100,38.121831
-0.247945,100,38.311959
-3.811593,100,38.494063
-1.545858,100,38.681231
-3.651847,100,38.871103
-4.110326,100,39.058168
-3.757844,100,39.244238
-5.428837,100,39.435946
-6.256728,100,39.62322
-7.558116,100,40.309484
-4.295313,100,40.493953
-0.398784,100,40.678111
-4.024157,100,40.862241
-9.70389,100,41.043655
-5.060455,100,41.227562
-0.824842,100,41.41504
-8.191626,100,41.597986
-7.906448,100,41.783076
-0.439436,100,41.967405
-6.588164,100,42.149667
-8.713878,100,42.333162
-1.792928,100,42.519932
-2.060669,100,43.183963
-8.398005,100,43.371743
-7.257176,100,43.556222
-0.700946,100,43.743305
-1.551913,100,43.934256
-6.540924,100,44.120825
-2.033739,100,44.303606
-5.850171,100,44.488368
-3.655463,100,44.673132
-1.761286,100,44.862183
-6.403889,100,45.043463
-4.651755,100,45.226483
-8.573472,100,45.865187
-3.902017,100,46.049932
-3.343466,100,46.234071
-10.84641,100,46.419013
-2.100561,100,46.603469
-0.31053,100,46.790356
-1.825968,100,46.975351
-2.387422,100,47.160007
-2.720435,100,47.346047
-7.730444,100,47.529179
-0.783007,100,47.715609
-5.813327,100,47.903619
-5.43367,100,48.092345
-6.097698,100,48.760367
-6.281913,100,48.943748
-4.681644,100,49.123369
-1.050423,100,49.307041
-11.905033,100,49.490144
-5.853457,100,49.672794
-2.490819,100,49.857179
-0.330681,100,50.040544
-7.088556,100,50.227015
-7.042367,100,50.410947
-1.606254,100,50.590863
-7.074307,100,50.772944
-2.319533,100,51.439325
-5.915773,100,51.62077
-2.200817,100,51.79809
-3.09758,100,51.986631
-1.444875,100,52.166605
-2.098654,100,52.340661
-2.048829,100,52.516817
-1.591957,100,52.695483
-0.646928,100,52.872303
-3.059236,100,53.04831
-2.670271,100,53.225789
-1.100847,100,53.403534
-3.438291,100,53.583802
-6.081029,100,54.247375
-0.438879,100,54.430646
-7.233488,100,54.611115
-1.507695,100,54.79281
-3.040569,100,54.96957
-3.35419,100,55.150062
-3.20956,100,55.332471
-3.055496,100,55.518594
-6.575298,100,55.698861
-3.402019,100,55.88432
-5.081296,100,56.070481
-2.334874,100,56.253263
-1.928838,100,56.918621
-1.018773,100,57.10211
-0.678256,100,57.277555
-0.801876,100,57.454275
-2.607959,100,57.633937
-3.877649,100,57.812681
-3.915806,100,57.992555
-5.586037,100,58.167387
