#{"t_start": 1593655308.556083, "env_id": "widowx_reacher-v7"}
r,l,t
-1.966869,100,6.034233
-2.102893,100,6.237551
-1.214629,100,6.471066
-4.473622,100,6.704626
-4.002879,100,6.934403
-1.854426,100,7.163054
-6.733229,100,7.393307
-5.035701,100,7.626906
-3.589317,100,7.8546
-3.316581,100,8.082716
-1.377785,100,8.310759
-2.426206,100,8.536758
-2.302726,100,9.310993
-1.56535,100,9.540218
-1.667523,100,9.765517
-2.349157,100,9.991282
-2.585594,100,10.222312
-2.192285,100,10.446944
-1.721127,100,10.66961
-2.337313,100,10.89187
-2.547065,100,11.114942
-2.595058,100,11.335489
-2.333293,100,11.557115
-3.059337,100,11.777632
-1.839462,100,12.000662
-1.606435,100,12.681706
-2.868133,100,12.90323
-1.236573,100,13.125895
-1.41758,100,13.348472
-1.086792,100,13.573854
-2.467012,100,13.80033
-2.724284,100,14.027079
-1.787466,100,14.250318
-1.087661,100,14.472729
-1.045498,100,14.697057
-1.180771,100,14.925099
-3.355644,100,15.149685
-0.703615,100,15.840953
-2.66265,100,16.065111
-1.03787,100,16.290684
-2.014137,100,16.514807
-2.413442,100,16.739
-2.516825,100,16.971431
-0.395473,100,17.197514
-3.730287,100,17.422638
-1.24265,100,17.648075
-1.484641,100,17.87459
-1.885721,100,18.100946
-1.95341,100,18.332298
-1.625885,100,18.55694
-1.036382,100,19.243744
-3.917086,100,19.46811
-0.417615,100,19.690915
-1.846304,100,19.914529
-2.335281,100,20.141803
-0.505353,100,20.373089
-2.065505,100,20.607357
-1.151477,100,20.852919
-0.921386,100,21.095534
-1.723492,100,21.340945
-0.723033,100,21.590626
-2.375143,100,21.83359
-2.197773,100,22.623641
-1.699325,100,22.8544
-1.266538,100,23.077617
-2.775774,100,23.301433
-1.68622,100,23.526391
-3.796474,100,23.751094
-3.697256,100,23.975909
-2.879382,100,24.201621
-3.243768,100,24.426269
-2.482387,100,24.65405
-2.798475,100,24.879811
-0.988676,100,25.106559
-1.365649,100,25.33376
-2.584486,100,26.021487
-0.59224,100,26.248837
-2.162496,100,26.476899
-1.645249,100,26.70102
