#{"t_start": 1593442189.6041496, "env_id": "widowx_reacher-v7"}
r,l,t
-1.491638,100,5.32989
-1.889259,100,5.503961
-3.10426,100,6.465952
-0.705609,100,6.630453
-4.425031,100,6.798056
-1.923504,100,6.971332
-0.380807,100,7.136636
-1.691889,100,7.309508
-1.041123,100,7.475731
-1.025046,100,7.639885
-1.609317,100,7.81334
-2.39272,100,7.978208
-1.077896,100,8.705926
-2.129263,100,8.876225
-1.048409,100,9.041565
-1.812128,100,9.217655
-1.166624,100,9.383744
-1.762711,100,9.557423
-1.182588,100,9.723299
-0.791923,100,9.889472
-0.488907,100,10.063436
-2.026151,100,10.228923
-2.057598,100,10.39513
-2.603077,100,10.568678
-0.866947,100,10.738074
-2.600328,100,11.379341
-1.140396,100,11.5438
-1.080119,100,11.708487
-1.543293,100,11.887783
-2.21355,100,12.052504
-0.761496,100,12.231462
-1.084211,100,12.396017
-3.889744,100,12.560618
-0.532395,100,12.746355
-2.238651,100,12.91114
-3.192822,100,13.094998
-0.627168,100,13.259866
-5.120056,100,13.886053
-2.644066,100,14.06489
-0.506878,100,14.229041
-2.644756,100,14.407607
-1.88373,100,14.572137
-1.590541,100,14.736769
-1.271541,100,14.91867
-2.286643,100,15.083256
-2.52857,100,15.251699
-0.864936,100,15.432147
-3.20985,100,15.596683
-0.935114,100,15.775543
-0.955135,100,15.940162
-0.830052,100,16.574227
-2.314528,100,16.753111
-3.56514,100,16.924708
-0.294825,100,17.105946
-1.887998,100,17.270638
-1.27137,100,17.435304
-1.082137,100,17.614134
-3.090785,100,17.778706
-2.640616,100,17.95768
-4.946638,100,18.122191
-0.329453,100,18.286801
-2.625586,100,18.465574
-1.417179,100,19.08642
-2.169791,100,19.25304
-1.337714,100,19.433321
-1.124947,100,19.598067
-5.654993,100,19.776691
-1.272612,100,19.941008
-1.05382,100,20.108918
-1.355563,100,20.287957
-2.269784,100,20.452586
-1.370213,100,20.631315
-1.482033,100,20.795603
-1.982385,100,20.960258
-1.390726,100,21.138812
-3.282482,100,21.764075
-2.403973,100,21.943741
-0.507679,100,22.108349
-3.194399,100,22.272947
-1.765236,100,22.451662
-2.072686,100,22.620654
-3.882127,100,22.801346
-0.86335,100,22.965945
-1.418269,100,23.130587
-0.261682,100,23.313568
-0.93367,100,23.478648
-2.249693,100,23.643586
-1.207945,100,24.282494
-3.425757,100,24.447837
-0.358733,100,24.627122
-1.271581,100,24.792286
-3.613936,100,24.957466
-1.854895,100,25.136178
-1.968032,100,25.300858
-1.037624,100,25.482558
-1.339406,100,25.646979
-3.763884,100,25.811724
-0.855616,100,25.990449
-1.714175,100,26.155069
-1.09389,100,26.33382
-2.373771,100,26.956424
-1.255671,100,27.121442
-2.235671,100,27.302264
-0.436733,100,27.467432
-3.194269,100,27.646173
-1.287636,100,27.810655
-0.46742,100,27.97529
-2.699055,100,28.161537
-2.133888,100,28.326283
-1.21253,100,28.491093
-0.224855,100,28.673651
-3.340186,100,28.842252
-1.624835,100,29.477253
-1.049985,100,29.641893
-1.210548,100,29.806413
-2.526904,100,29.985556
-1.308043,100,30.149233
-2.730518,100,30.330816
-1.082684,100,30.495105
-0.190465,100,30.659432
-0.665676,100,30.837847
-2.44627,100,31.003163
-2.332511,100,31.182012
-1.261723,100,31.34877
-2.171284,100,31.513289
-0.796621,100,32.145525
-0.592344,100,32.310126
-3.920358,100,32.475249
-1.299162,100,32.658042
-1.887041,100,32.824031
-0.438418,100,33.00264
-2.473068,100,33.168763
-1.192719,100,33.333171
-1.992728,100,33.511677
-1.008213,100,33.676179
-3.053172,100,33.854606
-0.566786,100,34.018783
-2.532658,100,34.643255
-2.47037,100,34.823389
-1.414892,100,34.987787
-1.430771,100,35.166563
-1.046146,100,35.334379
-0.19598,100,35.499068
-1.259553,100,35.677558
-0.726914,100,35.841968
-0.827093,100,36.020677
-2.917582,100,36.185111
-0.420723,100,36.352316
-1.179917,100,36.531305
-1.876244,100,36.695983
-0.778667,100,37.31391
-1.819719,100,37.492372
-0.347002,100,37.657097
-2.390644,100,37.835389
-2.233795,100,37.99971
-1.06425,100,38.163992
-1.918475,100,38.342578
-0.300553,100,38.506977
-0.232671,100,38.685623
-0.68964,100,38.849806
-0.811364,100,39.014655
-1.231829,100,39.19449
-0.958543,100,39.828676
-4.408833,100,40.01142
-1.956544,100,40.180736
-0.483703,100,40.349902
-1.773487,100,40.532707
-1.711618,100,40.698971
-0.626195,100,40.879325
-1.976073,100,41.045727
-2.65415,100,41.211896
-1.904435,100,41.393294
-2.279728,100,41.560538
-0.830557,100,41.730001
-2.016817,100,41.910055
-2.60484,100,42.546809
-0.800061,100,42.727267
-1.890886,100,42.893684
-1.442243,100,43.061574
-1.938798,100,43.244884
-0.168598,100,43.412199
-2.157349,100,43.594674
-2.858125,100,43.759588
-0.723385,100,43.924109
-2.304036,100,44.102648
-1.389622,100,44.266973
-2.234701,100,44.445432
-0.530344,100,45.063818
-1.844372,100,45.228455
-2.177818,100,45.407002
-1.526251,100,45.571398
-2.443783,100,45.735388
-0.683296,100,45.913926
-1.223394,100,46.078342
-1.128737,100,46.256979
-1.252183,100,46.421485
-1.27789,100,46.586047
-1.698775,100,46.764185
-1.072401,100,46.928556
-1.173858,100,47.107954
-4.575034,100,47.725244
-0.904496,100,47.889296
-2.147925,100,48.067418
-2.533775,100,48.231352
-2.413015,100,48.410164
-0.898798,100,48.573876
-1.774951,100,48.737804
-1.029685,100,48.915908
-0.897309,100,49.079981
-0.592767,100,49.258157
-3.398023,100,49.422214
-2.32135,100,49.586243
