#{"t_start": 1593463689.364021, "env_id": "widowx_reacher-v7"}
r,l,t
-5.217046,100,4.876304
-1.587036,100,5.028222
-2.423431,100,5.179195
-2.449086,100,6.119817
-1.696641,100,6.604436
-4.326376,100,7.091186
-2.398532,100,7.591946
-7.253117,100,8.075849
-1.415352,100,8.566076
-0.679746,100,9.073439
-2.396167,100,9.58149
-8.627447,100,10.084259
-2.98183,100,10.590124
-2.893327,100,11.088792
-3.394841,100,11.588849
-1.554633,100,12.09722
-8.563271,100,12.595779
-2.949395,100,13.093706
-2.729758,100,13.616344
-2.515836,100,14.213242
-4.176929,100,14.70045
-1.721422,100,15.186516
-1.74132,100,15.674693
-0.311751,100,16.160887
-5.891187,100,16.644086
-3.146816,100,17.129869
-1.261139,100,17.613607
-0.31154,100,18.097246
-2.252203,100,18.584
-4.184467,100,19.070192
-0.358155,100,19.555236
-2.1884,100,20.037807
-3.5328,100,20.517145
-2.809905,100,20.996914
-1.71927,100,21.475244
-1.657697,100,21.958867
-2.164918,100,22.443382
-0.507492,100,22.924723
-3.735849,100,23.402668
-4.328932,100,23.883261
-0.597006,100,24.36095
-0.957045,100,24.847177
-1.864713,100,25.328746
-5.407306,100,25.811417
-0.813601,100,26.29266
-2.411532,100,26.771474
-2.510477,100,27.254871
-2.069788,100,27.744322
-3.814845,100,28.23417
-3.626635,100,28.723416
-3.661053,100,29.210985
-5.101117,100,29.698369
-1.637894,100,30.180303
-0.512813,100,30.660638
-4.479945,100,31.146092
-2.354746,100,31.629234
-1.126722,100,32.108415
-5.903258,100,32.592899
-3.589727,100,33.074796
-1.660033,100,33.553641
-4.172727,100,34.036473
-5.222825,100,34.517949
-2.640331,100,34.996814
-6.206099,100,35.480641
-2.000495,100,35.964598
-3.776909,100,36.451085
-0.746386,100,36.937317
-1.652592,100,37.41871
-0.516808,100,37.898532
-2.397291,100,38.377515
-0.510641,100,38.857429
-4.067004,100,39.337014
-2.194468,100,39.819286
-1.789611,100,40.300196
-0.474397,100,40.77992
-2.953859,100,41.261187
-4.280166,100,41.741855
-3.681385,100,42.222884
-2.19437,100,42.703264
-1.83573,100,43.184747
-4.526354,100,43.668187
-2.244724,100,44.150892
-4.708636,100,44.632957
-7.562591,100,45.116152
-2.528952,100,45.598437
-3.114702,100,46.080554
-0.715827,100,46.567668
-8.06791,100,47.050886
-5.628986,100,47.536883
-3.378607,100,48.021268
-4.744079,100,48.508303
-4.27436,100,48.994808
-7.152789,100,49.481949
-3.765223,100,49.970122
-0.532542,100,50.453829
-1.584614,100,50.939402
-1.537694,100,51.421382
-0.621231,100,51.910496
-1.733694,100,52.397271
-0.180856,100,52.885621
-0.959759,100,53.9622
-2.825053,100,54.453049
-0.745001,100,54.939998
-1.21295,100,55.427921
-0.811763,100,55.918273
-3.029826,100,56.408001
-1.73535,100,56.892999
-2.162578,100,57.38243
-1.470526,100,57.868401
-1.439507,100,58.354728
-1.928187,100,58.840734
-1.24363,100,59.32701
