#{"t_start": 1593454135.415875, "env_id": "widowx_reacher-v8"}
r,l,t
-1.240142,100,3.74835
-0.963687,100,3.795591
-1.464284,100,3.842654
-1.67218,100,3.890072
-1.111171,100,3.936963
-3.42195,100,3.983797
-0.900284,100,4.03061
-0.84079,100,4.077358
-1.489067,100,4.124135
-2.779646,100,4.170902
-6.373211,100,8.141855
-5.034263,100,8.236873
-1.509938,100,8.331309
-0.776975,100,8.425409
-0.595582,100,8.520394
-0.459853,100,8.612157
-1.087655,100,8.708234
-2.13651,100,8.799089
-4.563392,100,8.896589
-1.543633,100,8.993229
-3.759745,100,12.439311
-4.824572,100,12.538723
-2.722831,100,12.633747
-2.25431,100,12.729085
-2.352443,100,12.825387
-2.148572,100,12.920964
-1.881705,100,13.017311
-1.95007,100,13.11314
-1.487324,100,13.208733
-4.051527,100,13.311083
-1.633546,100,16.714463
-2.721653,100,16.804237
-1.130833,100,16.891158
-2.157438,100,16.979132
-7.349721,100,17.0679
-0.867384,100,17.154664
-3.508048,100,17.241247
-5.846817,100,17.328818
-3.426057,100,17.417302
-1.978781,100,17.505671
-2.592641,100,20.876664
-2.054761,100,20.976669
-1.021188,100,21.076464
-2.219038,100,21.172317
-3.335357,100,21.267586
-0.7881,100,21.36941
-0.420966,100,21.465389
-0.781256,100,21.562543
-0.946524,100,21.658142
-1.481405,100,21.755535
-2.081472,100,25.230087
-2.293727,100,25.318754
-3.044802,100,25.406242
-1.078019,100,25.494079
-2.121868,100,25.581932
-2.542804,100,25.671004
-3.435125,100,25.75924
-1.718861,100,25.847935
-1.797453,100,25.935611
-1.485857,100,26.022625
-2.278612,100,29.494327
-1.668149,100,29.585655
-3.591949,100,29.679608
-0.619914,100,29.77549
-1.542156,100,29.870186
-2.033045,100,29.966179
-0.928895,100,30.06248
-0.409092,100,30.157122
-3.118751,100,30.250946
-3.205573,100,30.346516
-4.050852,100,33.856925
-1.054269,100,33.942313
-2.371101,100,34.025542
-1.853057,100,34.107739
-1.817552,100,34.191383
-3.312141,100,34.273007
-1.369877,100,34.355691
-7.306862,100,34.439902
-2.942412,100,34.522868
-3.972653,100,34.603489
-2.680311,100,38.095468
-2.365909,100,38.190939
-2.750978,100,38.284623
-1.042625,100,38.381198
-0.846734,100,38.477356
-1.405996,100,38.569018
-0.551731,100,38.665373
-1.128582,100,38.759917
-2.58922,100,38.854798
-1.388392,100,38.95024
-0.32586,100,42.400444
-4.647872,100,42.485548
-0.329104,100,42.570389
-3.088072,100,42.655703
-1.642894,100,42.740469
-1.263429,100,42.825617
-0.913371,100,42.911252
-2.23104,100,42.993994
-1.813642,100,43.07824
-2.253099,100,43.165487
-0.958691,100,46.963367
-2.331076,100,47.051371
-0.772541,100,47.1388
-1.006979,100,47.226894
-1.895625,100,47.315241
-1.759932,100,47.404245
-1.884175,100,47.493919
-1.137267,100,47.584009
-1.035559,100,47.673815
-3.363932,100,47.76412
-4.484749,100,51.270673
-2.284429,100,51.360619
-3.617216,100,51.449356
-3.487139,100,51.537595
-0.82213,100,51.626821
-4.534681,100,51.714223
-3.025947,100,51.804687
-1.602877,100,51.892198
-4.804871,100,51.982548
-2.361847,100,52.071498
-0.391883,100,55.521432
-2.592573,100,55.610079
-1.344154,100,55.698827
-1.484809,100,55.789003
-1.382445,100,55.878434
-3.330862,100,55.967651
-1.415287,100,56.057039
-1.585597,100,56.143938
-0.860225,100,56.231802
-3.24847,100,56.322255
-1.695026,100,59.822784
-3.177125,100,59.914224
-1.889555,100,60.004606
-0.82718,100,60.09491
-0.913548,100,60.183345
-0.734536,100,60.274126
-4.200233,100,60.365588
-2.19561,100,60.457919
-1.743417,100,60.54905
-3.328674,100,60.639872
-0.58983,100,64.14668
-4.286944,100,64.232984
-2.515013,100,64.323075
-1.782959,100,64.413427
-4.134523,100,64.501946
-3.053517,100,64.590279
-1.394375,100,64.679437
-2.7687,100,64.768072
-0.588208,100,64.856785
-0.545366,100,64.94585
-2.049933,100,68.378306
-1.852418,100,68.468115
-1.086005,100,68.558097
-1.883,100,68.648772
-3.059165,100,68.736545
-0.622405,100,68.824295
-0.970268,100,68.913037
-5.972464,100,69.002036
-6.485115,100,69.090574
-1.998192,100,69.178339
-0.927517,100,72.70093
-4.23038,100,72.798078
-6.987427,100,72.895713
-1.710336,100,72.991831
-3.438984,100,73.087795
-5.470504,100,73.185813
-1.636744,100,73.280085
-4.470609,100,73.372076
-1.682804,100,73.469991
-2.287531,100,73.565223
-1.58944,100,77.008097
-1.956656,100,77.095764
-0.937554,100,77.182289
-2.457172,100,77.268079
-6.233025,100,77.356415
-3.2975,100,77.445618
-5.367904,100,77.535561
-2.351342,100,77.623786
-3.780691,100,77.717055
-4.885962,100,77.807784
-2.208884,100,81.194489
-2.511769,100,81.284774
-4.147789,100,81.374553
-4.07192,100,81.468065
-2.580678,100,81.562181
-1.709314,100,81.657542
-2.526736,100,81.75144
-2.78519,100,81.848255
-0.919731,100,81.944536
-2.681902,100,82.039809
-1.880704,100,85.578445
-1.279653,100,85.673043
-4.285495,100,85.765771
-3.423251,100,85.858194
-3.413595,100,85.951177
-2.958273,100,86.045185
-1.546103,100,86.135463
-0.528883,100,86.227667
-3.420564,100,86.319343
-1.34122,100,86.410712
-1.043732,100,90.153499
-1.577202,100,90.248057
-2.579676,100,90.338141
-1.748569,100,90.428883
-6.636741,100,90.518045
-4.345588,100,90.60621
-0.533337,100,90.694623
-3.479782,100,90.78633
-4.071342,100,90.88202
-3.405008,100,90.977059
-2.830147,100,94.504327
-6.266384,100,94.594651
-1.025452,100,94.683465
-0.765945,100,94.7735
-1.038547,100,94.86174
-2.451925,100,94.948706
-4.243342,100,95.03567
-1.661514,100,95.123063
-8.361236,100,95.21244
-3.896186,100,95.30135
-3.402788,100,98.819175
-1.147554,100,98.918189
-1.13596,100,99.017513
-2.352359,100,99.118322
-3.92618,100,99.217118
-1.343221,100,99.31754
-0.980094,100,99.419112
-2.18448,100,99.516766
-1.374114,100,99.610823
-2.317669,100,99.705067
-1.349856,100,103.219666
-1.3691,100,103.310959
-1.489061,100,103.400643
-3.735141,100,103.489681
-5.156574,100,103.583753
-0.602184,100,103.675564
-1.093829,100,103.763515
-2.29943,100,103.852312
-2.792448,100,103.941515
-2.662203,100,104.03043
-4.103927,100,107.496794
-1.089855,100,107.598058
-2.261187,100,107.699197
-1.719631,100,107.802366
-3.896427,100,107.902707
-0.618375,100,108.005084
-1.219692,100,108.106497
-1.537105,100,108.198743
-3.508641,100,108.29491
-1.437958,100,108.392103
-2.267016,100,111.886231
-2.058408,100,111.977881
-1.885533,100,112.066779
-1.937155,100,112.16716
-2.141077,100,112.265951
-1.279501,100,112.359987
-3.964529,100,112.460106
-3.159674,100,112.555403
-3.574398,100,112.655688
