#{"t_start": 1593439043.9136941, "env_id": "widowx_reacher-v7"}
r,l,t
-2.418167,100,4.256316
-0.955665,100,4.5578
-1.00258,100,4.790965
-0.617486,100,5.094913
-0.277842,100,5.334282
-1.66635,100,5.636865
-1.025514,100,5.874082
-1.360555,100,6.170415
-2.869285,100,6.472924
-1.514532,100,6.707197
-1.425694,100,7.004542
-0.852854,100,7.237528
-3.942746,100,8.098418
-0.177923,100,8.341731
-1.918204,100,8.645858
-0.734688,100,8.891101
-1.499034,100,9.196392
-1.172542,100,9.492646
-1.561802,100,9.730112
-1.255944,100,10.034988
-2.714508,100,10.269989
-1.362118,100,10.565202
-1.689328,100,10.798106
-2.393882,100,11.091096
-0.66004,100,11.38076
-0.967273,100,12.104819
-0.906621,100,12.408976
-1.95666,100,12.650317
-1.295941,100,12.958279
-0.894782,100,13.19057
-1.410736,100,13.48548
-2.761424,100,13.713845
-1.627435,100,14.007768
-1.559866,100,14.304092
-1.742375,100,14.53861
-0.677707,100,14.832156
-2.097158,100,15.061317
-2.35334,100,15.813056
-2.077722,100,16.054666
-3.987408,100,16.355684
-1.210448,100,16.648291
-2.263221,100,16.880104
-1.301439,100,17.179131
-2.574032,100,17.406825
-2.202441,100,17.70342
-1.151902,100,17.938698
-1.431519,100,18.241926
-0.830911,100,18.469424
-3.195718,100,18.766
-1.060106,100,19.059583
-0.679021,100,19.743699
-0.492744,100,20.038147
-1.526586,100,20.278945
-1.378848,100,20.581381
-0.959248,100,20.818263
-1.761141,100,21.117456
-1.308578,100,21.403623
-0.248728,100,21.628835
-1.965237,100,21.914183
-0.257473,100,22.13854
-1.599565,100,22.433983
-0.897607,100,22.65981
-0.733066,100,23.404437
-1.427539,100,23.630441
-1.887625,100,23.92472
-1.28617,100,24.227848
-2.568855,100,24.465076
-1.09361,100,24.770933
-1.953968,100,25.011126
-1.602879,100,25.29724
-2.489465,100,25.520579
-2.436498,100,25.805316
-1.468095,100,26.090447
-2.234346,100,26.315925
-0.978511,100,26.600426
-1.731077,100,27.278878
-1.268973,100,27.565596
-2.950864,100,27.791811
-3.504766,100,28.077988
-1.379235,100,28.302997
-1.266392,100,28.590151
-1.56532,100,28.881142
-0.602433,100,29.110714
-0.870479,100,29.396206
-1.585939,100,29.622811
-2.061095,100,29.909094
-0.575153,100,30.134886
-3.235669,100,30.877589
-1.510484,100,31.166588
-1.930506,100,31.391075
-0.515521,100,31.676146
-1.068908,100,31.901819
-4.352957,100,32.197625
-3.877615,100,32.42684
-0.421721,100,32.72252
-1.863454,100,32.95356
-1.127208,100,33.247072
-1.972754,100,33.532439
-1.411367,100,33.756709
-1.382036,100,34.042311
-0.855058,100,34.729601
-2.400531,100,35.022959
-2.725301,100,35.254186
-1.951811,100,35.551813
-1.364171,100,35.844552
-1.36058,100,36.073281
-2.192274,100,36.368727
-0.307521,100,36.600618
-1.173171,100,36.900114
-3.065047,100,37.128501
-1.796412,100,37.414434
-0.674064,100,37.646802
-1.437301,100,38.416651
-1.228247,100,38.701911
-0.729205,100,38.928396
-1.028521,100,39.215879
-2.089294,100,39.446111
-2.142265,100,39.746215
-2.402263,100,39.976337
-1.093889,100,40.262876
-2.603152,100,40.552346
-2.233994,100,40.782043
-1.046115,100,41.07618
-0.371764,100,41.301345
-1.659249,100,41.588559
-1.743527,100,42.269733
-0.63941,100,42.556899
-1.432188,100,42.783989
-0.652399,100,43.071346
-1.619375,100,43.359396
-0.779881,100,43.584428
-1.289117,100,43.871594
-1.408612,100,44.097296
-0.63368,100,44.383918
-2.190192,100,44.610024
-0.8414,100,44.901268
-1.904528,100,45.194245
-2.703204,100,45.891503
-1.804332,100,46.198079
-0.756213,100,46.432814
-1.182964,100,46.730964
-1.929079,100,46.96548
-1.50615,100,47.269076
-1.19483,100,47.505682
-2.013832,100,47.794085
-0.362585,100,48.08596
-0.536307,100,48.325463
-0.181723,100,48.618616
-0.173027,100,48.851158
-3.877357,100,49.144271
-1.25576,100,49.825769
-1.816445,100,50.116299
-0.530293,100,50.409241
-0.609273,100,50.6377
