seed 1,seed 2,seed 3,seed 4,seed 5,seed 6,seed 7,seed 8,seed 9,seed 10,mean_reward,std_reward,upper,lower,timesteps
-2.1001497799999997,-2.1654734799999997,-2.0883049599999994,-1.8959205200000002,-2.3967475400000002,-1.74135606,-1.9060229399999995,-1.7020540000000002,-2.3141187,-1.4431030200000003,-1.9753250999999998,1.2209123986112393,-0.7544127013887605,-3.1962374986112407,5000
-2.08055304,-2.1616578599999996,-2.072005079999999,-1.8245383800000001,-2.37526414,-1.77427566,-1.9537265599999996,-1.7360669000000002,-2.277722,-1.4475642000000004,-1.9703373819999996,1.2089654213195415,-0.7613719606804582,-3.1793028033195423,5100
-2.0597384,-2.1959389399999996,-2.090013959999999,-1.7923158200000002,-2.3558627000000003,-1.74023964,-1.9087291999999996,-1.7388540600000002,-2.2486896599999997,-1.4378627000000006,-1.9568245079999997,1.1991154866788,-0.7577090213211999,-3.1559399946788007,5200
-2.0819493999999996,-2.1976159599999994,-2.0619236999999986,-1.8113848600000007,-2.39151418,-1.78467596,-1.8921138799999997,-1.6929789000000002,-2.286634,-1.4811303000000005,-1.9681921139999998,1.2078469103367728,-0.760345203663227,-3.1760390243367738,5300
-2.0752042399999997,-2.2096062799999996,-2.0790718199999985,-1.8274391000000005,-2.40203326,-1.7449335599999998,-1.8595338199999998,-1.6963056600000002,-2.3498186,-1.4842911600000006,-1.9728237499999997,1.2181423068250634,-0.7546814431749364,-3.1909660568250637,5400
-2.1417399799999997,-2.1954520599999996,-2.0981195199999987,-1.8453265800000005,-2.40815952,-1.7711126599999998,-1.8808325999999997,-1.6779070000000003,-2.34363334,-1.4725580800000007,-1.9834841339999998,1.2163073488693101,-0.7671767851306894,-3.199791482869311,5500
-2.1527783999999994,-2.1787056399999996,-2.066453319999999,-1.8512019600000005,-2.4294262,-1.7862677999999996,-1.9196505999999998,-1.696524,-2.34324546,-1.4351172800000007,-1.985937066,1.216403533698036,-0.7695335323019638,-3.2023405996980365,5600
-2.238588439999999,-2.1829152999999994,-2.076578239999999,-1.8439936000000003,-2.47986024,-1.7782989799999995,-1.9435679199999996,-1.6208055800000003,-2.3875534999999997,-1.4441029200000008,-1.9996264719999999,1.2261764089082816,-0.7734500630917183,-3.225802880908282,5700
-2.2324072599999996,-2.1693647599999992,-2.073532219999999,-1.8546772000000005,-2.47305308,-1.7374127799999997,-1.9590149999999997,-1.6179917800000003,-2.3794090999999993,-1.446226300000001,-1.9943089479999998,1.2243799419111143,-0.7699290060888855,-3.2186888899111152,5800
-2.2686294799999995,-2.1736890799999995,-2.0933980799999987,-1.8566220400000006,-2.5373061000000003,-1.7518737599999996,-1.9680165999999997,-1.6266134400000005,-2.3895048999999995,-1.4893566400000011,-2.0155010119999996,1.2291662831180852,-0.7863347288819148,-3.2446672951180857,5900
-2.2511319599999995,-2.1843582599999993,-2.1342629599999987,-1.8572916000000006,-2.6075924399999995,-1.7401615999999998,-1.9268205199999997,-1.6163189400000002,-2.392444539999999,-1.529719820000001,-2.0240102639999997,1.238095113223732,-0.7859151507762678,-3.2621053772237327,6000
-2.2265897199999993,-2.1458241799999995,-2.147065559999999,-1.8444790400000008,-2.6293197999999993,-1.7572773000000002,-1.9075005999999997,-1.5926835200000002,-2.407543419999999,-1.5310996000000012,-2.0189382739999995,1.2361917275793244,-0.7827465464206752,-3.2551300015793254,6100
-2.2519816799999988,-2.1863560399999997,-2.1489430399999985,-1.7857163800000007,-2.6563602799999995,-1.7611374599999998,-1.8927981399999996,-1.60780154,-2.4468517599999995,-1.5206063000000012,-2.025855262,1.2271879551496239,-0.7986673068503759,-3.253043217149625,6200
-2.3175847999999992,-2.22059888,-2.170277339999999,-1.8387448000000006,-2.6558814799999997,-1.7646845399999997,-1.8873746599999996,-1.6615214,-2.381339019999999,-1.5118398600000011,-2.0409846779999996,1.2202303716409053,-0.8207543063590943,-3.2612150496409065,6300
-2.3142848999999988,-2.2204738199999996,-2.1733997999999985,-1.8093162800000004,-2.624976,-1.73947222,-1.8977693599999994,-1.6658386,-2.3569056599999993,-1.5150704400000012,-2.0317507079999997,1.2139398369298702,-0.8178108710701296,-3.2456905449298716,6400
-2.354097679999999,-2.27807318,-2.1736115599999986,-1.7602004000000004,-2.6719138200000003,-1.7383906199999999,-1.9010331599999994,-1.6804984000000003,-2.3236713999999994,-1.494480820000001,-2.0375971039999996,1.2219036085617225,-0.8156934954382773,-3.259500712561724,6500
