#{"t_start": 1593447623.5049827, "env_id": "widowx_reacher-v7"}
r,l,t
-0.310582,100,4.047593
-1.337636,100,4.366588
-1.489213,100,4.614414
-1.128663,100,4.92304
-3.172027,100,5.171643
-2.879996,100,5.489143
-3.378622,100,5.724865
-1.61118,100,6.036109
-3.025262,100,6.349354
-1.735784,100,6.596924
-3.135196,100,6.910851
-0.934471,100,7.153262
-0.961695,100,8.117639
-1.889626,100,8.3632
-1.930004,100,8.677657
-2.601465,100,8.933727
-3.454191,100,9.245075
-1.415697,100,9.565488
-1.751841,100,9.810637
-1.660502,100,10.115831
-2.24171,100,10.362521
-2.806656,100,10.666736
-1.501545,100,10.909724
-1.186303,100,11.214153
-1.67196,100,11.521878
-0.99547,100,12.346058
-2.638577,100,12.652894
-1.682631,100,12.89746
-0.232769,100,13.216372
-0.632558,100,13.462079
-0.731305,100,13.773375
-4.0714,100,14.026946
-4.026727,100,14.344723
-1.206917,100,14.655587
-5.17159,100,14.89334
-1.376598,100,15.192515
-1.828303,100,15.445755
-1.222909,100,16.412292
-0.552777,100,16.67236
-2.110328,100,16.994029
-3.566939,100,17.311596
-0.682406,100,17.565889
-0.743206,100,17.871218
-0.833686,100,18.114054
-0.685054,100,18.419246
-1.302967,100,18.658524
-2.028058,100,18.950976
-0.428772,100,19.172253
-1.401399,100,19.47106
-1.121295,100,19.773293
-1.787226,100,20.587309
-0.814207,100,20.867589
-1.71904,100,21.086997
-1.225554,100,21.371067
-1.348634,100,21.589466
-1.135767,100,21.879045
-1.686481,100,22.172861
-1.39972,100,22.396027
-2.66443,100,22.686635
-0.937796,100,22.921064
-4.096376,100,23.212626
-2.340233,100,23.438927
-1.662726,100,24.165935
-0.411649,100,24.39789
-2.199639,100,24.691934
-2.783758,100,24.985037
-2.048348,100,25.213664
-1.060566,100,25.506121
-3.304378,100,25.749526
-1.257408,100,26.062053
-3.630572,100,26.307926
-1.708493,100,26.616627
-1.831256,100,26.915846
-2.133757,100,27.15247
-0.239215,100,27.451144
-1.892972,100,28.257537
-2.267314,100,28.564095
-1.943425,100,28.801674
-2.639254,100,29.102185
-2.414579,100,29.349684
-2.306913,100,29.653368
-1.091632,100,29.953881
-1.103953,100,30.203122
-1.387523,100,30.515123
-1.11899,100,30.7597
-0.229753,100,31.066202
-1.900356,100,31.30348
-1.591119,100,32.180139
-1.439231,100,32.489424
-1.431006,100,32.733784
-1.387099,100,33.04352
-1.267791,100,33.286744
-1.91152,100,33.576781
-1.092616,100,33.816423
-1.640026,100,34.131456
-0.256528,100,34.384403
-0.66425,100,34.69708
-1.738204,100,34.998606
-1.227173,100,35.249928
-0.40499,100,35.558442
-1.163564,100,36.372061
-1.622757,100,36.682837
-3.979335,100,36.935634
-1.542145,100,37.253202
-2.405258,100,37.558703
-3.147617,100,37.802152
-3.482188,100,38.110878
-3.33773,100,38.352476
-3.473671,100,38.657806
-0.605278,100,38.898013
-0.63933,100,39.195747
-1.312742,100,39.433798
-2.230603,100,40.315801
-2.296262,100,40.61786
-1.799783,100,40.857756
-2.200766,100,41.160887
-3.963064,100,41.407521
-0.751034,100,41.716624
-1.689574,100,41.962215
-5.817796,100,42.261471
-1.448334,100,42.568987
-1.679899,100,42.818912
-1.287074,100,43.12902
-1.618676,100,43.375792
-2.24178,100,43.67436
-2.783342,100,44.499884
-4.726825,100,44.807149
-3.80541,100,45.047538
-3.386637,100,45.352662
-1.477732,100,45.661653
-1.564318,100,45.913456
-1.577248,100,46.225568
-2.546384,100,46.477478
-3.758186,100,46.781472
-2.527574,100,47.031126
-2.904311,100,47.334861
-1.098853,100,47.638994
-0.364192,100,48.447374
-2.149331,100,48.750195
-1.370332,100,48.989699
-0.562653,100,49.302549
-0.949932,100,49.549156
-3.59931,100,49.847511
-0.228026,100,50.08393
-0.738101,100,50.383271
-0.435786,100,50.684639
-3.118378,100,50.933886
-1.984245,100,51.238776
-2.538176,100,51.482044
-0.354584,100,51.789047
-1.119859,100,52.612228
-1.717533,100,52.923823
-1.493961,100,53.238143
-1.152783,100,53.488314
