#{"t_start": 1593447716.8390117, "env_id": "widowx_reacher-v7"}
r,l,t
-3.472159,100,4.091309
-2.38504,100,4.161191
-1.720831,100,4.748316
-1.4493,100,5.300248
-0.781587,100,5.850618
-1.696679,100,6.405195
-2.973273,100,6.96128
-0.063613,100,7.532701
-1.311821,100,8.093124
-1.723905,100,8.645945
-1.654233,100,9.20184
-1.472528,100,9.763817
-2.260761,100,10.319084
-1.863142,100,10.878962
-0.18041,100,11.443957
-1.010869,100,11.996855
-0.324651,100,12.560081
-1.640862,100,13.126997
-1.177356,100,13.677815
-1.719308,100,14.233271
-1.240392,100,14.803644
-2.101039,100,15.367044
-3.465385,100,15.939673
-2.363377,100,16.503022
-1.534862,100,17.06769
-3.238802,100,17.626596
-1.765722,100,18.185739
-3.873797,100,18.748143
-3.252734,100,19.30126
-1.552557,100,19.86939
-2.653891,100,20.425917
-1.440547,100,20.98248
-1.114789,100,21.525347
-1.295822,100,22.062525
-1.639331,100,22.597609
-0.86947,100,23.137238
-2.036736,100,23.700904
-0.456673,100,24.23768
-3.542838,100,24.763978
-2.364606,100,25.284959
-0.153649,100,25.812145
-3.837776,100,26.368728
-0.875407,100,26.90169
-1.124556,100,27.44601
-0.984818,100,27.994012
-2.872706,100,28.557973
-4.027744,100,29.086229
-1.340067,100,29.603776
-0.554612,100,30.143471
-1.93849,100,30.698189
-1.023904,100,31.268142
-2.684723,100,31.816295
-0.233821,100,32.383451
-0.909558,100,32.927337
-0.723551,100,33.47191
-2.675111,100,33.993402
-1.133239,100,34.518626
-2.623811,100,35.064198
-2.343273,100,35.599166
-0.434864,100,36.140889
-3.420851,100,36.681953
-1.771133,100,37.201857
-2.41811,100,37.716017
-0.723836,100,38.25196
-0.425241,100,38.792376
-2.518024,100,39.327965
-2.762286,100,39.885146
-3.44927,100,40.432531
-1.680819,100,40.97938
-6.066497,100,41.533643
-3.650504,100,42.095361
-1.677396,100,42.632163
-0.579456,100,43.170446
-1.657015,100,43.709784
-3.914628,100,44.255513
-4.720263,100,44.78484
-0.606474,100,45.307582
-1.908763,100,45.860191
-0.48727,100,46.38934
-1.980564,100,46.932437
-0.542388,100,47.465251
-0.719954,100,48.003151
-2.73052,100,48.536861
-1.016044,100,49.066109
-2.215822,100,49.606927
-1.229574,100,50.135186
-3.815578,100,50.683695
-3.588332,100,51.228421
-2.269928,100,51.779419
-4.6915,100,52.328595
-1.111084,100,52.859139
-2.415361,100,53.390344
-0.96871,100,53.922499
-2.354664,100,54.45287
-0.636085,100,54.980093
-3.53454,100,55.513826
-1.28214,100,56.056399
-0.651374,100,56.602525
-2.588764,100,57.131747
-1.521885,100,57.652845
-1.189689,100,58.546468
-2.941821,100,59.09883
-1.717197,100,59.648283
-2.201376,100,60.221539
-2.977534,100,60.788629
-1.100654,100,61.344435
-0.973217,100,61.883265
-0.428393,100,62.410335
-0.202266,100,62.983647
-1.108634,100,63.538159
-1.126822,100,64.110586
-2.658438,100,64.66973
-0.419242,100,65.224544
-1.261706,100,65.802538
-0.751618,100,66.360413
-1.569617,100,66.91427
-2.385425,100,67.46671
-2.833626,100,68.023013
-0.817277,100,68.552434
-1.710618,100,69.091527
-0.985066,100,69.653413
-0.96693,100,70.211658
-0.765255,100,70.760428
-1.835717,100,71.314966
-2.341703,100,71.874048
-1.942313,100,72.426643
-4.178325,100,72.968993
-1.209502,100,73.512394
-2.966026,100,74.044337
-1.762463,100,74.5789
-0.148375,100,75.138341
-1.933051,100,75.696676
-0.56602,100,76.251408
-1.640461,100,76.80181
-0.626409,100,77.353998
-1.323888,100,77.890895
-1.134256,100,78.43388
-0.522857,100,78.96542
-0.658037,100,79.504109
