#{"t_start": 1593662679.6891623, "env_id": "widowx_reacher-v7"}
r,l,t
-0.96806,100,3.681543
-0.971856,100,4.033607
-2.448596,100,4.696755
-2.439573,100,5.074286
-0.595872,100,5.446567
-0.653582,100,5.839111
-2.049087,100,6.228058
-4.475024,100,6.620108
-2.724938,100,7.004954
-1.193962,100,7.395788
-1.418748,100,7.774421
-0.590616,100,8.157255
-1.597859,100,8.531437
-0.963339,100,8.92364
-2.485547,100,9.30913
-1.39395,100,9.705251
-3.125711,100,10.104178
-3.430281,100,10.501397
-1.05997,100,10.894757
-2.565982,100,11.291359
-0.966793,100,11.684317
-1.093104,100,12.062052
-0.939446,100,12.446166
-1.440373,100,12.825207
-1.307705,100,13.203579
-1.778363,100,13.582148
-2.042134,100,13.967162
-0.901775,100,14.365606
-1.014934,100,14.759849
-1.767873,100,15.165847
-1.67813,100,15.540946
-1.18234,100,15.916371
-1.301191,100,16.313141
-0.423022,100,16.688316
-1.863274,100,17.063992
-1.131608,100,17.450252
-2.299874,100,17.830183
-0.532226,100,18.224197
-1.321605,100,18.611899
-0.530073,100,19.006776
-0.289231,100,19.394954
-1.036335,100,19.77192
-0.705597,100,20.154451
-1.150802,100,20.530418
-1.689949,100,20.909561
-3.201841,100,21.291125
-2.200765,100,21.690138
-3.433431,100,22.082121
-1.452001,100,22.475497
-0.958829,100,22.868431
-4.348399,100,23.258513
-2.708501,100,23.629094
-1.537417,100,24.001322
-1.555703,100,24.369604
-0.484103,100,24.745558
-0.384786,100,25.117189
-0.297967,100,25.495148
-3.04793,100,25.882308
-1.830048,100,26.272296
-1.676553,100,26.662798
-2.045873,100,27.065456
-2.84686,100,27.456882
-0.73076,100,27.828099
-1.745637,100,28.215956
-2.323004,100,28.590872
-4.01293,100,28.955557
-1.521834,100,29.344722
-2.478457,100,29.724007
-1.015533,100,30.105966
-0.67831,100,30.483614
-0.359702,100,30.87258
-0.565271,100,31.268207
-3.867028,100,31.642572
-3.179949,100,32.021068
-0.261914,100,32.406755
-2.490747,100,32.790419
-1.808857,100,33.173147
-5.599035,100,33.556387
-3.429089,100,33.940902
-1.239082,100,34.324369
-2.604107,100,34.703155
-2.181924,100,35.084391
-1.736146,100,35.468098
-3.999257,100,35.852648
-1.314798,100,36.240645
-1.813718,100,36.622184
-5.88135,100,37.010189
-4.841541,100,37.391933
-2.952888,100,37.768441
-1.487019,100,38.150455
-1.443286,100,38.532483
-1.014873,100,38.914098
-0.682986,100,39.289637
-4.079662,100,39.678266
-7.01536,100,40.045233
-3.58872,100,40.414413
-0.169015,100,40.790523
-1.067058,100,41.161972
-2.774887,100,41.541417
-1.684252,100,41.92918
-1.130002,100,42.637769
-1.305156,100,43.018534
-0.30222,100,43.40231
-2.916407,100,43.793007
-0.372999,100,44.17719
-3.352858,100,44.559857
-2.244879,100,44.957258
-2.412313,100,45.341797
-4.011043,100,45.734406
-1.226564,100,46.134217
-2.098991,100,46.528266
-3.35132,100,46.922834
-0.969224,100,47.310104
-0.936043,100,47.684665
-5.47687,100,48.062485
-1.971343,100,48.436604
-0.996968,100,48.81317
-2.807564,100,49.190387
-1.350514,100,49.567395
-0.727772,100,49.966388
-2.310917,100,50.3537
-1.556495,100,50.750662
-5.757715,100,51.139425
-2.800456,100,51.525012
-1.612511,100,51.900975
-0.761834,100,52.283337
-3.821911,100,52.670719
-0.795206,100,53.054249
-5.079172,100,53.437159
-2.986964,100,53.808274
-0.967248,100,54.19542
-0.329849,100,54.580284
-4.632621,100,54.960934
-2.779909,100,55.352628
-5.758269,100,55.725899
-1.373597,100,56.094311
-0.74641,100,56.478938
-2.871734,100,56.858138
-3.112162,100,57.244015
-2.080646,100,57.623526
-5.063044,100,58.028729
-0.767399,100,58.414555
-0.6455,100,58.801277
-2.303383,100,59.188227
-2.049377,100,59.557077
-7.429256,100,59.924255
-1.691292,100,60.289317
-3.534763,100,60.669052
-3.446628,100,61.042791
-3.586806,100,61.427237
-0.307453,100,61.807436
-6.221915,100,62.204585
-0.477862,100,62.606801
-7.091079,100,63.004055
-0.12719,100,63.39693
-1.063095,100,63.780265
-0.488337,100,64.15653
-1.031897,100,64.52993
-0.235481,100,64.909235
-1.392919,100,65.266436
-2.704067,100,65.619489
-4.981886,100,66.01424
-3.608266,100,66.394462
-1.733841,100,66.789898
-7.818078,100,67.181332
-1.800589,100,67.560958
-1.841881,100,67.944751
-3.229987,100,68.319874
-1.574848,100,68.689753
-2.981071,100,69.0753
-3.294789,100,69.450267
-4.808502,100,69.834247
-3.52725,100,70.212439
-1.912535,100,70.609179
-0.911731,100,71.017231
-5.81275,100,71.406058
-2.75928,100,71.77749
-8.75185,100,72.159584
-2.65078,100,72.536717
-3.724161,100,72.908376
-0.460924,100,73.272095
-1.772847,100,73.669207
-5.44092,100,74.064733
-1.241375,100,74.455083
-4.008324,100,74.850363
-1.946653,100,75.248456
-3.20602,100,75.628142
-4.770526,100,76.005389
-3.780382,100,76.383727
-0.516106,100,76.753301
-1.665701,100,77.125903
-2.130646,100,77.507953
-0.413169,100,77.896333
-2.902786,100,78.294135
-2.50641,100,78.690595
-2.087879,100,79.082079
-2.777299,100,79.475405
-1.967448,100,79.854939
-0.439076,100,80.230311
-2.352291,100,80.609489
-2.590371,100,81.24496
-1.111196,100,81.622973
-6.098658,100,82.009565
-0.612451,100,82.405244
-1.016949,100,82.800388
-0.313923,100,83.201343
-3.618491,100,83.595657
-0.41129,100,83.975806
-4.240927,100,84.358334
-2.71519,100,84.741482
-3.283197,100,85.117077
-0.790983,100,85.497277
-0.477832,100,85.891983
-3.555177,100,86.296221
-1.036337,100,86.692821
-3.788665,100,87.108245
-0.749812,100,87.508823
-2.210929,100,87.90423
-4.423746,100,88.292743
-0.465514,100,88.670798
-0.860346,100,89.029485
-2.817272,100,89.416885
-1.43741,100,89.812016
-3.791661,100,90.201955
-5.582107,100,90.603353
-0.611307,100,90.996574
-0.704971,100,91.386489
-1.461846,100,91.768916
-5.121979,100,92.147318
-2.528008,100,92.524622
-0.448717,100,92.901809
-4.35682,100,93.284337
-0.792469,100,93.668312
-5.14469,100,94.06715
-1.428911,100,94.45557
-2.663655,100,94.853435
-3.045225,100,95.244851
-4.503195,100,95.623499
-2.61118,100,95.991313
-4.566211,100,96.359622
-3.533065,100,96.737856
-0.269114,100,97.132132
-0.271081,100,97.529718
-1.905983,100,97.914644
-1.521351,100,98.297792
-0.058826,100,98.687356
-1.729067,100,99.084724
-2.010716,100,99.467951
-3.893174,100,99.846578
-2.314872,100,100.244441
-1.002125,100,100.619053
-0.937385,100,100.998988
-5.629455,100,101.385964
-2.600487,100,101.768989
-0.417919,100,102.158578
-3.831393,100,102.548716
-0.249873,100,102.960528
-0.758501,100,103.345719
-1.575176,100,103.734307
-1.580255,100,104.099298
-1.808567,100,104.480177
-0.708807,100,104.863432
-1.979731,100,105.242307
-0.898252,100,105.643199
-0.677044,100,106.035131
-1.16215,100,106.4241
-3.368798,100,106.825294
-2.865139,100,107.216758
-0.797938,100,107.592042
-1.112337,100,107.978947
-1.111046,100,108.353093
-6.026785,100,108.742377
-1.147667,100,109.137494
-1.285209,100,109.534187
-1.629884,100,109.928059
-2.922711,100,110.32379
-1.161844,100,110.71789
-2.865642,100,111.121519
-2.057918,100,111.505157
-3.268374,100,111.881203
-1.772602,100,112.256504
-1.576173,100,112.625304
-4.037501,100,113.008398
-0.418937,100,113.39957
-2.32211,100,113.789218
-1.467791,100,114.17822
-5.217199,100,114.571443
-1.832029,100,114.971226
-0.407483,100,115.369756
-3.985002,100,115.749456
-1.993146,100,116.157172
-1.792283,100,116.540815
-0.771108,100,116.921005
-1.589524,100,117.303035
-1.914064,100,117.686075
-1.762527,100,118.075811
-1.884023,100,118.471733
-0.545026,100,118.864923
-0.295762,100,119.265793
-2.719321,100,119.657706
-0.275809,100,120.317554
-1.890589,100,120.709561
-1.111755,100,121.101181
-1.261748,100,121.493341
-1.771234,100,121.889049
-1.700589,100,122.280209
-1.620546,100,122.670197
-1.496404,100,123.062975
-1.267542,100,123.450852
-1.175683,100,123.830793
-2.266046,100,124.212373
-2.825785,100,124.588176
-1.032449,100,124.965904
-3.482204,100,125.351935
-5.075357,100,125.742013
-2.648217,100,126.136624
-1.746018,100,126.531239
-5.518432,100,126.930501
-2.564478,100,127.328594
-1.573348,100,127.708789
-0.882647,100,128.099884
-1.252978,100,128.476724
-0.37362,100,128.861799
-1.696504,100,129.243026
-1.880036,100,129.640727
-1.713798,100,130.0408
-1.301117,100,130.44092
-1.625807,100,130.837963
-1.391712,100,131.231772
-2.29295,100,131.607312
-1.931189,100,131.987114
-2.710725,100,132.390099
-1.805873,100,132.774679
-1.871948,100,133.166589
-0.87446,100,133.555768
-4.826632,100,133.950207
-0.322503,100,134.357592
-1.37131,100,134.756357
-1.583406,100,135.176348
-1.941299,100,135.558387
-1.385066,100,135.935053
-2.577764,100,136.323079
-0.615455,100,136.707333
-1.493055,100,137.090574
-1.592934,100,137.475837
-2.27466,100,137.876419
-1.806861,100,138.27136
-1.097606,100,138.665797
-1.370623,100,139.060726
-0.542117,100,139.462261
-0.424166,100,139.849342
-0.998412,100,140.252354
-1.670274,100,140.659367
-0.562929,100,141.062886
-0.456771,100,141.458745
-2.001268,100,141.855374
-2.141815,100,142.251762
-1.539162,100,142.653089
-1.552773,100,143.045418
-1.729111,100,143.437671
-2.958061,100,143.826065
-0.798412,100,144.214443
-1.161627,100,144.601799
-2.979477,100,144.986852
-1.363996,100,145.37619
-3.361087,100,145.769469
-2.917174,100,146.16077
-1.134325,100,146.554188
-1.657824,100,146.950283
-1.760101,100,147.349216
-1.130268,100,147.740167
-1.051376,100,148.127925
-1.693473,100,148.535687
-1.541948,100,148.918988
-1.508261,100,149.309227
-1.478422,100,149.703418
-1.605593,100,150.097478
-2.060381,100,150.487696
-0.448849,100,150.879638
-1.283233,100,151.274086
-2.714616,100,151.664974
-2.004524,100,152.057935
-1.614083,100,152.456923
-0.516585,100,152.858056
-1.960259,100,153.249692
-1.408687,100,153.646693
-1.568492,100,154.046
-0.63506,100,154.453384
-0.385037,100,154.858423
-0.830624,100,155.261631
-0.104328,100,155.64959
-1.778662,100,156.052896
-0.542627,100,156.457131
-0.504749,100,156.844337
-2.291465,100,157.255351
-1.102017,100,157.668744
-0.665352,100,158.065261
-0.352556,100,158.465228
-1.464956,100,158.865201
-2.49514,100,159.264874
-0.711914,100,159.935162
-0.658233,100,160.325909
-1.456552,100,160.71473
-0.993209,100,161.09624
-1.593303,100,161.483318
-2.268201,100,161.864903
-2.357004,100,162.267619
-1.418098,100,162.655638
-1.767651,100,163.041963
-0.456019,100,163.426769
-1.667711,100,163.812214
-1.694868,100,164.200179
-0.502517,100,164.594643
-0.98517,100,164.994781
-4.091325,100,165.391456
-3.558961,100,165.788317
-1.124232,100,166.181615
-1.99172,100,166.573162
-1.053499,100,166.975152
-2.461154,100,167.383268
-1.954832,100,167.779116
-2.971224,100,168.169368
-0.742998,100,168.562701
-1.986831,100,168.953802
-0.185188,100,169.351448
-1.027932,100,169.756112
-0.336408,100,170.15943
-2.283963,100,170.5559
-2.969087,100,170.954005
-1.43653,100,171.347989
-3.50888,100,171.743743
-4.127892,100,172.136053
-1.224379,100,172.526554
-1.369006,100,172.912393
-1.999159,100,173.299167
-2.092849,100,173.692076
-1.760054,100,174.081675
-1.04675,100,174.469337
-1.241581,100,174.852762
-1.811021,100,175.239648
-1.541813,100,175.633166
-1.471089,100,176.028268
-0.482224,100,176.428398
