#{"t_start": 1593453209.6228127, "env_id": "widowx_reacher-v7"}
r,l,t
-0.966045,100,3.572469
-3.622187,100,3.59096
-1.010961,100,3.609839
-0.894435,100,3.628087
-0.285452,100,3.646159
-1.393713,100,3.664551
-2.009858,100,3.682799
-3.012663,100,3.701164
-2.596348,100,3.720064
-3.339121,100,3.738299
-3.812612,100,3.756552
-2.502287,100,3.774852
-3.909018,100,3.793012
-1.936201,100,3.811286
-0.300554,100,3.829527
-2.995189,100,3.847814
-2.59515,100,3.866099
-0.66944,100,3.884338
-0.84179,100,3.902581
-3.107242,100,3.92101
-1.689791,100,3.939242
-3.648749,100,3.957486
-0.998725,100,3.976312
-0.501745,100,3.99475
-1.426059,100,4.01305
-2.540977,100,4.031375
-1.674732,100,4.049686
-3.385878,100,4.068105
-2.28553,100,4.08649
-1.712694,100,4.105029
-3.745062,100,4.123365
-1.701089,100,4.141832
-2.245589,100,4.160165
-0.762433,100,4.178446
-2.996162,100,4.196783
-3.331456,100,4.216051
-0.255576,100,4.234478
-2.767583,100,4.252822
-0.672724,100,4.271191
-1.814861,100,4.289643
-1.284338,100,4.308091
-2.653784,100,4.326435
-2.127873,100,4.345839
-2.270814,100,4.364355
-1.516625,100,4.382779
-0.906978,100,4.401163
-2.657712,100,4.419569
-1.423994,100,4.438102
-2.338278,100,4.456434
-0.882788,100,4.475301
-2.515611,100,4.493803
-0.795927,100,4.512391
-0.190235,100,4.530879
-0.856605,100,4.549305
-0.772406,100,4.567693
-2.165215,100,4.586239
-0.762838,100,4.605067
-0.706304,100,4.623562
-2.058349,100,4.642098
-0.643082,100,4.660781
-1.464953,100,4.679172
-0.575833,100,4.699549
-0.32045,100,4.718016
-1.597488,100,4.736853
-2.877753,100,4.755437
-3.532326,100,4.774037
-0.646497,100,4.792671
-1.808577,100,4.811484
-1.395881,100,4.830064
-0.762969,100,4.849335
-2.228027,100,4.867956
-3.475726,100,4.886825
-1.699054,100,4.90563
-1.994152,100,4.924294
-1.729094,100,4.943082
-1.169215,100,4.961855
-0.621875,100,4.981312
-2.980393,100,4.999854
-1.241655,100,5.018486
-2.667064,100,5.03726
-1.718117,100,5.055938
-1.923578,100,5.074622
-0.794648,100,5.093306
-1.020192,100,5.112216
-1.84119,100,5.130886
-2.644121,100,5.149622
-2.978959,100,5.168322
-0.216591,100,5.187118
-1.052235,100,5.20575
-0.594155,100,5.224306
-1.521254,100,5.243749
-1.513658,100,5.26255
-2.484846,100,5.281365
-1.013433,100,5.300079
-2.027291,100,5.318791
-3.482895,100,5.337653
-1.787768,100,5.357157
-1.517258,100,5.375898
-3.461978,100,5.394501
-0.345879,100,5.413342
-2.324811,100,6.791301
-0.521025,100,7.162346
-4.091432,100,7.528438
-2.250819,100,7.875961
-2.573821,100,8.228339
-2.194126,100,8.609369
-0.331035,100,8.987146
-0.97815,100,9.360655
-2.234122,100,9.735222
-2.936818,100,10.122809
-1.520342,100,10.507406
-1.511725,100,10.885478
-1.243034,100,11.263958
-1.078504,100,11.634079
-1.375963,100,12.001908
-1.70951,100,12.374401
-3.341642,100,12.746853
-3.785882,100,13.120817
-1.476557,100,13.500935
-5.144381,100,13.876733
-0.598667,100,14.240245
-0.883217,100,14.616791
-2.744908,100,14.996909
-2.347236,100,15.369778
-5.40984,100,15.746893
-5.487921,100,16.118944
-1.691969,100,16.486496
-2.262579,100,16.855073
-1.137396,100,17.227421
-2.816697,100,17.582513
-4.057318,100,17.959112
-0.734107,100,18.322515
-2.063741,100,18.685841
-2.302955,100,19.057962
-5.794435,100,19.420165
-1.059013,100,19.784416
-1.750105,100,20.145584
-0.905438,100,20.497976
-0.474824,100,20.852465
-1.907799,100,21.206527
-3.943948,100,21.569797
-0.824526,100,21.944274
-8.688587,100,22.315754
-1.780161,100,22.692167
-2.099073,100,23.066883
-1.316185,100,23.434656
-4.14854,100,23.791908
-2.366257,100,24.15384
-1.019139,100,24.517192
-0.750022,100,24.866753
-0.378073,100,25.244332
-2.773021,100,25.605964
-1.719382,100,25.98267
-3.089863,100,26.365654
-1.78817,100,26.744887
-2.121689,100,27.118597
-0.535513,100,27.481104
-2.743608,100,27.834845
-2.566051,100,28.20084
-2.76908,100,28.564035
-0.333925,100,28.915253
-2.820401,100,29.266881
-3.780387,100,29.621081
-2.363886,100,29.980396
-0.910055,100,30.342996
-3.328296,100,30.707742
-1.139373,100,31.082764
-6.460594,100,31.436985
-1.636281,100,31.780432
-4.455792,100,32.124312
-2.298247,100,32.479734
-0.237948,100,32.819922
-1.421486,100,33.159307
-1.641761,100,33.525004
-0.443589,100,33.892441
-1.95286,100,34.261484
-1.366526,100,34.635155
-2.118758,100,35.002536
-0.867436,100,35.376987
-1.782995,100,35.737682
-1.156251,100,36.102016
-1.559621,100,36.450638
-1.795773,100,36.807832
-1.831829,100,37.179239
-4.63969,100,37.552345
-2.14321,100,37.913292
-1.419533,100,38.286018
-1.32737,100,38.654165
-4.100835,100,39.020335
-1.223644,100,39.387744
-1.579787,100,39.746729
-0.348846,100,40.118299
-1.652111,100,40.470625
-1.497806,100,40.823752
-0.934508,100,41.178592
-0.96215,100,41.539231
-2.35788,100,41.897172
-1.783087,100,42.267208
-1.233032,100,42.634413
-0.378224,100,43.002397
-1.371138,100,43.689288
-0.638435,100,44.053127
-1.889648,100,44.416528
-0.966491,100,44.773154
-1.251828,100,45.126862
-1.541161,100,45.47816
-1.723155,100,45.844485
-0.686341,100,46.214275
-0.802252,100,46.579648
-1.175413,100,46.953343
-0.339297,100,47.322037
-0.864856,100,47.707139
-1.334347,100,48.073287
-1.529112,100,48.432284
-1.693887,100,48.788885
-1.012461,100,49.140663
-0.870765,100,49.503588
-1.377848,100,49.874311
-1.656068,100,50.241762
-1.806538,100,50.621885
-1.689294,100,51.005464
-4.463077,100,51.382432
-2.613519,100,51.72914
-1.82624,100,52.091044
-2.755382,100,52.449362
-1.110827,100,52.839577
-2.307747,100,53.216751
-1.572931,100,53.596341
-0.591813,100,53.967319
-2.138611,100,54.338021
-3.649925,100,54.705808
-2.995101,100,55.080937
-0.325193,100,55.457276
-1.415273,100,55.815414
-2.33808,100,56.194651
-0.786356,100,56.567017
-0.49487,100,56.946066
-0.294373,100,57.318586
-0.689389,100,57.681252
-0.216335,100,58.053174
-0.786172,100,58.41997
-1.261085,100,58.797183
-1.785117,100,59.166764
-0.321483,100,59.530168
-1.962866,100,59.894247
-1.545764,100,60.270716
-0.432432,100,60.64424
-1.948178,100,61.013217
-1.719423,100,61.409877
-0.376436,100,61.78198
-4.591401,100,62.153659
-0.681117,100,62.530456
-1.728608,100,62.900538
-3.258344,100,63.269644
-3.256917,100,63.632836
-1.236415,100,64.003952
-0.176316,100,64.37077
-2.334625,100,64.740726
-1.790382,100,65.110287
-2.182949,100,65.476751
-0.357454,100,65.84235
-1.900349,100,66.216074
-0.816292,100,66.592065
-0.733886,100,66.96984
-2.396553,100,67.344998
-2.083755,100,67.707831
-1.479377,100,68.074848
-0.582787,100,68.443058
-1.789551,100,68.812051
-0.144802,100,69.186574
-0.946732,100,69.547482
-2.500623,100,69.924067
-2.193815,100,70.291108
-1.030349,100,70.652538
-1.347288,100,71.018049
-1.262185,100,71.39354
-2.741227,100,71.770853
-2.62947,100,72.144908
-0.986766,100,72.514528
-0.94655,100,72.887257
-1.320798,100,73.25781
-0.569186,100,73.621005
-2.601514,100,73.988399
-2.227828,100,74.359819
-1.772918,100,74.732068
-1.775775,100,75.107715
-0.776947,100,75.475672
-0.888858,100,75.846779
-2.057494,100,76.215089
-4.564464,100,76.586219
-3.983523,100,76.947689
-1.241941,100,77.312047
-1.523798,100,77.683263
-0.71294,100,78.046387
-1.625046,100,78.415823
-0.473348,100,78.789902
-0.961515,100,79.170226
-0.684548,100,79.542858
-2.496309,100,79.900536
-0.217556,100,80.254535
-0.987406,100,80.890856
-0.914907,100,81.25524
-2.955432,100,81.62276
-0.844792,100,82.005949
-2.382367,100,82.381923
-1.059886,100,82.758073
-0.697651,100,83.131302
-0.346027,100,83.501473
-2.401638,100,83.861774
-0.764243,100,84.230358
-3.161442,100,84.600734
-1.531025,100,84.96561
