#{"t_start": 1593669038.3153954, "env_id": "widowx_reacher-v7"}
r,l,t
-2.624256,100,4.027704
-2.501159,100,4.13838
-4.737433,100,4.246235
-2.278553,100,4.342721
-1.276346,100,4.426527
-0.101438,100,4.511536
-3.092326,100,4.590971
-3.176219,100,4.670157
-2.54678,100,4.748958
-2.07771,100,4.828337
-2.041552,100,5.459079
-1.694594,100,5.535792
-2.786993,100,5.612518
-0.688034,100,5.689353
-2.475254,100,5.766129
-0.844907,100,5.842803
-0.953743,100,5.919502
-1.221331,100,5.996245
-1.216996,100,6.073201
-0.848278,100,6.149987
-2.704455,100,6.303656
-3.373527,100,6.398707
-2.912358,100,6.501029
-0.384824,100,6.596925
-2.101359,100,6.687446
-1.883613,100,6.782018
-1.895553,100,6.868965
-1.73098,100,6.947508
-0.502146,100,7.033263
-1.770269,100,7.122924
-3.704498,100,7.299781
-0.919897,100,7.387046
-0.14415,100,7.472136
-2.505802,100,7.564841
-2.668731,100,7.656197
-2.137902,100,7.746917
-1.003102,100,7.842673
-0.294259,100,7.948048
-0.78888,100,8.048609
-3.8576,100,8.143865
-3.990468,100,8.308005
-3.642545,100,8.392574
-1.141284,100,8.484961
-0.655767,100,8.583276
-1.892156,100,8.689996
-2.653927,100,8.788176
-1.469961,100,8.880994
-2.044302,100,8.980146
-2.011096,100,9.071445
-1.047729,100,9.158697
-2.435867,100,9.253767
-0.858474,100,9.419575
-1.516977,100,9.501745
-0.828956,100,9.583916
-3.112821,100,9.683483
-2.517743,100,9.766658
-2.185987,100,9.865281
-1.364025,100,9.974232
-1.718118,100,10.080083
-1.129719,100,10.184799
-1.02934,100,10.286609
-2.290344,100,10.461087
-1.672556,100,10.547001
-2.56345,100,10.647913
-1.017096,100,10.743106
-1.174336,100,10.84064
-8.280579,100,10.919571
-2.627539,100,11.003097
-1.528557,100,11.083838
-1.959415,100,11.164344
-3.89472,100,11.245023
-2.658518,100,11.405646
-2.225854,100,11.486241
-0.900992,100,11.566662
-1.357324,100,11.646848
-3.688262,100,11.727542
-0.579792,100,11.811138
-1.504685,100,11.893414
-2.552784,100,11.986295
-1.324914,100,12.064646
-0.876601,100,12.147902
-1.134403,100,12.305829
-1.607372,100,12.405981
-1.370531,100,12.503916
-2.080786,100,12.58322
-3.92565,100,12.673205
-1.941568,100,12.777461
-2.624698,100,12.864918
-3.022202,100,12.967432
-1.304652,100,13.050799
-2.430573,100,13.137223
-2.699202,100,13.237884
-2.626901,100,13.398383
-0.909708,100,13.485031
-1.376959,100,13.581291
-2.14258,100,13.661488
-2.304523,100,13.740942
-1.711078,100,13.819111
-1.959226,100,13.898805
-0.896873,100,13.981189
-2.324459,100,14.557328
-3.303357,100,14.637113
-0.702072,100,14.793525
-0.523211,100,14.873657
-3.204606,100,14.953224
-1.916004,100,15.033376
-0.843397,100,15.116138
-0.547849,100,15.197052
-3.886598,100,15.277416
-1.72661,100,15.357017
-0.880547,100,15.436689
-2.296225,100,15.516017
-5.345529,100,15.674277
-1.251953,100,15.771455
-0.984659,100,15.855412
-0.635177,100,15.944326
-1.136523,100,16.038943
-0.251283,100,16.125257
-2.738648,100,16.207398
-1.237987,100,16.287503
-2.96753,100,16.379282
-0.4207,100,16.463719
-1.161464,100,16.637936
-1.888646,100,16.730389
-5.94786,100,16.822176
-1.144205,100,16.910762
-2.591345,100,17.005236
-1.865224,100,17.093672
-0.713917,100,17.182387
-1.415585,100,17.262863
-2.459155,100,17.34991
-2.42795,100,17.429803
-0.784096,100,17.517132
-2.761027,100,17.695403
-0.78939,100,17.778411
-0.709721,100,17.8728
-1.461725,100,17.953502
-4.252277,100,18.030467
-3.572589,100,18.107234
-0.208796,100,18.183917
-2.044565,100,18.260578
-1.124918,100,18.337165
-3.443088,100,18.416183
-2.355568,100,18.565852
-4.099736,100,18.642205
-2.118439,100,18.71841
-3.613445,100,18.794745
-3.989918,100,18.871084
-2.023274,100,18.949265
-1.216075,100,19.025618
-1.484264,100,19.102069
-1.856533,100,19.178453
-0.34372,100,19.254709
-2.928432,100,19.403147
-0.992803,100,19.479758
-0.449354,100,19.558645
-1.207518,100,19.635271
-0.807092,100,19.711839
-1.630178,100,19.788392
-2.300008,100,19.86494
-2.170556,100,19.941495
-1.768449,100,20.018043
-2.58765,100,20.09744
-2.202308,100,20.247668
-0.366365,100,20.323958
-0.464758,100,20.400277
-0.487462,100,20.476644
-1.923486,100,20.556206
-1.534964,100,20.632702
-0.717632,100,20.709175
-2.281965,100,20.785601
-1.15574,100,20.862103
-1.428882,100,20.941236
-2.161687,100,21.017796
-0.584758,100,21.171652
-2.391072,100,21.248175
-2.360097,100,21.329345
-1.129348,100,21.406254
-2.456239,100,21.482951
-1.322187,100,21.559585
-0.65543,100,21.636275
-0.82292,100,21.712861
-1.191426,100,21.78943
-1.375912,100,21.865971
-1.291359,100,22.017237
-2.382398,100,22.093744
-0.743483,100,22.17012
-1.046834,100,22.246585
-1.771586,100,22.323067
-1.330775,100,22.402253
-0.477182,100,22.478898
-1.631526,100,22.555414
-1.458855,100,22.631788
-2.278259,100,22.708161
-1.408743,100,22.860535
-0.1248,100,22.936997
-1.505521,100,23.013553
-2.093644,100,23.09002
-1.8358,100,23.168213
-1.008975,100,23.244658
-2.535871,100,23.726819
-3.479249,100,23.803453
-2.247951,100,23.880129
-1.725722,100,23.956747
-1.821358,100,24.106081
-0.314629,100,24.182413
-2.172537,100,24.258686
-1.612181,100,24.33499
-0.424363,100,24.411356
-0.170147,100,24.487804
-1.385263,100,24.566551
-3.55506,100,24.643137
-1.560989,100,24.719459
-1.561656,100,24.795829
-2.006442,100,24.872285
-0.971541,100,25.021225
-1.613029,100,25.100203
-1.212687,100,25.176724
-0.434759,100,25.25324
-0.654956,100,25.329817
-2.831244,100,25.406334
-0.119984,100,25.482894
-1.613602,100,25.559414
-1.230777,100,25.636014
-2.040238,100,25.714419
-3.117274,100,25.863011
-2.82291,100,25.939568
-3.334288,100,26.016239
-0.273878,100,26.092872
-2.182912,100,26.169366
-0.391088,100,26.247545
-1.727959,100,26.324155
-1.735336,100,26.400781
-1.163464,100,26.477377
-2.80131,100,26.553885
-0.391821,100,26.702548
-1.672384,100,26.779187
-1.378071,100,26.858072
-2.099301,100,26.934838
-1.594648,100,27.011545
-1.324322,100,27.088126
-1.934396,100,27.166402
-0.598105,100,27.242956
-0.831962,100,27.319496
-1.579781,100,27.395993
-0.990341,100,27.545113
-2.25891,100,27.621728
-3.058453,100,27.698421
-1.705002,100,27.775065
-3.044668,100,27.851805
-2.333313,100,27.928538
-5.293658,100,28.00525
-1.038602,100,28.081841
-1.691224,100,28.158628
-2.048681,100,28.235252
-1.26634,100,28.311868
-4.050977,100,28.459671
-1.498781,100,28.537466
-0.831165,100,28.614085
-2.292851,100,28.690601
-0.677336,100,28.767144
-1.040115,100,28.843717
-2.202739,100,28.920223
-1.646097,100,28.996777
-3.691552,100,29.073241
-3.53773,100,29.149742
-0.422003,100,29.298032
-1.401702,100,29.374656
-1.807466,100,29.45284
-0.916102,100,29.529515
-2.501218,100,29.60618
-1.451499,100,29.682781
-1.429336,100,29.759362
-0.785508,100,29.835945
-0.832093,100,29.912634
-3.492797,100,29.989265
-1.317425,100,30.138606
-2.001852,100,30.215164
-0.948148,100,30.294984
-2.87868,100,30.371781
-2.189336,100,30.448267
-0.74388,100,30.524854
-2.142012,100,30.601366
-2.269076,100,30.67802
-0.754288,100,30.754562
-3.803612,100,30.831146
-0.858777,100,30.980298
-1.637706,100,31.056999
-0.879251,100,31.133755
-1.449801,100,31.210434
-1.978696,100,31.287197
-1.276495,100,31.363907
-1.901329,100,31.440696
-0.767045,100,31.517313
-0.313371,100,31.594
-2.41723,100,31.67312
-3.526355,100,31.822098
-0.609381,100,31.898697
-1.51344,100,31.975274
-1.094205,100,32.051819
-2.119907,100,32.533385
-4.018758,100,32.61008
-2.880747,100,32.686737
-3.078422,100,32.763255
-1.32742,100,32.839881
-2.402914,100,32.916394
-2.633276,100,32.992982
-1.712651,100,33.142614
-2.110525,100,33.219236
-0.332327,100,33.295708
-2.999819,100,33.372329
-3.019767,100,33.44901
-1.76924,100,33.525686
-1.826743,100,33.602336
-0.83529,100,33.67895
-1.127293,100,33.755576
-2.766464,100,33.832322
-1.419058,100,33.98071
-3.283019,100,34.057342
-2.955777,100,34.133944
-1.064863,100,34.210558
-3.679624,100,34.287144
-0.840489,100,34.36366
-3.767254,100,34.441969
-0.466309,100,34.518605
-1.732006,100,34.595308
-2.086957,100,34.671911
-1.883013,100,34.820547
-1.137117,100,34.897193
-1.469255,100,34.973841
-0.949943,100,35.05044
-4.447429,100,35.127069
-1.281592,100,35.203676
-0.416623,100,35.280176
-1.104393,100,35.356808
-2.452536,100,35.433365
-1.764718,100,35.509903
-0.805971,100,35.657812
-1.834284,100,35.734537
-1.22717,100,35.813265
-0.73414,100,35.889982
-0.370277,100,35.966556
-0.904842,100,36.04313
-4.411788,100,36.119635
-0.65792,100,36.196134
-1.687595,100,36.27259
-3.027654,100,36.348993
-1.396888,100,36.425397
-0.482282,100,36.574397
-2.40621,100,36.650968
-2.5811,100,36.727592
-2.533245,100,36.804134
-0.088607,100,36.880709
-2.97799,100,36.957326
-2.160473,100,37.034014
-0.62563,100,37.110672
-0.489235,100,37.18734
-0.466654,100,37.26393
-1.189371,100,37.411592
-2.055713,100,37.487988
-3.094724,100,37.564432
-0.984345,100,37.640832
-0.567774,100,37.717323
-1.216562,100,37.793762
-2.15601,100,37.87024
-2.677375,100,37.946688
-0.604934,100,38.025655
-0.816691,100,38.102254
-1.926281,100,38.250751
-1.10214,100,38.327575
-0.719334,100,38.404405
-2.916656,100,38.481284
-1.36078,100,38.558143
-0.29298,100,38.634815
-0.453634,100,38.711559
-0.737384,100,38.788267
-1.384192,100,38.865103
-1.165634,100,38.941848
-1.40412,100,39.090441
-3.700928,100,39.166913
-1.380658,100,39.243197
-2.221525,100,39.319509
-1.452339,100,39.395798
-2.415982,100,39.472072
-2.600008,100,39.548355
-2.801447,100,39.624633
-2.180811,100,39.700854
-2.947809,100,39.777151
-0.585108,100,39.853523
-2.819947,100,40.00176
-1.088472,100,40.078385
-1.649516,100,40.15655
-2.425124,100,40.232996
-1.529358,100,40.313343
-1.110643,100,40.389257
-1.202969,100,40.465238
-3.417633,100,40.541191
-3.932441,100,40.617156
-1.666753,100,40.693216
-0.870224,100,40.840121
-2.952267,100,41.303647
-1.150704,100,41.379457
-1.55019,100,41.455367
-1.920142,100,41.53126
-1.550912,100,41.607164
-0.213475,100,41.683111
-1.435183,100,41.758912
-0.493803,100,41.834789
-2.830223,100,41.910629
-0.765575,100,42.057101
-2.711141,100,42.133167
-0.851994,100,42.209164
-2.69928,100,42.286904
-0.723601,100,42.363064
-2.190423,100,42.43911
-0.899756,100,42.515108
-1.185779,100,42.591132
-1.912837,100,42.667036
-1.533174,100,42.743041
-1.466292,100,42.890456
-0.52508,100,42.966425
-1.357905,100,43.04231
-1.590532,100,43.118238
-2.479842,100,43.194054
-0.859193,100,43.269902
-0.650689,100,43.345814
-1.704204,100,43.421702
-1.246222,100,43.497604
-3.493528,100,43.573471
-0.863244,100,43.649347
-2.696412,100,43.796395
-1.95958,100,43.872225
-3.280012,100,43.948143
-1.962306,100,44.024072
-2.591126,100,44.100055
-1.147023,100,44.175977
-2.325519,100,44.251774
-1.182507,100,44.327678
-0.839486,100,44.403511
-1.80109,100,44.481874
-1.19366,100,44.630798
-1.701494,100,44.706765
-0.513195,100,44.782731
-1.549275,100,44.858648
-2.50311,100,44.934625
-0.764883,100,45.010653
-2.485399,100,45.086701
-0.477244,100,45.162747
-2.291483,100,45.238685
-1.255862,100,45.314648
-0.464046,100,45.461154
