#{"t_start": 1593436744.469975, "env_id": "widowx_reacher-v7"}
r,l,t
-2.053821,100,4.065487
-0.627632,100,4.146692
-4.697433,100,4.227162
-3.694222,100,4.307807
-2.786671,100,4.386579
-2.033374,100,4.462712
-2.473521,100,4.538925
-0.917926,100,4.614998
-1.832275,100,4.691259
-0.491076,100,4.767356
-0.41635,100,4.844302
-2.526776,100,4.920563
-1.701012,100,4.996799
-2.031407,100,5.073093
-0.453713,100,5.149682
-1.332099,100,5.22487
-2.089902,100,5.300117
-0.953899,100,5.375321
-2.563699,100,5.450538
-1.222502,100,5.525746
-4.351394,100,6.309354
-4.216417,100,6.384589
-1.190128,100,6.45978
-2.939128,100,6.535037
-2.004593,100,6.610243
-1.351806,100,6.685497
-3.136456,100,6.76074
-2.533647,100,6.836439
-3.128303,100,6.911512
-0.324333,100,6.986559
-2.769645,100,7.063034
-0.463749,100,7.138301
-0.554774,100,7.213542
-0.623802,100,7.288723
-1.746252,100,7.370344
-0.766648,100,7.445849
-1.096783,100,7.520964
-0.955776,100,7.596014
-0.94885,100,7.671412
-1.065809,100,7.746591
-1.694672,100,8.06734
-3.231962,100,8.142521
-1.697835,100,8.217764
-2.60921,100,8.292999
-1.297818,100,8.368278
-1.98244,100,8.443706
-1.220621,100,8.518908
-1.730902,100,8.594216
-1.32415,100,8.669554
-0.771293,100,8.744843
-0.862299,100,8.820032
-1.826439,100,8.895336
-2.039074,100,8.970527
-2.083031,100,9.045728
-2.678851,100,9.120827
-1.301844,100,9.196054
-2.063843,100,9.271289
-0.525757,100,9.346529
-1.731757,100,9.42166
-2.074775,100,9.496825
-0.349809,100,9.572009
-1.551883,100,9.89354
-1.562441,100,9.96875
-2.288595,100,10.043766
-2.274275,100,10.118838
-0.631174,100,10.193986
-1.955554,100,10.269223
-5.33862,100,10.348083
-2.431401,100,10.423287
-1.512927,100,10.498479
-2.118714,100,10.573652
-0.502204,100,10.648725
-2.555708,100,10.725892
-5.376838,100,10.800982
-1.180034,100,10.876162
-0.804102,100,10.951368
-0.819347,100,11.026545
-1.516945,100,11.10313
-1.916721,100,11.184335
-2.154675,100,11.260981
-0.360007,100,11.340479
-3.695724,100,11.671209
-1.867061,100,11.747536
-1.987018,100,11.823812
-2.206487,100,11.902243
-0.744749,100,11.978622
-1.741284,100,12.054885
-2.009931,100,12.131183
-2.184747,100,12.207489
-2.987358,100,12.283726
-3.205388,100,12.360236
-1.49654,100,12.43672
-1.996696,100,12.513043
-1.04908,100,12.589383
-1.456403,100,12.665758
-1.628048,100,12.741983
-1.411051,100,12.818326
-2.464409,100,12.894606
-2.613649,100,12.970924
-0.277413,100,13.047221
-1.184513,100,13.604286
-0.340926,100,13.680705
-1.779084,100,14.011938
-5.560045,100,14.088289
-1.569201,100,14.164585
-2.284807,100,14.243184
-2.452786,100,14.31963
-1.755368,100,14.395942
-2.391082,100,14.472131
-2.044684,100,14.548229
-0.159442,100,14.624345
-1.470211,100,14.700452
-4.181092,100,14.778962
-2.964355,100,14.897738
-1.132522,100,15.018437
-3.247403,100,15.137383
-1.252241,100,15.262409
-1.32052,100,15.381186
-1.818892,100,15.49824
-2.196211,100,15.616691
-1.620258,100,15.730342
-1.854569,100,15.830529
-1.787645,100,16.263494
-0.856671,100,16.379664
-1.007477,100,16.497418
-0.621307,100,16.618407
-2.726214,100,16.726229
-1.666495,100,16.823768
-3.759198,100,16.921062
-1.618565,100,17.030671
-3.549595,100,17.144076
-0.796582,100,17.25905
-0.983776,100,17.358246
-0.518336,100,17.474001
-1.851463,100,17.593162
-0.496042,100,17.707695
-3.933129,100,17.804628
-1.854888,100,17.904916
-0.29562,100,18.011962
-0.620256,100,18.122918
-2.636159,100,18.235053
-1.552433,100,18.32675
-1.578306,100,18.406907
-5.322442,100,18.758939
-0.634169,100,18.834849
-1.109138,100,18.910765
-0.465042,100,18.986734
-1.713053,100,19.062643
-3.229602,100,19.138689
-0.889091,100,19.214659
-1.244606,100,19.293305
-2.933342,100,19.369377
-2.911243,100,19.445299
-2.578726,100,19.521225
-0.885856,100,19.597213
-0.870263,100,19.673123
-1.894665,100,19.749043
-1.789441,100,19.824979
-0.814595,100,19.901146
-1.842399,100,19.979749
-1.070768,100,20.055733
-2.985648,100,20.131621
-0.465858,100,20.207569
-3.370022,100,20.532604
-1.299892,100,20.610825
-1.008076,100,20.686887
-0.630665,100,20.762807
-3.512634,100,20.838801
-3.199817,100,20.914743
-2.035964,100,20.99069
-1.63833,100,21.066608
-2.277197,100,21.142649
-1.534393,100,21.220736
-1.125045,100,21.296903
-1.3048,100,21.372842
-1.044302,100,21.448699
-2.596579,100,21.52466
-0.260174,100,21.600606
-1.539442,100,21.676567
-2.156874,100,21.752445
-0.883952,100,21.82838
-1.345335,100,21.90718
-0.143099,100,21.983194
-0.822393,100,22.059097
-1.201106,100,22.394236
