#{"t_start": 1592388060.8298662, "env_id": "widowx_reacher-v5"}
r,l,t
-1.702721,100,1.291684
-1.675748,100,1.416986
-3.041495,100,1.540871
-1.840526,100,1.662427
-1.55759,100,1.783966
-2.671418,100,1.908245
-1.52415,100,2.031723
-1.884929,100,2.155467
-2.468167,100,2.280467
-1.672903,100,2.399741
-1.621038,100,2.521514
-1.92941,100,2.642519
-1.766749,100,3.081538
-1.75255,100,3.203127
-1.263001,100,3.324773
-1.384373,100,3.44852
-2.451359,100,3.572655
-1.5111,100,3.694848
-1.963996,100,3.818729
-1.659385,100,3.940698
-1.964667,100,4.061707
-1.393291,100,4.184066
-1.550799,100,4.30658
-1.51477,100,4.428977
-1.645681,100,4.555321
-1.701881,100,4.948129
-2.080724,100,5.070755
-1.995389,100,5.194664
-1.697319,100,5.316618
-1.528771,100,5.436805
-1.920123,100,5.559089
-1.759188,100,5.680104
-1.897061,100,5.807059
-1.701561,100,5.933187
-1.59388,100,6.055968
-2.499058,100,6.175361
-1.858215,100,6.298558
-1.382152,100,6.689775
-2.287976,100,6.811491
-2.856125,100,6.933311
-2.163577,100,7.057159
-2.014897,100,7.179047
-1.626982,100,7.301608
-1.690203,100,7.421297
-2.337784,100,7.542317
-1.702171,100,7.667203
-1.821231,100,7.789494
-1.679934,100,7.911621
-1.94832,100,8.037608
-1.601953,100,8.161099
-2.015425,100,8.545129
-1.542583,100,8.667233
-1.728464,100,8.790299
-1.717169,100,8.912253
-1.819382,100,9.035133
-1.684886,100,9.156604
-1.342683,100,9.280353
-1.967643,100,9.400387
-2.388988,100,9.522471
-2.203971,100,9.644043
-1.63481,100,9.764481
-2.938381,100,9.885332
-1.698587,100,10.272451
-2.068031,100,10.394351
-2.336702,100,10.516824
-2.326906,100,10.638937
-1.878123,100,10.760642
-2.130097,100,10.881464
-1.805132,100,11.003694
-1.670245,100,11.124504
-2.416161,100,11.248392
-2.060545,100,11.369407
-1.687098,100,11.491861
-2.135351,100,11.613338
-1.753543,100,11.734237
-2.099221,100,12.143964
-2.172103,100,12.276339
-1.386911,100,12.402806
-1.472493,100,12.528027
-2.336291,100,12.657276
-1.76952,100,12.790843
-1.681264,100,12.919158
-2.174419,100,13.045514
-1.740621,100,13.177014
-1.789803,100,13.306814
-2.159767,100,13.433075
-2.092098,100,13.556762
-1.613484,100,13.975991
-1.707166,100,14.108587
