#{"t_start": 1592393490.637571, "env_id": "widowx_reacher-v5"}
r,l,t
-2.940412,100,2.699213
-1.902359,100,2.843116
-3.157874,100,2.996093
-2.856082,100,3.149671
-2.465662,100,3.306522
-1.337991,100,3.457909
-2.763667,100,3.609875
-0.839531,100,3.762433
-1.996488,100,3.919762
-2.29024,100,4.074669
-2.361058,100,4.228408
-2.546492,100,4.381577
-3.119679,100,4.87426
-2.937104,100,5.0294
-4.10906,100,5.185175
-5.109101,100,5.339839
-4.830867,100,5.497859
-6.077269,100,5.652084
-5.695478,100,5.807798
-6.248294,100,5.962001
-5.536347,100,6.119754
-4.864505,100,6.272266
-6.228883,100,6.431478
-6.114974,100,6.584541
-4.818449,100,6.746762
-3.949117,100,7.17467
-3.843062,100,7.331899
-2.908515,100,7.483026
-3.372687,100,7.64506
-4.150373,100,7.795013
-3.850833,100,7.945566
-3.080171,100,8.097215
-3.929033,100,8.256189
-4.212228,100,8.409232
-1.803689,100,8.562548
-1.7914,100,8.714754
-1.561982,100,8.869873
-1.127963,100,9.300196
-1.261858,100,9.451995
-1.306912,100,9.603791
-1.341431,100,9.761369
-1.568215,100,9.914465
-1.774092,100,10.070197
-1.874101,100,10.222695
-1.71506,100,10.380504
-1.655428,100,10.531844
-1.677715,100,10.684267
-2.187183,100,10.836033
-1.521263,100,10.998928
-1.733384,100,11.146977
-1.644168,100,11.572064
-1.995505,100,11.730543
-1.886309,100,11.893606
-1.97131,100,12.051438
-1.868118,100,12.205586
-3.425549,100,12.359713
-1.74423,100,12.524987
-1.962431,100,12.684399
-1.969436,100,12.836709
-1.95193,100,12.988966
-1.808662,100,13.146986
-2.025021,100,13.304197
-1.857282,100,13.732511
-1.870448,100,13.884196
-1.889589,100,14.044577
-1.974967,100,14.196596
-1.992642,100,14.352023
-1.948435,100,14.504314
-1.972436,100,14.662335
-1.812563,100,14.814303
-2.045386,100,14.971687
-2.003887,100,15.132323
-1.742916,100,15.289348
-2.033609,100,15.444866
-1.915824,100,15.602865
-2.027087,100,16.02903
-1.945933,100,16.189288
-1.84467,100,16.341964
-1.816825,100,16.494625
-2.037602,100,16.648479
-2.146299,100,16.812937
-2.131501,100,16.967551
-2.176104,100,17.11844
-2.173068,100,17.277196
-2.378446,100,17.434658
-2.435087,100,17.587048
-2.667116,100,17.743145
-3.208539,100,18.166414
-3.294835,100,18.32636
-3.338388,100,18.480425
-3.462016,100,18.635306
-3.933697,100,18.79092
-3.773022,100,18.955223
-3.44906,100,19.110971
-4.021436,100,19.26618
-3.687774,100,19.425467
-3.824317,100,19.586231
-3.634942,100,19.738453
-3.868296,100,19.899168
-3.724963,100,20.080472
-3.427877,100,20.530721
-3.621183,100,20.681798
-3.857952,100,20.834185
-3.498766,100,20.992854
-3.363045,100,21.162015
-3.622484,100,21.320563
-3.242421,100,21.483559
-3.207935,100,21.638915
-2.04709,100,21.801252
-2.883877,100,21.962865
-2.5098,100,22.129509
-2.330478,100,22.285325
-2.303993,100,22.711981
-2.674953,100,22.868008
-2.672761,100,23.021985
-2.949091,100,23.1774
-3.227855,100,23.344301
-3.432634,100,23.504582
-3.009429,100,23.666636
-3.466139,100,23.830281
-3.706823,100,23.995504
-3.26975,100,24.153648
-3.489671,100,24.316055
-3.303397,100,24.483903
-3.78365,100,24.649924
-3.266212,100,25.091727
-3.444937,100,25.244077
-3.247514,100,25.396538
-2.975975,100,25.555786
-3.26478,100,25.711998
-3.281318,100,25.870073
-3.42563,100,26.023842
-3.147432,100,26.180892
-3.470967,100,26.339873
-3.674112,100,26.499014
