#{"t_start": 1592389436.839847, "env_id": "widowx_reacher-v5"}
r,l,t
-1.322216,100,1.05194
-3.169027,100,1.177331
-2.073356,100,1.737919
-1.571058,100,1.862207
-1.308946,100,1.986152
-1.679095,100,2.398666
-1.6043,100,2.520902
-1.638998,100,2.929909
-1.987136,100,3.050975
-2.416542,100,3.171734
-1.387728,100,3.580872
-1.6674,100,3.704915
-3.166059,100,4.443901
-1.412044,100,4.562895
-1.867729,100,4.68351
-1.364372,100,5.113926
-1.179493,100,5.234859
-1.792592,100,5.641313
-1.71431,100,5.764185
-1.644771,100,5.883655
-1.94393,100,6.299918
-3.108835,100,6.421729
-1.222318,100,6.53957
-1.865587,100,6.958263
-1.392635,92,7.071768
-1.510932,100,7.771092
-1.761357,100,7.890942
-1.620637,100,8.010549
-1.595743,100,8.426478
-1.86284,100,8.549643
-2.087729,100,8.964786
-1.404456,100,9.088807
-1.019509,100,9.20954
-1.922474,100,9.619638
-1.636042,100,9.741385
-1.745049,100,10.151017
-2.362522,100,10.272524
-1.86788,100,10.684132
-1.916126,100,11.114157
-2.252528,100,11.234388
-2.499719,100,11.354358
-2.463081,100,11.779431
-2.427417,100,11.896348
-1.873174,100,12.319216
-2.284972,100,12.446757
-1.77054,100,12.571491
-1.811863,100,12.980899
-2.210758,100,13.102479
-1.713173,100,13.517113
-2.236275,100,13.637852
-1.897461,100,14.039309
-2.190989,100,14.444805
-1.108599,100,14.565724
-2.522461,100,14.982995
-1.342214,100,15.108766
-1.912436,100,15.226488
-1.427501,100,15.640319
-1.433575,100,15.765443
-2.113289,100,16.177765
-2.060193,100,16.297488
-1.475357,100,16.415197
-2.349459,100,16.83253
-1.774238,100,17.233514
-1.877551,100,17.352738
-1.710344,100,17.769922
-2.639343,100,17.892085
-2.102815,100,18.308021
-2.177598,100,18.432445
-2.074167,100,18.557648
-2.665004,100,18.967694
-2.31065,100,19.08709
-2.370008,100,19.499418
-2.248489,100,19.622986
-2.309998,100,19.7467
-2.692286,100,20.15507
-2.234416,100,20.548668
-2.425643,100,20.959725
-2.387192,100,21.080853
-2.297314,100,21.201928
-2.020244,100,21.615508
-2.38483,100,21.736677
-2.179162,100,21.855686
-2.808486,100,22.262411
-2.503659,100,22.380215
-2.177565,100,22.791385
-2.254203,100,22.915198
-2.697726,100,23.044175
-2.531574,100,23.729327
-2.316036,100,23.857866
-2.048655,100,24.26953
-2.268714,100,24.391452
-1.886213,100,24.509216
-2.553934,100,24.917385
-2.401587,100,25.03706
-2.231071,100,25.45452
-2.484708,100,25.572394
-2.289515,100,25.693765
-1.835193,100,26.109499
-2.246344,100,26.233282
-2.489284,100,26.652433
-2.242124,100,27.05302
-2.098412,100,27.1725
-2.230604,100,27.59591
-2.529257,100,27.723865
-1.770644,100,27.857564
-2.11087,100,28.259787
-2.242988,100,28.376061
-4.767254,100,28.787632
-2.251098,100,28.91333
-1.818491,100,29.034542
-2.117389,100,29.442218
-1.732408,100,29.561857
-2.20352,100,30.263409
-2.319972,100,30.384729
-6.815649,100,30.510721
-1.98526,100,30.9197
-2.028452,100,31.045074
-2.207277,100,31.457704
-1.733793,100,31.579678
-2.117749,100,31.70028
-2.234147,100,32.117052
-1.896512,100,32.240138
-1.751419,100,32.649221
-2.077302,100,32.771034
-1.960201,100,32.890364
-2.213374,100,33.568087
-1.740315,100,33.690731
-2.027792,100,33.813993
-2.122667,100,34.22038
-1.701052,100,34.339919
-2.318815,100,34.752241
-1.972589,100,34.870808
-2.100347,100,34.989063
-1.744838,100,35.398784
-1.953828,100,35.51863
-2.124688,100,35.927586
-1.57569,100,36.048461
-2.1107,100,36.44177
-1.651796,100,36.848149
-1.726065,100,36.969327
-2.01904,100,37.379332
-2.008887,100,37.498791
-2.006263,100,37.617856
-2.009825,100,38.028875
-1.771392,100,38.152529
-2.225668,100,38.273839
-1.812852,100,38.682361
-1.86533,100,38.80275
-2.212741,100,39.20928
-1.906144,100,39.32934
-2.034358,100,39.713001
-1.802236,100,40.122272
-2.00169,100,40.240519
-1.894249,100,40.647698
-1.895555,100,40.765182
-1.627981,100,40.884351
-1.945485,100,41.293215
-1.744678,100,41.410115
-1.993636,100,41.81116
-2.071118,100,41.932112
-1.692947,100,42.048943
-1.89315,100,42.456976
-1.650503,100,42.850324
-2.052678,100,43.255294
-2.089334,100,43.375999
-2.277255,100,43.496968
-2.168688,100,43.905597
-1.774395,100,44.027321
-2.14958,100,44.143472
-1.802948,100,44.551921
-2.094188,100,44.673275
-1.959248,100,45.091081
-2.139817,100,45.213215
-2.258934,100,45.330434
-2.251472,100,45.746424
-1.946302,100,46.143493
-1.635167,100,46.549713
-2.223612,100,46.673972
-2.137003,100,46.794725
-2.059355,100,47.20357
-2.000127,100,47.323153
-1.817638,100,47.733551
-2.099838,100,47.854156
-2.333901,100,47.972859
-1.892217,100,48.391818
-2.18103,100,48.519475
-2.09581,100,48.939171
-2.17139,100,49.333431
-2.902866,100,49.454699
-2.160318,100,49.870808
-2.194502,100,49.990206
-2.375953,100,50.11176
-1.756021,100,50.521387
-5.44699,100,50.640497
-2.238724,100,51.053132
-2.067527,100,51.175692
-2.188227,100,51.30061
-2.097242,100,51.720677
-2.749439,100,51.842952
-2.152766,100,52.249591
-1.953424,100,52.640301
-2.338121,100,52.76466
-2.229224,100,53.176711
-2.125111,100,53.299591
-2.20845,100,53.715117
-2.1786,100,53.840088
-1.583238,100,53.963456
-1.67322,100,54.373726
-2.061586,100,54.490947
-1.96683,100,54.607582
-1.707756,100,55.017715
-2.354189,100,55.139444
-1.825317,100,55.810507
-1.994568,100,55.926452
-2.00392,100,56.041837
-1.630795,100,56.452436
-2.057758,100,56.5738
-1.951943,100,56.980811
-2.05758,100,57.10577
-2.142454,100,57.226722
-2.014217,100,57.633165
-1.888795,100,57.756063
-1.718632,100,58.160434
-2.10112,100,58.281998
-1.873437,100,58.407038
-1.850317,100,59.099407
-1.72652,100,59.225102
-1.905818,100,59.636102
-1.876815,100,59.756229
-1.887835,100,59.884567
-2.002854,100,60.298206
-1.754688,100,60.420065
-1.571837,100,60.540259
-1.744832,100,60.950786
-1.715842,100,61.071155
-1.933375,100,61.475396
-1.82527,100,61.594271
-1.882949,100,61.997279
-1.718855,100,62.409686
-1.750355,100,62.528133
-1.716491,100,62.941572
-1.906162,100,63.064082
-2.136759,100,63.185773
-1.608577,100,63.592859
-2.16579,100,63.716221
-1.797586,100,64.131501
-1.817169,100,64.25408
-1.842222,100,64.372978
-2.107455,100,64.784138
-1.859326,100,64.902132
-2.144459,100,65.593992
-1.743157,100,65.718392
-1.539151,100,65.839776
-1.78329,100,66.253802
-1.882756,100,66.375738
-1.715273,100,66.497053
-1.707942,100,66.913471
-1.694478,100,67.044811
-1.694368,100,67.472657
-1.66445,100,67.591865
-1.755757,100,67.712096
-1.55899,100,68.139579
-1.665867,100,68.544452
-1.674852,100,68.970047
-2.177589,100,69.091433
-1.514963,100,69.211587
-1.991751,100,69.626396
-1.559928,100,69.748239
-1.634123,100,70.173275
-1.678362,100,70.296812
-1.827292,100,70.417674
-1.571553,100,70.832532
-2.082414,100,70.956459
-1.517856,100,71.079685
-1.949128,100,71.485702
-2.219918,100,71.897731
-1.44507,100,72.309939
-2.211782,100,72.432154
-1.595539,100,72.554847
-1.598853,100,72.972528
-1.592898,100,73.098647
-1.524659,100,73.511503
-1.484837,100,73.630315
-2.215739,100,73.751006
-2.246439,100,74.166308
-2.123297,100,74.288709
-1.893208,100,74.705631
-1.37977,100,75.096576
-2.094694,100,75.217056
-1.444869,100,75.632806
-1.496591,100,75.756234
-2.175641,100,76.180446
-1.504775,100,76.305338
-1.582093,100,76.424321
-2.023873,100,76.832147
-1.591226,100,76.948359
-1.602832,100,77.063308
-1.727501,100,77.478821
-1.568329,100,77.601575
-1.567691,100,78.016425
-1.50235,100,78.413635
-1.455557,100,78.539438
-1.626284,100,78.95525
-1.509334,100,79.07296
-1.560465,100,79.482663
-1.522102,100,79.604242
-1.541963,100,79.72031
-1.678459,100,80.126339
-1.869464,100,80.245033
-1.767822,100,80.652557
-1.629398,100,80.774648
-1.638408,100,80.8952
-1.535943,100,81.58321
-1.597788,100,81.706919
-1.688706,100,82.122594
-1.663588,100,82.245912
-1.773538,100,82.3771
-1.672502,100,82.795528
-1.922619,100,82.917213
-1.71977,100,83.038045
-1.636917,100,83.451226
-1.533953,100,83.57558
-1.676405,100,83.985914
-1.659091,100,84.110375
-1.585197,100,84.229922
-1.746293,100,84.914418
-1.910488,100,85.034008
-1.588643,100,85.448668
-2.189733,100,85.580338
-1.634122,100,85.70506
-1.649282,100,86.121295
-1.946658,100,86.245109
-1.749247,100,86.664226
-1.645956,100,86.788388
-1.699271,100,86.914142
-2.04749,100,87.336973
-2.118614,100,87.46366
-1.766148,100,87.854013
-2.038682,100,88.268773
-1.529429,100,88.390757
-1.677326,100,88.799494
-1.622519,100,88.923131
-2.290536,100,89.046187
-1.60958,100,89.453926
-1.505375,100,89.575288
-1.999324,100,89.985689
-2.180114,100,90.105388
-1.759752,100,90.224291
-1.705912,100,90.631344
-2.115347,100,90.751906
-2.001382,100,91.426103
-1.710151,100,91.543499
-1.77114,100,91.661396
-1.642933,100,92.069223
-1.968338,100,92.187378
-2.010879,100,92.599811
-1.679083,100,92.72082
-1.612712,100,92.842191
-1.673467,100,93.248979
-2.009545,100,93.367178
-1.80334,100,93.484942
-1.724008,100,93.895102
-1.894673,100,94.30804
-1.732979,100,94.72769
-1.868848,100,94.845729
-1.945598,100,94.963519
-1.9049,100,95.379813
-1.858434,100,95.497151
-1.983608,100,95.907869
-1.871598,100,96.026592
-1.74276,100,96.147961
-1.615556,100,96.557638
