r,r,mean_reward,std_reward,upper,lower,timesteps
-0.64691,-1.663414,-1.155162,0.7187768715032503,-0.4363851284967497,-1.8739388715032503,100.0
-0.555429,-1.919698,-1.2375634999999998,0.96468386126259,-0.27287963873740984,-2.20224736126259,200.0
-0.419415,-1.143325,-0.7813699999999999,0.5118816699687536,-0.2694883300312463,-1.2932516699687535,300.0
-1.3395569999999999,-1.586291,-1.462924,0.17446728454928162,-1.2884567154507183,-1.6373912845492815,400.0
-0.8691139999999999,-1.779811,-1.3244625,0.6439600243062453,-0.6805024756937548,-1.9684225243062454,500.0
-0.752169,-2.1038930000000002,-1.428031,0.9558132066926049,-0.4722177933073951,-2.383844206692605,600.0
-1.358109,-0.9692459999999999,-1.1636775,0.2749676642525445,-0.8887098357474554,-1.4386451642525444,700.0
-1.179603,-1.393994,-1.2867985,0.15159732992536512,-1.1352011700746347,-1.4383958299253652,800.0
-0.33464499999999997,-2.032173,-1.183409,1.2003335600540375,0.01692456005403753,-2.3837425600540376,900.0
-0.436068,-1.770502,-1.103285,0.9435873304458894,-0.1596976695541107,-2.0468723304458893,1000.0
-0.550034,-1.4842520000000001,-1.0171430000000001,0.6605918829065341,-0.356551117093466,-1.6777348829065342,1100.0
-0.836183,-1.356023,-1.096103,0.36758238913201485,-0.7285206108679851,-1.463685389132015,1200.0
-0.70249,-1.795032,-1.248761,0.772543856931113,-0.47621714306888696,-2.021304856931113,1300.0
-0.697693,-2.157833,-1.4277630000000001,1.0324748954817256,-0.39528810451827456,-2.4602378954817254,1400.0
-0.391332,-2.5333490000000003,-1.4623405000000003,1.5146347461168652,0.05229424611686495,-2.9769752461168655,1500.0
-0.48362799999999995,-1.209912,-0.84677,0.5135603414672906,-0.33320965853270945,-1.3603303414672907,1600.0
-0.400285,-1.7877919999999998,-1.0940385,0.9811156086438029,-0.11292289135619704,-2.075154108643803,1700.0
-0.552408,-1.707122,-1.129765,0.816506099731043,-0.31325890026895686,-1.9462710997310428,1800.0
-0.526877,-1.630523,-1.0787,0.7803955706294083,-0.29830442937059165,-1.8590955706294083,1900.0
-0.374359,-1.781797,-1.078078,0.9952089538996322,-0.08286904610036794,-2.073286953899632,2000.0
-0.385612,-1.325955,-0.8557835,0.6649229119413017,-0.19086058805869832,-1.5207064119413016,2100.0
-1.563944,-0.9143180000000001,-1.239131,0.45935494983509206,-0.7797760501649079,-1.6984859498350922,2200.0
-0.6400239999999999,-1.9981900000000001,-1.319107,0.9603683885770087,-0.35873861142299135,-2.2794753885770085,2300.0
-0.454017,-1.535908,-0.9949625,0.7650124626046951,-0.22995003739530484,-1.7599749626046952,2400.0
-0.45331800000000005,-1.147723,-0.8005205000000001,0.4910184843898445,-0.30950201561015556,-1.2915389843898446,2500.0
-0.312104,-1.408531,-0.8603175,0.7752909667760227,-0.08502653322397724,-1.6356084667760227,2600.0
-0.408597,-1.234358,-0.8214775000000001,0.5839012027393847,-0.23757629726061535,-1.4053787027393847,2700.0
-0.7156710000000001,-1.9386419999999998,-1.3271564999999999,0.8647710872944929,-0.4623854127055069,-2.1919275872944928,2800.0
-0.454041,-1.175565,-0.8148029999999999,0.5101945131888426,-0.3046084868111574,-1.3249975131888425,2900.0
-0.734183,-1.371961,-1.053072,0.4509771486915939,-0.6020948513084061,-1.504049148691594,3000.0
-0.578738,-1.7239959999999999,-1.151367,0.809819698008143,-0.341547301991857,-1.961186698008143,3100.0
-0.5639460000000001,-2.03349,-1.298718,1.0391245276520038,-0.25959347234799623,-2.337842527652004,3200.0
-1.067174,-1.7014470000000002,-1.3843105000000002,0.44849873942353513,-0.9358117605764651,-1.8328092394235354,3300.0
-0.5846439999999999,-1.3478450000000002,-0.9662445000000001,0.5396646025083545,-0.4265798974916456,-1.5059091025083546,3400.0
-0.892516,-1.675171,-1.2838435,0.5534206578295573,-0.7304228421704426,-1.8372641578295572,3500.0
-0.713313,-1.336339,-1.024826,0.4405459094555299,-0.58428009054447,-1.46537190945553,3600.0
