seed 1,seed 2,mean_reward,std_reward,upper,lower,timesteps
,,,,,,100
,,,,,,200
,,,,,,300
,,,,,,400
,,,,,,500
,,,,,,600
,,,,,,700
,,,,,,800
,,,,,,900
,,,,,,1000
,,,,,,1100
,,,,,,1200
,,,,,,1300
,,,,,,1400
,,,,,,1500
,,,,,,1600
,,,,,,1700
,,,,,,1800
,,,,,,1900
,,,,,,2000
,,,,,,2100
,,,,,,2200
,,,,,,2300
,,,,,,2400
,,,,,,2500
,,,,,,2600
,,,,,,2700
,,,,,,2800
,,,,,,2900
,,,,,,3000
,,,,,,3100
,,,,,,3200
,,,,,,3300
,,,,,,3400
,,,,,,3500
,,,,,,3600
,,,,,,3700
,,,,,,3800
,,,,,,3900
,,,,,,4000
,,,,,,4100
,,,,,,4200
,,,,,,4300
,,,,,,4400
,,,,,,4500
,,,,,,4600
,,,,,,4700
,,,,,,4800
,,,,,,4900
-1.5782621600000006,-2.3396944399999997,-1.9589783,0.8483595348829509,-1.1106187651170494,-2.807337834882952,5000
-1.604476760000001,-2.32940582,-1.96694129,0.828284504664488,-1.1386567853355123,-2.795225794664489,5100
-1.5817007200000008,-2.34155766,-1.9616291899999998,0.8529822454649579,-1.1086469445350422,-2.8146114354649594,5200
-1.605255520000001,-2.34260002,-1.97392777,0.8689009444500132,-1.1050268255499869,-2.842828714450014,5300
-1.709262700000001,-2.3879098,-2.04858625,0.8853274026725031,-1.1632588473274972,-2.933913652672504,5400
-1.7025329000000011,-2.35787996,-2.03020643,0.8688517863865853,-1.161354643613415,-2.8990582163865866,5500
-1.7447097000000011,-2.3919124199999997,-2.0683110599999996,0.8746107044288742,-1.193700355571126,-2.9429217644288754,5600
-1.748862140000001,-2.3727603599999996,-2.06081125,0.877010525849272,-1.1838007241507285,-2.937821775849273,5700
-1.741624580000001,-2.39205028,-2.0668374299999996,0.8957682868450625,-1.171069143154938,-2.9626057168450632,5800
-1.772518240000001,-2.37904292,-2.0757805799999995,0.8957979429034654,-1.179982637096535,-2.9715785229034664,5900
-1.805848460000001,-2.4343073199999994,-2.1200778899999992,0.9113077503212317,-1.2087701396787687,-3.0313856403212327,6000
-1.8198493200000012,-2.4505466999999994,-2.13519801,0.9097248776494099,-1.2254731323505903,-3.0449228876494114,6100
-1.8766690200000014,-2.5392341399999996,-2.20795158,0.9250171790212833,-1.282934400978717,-3.132968759021285,6200
-1.8791592800000012,-2.4779674999999997,-2.1785633899999994,0.8799342426838507,-1.2986291473161495,-3.0584976326838524,6300
-1.9075336400000011,-2.496633599999999,-2.20208362,0.8867990191633727,-1.3152846008366275,-3.088882639163374,6400
-1.909754140000001,-2.4598766599999995,-2.1848153999999997,0.8592378070260809,-1.3255775929739193,-3.044053207026082,6500
-1.9394955400000011,-2.5118817599999996,-2.2256886499999995,0.8749806202703837,-1.3507080297296161,-3.100669270270385,6600
