#{"t_start": 1592427108.8635423, "env_id": "widowx_reacher-v5"}
r,l,t
-2.708911,100,4.959003
-2.351422,100,5.177273
-2.061023,100,5.410594
-1.654279,100,5.644483
-2.663438,100,5.888035
-1.169931,100,6.123286
-5.628584,100,6.357701
-3.742939,100,6.592769
-6.508022,100,6.838227
-3.128275,100,7.072827
-1.053282,100,7.31111
-2.186321,100,7.548615
-4.595548,100,8.312712
-4.495685,100,8.576036
-1.361784,100,8.841957
-4.244207,100,9.106159
-1.358393,100,9.371254
-1.117349,100,9.630729
-0.534984,100,9.890444
-0.852126,100,10.149288
-1.161312,100,10.416723
-1.106151,100,10.674525
-0.977666,100,10.934206
-1.177238,100,11.193451
-1.049369,100,11.459757
-1.05061,100,12.172479
-1.059421,100,12.413845
-0.981566,100,12.659245
-0.907235,100,12.916839
-1.000506,100,13.177757
-1.372865,100,13.434588
-1.108261,100,13.691082
-1.593623,100,13.955677
-1.397194,100,14.205381
-1.478188,100,14.45864
-1.440693,100,14.7183
-1.547547,100,14.978586
-1.855872,100,15.621797
-1.892396,100,15.878773
-1.966267,100,16.132736
-1.671446,100,16.400379
-1.635244,100,16.664061
-1.952611,100,16.925766
-1.614431,100,17.186319
-1.788216,100,17.453276
-1.995433,100,17.710057
-1.825631,100,17.967013
-1.939763,100,18.224293
-1.764802,100,18.490918
-1.836243,100,18.748278
-1.932526,100,19.450624
-1.893332,100,19.685357
-1.963307,100,19.940662
-1.993035,100,20.170756
-2.07731,100,20.399051
-1.994869,100,20.627391
-2.072575,100,20.865047
-1.996469,100,21.110378
-2.011568,100,21.360059
-2.081022,100,21.60893
-2.107308,100,21.866425
-1.955735,100,22.117401
-1.945964,100,22.846739
-2.793461,100,23.104022
-2.368656,100,23.372577
-2.244623,100,23.629041
-2.289577,100,23.883829
-2.34921,100,24.136538
-2.276932,100,24.402996
-2.619263,100,24.663999
-2.154679,100,24.925554
-2.637153,100,25.189799
-3.183263,100,25.45758
-2.182105,100,25.716305
-2.824698,100,25.977204
-2.881838,100,26.704434
-2.538315,100,26.97607
-2.510706,100,27.23405
-2.097845,100,27.49075
-1.979632,100,27.748425
-1.947816,100,28.013978
-1.912622,100,28.270039
-1.943038,100,28.53194
-2.059524,100,28.797116
-2.164169,100,29.072408
-2.118961,100,29.332858
-1.989116,100,29.58207
-2.172448,100,30.291703
-2.119367,100,30.52856
-1.933455,100,30.757308
-2.056593,100,30.98566
-2.116019,100,31.218068
-1.95942,100,31.455992
-1.930721,100,31.683229
-2.063605,100,31.910705
-1.832512,100,32.138021
-1.975912,100,32.375698
-1.920985,100,32.606365
-1.922732,100,32.837537
-1.929044,100,33.096352
-1.799548,100,33.840423
-1.965283,100,34.09941
-1.818057,100,34.360617
-1.925108,100,34.613959
-1.911508,100,34.876195
-2.003303,100,35.135134
-1.819382,100,35.386651
-1.831236,100,35.625869
-1.687404,100,35.869742
-1.796717,100,36.10487
-1.955431,100,36.344205
-1.610323,100,36.589612
-1.72339,100,37.241232
-1.816041,100,37.498373
-1.786647,100,37.75564
-2.118307,100,38.012925
-1.754726,100,38.27942
-1.812042,100,38.538556
-1.842985,100,38.796016
-1.839464,100,39.05468
-1.710591,100,39.3215
-1.941249,100,39.578725
-1.858698,100,39.831613
-1.661763,100,40.083824
-1.614427,100,40.353904
-1.790772,100,41.003006
-1.752041,100,41.2616
-1.732504,100,41.517656
-1.797535,100,41.784076
-1.847081,100,42.040797
-1.746024,100,42.297316
-1.752521,100,42.548121
-1.669356,100,42.807856
-1.646847,100,43.063533
-1.679042,100,43.323113
-1.66246,100,43.574522
-1.688277,100,43.836656
-1.692447,100,44.547819
-1.683044,100,44.809193
-1.607414,100,45.067249
-1.556893,100,45.329904
-1.644693,100,45.583519
-1.603326,100,45.830262
-1.535421,100,46.056627
-1.567378,100,46.292821
-1.563244,100,46.521189
-1.474658,100,46.749199
-1.697121,100,46.976389
-1.480911,100,47.213104
-1.641791,100,47.440512
-1.441273,100,48.052737
-1.525808,100,48.282797
-1.518011,100,48.524723
-1.58252,100,48.768694
-1.50765,100,49.026701
-1.523873,100,49.281166
-1.502589,100,49.542363
-1.698597,100,49.794762
-1.640205,100,50.044462
-1.561216,100,50.290962
-1.504843,100,50.550404
-1.695387,100,50.805576
-1.652665,100,51.433161
-1.675965,100,51.690812
-1.69139,100,51.954073
-1.682879,100,52.203074
-1.64482,100,52.460889
-1.629253,100,52.723361
-1.657869,100,52.993562
-1.63603,100,53.254403
-1.779025,100,53.507903
-1.635957,100,53.756314
-1.596767,100,54.017431
-1.571172,100,54.27398
-1.508693,100,54.528786
-1.668955,100,55.246402
-1.569774,100,55.508507
-1.499808,100,55.757559
-1.461145,100,56.007867
-1.587428,100,56.269191
-1.480874,100,56.538849
-1.500223,100,56.803082
-1.504345,100,57.068229
-1.453003,100,57.326416
-1.457838,100,57.592138
-1.612908,100,57.846849
-1.580201,100,58.10176
-1.469207,100,58.821987
-1.467079,100,59.089565
-1.523621,100,59.345676
-1.52134,100,59.602381
-1.480015,100,59.858728
-1.585427,100,60.116963
-1.476254,100,60.371869
-1.470574,100,60.634199
-1.481563,100,60.892009
-1.498954,100,61.156169
-1.496982,100,61.412056
-1.484153,100,61.65452
-1.472928,100,61.879413
-1.469952,100,62.527148
-1.487841,100,62.783191
-1.470305,100,63.040837
-1.566483,100,63.297727
-1.484428,100,63.558654
-1.491593,100,63.807631
-1.5138,100,64.058323
-1.566213,100,64.318076
-1.568778,100,64.593742
-1.610767,100,64.855964
-1.478045,100,65.113807
-1.479735,100,65.368595
-1.510492,100,66.082849
-1.569082,100,66.335521
-1.596429,100,66.592388
-1.67517,100,66.827095
-1.429873,100,67.061616
-1.499071,100,67.286844
-1.686646,100,67.513553
-1.627534,100,67.73876
-1.586265,100,67.971895
-1.562933,100,68.197193
-1.577196,100,68.422995
-1.611193,100,68.649548
-1.585878,100,68.885393
-1.593827,100,69.501179
-1.586123,100,69.73751
-1.565527,100,69.970946
-1.608026,100,70.214951
-1.535092,100,70.449347
-1.580532,100,70.684897
-1.659501,100,70.921754
-1.578589,100,71.164708
-1.710116,100,71.395044
-1.688974,100,71.627868
-1.887968,100,71.86605
-2.067919,100,72.119002
-3.117041,100,72.82827
-2.677394,100,73.088531
-2.855464,100,73.345133
-2.481494,100,73.606854
-2.980639,100,73.856683
-2.055082,100,74.113721
-2.224288,100,74.369319
-1.620696,100,74.636555
-1.581346,100,74.891541
-2.894133,100,75.147863
-2.010823,100,75.403454
-1.857263,100,75.669255
-1.700284,100,75.925324
-1.696329,100,76.633606
-1.550924,100,76.895582
-1.648267,100,77.164634
-1.73846,100,77.417508
-1.666279,100,77.67346
-1.522789,100,77.930332
-1.661746,100,78.195136
-1.5878,100,78.450642
-1.606817,100,78.70583
-1.604281,100,78.964285
-1.661607,100,79.229097
-1.80376,100,79.482787
-1.539154,100,80.194957
-1.610136,100,80.451128
