r,r,mean_reward,std_reward,upper,lower,timesteps
-0.464319,-1.5362719999999999,-1.0002955,0.7579852354132631,-0.24231026458673688,-1.7582807354132632,100
-0.431325,-1.587361,-1.009343,0.8174408948957717,-0.19190210510422845,-1.8267838948957718,200
-0.387874,-1.565352,-0.9766130000000001,0.8326026784979738,-0.1440103215020263,-1.8092156784979738,300
-0.362993,-1.087176,-0.7250844999999999,0.5120747101200175,-0.21300978987998243,-1.2371592101200175,400
-1.096629,-0.5601510000000001,-0.8283900000000001,0.37934723175739665,-0.4490427682426034,-1.2077372317573967,500
-0.591712,-0.5006430000000001,-0.5461775,0.06439550745587767,-0.4817819925441223,-0.6105730074558776,600
-0.223496,-0.5511550000000001,-0.38732550000000004,0.23168990081680302,-0.15563559918319703,-0.6190154008168031,700
-0.257317,-0.544805,-0.401061,0.20328471430975814,-0.19777628569024186,-0.6043457143097581,800
-0.453038,-0.472488,-0.46276300000000004,0.013753226894078366,-0.44900977310592166,-0.4765162268940784,900
-0.48173,-0.443734,-0.46273200000000003,0.026867229257964042,-0.435864770742036,-0.48959922925796406,1000
-0.5962390000000001,-0.471674,-0.5339565000000001,0.08808075619850236,-0.4458757438014977,-0.6220372561985024,1100
-0.5015569999999999,-0.448901,-0.47522899999999996,0.037233414670158796,-0.4379955853298412,-0.5124624146701587,1200
-0.327083,-0.5069600000000001,-0.41702150000000004,0.12719224647949265,-0.28982925352050737,-0.5442137464794927,1300
-0.33003000000000005,-0.45603,-0.39303,0.08909545442950495,-0.30393454557049504,-0.48212545442950494,1400
-0.187828,-0.5578310000000001,-0.37282950000000004,0.2616316303593662,-0.11119786964063383,-0.6344611303593662,1500
-0.21672199999999997,-0.573559,-0.3951405,0.2523218624782641,-0.1428186375217359,-0.647462362478264,1600
-0.288331,-0.630937,-0.459634,0.2422590258751983,-0.2173749741248017,-0.7018930258751983,1700
-0.31655,-0.7287710000000001,-0.5226605,0.29148426444749986,-0.2311762355525001,-0.8141447644474998,1800
-0.277211,-0.7034100000000001,-0.49031050000000004,0.30136820303492545,-0.18894229696507459,-0.7916787030349255,1900
-0.291261,-0.44718900000000006,-0.369225,0.11025774617685603,-0.258967253823144,-0.47948274617685605,2000
-0.434447,-0.336937,-0.38569200000000003,0.06894998223350028,-0.31674201776649974,-0.45464198223350033,2100
-0.220297,-0.609096,-0.41469649999999997,0.2749224094185485,-0.13977409058145146,-0.6896189094185485,2200
-0.295979,-0.710669,-0.503324,0.2932301110902494,-0.21009388890975061,-0.7965541110902494,2300
-0.544142,-0.8923540000000001,-0.718248,0.24622306649053016,-0.47202493350946984,-0.9644710664905302,2400
-0.195691,-0.9309700000000001,-0.5633305000000001,0.5199207669640635,-0.04340973303593654,-1.0832512669640635,2500
-0.23545,-0.891783,-0.5636165,0.4640975150165103,-0.09951898498348966,-1.0277140150165103,2600
-0.29096700000000003,-0.7776350000000001,-0.534301,0.34412624298649475,-0.19017475701350528,-0.8784272429864948,2700
-0.26366100000000003,-0.7595029999999999,-0.511582,0.35061324059710003,-0.16096875940289995,-0.8621952405971001,2800
