seed 1,seed 2,mean_reward,std_reward,upper,lower,timesteps
,,,,,,100
,,,,,,200
,,,,,,300
,,,,,,400
,,,,,,500
,,,,,,600
,,,,,,700
,,,,,,800
,,,,,,900
,,,,,,1000
,,,,,,1100
,,,,,,1200
,,,,,,1300
,,,,,,1400
,,,,,,1500
,,,,,,1600
,,,,,,1700
,,,,,,1800
,,,,,,1900
,,,,,,2000
,,,,,,2100
,,,,,,2200
,,,,,,2300
,,,,,,2400
,,,,,,2500
,,,,,,2600
,,,,,,2700
,,,,,,2800
,,,,,,2900
,,,,,,3000
,,,,,,3100
,,,,,,3200
,,,,,,3300
,,,,,,3400
,,,,,,3500
,,,,,,3600
,,,,,,3700
,,,,,,3800
,,,,,,3900
,,,,,,4000
,,,,,,4100
,,,,,,4200
,,,,,,4300
,,,,,,4400
,,,,,,4500
,,,,,,4600
,,,,,,4700
,,,,,,4800
,,,,,,4900
-0.6472560399999999,-1.72748336,-1.1873697,0.7939128784170115,-0.39345682158298845,-1.9812825784170118,5000
-0.6478528599999999,-1.7412006400000002,-1.19452675,0.8031904446552984,-0.39133630534470165,-1.9977171946552987,5100
-0.6473783599999998,-1.7372346400000003,-1.1923065000000002,0.8007215813287857,-0.3915849186712145,-1.9930280813287862,5200
-0.64818132,-1.74538706,-1.1967841900000002,0.8059184343328449,-0.39086575566715526,-2.0027026243328456,5300
-0.6467666,-1.7508709200000003,-1.1988187600000004,0.8107964670314028,-0.38802229296859736,-2.009615227031403,5400
-0.65081634,-1.7456712400000007,-1.1982437900000003,0.8042561394273604,-0.39398765057263985,-2.0024999294273607,5500
-0.658091,-1.7312145400000007,-1.1946527700000005,0.7888897474069543,-0.405763022593046,-1.9835425174069548,5600
-0.66217314,-1.716640860000001,-1.1894070000000003,0.7787445045796091,-0.41066249542039124,-1.9681515045796096,5700
-0.6664043599999999,-1.6950061000000012,-1.1807052300000003,0.7652596529932623,-0.41544557700673806,-1.9459648829932628,5800
-0.6712075,-1.6776849400000011,-1.1744462200000003,0.7575266342392568,-0.4169195857607435,-1.9319728542392574,5900
-0.6747782800000001,-1.6621855600000008,-1.1684819200000005,0.7490426256572243,-0.41943929434277594,-1.917524545657225,6000
-0.619361,-1.611552760000001,-1.1154568800000004,0.745659487404773,-0.3697973925952273,-1.8611163674047737,6100
-0.61810366,-1.5733082800000011,-1.0957059700000003,0.7223602199697268,-0.37334575003027337,-1.8180661899697272,6200
-0.61721716,-1.526105540000001,-1.0716613500000003,0.6896096925866633,-0.382051657413337,-1.7612710425866638,6300
-0.5927047800000002,-1.4787990800000008,-1.0357519300000004,0.6734918440477545,-0.3622600859522457,-1.709243774047755,6400
-0.56943854,-1.427180000000001,-0.9983092700000005,0.6534433586178574,-0.34486591138214284,-1.6517526286178577,6500
-0.55409308,-1.3782531000000011,-0.9661730900000003,0.6296976946718481,-0.33647539532815207,-1.5958707846718485,6600
