#{"t_start": 1592437790.8836193, "env_id": "widowx_reacher-v5"}
r,l,t
-1.133395,100,2.486823
-1.786037,100,3.563749
-1.613428,100,4.092653
-1.178129,100,4.600883
-1.693693,100,5.116322
-1.77435,100,5.626702
-1.406902,100,6.144904
-1.478182,100,6.656935
-1.592212,100,7.17016
-1.40204,100,7.686145
-1.167522,100,8.204782
-1.610021,100,8.717337
-0.938275,100,9.226748
-1.0586,100,9.7381
-1.046017,100,10.249323
-1.24725,100,10.762408
-1.422118,100,11.276614
-1.431188,100,11.796779
-1.019123,100,12.306188
-1.164441,100,12.81729
-1.29051,100,13.334107
-1.108045,100,13.858133
-1.450125,100,14.371295
-1.216401,100,14.889508
-0.828049,100,15.40789
-1.204938,100,15.920875
-0.81114,100,16.429831
-0.95735,100,16.937128
-0.91852,100,17.455361
-0.897213,100,17.964263
-0.89555,100,18.47802
-0.768321,100,18.987859
-0.732632,100,19.500258
-0.913122,100,20.018639
-0.865218,100,20.530254
-0.74735,100,21.039527
-0.883431,100,21.557084
-0.758234,100,22.064017
-0.816296,100,22.584167
-0.681912,100,23.094703
-0.648426,100,23.60853
-0.648468,100,24.123369
-0.669145,100,24.631623
-0.574177,100,25.151335
-0.602575,100,25.675043
-0.747829,100,26.190241
-0.735235,100,26.704197
-0.635121,100,27.219198
-0.735047,100,27.733688
-0.891012,100,28.254544
-0.656673,100,28.776168
-0.694562,100,29.291818
-0.754777,100,29.808052
-0.56562,100,30.32398
-0.814001,100,30.837878
-0.600687,100,31.353911
-0.496108,100,31.864847
-0.568866,100,32.390577
-0.588525,100,32.904389
-1.109173,100,33.418175
-0.621176,100,33.931436
-0.781627,100,34.444294
-0.630571,100,34.958045
-0.535954,100,35.474122
-0.540188,100,35.995086
-0.758595,100,36.514845
-0.711886,100,37.031325
-0.608025,100,37.549577
-1.435503,100,38.063814
-1.672413,100,38.578959
-1.158723,100,39.102199
-1.754518,100,39.620134
-2.199436,100,40.136068
-1.526622,100,40.651672
-1.989164,100,41.171325
-1.278846,100,41.687733
-1.133771,100,42.202462
-1.277539,100,42.721654
-0.936057,100,43.238511
-1.006001,100,43.75486
-0.938078,100,44.269176
-0.555294,100,44.787063
-0.577932,100,45.302279
-0.671711,100,45.8223
-0.719403,100,46.340024
-0.88211,100,46.855345
-1.12966,100,47.37282
-1.210259,100,47.890158
-1.309827,100,48.40487
-2.699729,100,48.91994
-2.564618,100,49.436536
-2.533266,100,49.9616
-2.407491,100,50.485073
-2.514128,100,50.998559
-2.503559,100,51.511406
-2.434236,100,52.023919
-2.400557,100,52.533108
-1.995425,100,53.048754
-2.271786,100,53.562002
-2.157804,100,54.076084
-2.153108,100,54.915904
-2.65319,100,55.428902
-1.618875,100,55.940208
-1.960859,100,56.458929
-2.415162,100,56.973082
-2.032962,100,57.486662
-1.526573,100,57.998052
-0.7326,100,58.50891
-0.666993,100,59.020459
-0.912374,100,59.534845
-0.964308,100,60.055388
-1.217948,100,60.570649
-1.470958,100,61.082728
-1.646954,100,61.5934
-1.748354,100,62.107363
-2.265216,100,62.621244
-2.140263,100,63.133486
-2.077492,100,63.65379
-2.426316,100,64.163201
-3.011804,100,64.67579
