#{"t_start": 1592440343.03678, "env_id": "widowx_reacher-v5"}
r,l,t
-1.590745,100,2.218161
-1.694868,100,2.246915
-1.288899,100,2.275606
-1.953651,100,2.30377
-1.699278,100,2.331674
-1.539604,100,2.359774
-1.409252,100,2.387896
-1.285107,100,2.416739
-1.82947,100,2.444862
-1.580337,100,2.473084
-1.5025,100,2.501214
-1.286089,100,2.529451
-1.952554,100,2.557547
-1.687668,100,2.58573
-1.33957,100,2.614869
-1.455564,100,2.643218
-1.509252,100,2.671444
-1.291961,100,2.699779
-1.533005,100,2.727978
-1.20799,100,2.756375
-1.514056,100,2.784527
-1.667725,100,2.813335
-1.890128,100,2.841497
-1.285112,100,2.869869
-1.606991,100,2.89802
-1.398311,100,2.926137
-1.859823,100,2.954318
-1.686864,100,2.982719
-1.492883,100,3.011678
-1.544733,100,3.039887
-1.482111,100,3.068233
-1.543568,100,3.096651
-1.773688,100,3.124872
-1.789372,100,3.153118
-1.089245,100,3.18134
-1.381697,100,3.210597
-1.870531,100,3.238877
-1.611844,100,3.267372
-1.79896,100,3.29564
-1.671974,100,3.32427
-1.601925,100,3.352522
-1.458855,100,3.381819
-1.695599,100,3.410144
-1.328225,100,3.438677
-0.989788,100,3.467021
-1.388751,100,3.49536
-1.43779,100,3.523662
-1.241943,100,3.552133
-1.639118,100,3.58105
-1.566862,100,3.609362
-1.415074,100,3.637773
-1.627378,100,3.666272
-1.744865,100,3.694641
-1.438381,100,3.723121
-1.386336,100,3.751519
-1.392764,100,3.780309
-1.856968,100,3.808714
-1.703068,100,3.837289
-1.843619,100,3.865939
-1.342318,100,3.894522
-1.480437,100,3.922929
-1.737253,100,3.951257
-1.458464,100,3.980308
-1.062103,100,4.008977
-1.155395,100,4.037491
-1.127879,100,4.066171
-1.477944,100,4.094832
-1.677848,100,4.123545
-1.470001,100,4.152134
-1.515079,100,4.181676
-1.812068,100,4.210215
-1.168968,100,4.239125
-1.930771,100,4.267749
-1.539599,100,4.296298
-1.645686,100,4.324851
-1.515829,100,4.354376
-1.471204,100,4.383128
-1.37675,100,4.411908
-1.546473,100,4.440615
-1.875154,100,4.46944
-1.445961,100,4.498122
-1.609638,100,4.526724
-1.427303,100,4.555484
-2.032362,100,4.584367
-1.47147,100,4.613199
-1.448298,100,4.642122
-1.417214,100,4.670843
-1.568844,100,4.699653
-2.065402,100,4.728352
-1.655688,100,4.757107
-1.577452,100,4.78574
-1.734984,100,4.814676
-1.72364,100,4.843622
-1.446341,100,4.872455
-1.791388,100,4.901287
