#{"t_start": 1592537599.7620234, "env_id": "widowx_reacher-v7"}
r,l,t
-2.297376,100,2.256508
-1.069068,100,2.464781
-0.834628,100,2.674396
-1.869745,100,2.882456
-3.680163,100,3.095092
-0.792884,100,3.304302
-0.829864,100,3.513741
-0.123799,100,3.723235
-2.36785,100,3.942884
-0.335041,100,4.155411
-0.913737,100,4.366924
-1.920337,100,4.577403
-2.580865,100,5.297332
-2.574284,100,5.509609
-1.117886,100,5.719094
-2.82651,100,5.929177
-1.505554,100,6.142726
-1.587401,100,6.35374
-2.385939,100,6.566084
-1.569971,100,6.780101
-2.604356,100,6.99331
-4.770754,100,7.20735
-4.172894,100,7.414673
-0.096572,100,7.619991
-2.803254,100,7.827762
-1.167204,100,8.571417
-1.813294,100,8.793563
-1.290653,100,9.016107
-1.294139,100,9.230526
-1.073514,100,9.448524
-1.781945,100,9.672724
-2.050194,100,9.891139
-1.542552,100,10.11251
-2.03728,100,10.33045
-1.452644,100,10.553391
-1.809308,100,10.774755
-0.481043,100,10.990912
-0.939607,100,11.630974
-2.129075,100,11.847426
-1.585388,100,12.055271
-1.214176,100,12.268468
-1.451794,100,12.476245
-0.582032,100,12.683775
-3.276211,100,12.888952
-2.100978,100,13.0956
-0.824565,100,13.303533
-6.662769,100,13.512517
-1.345093,100,13.717477
-1.779793,100,13.931415
-3.63611,100,14.141855
-1.781332,100,14.777275
-1.521952,100,14.991903
-1.799747,100,15.209988
-0.786032,100,15.424959
-2.378471,100,15.636792
-0.12742,100,15.853125
-1.965024,100,16.073513
-1.225624,100,16.28855
-1.621088,100,16.503021
-0.950147,100,16.716618
-0.525835,100,16.927393
-0.56053,100,17.141901
-0.413089,100,17.813341
-1.361373,100,18.030571
-2.739667,100,18.24971
-3.43861,100,18.462289
-1.623026,100,18.673915
-0.863391,100,18.892127
-1.090874,100,19.10504
-2.071059,100,19.320414
-0.295036,100,19.531606
-0.233961,100,19.746006
-1.205303,100,19.966659
-1.911477,100,20.178403
-0.802694,100,20.391959
-5.772858,100,21.029727
-2.42775,100,21.246437
-1.998089,100,21.459483
-2.051527,100,21.677491
-0.713626,100,21.89055
-0.742657,100,22.109353
-1.913662,100,22.325521
-0.298122,100,22.538425
-0.154089,100,22.751246
-0.271561,100,22.958915
-1.649727,100,23.16252
-0.180218,100,23.369412
-0.319372,100,24.00152
-0.465114,100,24.222111
-2.324396,100,24.436646
-1.419682,100,24.648885
-1.411999,100,24.864939
-1.298375,100,25.069009
-1.125442,100,25.2841
-1.146116,100,25.499766
-1.20812,100,25.717549
-0.592688,100,25.93903
-1.823829,100,26.151343
-0.544035,100,26.362482
-0.691153,100,26.574634
-1.375271,100,27.226698
-1.539117,100,27.435512
-0.502903,100,27.650351
-3.812743,100,27.85332
-2.257663,100,28.070513
-3.902608,100,28.289186
-1.594877,100,28.504179
-3.013705,100,28.721024
-0.510568,100,28.935577
-1.772155,100,29.155141
-2.684594,100,29.37096
-0.198468,100,29.5882
-1.37012,100,30.250337
-5.822052,100,30.466085
-1.082708,100,30.682269
-1.201746,100,30.89906
-1.390247,100,31.109857
-1.262509,100,31.325747
-0.566244,100,31.541655
-1.191581,100,31.75822
-2.487664,100,31.972929
-1.227365,100,32.183331
-1.336987,100,32.395726
-2.089215,100,32.604671
-2.539591,100,32.819274
-3.284433,100,33.458412
-0.774078,100,33.669001
-0.184445,100,33.886287
-1.072348,100,34.102082
-2.278744,100,34.312746
-1.828436,100,34.527729
-0.728376,100,34.742265
-4.586805,100,34.954387
-1.680007,100,35.161598
-1.04969,100,35.374641
-0.163784,100,35.586267
-2.223391,100,35.799534
-0.494628,100,36.449588
-2.31278,100,36.661604
-0.547129,100,36.876498
-1.367545,100,37.090559
-2.007472,100,37.306316
-0.84756,100,37.516852
-3.474801,100,37.733366
-2.362111,100,37.950576
-3.997842,100,38.163285
-5.065706,100,38.371125
-2.034086,100,38.589268
-2.783206,100,38.805908
-0.780279,100,39.018239
-0.361348,100,39.661718
-0.5341,100,39.880132
-1.295204,100,40.099252
-1.938958,100,40.317244
-1.471075,100,40.525757
-1.080432,100,40.735285
-1.434897,100,40.949324
-0.222207,100,41.164058
-2.382568,100,41.373085
-2.634506,100,41.587754
-2.351362,100,41.804288
-2.795855,100,42.02166
-2.853588,100,42.667789
-0.549909,100,42.882031
-1.796425,100,43.097106
-0.490302,100,43.31073
-1.920929,100,43.51965
-0.248769,100,43.727799
-2.265772,100,43.936505
-2.810596,100,44.152856
-2.360863,100,44.366197
-1.811596,100,44.580284
-1.529691,100,44.794014
-1.315506,100,45.008295
-0.435563,100,45.217773
-1.597583,100,45.857817
-1.324076,100,46.069075
-2.538539,100,46.285415
-2.632512,100,46.499402
-2.846494,100,46.713902
-3.714237,100,46.930003
-0.78015,100,47.142741
-1.541102,100,47.355796
-0.203659,100,47.571256
-1.195185,100,47.781564
-0.391609,100,47.988509
-4.477379,100,48.197689
-1.385382,100,48.830293
-1.862468,100,49.032031
-1.545935,100,49.235952
-4.310457,100,49.441163
-1.971117,100,49.644261
-0.567632,100,49.853534
-0.305564,100,50.065191
-3.650599,100,50.273449
-0.384584,100,50.488812
-0.804193,100,50.704735
-4.150126,100,50.925154
-1.111641,100,51.138039
-3.318244,100,51.353093
-0.656126,100,52.0008
-2.146433,100,52.217095
-0.353115,100,52.429619
-0.500203,100,52.640553
-1.930487,100,52.854806
-1.372614,100,53.062649
-0.422095,100,53.272507
-2.590379,100,53.487486
-1.773032,100,53.700744
-0.946567,100,53.909963
-0.853354,100,54.117011
-2.124148,100,54.320794
-0.713043,100,54.95921
-1.340843,100,55.17344
-2.87759,100,55.388633
-4.295151,100,55.601229
-2.313105,100,55.819678
-0.329065,100,56.027557
-1.952206,100,56.241745
-2.983355,100,56.454555
-2.0777,100,56.668221
-1.40743,100,56.877972
-2.352203,100,57.092937
-1.123688,100,57.304992
-1.618019,100,57.524026
-0.770746,100,58.158471
-3.627467,100,58.368689
-3.168378,100,58.584745
-3.212828,100,58.801222
-0.900646,100,59.012763
-0.922981,100,59.217746
-0.284968,100,59.422315
-0.218327,100,59.63131
-3.448259,100,59.832375
-1.605582,100,60.033659
-1.10398,100,60.239503
-0.473471,100,60.444309
-0.827416,100,61.072222
-0.986911,100,61.287664
-1.949981,100,61.502876
-2.155079,100,61.718014
-0.662648,100,61.934888
-0.769586,100,62.149076
-0.636693,100,62.359984
-4.555669,100,62.576221
-2.149457,100,62.792299
-4.3905,100,63.005264
-0.94243,100,63.216355
-1.154985,100,63.432479
-1.22049,100,63.644711
-0.208173,100,64.300239
-4.213991,100,64.510576
-1.751903,100,64.719915
-1.447687,100,64.934282
-0.880655,100,65.146726
-1.603977,100,65.360897
-4.380903,100,65.58306
-0.87074,100,65.798854
-0.535013,100,66.010532
-1.414955,100,66.227101
-2.367466,100,66.438976
-2.341856,100,66.653073
-1.859482,100,67.290523
-1.620632,100,67.505864
-0.714052,100,67.721082
-2.796017,100,67.934424
-2.719851,100,68.138072
-0.504566,100,68.334304
-0.902308,100,68.528285
-1.56478,100,68.719147
-0.932211,100,68.914407
-3.045594,100,69.106325
-1.275499,100,69.296854
-1.372753,100,69.485433
-2.907982,100,69.673098
-3.391607,100,70.256786
-2.496084,100,70.45011
-0.999867,100,70.64654
-3.234804,100,70.843547
-1.441682,100,71.038845
-3.674475,100,71.229305
-1.177255,100,71.421155
-0.850686,100,71.612541
-1.262694,100,71.805911
-0.83633,100,71.997941
-2.527375,100,72.184577
-1.013178,100,72.37396
-1.585831,100,72.963042
-0.865784,100,73.154696
-0.832296,100,73.341227
-0.80162,100,73.53126
-3.003738,100,73.720583
-2.107465,100,73.911844
-3.36507,100,74.103687
-2.234373,100,74.292822
-2.332263,100,74.479967
-2.174494,100,74.671046
-0.580649,100,74.859241
-3.275206,100,75.049498
-0.405706,100,75.23988
-1.037083,100,75.820119
-1.370511,100,76.004582
-1.322965,100,76.192919
-1.14916,100,76.383281
-2.89006,100,76.577619
-1.977404,100,76.769843
-0.762612,100,76.963025
-0.447018,100,77.15188
-2.505164,100,77.343719
-3.186204,100,77.538131
-1.95617,100,77.732432
-1.290299,100,77.928382
-2.233483,100,78.513054
-2.939784,100,78.704885
-1.252304,100,78.899186
-1.299348,100,79.095715
-0.174082,100,79.285652
-2.459452,100,79.474742
-0.902909,100,79.664764
-0.309896,100,79.851145
-1.833826,100,80.03818
-0.737202,100,80.229584
-1.5939,100,80.423359
