#{"t_start": 1592537948.6784832, "env_id": "widowx_reacher-v7"}
r,l,t
-3.213139,100,1.50607
-2.027423,100,1.566099
-3.084167,100,1.999578
-0.82604,100,2.237266
-0.676759,100,2.489482
-0.766299,100,2.713407
-1.069136,100,2.944838
-6.922762,100,3.17467
-1.783099,100,3.408721
-1.206545,100,3.651682
-1.453436,100,3.896049
-4.279342,100,4.141482
-2.471041,100,4.393017
-1.424166,100,4.649061
-6.302416,100,4.90609
-5.560927,100,5.147554
-3.992237,100,5.384112
-5.166999,100,5.627334
-3.417924,100,5.86894
-2.910558,100,6.113755
-3.644645,100,6.367113
-6.348138,100,6.627487
-2.030995,100,6.885159
-3.961401,100,7.146196
-6.0016,100,7.40466
-0.394784,100,7.652189
-2.795122,100,7.898633
-4.846601,100,8.146981
-3.00269,100,8.398102
-3.588058,100,8.655411
-3.159236,100,8.915291
-2.165866,100,9.159398
-4.376491,100,9.400276
-2.030678,100,9.641036
-1.966108,100,9.891899
-1.717862,100,10.15012
-1.623971,100,10.394892
-5.151177,100,10.644168
-6.646731,100,10.895415
-2.97737,100,11.15142
-6.877204,100,11.408879
-3.263216,100,11.669239
-7.295769,100,11.931654
-3.322339,100,12.193382
-1.734537,100,12.454519
-1.435183,100,12.717146
-0.549739,100,12.984291
-3.757873,100,13.228327
-0.89064,100,13.467643
-0.874336,100,13.706599
-3.514967,100,13.962006
-3.015669,100,14.224716
-5.653299,100,14.486809
-1.190846,100,14.755752
-4.082313,100,15.016107
-5.504055,100,15.277089
-0.345869,100,15.537451
-5.172629,100,15.798484
-0.443145,100,16.061779
-5.044912,100,16.328856
-5.341443,100,16.592182
-2.859577,100,16.854142
-1.487572,100,17.108186
-3.423973,100,17.34837
-2.966511,100,17.590229
-2.70329,100,17.834071
-2.307299,100,18.096842
-2.354784,100,18.355974
-5.370016,100,18.625635
-1.757779,100,18.883718
-2.828875,100,19.144283
-0.680995,100,19.405682
-1.531482,100,19.663716
-1.743536,100,19.924866
-0.47116,100,20.185952
-2.03725,100,20.446119
-3.933761,100,20.707772
-4.407082,100,20.965469
-5.623785,100,21.208974
-7.700394,100,21.452657
-0.7407,100,21.694063
-2.65551,100,21.95021
-5.664012,100,22.214207
-3.638976,100,22.478171
-0.446565,100,22.740821
-4.140993,100,23.000949
-3.419958,100,23.263299
-2.018149,100,23.525838
-2.291757,100,23.789462
-0.945432,100,24.057188
-6.765835,100,24.332149
-1.598494,100,24.598244
-4.251853,100,24.862177
-2.073408,100,25.116044
-4.883712,100,25.361479
-2.246753,100,25.607578
-1.903984,100,25.856833
-3.266741,100,26.120251
-7.35095,100,26.385323
-7.382568,100,26.642456
-2.598438,100,27.331356
-3.64038,100,27.591844
-5.99669,100,27.850188
-2.794699,100,28.110695
-1.422689,100,28.373018
-6.70777,100,28.630695
-2.60778,100,28.89305
-5.95144,100,29.142126
-7.642593,100,29.384912
-4.185616,100,29.626419
-1.205248,100,29.874454
-10.006834,100,30.137435
-2.406195,100,30.399514
-8.365322,100,30.661979
-4.664816,100,30.922463
-5.310799,100,31.180995
-1.335914,100,31.430459
-6.192902,100,31.689225
-2.246836,100,31.951208
-5.413076,100,32.216025
-3.031232,100,32.481579
-4.002213,100,32.744039
-4.046402,100,33.008595
-2.273051,100,33.254664
-5.397766,100,33.498086
-1.149304,100,33.74264
-2.432259,100,34.010301
-2.813883,100,34.270392
-1.056132,100,34.523502
-1.119822,100,34.777099
-1.924614,100,35.028844
-1.801092,100,35.288776
-1.34397,100,35.550556
-5.491412,100,35.814879
-3.990493,100,36.075609
-3.293182,100,36.334989
-0.514832,100,36.595506
-2.312083,100,36.860097
-0.839914,100,37.115711
-3.612392,100,37.359298
-1.402188,100,37.60005
-2.611007,100,37.847043
-6.392178,100,38.113561
-6.414391,100,38.377126
-1.196171,100,38.640208
-1.523232,100,38.901825
-1.277563,100,39.164106
-4.305383,100,39.427835
-1.788844,100,39.691792
-0.602019,100,39.95243
-6.834279,100,40.214043
-6.818613,100,40.474129
-2.366106,100,40.732759
-1.7228,100,40.994493
-1.954825,100,41.240602
-1.665926,100,41.482203
-0.83794,100,41.726141
-1.089254,100,41.982691
-5.514968,100,42.240807
-1.251132,100,42.502852
-4.200579,100,42.765735
-2.213486,100,43.033925
-4.728278,100,43.296537
-5.193934,100,43.560999
-5.423276,100,43.824935
-3.728389,100,44.087795
-3.193226,100,44.349904
-3.013396,100,44.614873
-2.229952,100,44.875908
-1.178824,100,45.131568
-4.459951,100,45.376348
-0.813344,100,45.619421
-1.967651,100,45.868036
-3.682529,100,46.133924
-3.046838,100,46.401321
-2.605392,100,46.664871
-3.7419,100,46.927273
-3.597817,100,47.19187
-4.515177,100,47.457261
-2.522219,100,47.719611
-3.209281,100,47.983736
-6.237297,100,48.245857
-0.286015,100,48.509056
