#{"t_start": 1592530461.534899, "env_id": "widowx_reacher-v7"}
r,l,t
-1.233637,100,2.070084
-1.81484,100,2.26072
-0.558771,100,3.212791
-1.753141,100,3.399114
-1.509582,100,3.596244
-1.132247,100,4.293302
-3.633601,100,4.479752
-2.89465,100,5.168605
-1.031881,100,5.344606
-1.375485,100,5.525455
-1.812749,100,6.187003
-0.36297,100,6.368106
-1.266193,100,7.574081
-0.943324,100,7.748295
-1.964032,100,7.922343
-1.719527,100,8.60997
-6.090125,100,8.814126
-3.195256,100,9.537724
-2.365658,100,9.711733
-0.894759,100,9.890435
-3.444658,100,10.587312
-2.148107,100,10.763815
-1.20539,100,10.941702
-0.838343,100,11.642153
-1.377981,100,11.825963
-1.092752,100,12.992019
-0.614108,100,13.181331
-1.462087,100,13.359073
-2.49628,100,14.060669
-1.462819,100,14.257973
-2.499555,100,14.934791
-1.572435,100,15.106044
-0.806955,100,15.278911
-1.730928,100,15.921136
-0.657446,100,16.094371
-1.175955,100,16.758066
-6.648687,100,16.948007
-1.785357,100,17.541729
-1.140707,100,18.204651
-1.066651,100,18.375589
-0.804284,100,19.039758
-3.470158,100,19.215737
-1.947593,100,19.397473
-1.626153,100,20.054805
-1.563254,100,20.227546
-1.394075,100,20.404307
-1.367096,100,21.084089
-2.654277,100,21.261447
-2.240535,100,21.951824
-0.903209,100,22.125063
-0.457188,100,22.697186
-0.912061,100,23.390969
-2.274174,100,23.567779
-2.468747,100,24.257967
-1.299235,100,24.445239
-1.685025,100,24.637528
-0.130033,100,25.348014
-0.254253,100,25.522532
-2.713698,100,26.242846
-0.252293,100,26.421836
-1.009314,100,26.599149
-1.631338,100,27.299076
-1.288503,100,27.952001
-0.125535,100,28.157523
-0.646233,100,28.858028
-1.848936,100,29.050308
-2.284608,100,29.763194
-1.189429,100,29.936409
-1.484249,100,30.110745
-1.097718,100,30.793057
-1.301135,100,30.967822
-1.964105,100,31.61886
-2.598733,100,31.790095
-0.249607,100,31.961711
-1.408779,100,32.643029
-0.347709,100,33.229156
-1.926093,100,33.936694
-2.74673,100,34.109571
-1.978718,100,34.282442
-3.747411,100,34.98596
-1.990551,100,35.171765
-3.442956,100,35.8807
-0.644383,100,36.059608
-1.618879,100,36.243453
-1.58426,100,36.941122
-0.867248,100,37.144414
-1.970065,100,37.337105
-0.549964,100,38.547247
