#{"t_start": 1600280293.4399467, "env_id": "widowx_reacher-v5"}
r,l,t
-2.881299,100,0.936917
-2.881299,100,0.970334
-3.020671,100,1.22577
-4.042639,100,1.372391
-2.854803,100,1.51361
-1.819543,100,1.659693
-1.529168,100,1.822257
-1.032118,100,1.988078
-1.269972,100,2.138313
-1.928865,100,2.28469
-1.88911,100,2.445054
-1.60685,100,2.580487
-1.166354,100,2.714406
-0.968568,100,2.850038
-0.788262,100,2.984555
-0.269815,100,3.178931
-0.259326,100,3.351082
-0.290539,100,3.509997
-0.437496,100,3.6632
-0.519901,100,3.817318
-0.736859,100,3.9767
-0.650373,100,4.133055
-0.680706,100,4.288258
-0.484416,100,4.443632
-0.540468,100,4.590548
-0.567459,100,4.746965
-0.338102,100,4.913705
-0.234972,100,5.069172
-0.234719,100,5.232827
-0.226662,100,5.404927
-0.251928,100,5.563002
-0.246196,100,5.71749
-0.270667,100,5.873561
-0.267425,100,6.023294
-0.258005,100,6.174639
-0.311179,100,6.320289
-0.328698,100,6.483738
-0.336454,100,6.63739
-0.392355,100,6.787568
-0.345864,100,6.934943
-0.33754,100,7.075506
-0.353862,100,7.234645
-0.413085,100,7.402693
-0.366772,100,7.560413
-0.365861,100,7.72859
-0.362316,100,7.888978
-0.375236,100,8.037432
-0.380559,100,8.185158
-0.384455,100,8.339508
-0.430027,100,8.488839
-0.43322,100,8.637711
-0.442099,100,8.790278
-0.437388,100,8.939465
-0.393555,100,9.087077
-0.304151,100,9.238651
-0.304094,100,9.38955
-0.315903,100,9.539051
-0.22619,100,9.685869
-0.231938,100,9.834324
-0.238731,100,9.984854
-0.242074,100,10.135382
-0.260229,100,10.284209
-0.278038,100,10.433537
-0.26938,100,10.585325
-0.209843,100,10.736436
-0.199135,100,10.925769
-0.204937,100,11.100646
-0.193182,100,11.267362
-0.221764,100,11.444129
-0.211415,100,11.625054
-0.195436,100,11.801191
-0.187079,100,11.980048
-0.172201,100,12.150867
-0.177505,100,12.307013
-0.186477,100,12.456639
-0.226161,100,12.607544
-0.185037,100,12.764445
-0.178564,100,12.913751
-0.174226,100,13.068564
-0.176096,100,13.227454
-0.166565,100,13.393436
-0.168761,100,13.559168
-0.163785,100,13.718081
-0.1671,100,13.883118
-0.16475,100,14.038007
-0.163893,100,14.184321
-0.162379,100,14.335428
-0.166924,100,14.520544
-0.17017,100,14.673229
-0.158303,100,14.828192
-0.158029,100,14.977363
-0.155908,100,15.130311
-0.154664,100,15.283241
-0.16124,100,15.43492
-0.171078,100,15.598519
-0.16462,100,15.774564
-0.159214,100,15.927273
-0.155145,100,16.076395
-0.157014,100,16.220223
-0.166245,100,16.406579
